# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.238
metadata : {}


# id : NWRW1800000041.238.1.1
萬手 만세… 유재학, 코트 최고명장으로

萬手	萬手/SH
모비스가 10일 창원에서 열린 챔피언결정전(7전 4선승제) 6차전에서 LG를 79-76으로 꺾고 4승 2패로 우승을 확정지었을 때였다.

모비스가	모비스/NNP+가/JKS
10일	10/SN+일/NNB
창원에서	창원/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
챔피언결정전(7전	챔피언/NNG+결정전/NNG+(/SS+7/SN+전/NNB
4선승제)	4/SN+선승/NNG+제/XSN+)/SS
6차전에서	6/SN+차전/NNB+에서/JKB
LG를	LG/SL+를/JKO
79-76으로	79/SN+-/SO+76/SN+으로/JKB
꺾고	꺾/VV+고/EC
4승	4/SN+승/NNB
2패로	2/SN+패/NNB+로/JKB
우승을	우승/NNG+을/JKO
확정지었을	확정/NNG+짓/VV+었/EP+을/ETM
때였다.	때/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000041.238.4.1
모비스는 1999년 현대 이후 15년 만에 챔피언결정전 2연패에 성공하며 통산 5번째 정상(기아 시절 1회 포함)을 밟았다.

모비스는	모비스/NNP+는/JX
1999년	1999/SN+년/NNB
현대	현대/NNP
이후	이후/NNG
15년	15/SN+년/NNB
만에	만/NNB+에/JKB
챔피언결정전	챔피언/NNG+결정전/NNG
2연패에	2/SN+연패/NNG+에/JKB
성공하며	성공/NNG+하/XSV+며/EC
통산	통산/NNG
5번째	5/SN+번/NNB+째/XSN
정상(기아	정상/NNG+(/SS+기아/NNP
시절	시절/NNG
1회	1/SN+회/NNB
포함)을	포함/NNG+)/SS+을/JKO
밟았다.	밟/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.238.4.2
2004년 부임해 10년째 팀을 이끌고 있는 유 감독은 국내 프로농구 감독 중 최다인 4번째 우승 반지를 차지했다.

2004년	2004/SN+년/NNB
부임해	부임/NNG+하/XSV+아/EC
10년째	10/SN+년/NNB+째/XSN
팀을	팀/NNG+을/JKO
이끌고	이끌/VV+고/EC
있는	있/VX+는/ETM
유	유/NNP
감독은	감독/NNG+은/JX
국내	국내/NNG
프로농구	프로/NNG+농구/NNG
감독	감독/NNG
중	중/NNB
최다인	최다/NNG+이/VCP+ㄴ/ETM
4번째	4/SN+번/NNB+째/XSN
우승	우승/NNG
반지를	반지/NNG+를/JKO
차지했다.	차지/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.238.4.3
2.5년에 한 번꼴로 우승한 셈.

2.5년에	2/SN+./SP+5/SN+년/NNB+에/JKB
한	한/MMN
번꼴로	번/NNB+꼴/XSN+로/JKB
우승한	우승/NNG+하/XSV+ㄴ/ETM
셈.	셈/NNB+./SF


# id : NWRW1800000041.238.4.4
유 감독은 “우승하고 운 것은 처음 정상에 올랐던 2007년 이후 두 번째다.

유	유/NNP
감독은	감독/NNG+은/JX
“우승하고	“/SS+우승/NNG+하/XSV+고/EC
운	울/VV+ㄴ/ETM
것은	것/NNB+은/JX
처음	처음/NNG
정상에	정상/NNG+에/JKB
올랐던	오르/VV+았/EP+던/ETM
2007년	2007/SN+년/NNB
이후	이후/NNG
두	두/MMN
번째다.	번/NNB+째/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000041.238.4.5
그만큼 힘들었던 시즌이었다”고 말했다.

그만큼	그만큼/MAG
힘들었던	힘들/VA+었/EP+던/ETM
시즌이었다”고	시즌/NNG+이/VCP+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.238.5.1
올 시즌에 앞서 유 감독은 대표팀 사령탑으로 4개월 동안 팀을 떠나 있었지만 코치들에게 체계적인 체력 프로그램을 지시해 공백을 최소화했다.

올	올/NNG
시즌에	시즌/NNG+에/JKB
앞서	앞서/VV+어/EC
유	유/NNP
감독은	감독/NNG+은/JX
대표팀	대표/NNG+팀/NNG
사령탑으로	사령탑/NNG+으로/JKB
4개월	4/SN+개월/NNB
동안	동안/NNG
팀을	팀/NNG+을/JKO
떠나	떠나/VV+아/EC
있었지만	있/VX+었/EP+지만/EC
코치들에게	코치/NNG+들/XSN+에게/JKB
체계적인	체계/NNG+적/XSN+이/VCP+ㄴ/ETM
체력	체력/NNG
프로그램을	프로그램/NNG+을/JKO
지시해	지시/NNG+하/XSV+아/EC
공백을	공백/NNG+을/JKO
최소화했다.	최소/NNG+화/XSN+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.238.5.2
이지원 김종근 등을 육성해 LG로 이적한 김시래의 빈자리를 메웠다.

이지원	이지원/NNP
김종근	김종근/NNP
등을	등/NNB+을/JKO
육성해	육성/NNG+하/XSV+아/EC
LG로	LG/SL+로/JKB
이적한	이적/NNG+하/XSV+ㄴ/ETM
김시래의	김시래/NNP+의/JKG
빈자리를	빈자리/NNG+를/JKO
메웠다.	메우/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.238.5.3
지난해 신인 드래프트에서는 이대성을 11순위로 지명해 재목으로 키웠다.

지난해	지난해/NNG
신인	신인/NNG
드래프트에서는	드래프트/NNG+에서/JKB+는/JX
이대성을	이대성/NNP+을/JKO
11순위로	11/SN+순위/NNG+로/JKB
지명해	지명/NNG+하/XSV+아/EC
재목으로	재목/NNG+으로/JKB
키웠다.	키우/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.238.5.4
다른 구단에서는 이대성을 미덥지 않게 봤지만 그의 눈은 정확했다.

다른	다른/MMD
구단에서는	구단/NNG+에서/JKB+는/JX
이대성을	이대성/NNP+을/JKO
미덥지	미덥/VA+지/EC
않게	않/VX+게/EC
봤지만	보/VX+았/EP+지만/EC
그의	그/NP+의/JKG
눈은	눈/NNG+은/JX
정확했다.	정확/NNG+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000041.238.5.5
정규리그에서 양동근과 이대성이 다쳤을 때도 화수분 농구 덕분에 전력 손실을 줄였다.

정규리그에서	정규/NNG+리그/NNG+에서/JKB
양동근과	양동근/NNP+과/JC
이대성이	이대성/NNP+이/JKS
다쳤을	다치/VV+었/EP+을/ETM
때도	때/NNG+도/JX
화수분	화수분/NNG
농구	농구/NNG
덕분에	덕분/NNG+에/JKB
전력	전력/NNG
손실을	손실/NNG+을/JKO
줄였다.	줄이/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.238.6.1
모비스는 이날 경기 종료 1분 전 함지훈의 부상과 문태영의 퇴장으로 최대 위기를 맞았지만 식스맨 천대현이 결정적인 블록슛을 해내는 등 백업 멤버들을 앞세워 승리를 지켰다.

모비스는	모비스/NNP+는/JX
이날	이날/NNG
경기	경기/NNG
종료	종료/NNG
1분	1/SN+분/NNB
전	전/NNG
함지훈의	함지훈/NNP+의/JKG
부상과	부상/NNG+과/JC
문태영의	문태영/NNP+의/JKG
퇴장으로	퇴장/NNG+으로/JKB
최대	최대/NNG
위기를	위기/NNG+를/JKO
맞았지만	맞/VV+았/EP+지만/EC
식스맨	식스맨/NNG
천대현이	천대현/NNP+이/JKS
결정적인	결정/NNG+적/XSN+이/VCP+ㄴ/ETM
블록슛을	블록슛/NNG+을/JKO
해내는	해내/VV+는/ETM
등	등/NNB
백업	백업/NNG
멤버들을	멤버/NNG+들/XSN+을/JKO
앞세워	앞세우/VV+어/EC
승리를	승리/NNG+를/JKO
지켰다.	지키/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.238.6.2
한 명의 영웅보다는 여러 명의 영웅을 지향하는 유재학 농구가 빛을 발한 순간이었다.

한	한/MMN
명의	명/NNB+의/JKG
영웅보다는	영웅/NNG+보다/JKB+는/JX
여러	여러/MMN
영웅을	영웅/NNG+을/JKO
지향하는	지향/NNG+하/XSV+는/ETM
유재학	유재학/NNP
농구가	농구/NNG+가/JKS
빛을	빛/NNG+을/JKO
발한	발하/VV+ㄴ/ETM
순간이었다.	순간/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000041.238.6.3
유 감독은 “작은 선수들의 집중력이 큰 결과를 얻었다.

유	유/NNP
감독은	감독/NNG+은/JX
“작은	“/SS+작/VA+은/ETM
선수들의	선수/NNG+들/XSN+의/JKG
집중력이	집중력/NNG+이/JKS
큰	크/VA+ㄴ/ETM
결과를	결과/NNG+를/JKO
얻었다.	얻/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.238.6.4
선수들의 장점을 극대화한 덕분”이라고 했다.

선수들의	선수/NNG+들/XSN+의/JKG
장점을	장점/NNG+을/JKO
극대화한	극대/NNG+화/XSN+하/XSV+ㄴ/ETM
덕분”이라고	덕분/NNG+”/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.238.7.1
유 감독은 정규리그 때 일찌감치 플레이오프에서 맞붙을 가능성이 높은 SK, LG의 전술에 대한 대비책을 반복 훈련시켜 효과를 봤다.

유	유/NNP
감독은	감독/NNG+은/JX
정규리그	정규/NNG+리그/NNG
때	때/NNG
일찌감치	일찌감치/MAG
플레이오프에서	플레이오프/NNG+에서/JKB
맞붙을	맞붙/VV+을/ETM
가능성이	가능/NNG+성/XSN+이/JKS
높은	높/VA+은/ETM
SK,	SK/SL+,/SP
LG의	LG/SL+의/JKG
전술에	전술/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
대비책을	대비책/NNG+을/JKO
반복	반복/NNG
훈련시켜	훈련/NNG+시키/XSV+어/EC
효과를	효과/NNG+를/JKO
봤다.	보/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.238.7.2
몇 수 앞을 내다보는 혜안이 없었다면 타이틀 방어는 힘들었다.

몇	몇/NR
수	수/NNB
앞을	앞/NNG+을/JKO
내다보는	내다보/VV+는/ETM
혜안이	혜안/NNG+이/JKS
없었다면	없/VA+었/EP+다면/EC
타이틀	타이틀/NNG
방어는	방어/NNG+는/JX
힘들었다.	힘들/VA+었/EP+다/EF+./SF


# id : NWRW1800000041.238.7.3
늘 아침 식사를 같이 하고 훈련이나 이동 시간을 철저하게 지켜야 하는 유 감독의 원칙주의는 전혀 변함이 없었다.

늘	늘/MAG
아침	아침/NNG
식사를	식사/NNG+를/JKO
같이	같이/MAG
하고	하/VV+고/EC
훈련이나	훈련/NNG+이나/JC
이동	이동/NNG
시간을	시간/NNG+을/JKO
철저하게	철저/NNG+하/XSA+게/EC
지켜야	지키/VV+어야/EC
하는	하/VX+는/ETM
유	유/NNP
감독의	감독/NNG+의/JKG
원칙주의는	원칙주의/NNG+는/JX
전혀	전혀/MAG
변함이	변하/VV+ㅁ/ETN+이/JKS
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000041.238.8.1
유 감독은 9월 인천 아시아경기에서 대표팀을 이끈다.

유	유/NNP
감독은	감독/NNG+은/JX
9월	9/SN+월/NNB
인천	인천/NNP
아시아경기에서	아시아/NNP+경기/NNG+에서/JKB
대표팀을	대표/NNG+팀/NNG+을/JKO
이끈다.	이끌/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.238.8.2
모비스는 주전 대다수가 30대에 접어들어 팀 리빌딩도 과제로 떠올랐다.

모비스는	모비스/NNP+는/JX
주전	주전/NNG
대다수가	대/XPN+다수/NNG+가/JKS
30대에	30/SN+대/NNB+에/JKB
접어들어	접어들/VV+어/EC
팀	팀/NNG
리빌딩도	리빌딩/NNG+도/JX
과제로	과제/NNG+로/JKB
떠올랐다.	떠오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.238.8.3
유 감독의 시선은 이미 내일을 향하고 있지만 “오늘만큼은 다 잊고 취하고 싶다”며 웃었다.

유	유/NNP
감독의	감독/NNG+의/JKG
시선은	시선/NNG+은/JX
이미	이미/MAG
내일을	내일/NNG+을/JKO
향하고	향하/VV+고/EC
있지만	있/VX+지만/EC
“오늘만큼은	“/SS+오늘/NNG+만큼/JKB+은/JX
다	다/MAG
잊고	잊/VV+고/EC
취하고	취하/VV+고/EC
싶다”며	싶/VX+다/EF+”/SS+며/EC
웃었다.	웃/VV+었/EP+다/EF+./SF


