# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.216
metadata : {}


# id : NWRW1800000056.216.1.1
정부, 가뭄대책비 등 166억원 추가 지원

정부,	정부/NNG+,/SP
국토교통부와 농림축산식품부, 국민안전처는 1일 국무조정실장 주재로 열린 ‘통합물관리 상황반 회의’에서 전국 가뭄 대책 추진상황을 점검하고, 가뭄대책비 116억원과 저수지준설 사업비 50억원 등 166억원을 지원하기로 결정했다고 밝혔다.

국토교통부와	국토/NNG+교통부/NNG+와/JC
농림축산식품부,	농림/NNG+축산/NNG+식품부/NNG+,/SP
국민안전처는	국민/NNG+안전처/NNG+는/JX
1일	1/SN+일/NNB
국무조정실장	국무/NNG+조정실장/NNG
주재로	주재/NNG+로/JKB
열린	열리/VV+ㄴ/ETM
‘통합물관리	‘/SS+통합물/NNG+관리/NNG
상황반	상황반/NNG
회의’에서	회의/NNG+’/SS+에서/JKB
전국	전국/NNG
가뭄	가뭄/NNG
대책	대책/NNG
추진상황을	추진/NNG+상황/NNG+을/JKO
점검하고,	점검/NNG+하/XSV+고/EC+,/SP
가뭄대책비	가뭄/NNG+대책비/NNG
116억원과	116/SN+억/NR+원/NNB+과/JC
저수지준설	저수지/NNG+준설/NNG
사업비	사업비/NNG
50억원	50/SN+억/NR+원/NNB
등	등/NNB
166억원을	166/SN+억/NR+원/NNB+을/JKO
지원하기로	지원/NNG+하/XSV+기/ETN+로/JKB
결정했다고	결정/NNG+하/XSV+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.216.7.2
지난 29일 국민안전처가 충남과 경기지역에 특별교부세 70억원을 긴급 지원한 데 이은 추가 재정 투입이다.

지난	지나/VV+ㄴ/ETM
29일	29/SN+일/NNB
국민안전처가	국민/NNG+안전처/NNG+가/JKS
충남과	충남/NNP+과/JC
경기지역에	경기지역/NNP+에/JKB
특별교부세	특별/NNG+교부세/NNG
70억원을	70/SN+억/NR+원/NNB+을/JKO
긴급	긴급/NNG
지원한	지원/NNG+하/XSV+ㄴ/ETM
데	데/NNB
이은	잇/VV+은/ETM
추가	추가/NNG
재정	재정/NNG
투입이다.	투입/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000056.216.8.1
농림부는 가뭄 대응에 총력을 다하기 위해 이번 주 중으로 가뭄대책비 116억원(국비 93억원·지방비 23억원)을 경기, 충남, 전남 등 가뭄 우심지역(가뭄이 심각한 지역)에 추가 지원하고, 국토부도 저수율이 낮은 저수지 중 퇴적토가 많아 계획저수량을 확보하지 못하는 저수지 15곳에 저수지준설 사업비 50억원을 지원하기로 했다.

농림부는	농림부/NNG+는/JX
가뭄	가뭄/NNG
대응에	대응/NNG+에/JKB
총력을	총력/NNG+을/JKO
다하기	다/MAG+하/XSV+기/ETN
위해	위하/VV+아/EC
이번	이번/NNG
주	주/NNG
중으로	중/NNB+으로/JKB
가뭄대책비	가뭄/NNG+대책비/NNG
116억원(국비	116/SN+억/NR+원/NNB+(/SS+국비/NNG
93억원·지방비	93/SN+억/NR+원/NNB+·/SP+지방비/NNG
23억원)을	23/SN+억/NR+원/NNB+)/SS+을/JKO
경기,	경기/NNP+,/SP
충남,	충남/NNP+,/SP
전남	전남/NNP
등	등/NNB
우심지역(가뭄이	우심/NNG+지역/NNG+(/SS+가뭄/NNG+이/JKS
심각한	심각하/VA+ㄴ/ETM
지역)에	지역/NNG+)/SS+에/JKB
추가	추가/NNG
지원하고,	지원/NNG+하/XSV+고/EC+,/SP
국토부도	국토부/NNG+도/JX
저수율이	저수/NNG+율/XSN+이/JKS
낮은	낮/VA+은/ETM
저수지	저수지/NNG
중	중/NNB
퇴적토가	퇴적토/NNG+가/JKS
많아	많/VA+아/EC
계획저수량을	계획/NNG+저수량/NNG+을/JKO
확보하지	확보/NNG+하/XSV+지/EC
못하는	못하/VX+는/ETM
15곳에	15/SN+곳/NNG+에/JKB
저수지준설	저수지/NNG+준설/NNG
사업비	사업비/NNG
50억원을	50/SN+억/NR+원/NNB+을/JKO
지원하기로	지원/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.216.9.1
5월말 현재까지 올해 누적 강수량은 평균 161.㎜로 평년의 54% 수준에 불과하고, 농업용수를 공급하는 전국 저수지의 평균 저수율은 57%로 평년의 73%에 그쳤다.

5월말	5/SN+월/NNB+말/NNB
현재까지	현재/NNG+까지/JX
올해	올해/NNG
누적	누적/NNG
강수량은	강수량/NNG+은/JX
평균	평균/NNG
161.㎜로	161/SN+./SP+㎜/SW+로/JKB
평년의	평년/NNG+의/JKG
54%	54/SN+%/SW
수준에	수준/NNG+에/JKB
불과하고,	불과/MAG+하/XSA+고/EC+,/SP
농업용수를	농업용수/NNG+를/JKO
공급하는	공급/NNG+하/XSV+는/ETM
전국	전국/NNG
저수지의	저수지/NNG+의/JKG
저수율은	저수/NNG+율/XSN+은/JX
57%로	57/SN+%/SW+로/JKB
73%에	73/SN+%/SW+에/JKB
그쳤다.	그치/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.216.9.2
특히 경기 남부지역과 충남 서부지역의 가뭄상황이 심각해지고 있고, 전남 해안지역에서도 심한 물부족 현상이 나타나고 있다.

특히	특히/MAG
경기	경기/NNP
남부지역과	남부/NNG+지역/NNG+과/JC
충남	충남/NNP
서부지역의	서부/NNG+지역/NNG+의/JKG
가뭄상황이	가뭄/NNG+상황/NNG+이/JKS
심각해지고	심각하/VA+아/EC+지/VX+고/EC
있고,	있/VX+고/EC+,/SP
전남	전남/NNP
해안지역에서도	해안/NNG+지역/NNG+에서/JKB+도/JX
심한	심하/VA+ㄴ/ETM
물부족	물/NNG+부족/NNG
현상이	현상/NNG+이/JKS
나타나고	나타나/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000056.216.9.3
충남 보령댐의 저수율은 역대 최저치인 9.9%로 예년의 4분의 1수준이다.

충남	충남/NNP
보령댐의	보령댐/NNP+의/JKG
저수율은	저수/NNG+율/XSN+은/JX
역대	역대/NNG
최저치인	최저/NNG+치/XSN+이/VCP+ㄴ/ETM
9.9%로	9/SN+./SP+9/SN+%/SW+로/JKB
예년의	예년/NNG+의/JKG
4분의	4/SN+분/XSN+의/JKG
1수준이다.	1/SN+수준/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000056.216.10.1
모내기 진척도는 예년과 비슷한 70.2%를 기록하며 정상적으로 이뤄지고 있다.

모내기	모내기/NNG
진척도는	진척도/NNG+는/JX
예년과	예년/NNG+과/JKB
비슷한	비슷하/VA+ㄴ/ETM
70.2%를	70/SN+./SP+2/SN+%/SW+를/JKO
기록하며	기록/NNG+하/XSV+며/EC
정상적으로	정상/NNG+적/XSN+으로/JKB
이뤄지고	이뤄지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000056.216.10.2
농림부는 “일부 극심한 지역도 있지만, 전체적으로 현재 가뭄 상황이 모내기를 못할 정도는 아니다.

농림부는	농림부/NNG+는/JX
“일부	“/SS+일부/NNG
극심한	극심하/VA+ㄴ/ETM
지역도	지역/NNG+도/JX
있지만,	있/VA+지만/EC+,/SP
전체적으로	전체/NNG+적/XSN+으로/JKB
현재	현재/MAG
가뭄	가뭄/NNG
상황이	상황/NNG+이/JKS
모내기를	모내기/NNG+를/JKO
못할	못/MAG+하/VV+ㄹ/ETM
정도는	정도/NNG+는/JX
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000056.216.10.3
다만 가뭄 상황이 지속될 경우 모내기를 끝내고도 벼가 말라죽을 가능성이 있어 대비하는 차원”이라고 설명했다.

다만	다만/MAG
가뭄	가뭄/NNG
상황이	상황/NNG+이/JKS
지속될	지속/NNG+되/XSV+ㄹ/ETM
경우	경우/NNG
모내기를	모내기/NNG+를/JKO
끝내고도	끝내/VV+고/EC+도/JX
벼가	벼/NNG+가/JKS
말라죽을	마르/VV+아/EC+죽/VV+을/ETM
가능성이	가능/NNG+성/XSN+이/JKS
있어	있/VA+어/EC
대비하는	대비/NNG+하/XSV+는/ETM
차원”이라고	차원/NNG+”/SS+이라고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


