# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.221
metadata : {}


# id : NWRW1800000030.221.1.1
한 명만 다쳐도 휘청… 축구대표팀 플랜 B(차선책)가 없다

한	한/MMN
선수들에	선수/NNG+들/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
의존도가	의존도/NNG+가/JKS
심하다는	심하/VA+다는/ETM
비판을	비판/NNG+을/JKO
의식한	의식/NNG+하/XSV+ㄴ/ETM
발언이었다.	발언/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000030.221.6.3
한국은 지난 한·일전에서 소속팀에서 제대로 뛰지 못한 해외파 선수들이 일제히 부진한 모습을 보였지만 이들을 대체할 자원이 마땅치 않아 경기 흐름을 바꾸지 못했다.

한국은	한국/NNP+은/JX
지난	지나/VV+ㄴ/ETM
한·일전에서	한·일전/NNG+에서/JKB
소속팀에서	소속/NNG+팀/NNG+에서/JKB
제대로	제대로/MAG
뛰지	뛰/VV+지/EC
못한	못하/VX+ㄴ/ETM
해외파	해외파/NNG
선수들이	선수/NNG+들/XSN+이/JKS
일제히	일제히/MAG
부진한	부진/NNG+하/XSA+ㄴ/ETM
모습을	모습/NNG+을/JKO
보였지만	보이/VV+었/EP+지만/EC
이들을	이/NP+들/XSN+을/JKO
대체할	대체/NNG+하/XSV+ㄹ/ETM
자원이	자원/NNG+이/JKS
마땅치	마땅하/VA+지/EC
않아	않/VX+아/EC
경기	경기/NNG
흐름을	흐름/NNG+을/JKO
바꾸지	바꾸/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000030.221.6.4
일본전에서 경기 초반 왼쪽 풀백 김영권이 부상으로 나가면서 수비 라인이 무너졌던 것과 흡사한 상황이 쿠웨이트전에서도 반복됐다.

일본전에서	일본전/NNG+에서/JKB
경기	경기/NNG
초반	초반/NNG
왼쪽	왼쪽/NNG
풀백	풀백/NNG
김영권이	김영권/NNP+이/JKS
부상으로	부상/NNG+으로/JKB
나가면서	나가/VV+면서/EC
수비	수비/NNG
라인이	라인/NNG+이/JKS
무너졌던	무너지/VV+었/EP+던/ETM
것과	것/NNB+과/JKB
흡사한	흡사/MAG+하/XSA+ㄴ/ETM
상황이	상황/NNG+이/JKS
쿠웨이트전에서도	쿠웨이트전/NNG+에서/JKB+도/JX
반복됐다.	반복/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000030.221.7.1
전반 17분 차두리가 허벅지 부상으로 나가자 김재성이 투입됐다.

전반	전반/NNG
17분	17/SN+분/NNB
차두리가	차두리/NNP+가/JKS
허벅지	허벅지/NNG
부상으로	부상/NNG+으로/JKB
나가자	나가/VV+자/EC
김재성이	김재성/NNP+이/JKS
투입됐다.	투입/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000030.221.7.2
40도에 이르는 무더위 속에 열린 원정경기에서 귀중한 선제골을 뽑아낸 한국은 안정적인 경기 운영이 필요했다.

40도에	40/SN+도/NNB+에/JKB
이르는	이르/VV+는/ETM
무더위	무더위/NNG
속에	속/NNG+에/JKB
열린	열리/VV+ㄴ/ETM
원정경기에서	원정/NNG+경기/NNG+에서/JKB
귀중한	귀중하/VA+ㄴ/ETM
선제골을	선제골/NNG+을/JKO
뽑아낸	뽑아내/VV+ㄴ/ETM
한국은	한국/NNP+은/JX
안정적인	안정/NNG+적/XSN+이/VCP+ㄴ/ETM
경기	경기/NNG
운영이	운영/NNG+이/JKS
필요했다.	필요/NNG+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000030.221.8.1
하지만 벤치에는 전문적인 측면 수비 자원이 없었다.

하지만	하지만/MAJ
벤치에는	벤치/NNG+에/JKB+는/JX
전문적인	전문/NNG+적/XSN+이/VCP+ㄴ/ETM
측면	측면/NNG
수비	수비/NNG
자원이	자원/NNG+이/JKS
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000030.221.8.2
소속팀 포항에선 공격형 미드필더로 뛰던 김재성은 대인 방어에 허점을 보이며 상대에게 몇 차례 결정적 기회를 내줬다.

소속팀	소속/NNG+팀/NNG
포항에선	포항/NNP+에서/JKB+ㄴ/JX
공격형	공격/NNG+형/XSN
미드필더로	미드필더/NNG+로/JKB
뛰던	뛰/VV+던/ETM
김재성은	김재성/NNP+은/JX
대인	대인/NNG
방어에	방어/NNG+에/JKB
허점을	허점/NNG+을/JKO
보이며	보이/VV+며/EC
상대에게	상대/NNG+에게/JKB
몇	몇/NR
차례	차례/NNG
결정적	결정/NNG+적/XSN
기회를	기회/NNG+를/JKO
내줬다.	내주/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.221.9.1
왼쪽 수비수 홍철도 '이영표 이후'의 고민을 그대로 보여줬다.

왼쪽	왼쪽/NNG
수비수	수비수/NNG
홍철도	홍철/NNP+도/JX
'이영표	'/SS+이영표/NNP
이후'의	이후/NNG+'/SS+의/JKG
고민을	고민/NNG+을/JKO
그대로	그대로/MAG
보여줬다.	보이/VV+어/EC+주/VX+었/EP+다/EF+./SF


# id : NWRW1800000030.221.9.2
쿠웨이트는 스피드가 좋은 알 에네지를 앞세워 홍철이 지킨 한국의 왼쪽 측면을 집요하게 공략했다.

쿠웨이트는	쿠웨이트/NNP+는/JX
스피드가	스피드/NNG+가/JKS
좋은	좋/VA+은/ETM
알	알/NNP
에네지를	에네지/NNP+를/JKO
앞세워	앞세우/VV+어/EC
홍철이	홍철/NNP+이/JKS
지킨	지키/VV+ㄴ/ETM
한국의	한국/NNP+의/JKG
왼쪽	왼쪽/NNG
측면을	측면/NNG+을/JKO
집요하게	집요하/VA+게/EC
공략했다.	공략/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.221.9.3
경험이 부족한 홍철이 상대 공격에 계속 뚫렸지만 마땅한 교체카드가 없었다.

경험이	경험/NNG+이/JKS
부족한	부족/NNG+하/XSA+ㄴ/ETM
홍철이	홍철/NNP+이/JKS
상대	상대/NNG
공격에	공격/NNG+에/JKB
계속	계속/MAG
뚫렸지만	뚫리/VV+었/EP+지만/EC
마땅한	마땅하/VA+ㄴ/ETM
교체카드가	교체/NNG+카드/NNG+가/JKS
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000030.221.10.1
공격진에서도 지동원과 구자철의 무거운 몸놀림이 이어졌지만 적절한 타이밍에 대안을 내놓지 못했다.

공격진에서도	공격진/NNG+에서/JKB+도/JX
지동원과	지동원/NNP+과/JC
구자철의	구자철/NNP+의/JKG
무거운	무겁/VA+ㄴ/ETM
몸놀림이	몸놀림/NNG+이/JKS
이어졌지만	이어지/VV+었/EP+지만/EC
적절한	적절하/VA+ㄴ/ETM
타이밍에	타이밍/NNG+에/JKB
대안을	대안/NNG+을/JKO
내놓지	내놓/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000030.221.10.2
박문성 SBS 해설위원은 "공격진의 후반 체력 부담을 감안했을 때 염기훈(후반 19분)과 김정우(후반 33분)의 투입시점이 아쉬웠다"고 말했다.

박문성	박문성/NNP
SBS	SBS/SL
해설위원은	해설/NNG+위원/NNG+은/JX
"공격진의	"/SS+공격진/NNG+의/JKG
후반	후반/NNG
체력	체력/NNG
부담을	부담/NNG+을/JKO
감안했을	감안/NNG+하/XSV+았/EP+을/ETM
때	때/NNG
염기훈(후반	염기훈/NNP+(/SS+후반/NNG
19분)과	19/SN+분/NNB+)/SS+과/JC
김정우(후반	김정우/NNP+(/SS+후반/NNG
33분)의	33/SN+분/NNB+)/SS+의/JKG
투입시점이	투입/NNG+시점/NNG+이/JKS
아쉬웠다"고	아쉽/VA+었/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.221.11.1
박지성의 은퇴와 이청용·손흥민의 부상으로 공격진의 두께가 얇아진 한국 축구는 결정적 상황에서 '한 방'을 터뜨릴 만한 해결사가 부족하다.

박지성의	박지성/NNP+의/JKG
은퇴와	은퇴/NNG+와/JC
이청용·손흥민의	이청용/NNP+·/SP+손흥민/NNP+의/JKG
부상으로	부상/NNG+으로/JKB
공격진의	공격진/NNG+의/JKG
두께가	두께/NNG+가/JKS
얇아진	얇아지/VV+ㄴ/ETM
한국	한국/NNP
축구는	축구/NNG+는/JX
결정적	결정/NNG+적/XSN
상황에서	상황/NNG+에서/JKB
'한	'/SS+한/MMN
방'을	방/NNB+'/SS+을/JKO
터뜨릴	터뜨리/VV+ㄹ/ETM
만한	만/NNB+하/XSA+ㄴ/ETM
해결사가	해결사/NNG+가/JKS
부족하다.	부족/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000030.221.11.2
박주영의 공백시에 그를 대신할 스트라이커가 눈에 띄지 않는다는 점도 고질적인 불안요소가 될 전망이다.

박주영의	박주영/NNP+의/JKG
공백시에	공백/NNG+시/NNB+에/JKB
그를	그/NP+를/JKO
대신할	대신/NNG+하/XSV+ㄹ/ETM
스트라이커가	스트라이커/NNG+가/JKS
눈에	눈/NNG+에/JKB
띄지	띄/VV+지/EC
않는다는	않/VX+는다는/ETM
점도	점/NNG+도/JX
고질적인	고질/NNG+적/XSN+이/VCP+ㄴ/ETM
불안요소가	불안/NNG+요소/NNG+가/JKC
될	되/VV+ㄹ/ETM
전망이다.	전망/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.221.12.1
조광래호(號)는 이날 전술적인 면에서도 '플랜 B'를 제대로 가동하지 못했다.

조광래호(號)는	조광래호/NNP+(/SS+號/SH+)/SS+는/JX
이날	이날/NNG
전술적인	전술/NNG+적/XSN+이/VCP+ㄴ/ETM
면에서도	면/NNG+에서/JKB+도/JX
'플랜	'/SS+플랜/NNG
B'를	B/SL+'/SS+를/JKO
제대로	제대로/MAG
가동하지	가동/NNG+하/XSV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000030.221.12.2
세밀한 패스 플레이와 잦은 포지션 이동으로 '만화 축구'로 불리는 조 감독의 축구 스타일은 무더운 기후와 푹신한 잔디에선 효과를 발휘하기 어려웠다.

세밀한	세밀하/VA+ㄴ/ETM
패스	패스/NNG
플레이와	플레이/NNG+와/JC
잦은	잦/VA+은/ETM
포지션	포지션/NNG
이동으로	이동/NNG+으로/JKB
'만화	'/SS+만화/NNG
축구'로	축구/NNG+'/SS+로/JKB
불리는	불리/VV+는/ETM
조	조/NNP
감독의	감독/NNG+의/JKG
축구	축구/NNG
스타일은	스타일/NNG+은/JX
무더운	무덥/VA+ㄴ/ETM
기후와	기후/NNG+와/JC
푹신한	푹신/MAG+하/XSA+ㄴ/ETM
잔디에선	잔디/NNG+에서/JKB+ㄴ/JX
효과를	효과/NNG+를/JKO
발휘하기	발휘/NNG+하/XSV+기/ETN
어려웠다.	어렵/VA+었/EP+다/EF+./SF


# id : NWRW1800000030.221.13.1
하지만 고집스럽게 중앙 위주의 패스플레이로 일관하며 답답한 경기를 펼쳤다.

하지만	하지만/MAJ
고집스럽게	고집/NNG+스럽/XSA+게/EC
중앙	중앙/NNG
위주의	위주/NNG+의/JKG
패스플레이로	패스플레이/NNG+로/JKB
일관하며	일관/NNG+하/XSV+며/EC
답답한	답답하/VA+ㄴ/ETM
경기를	경기/NNG+를/JKO
펼쳤다.	펼치/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.221.13.2
전문가들은 상대와 상황에 맞는 전술적인 유연성이 필요하다고 지적한다.

전문가들은	전문가/NNG+들/XSN+은/JX
상대와	상대/NNG+와/JC
상황에	상황/NNG+에/JKB
맞는	맞/VV+는/ETM
전술적인	전술/NNG+적/XSN+이/VCP+ㄴ/ETM
유연성이	유연성/NNG+이/JKS
필요하다고	필요/NNG+하/XSA+다고/EC
지적한다.	지적/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000030.221.14.1
물론 소득도 있었다.

물론	물론/MAG
소득도	소득/NNG+도/JX
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000030.221.14.2
프랑스 발랑시엔에서 뛰는 남태희는 날카로운 패스와 측면 돌파로 이청용의 부상 공백을 무난하게 메웠다.

프랑스	프랑스/NNP
발랑시엔에서	발랑시엔/NNP+에서/JKB
뛰는	뛰/VV+는/ETM
남태희는	남태희/NNP+는/JX
날카로운	날카롭/VA+ㄴ/ETM
패스와	패스/NNG+와/JC
측면	측면/NNG
돌파로	돌파/NNG+로/JKB
이청용의	이청용/NNP+의/JKG
부상	부상/NNG
공백을	공백/NNG+을/JKO
무난하게	무난하/VA+게/EC
메웠다.	메우/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.221.15.1
이적문제로 훈련을 제대로 하지 못한 박주영은 레바논·쿠웨이트전에서 네 골을 뽑아내며 자신감을 찾았다.

이적문제로	이적/NNG+문제/NNG+로/JKB
훈련을	훈련/NNG+을/JKO
제대로	제대로/MAG
하지	하/VV+지/EC
못한	못하/VX+ㄴ/ETM
박주영은	박주영/NNP+은/JX
레바논·쿠웨이트전에서	레바논/NNP+·/SP+쿠웨이트전/NNG+에서/JKB
네	네/MMN
골을	골/NNG+을/JKO
뽑아내며	뽑아내/VV+며/EC
자신감을	자신감/NNG+을/JKO
찾았다.	찾/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.221.15.2
조광래 감독은 "쿠웨이트전은 전체적으로 공수 밸런스가 무너진 경기였다"며 "국내에서 열리는 3차전에선 경기 템포를 더 끌어올리겠다"고 말했다.

조광래	조광래/NNP
감독은	감독/NNG+은/JX
"쿠웨이트전은	"/SS+쿠웨이트전/NNG+은/JX
전체적으로	전체/NNG+적/XSN+으로/JKB
공수	공수/NNG
밸런스가	밸런스/NNG+가/JKS
무너진	무너지/VV+ㄴ/ETM
경기였다"며	경기/NNG+이/VCP+었/EP+다/EF+"/SS+며/EC
"국내에서	"/SS+국내/NNG+에서/JKB
열리는	열리/VV+는/ETM
3차전에선	3/SN+차전/NNB+에서/JKB+ㄴ/JX
경기	경기/NNG
템포를	템포/NNG+를/JKO
더	더/MAG
끌어올리겠다"고	끌어올리/VV+겠/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


