# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.275
metadata : {}


# id : NWRW1800000048.275.1.1
‘지상파 출구조사 방송 3초 뒤’ 보도…경찰 “손석희 영업비밀 침해”

‘지상파	‘/SS+지상파/NNG
등	등/NNB
지상파	지상파/NNG
3사가	3사/NNG+가/JKS
24억원을	24/SN+억/NR+원/NNB+을/JKO
들여	들이/VV+어/EC
조사용역기관에	조사/NNG+용역/NNG+기관/NNG+에/JKB
의뢰한	의뢰/NNG+하/XSV+ㄴ/ETM
출구조사	출구/NNG+조사/NNG
결과를	결과/NNG+를/JKO
사전	사전/NNG
입수해	입수/NNG+하/XSV+아/EC
방송한다는	방송/NNG+하/XSV+ㄴ다는/ETM
전제	전제/NNG
아래	아래/NNG
개표방송을	개표/NNG+방송/NNG+을/JKO
준비한	준비/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
조사됐다고	조사/NNG+되/XSV+었/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.275.6.3
손 사장은 이런 내용을 보고받은 뒤 ‘출처를 밝히고 사용하라’는 구체적 지시를 했다고 경찰은 설명했다.

손	손/NNP
사장은	사장/NNG+은/JX
이런	이런/MMD
내용을	내용/NNG+을/JKO
보고받은	보고/NNG+받/XSV+은/ETM
뒤	뒤/NNG
‘출처를	‘/SS+출처/NNG+를/JKO
밝히고	밝히/VV+고/EC
사용하라’는	사용/NNG+하/XSV+라/EF+’/SS+는/ETM
구체적	구체/NNG+적/XSN
지시를	지시/NNG+를/JKO
했다고	하/VV+았/EP+다고/EC
경찰은	경찰/NNG+은/JX
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.275.7.1
제이티비시는 <문화방송>(MBC)이 서울시장 선거 출구조사 결과(예상 1·2위와 득표율)를 방송(오후 6시46초)하자 3초 뒤 같은 내용을 보도했다.

제이티비시는	제이티비시/NNP+는/JX
<문화방송>(MBC)이	</SS+문화방송/NNP+>/SS+(/SS+MBC/SL+)/SS+이/JKS
서울시장	서울시장/NNG
선거	선거/NNG
출구조사	출구/NNG+조사/NNG
결과(예상	결과/NNG+(/SS+예상/NNG
1·2위와	1/SN+·/SP+2/SN+위/NNB+와/JC
득표율)를	득표/NNG+율/XSN+)/SS+를/JKO
방송(오후	방송/NNG+(/SS+오후/NNG
6시46초)하자	6/SN+시/NNB+46/SN+초/NNB+)/SS+하/VV+자/EC
3초	3/SN+초/NNB
뒤	뒤/NNG
같은	같/VA+은/ETM
내용을	내용/NNG+을/JKO
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.275.7.2
한국방송과 <에스비에스>(SBS)는 관련 내용을 주요하게 다루기 전이었다.

한국방송과	한국방송/NNP+과/JC
<에스비에스>(SBS)는	</SS+에스비에스/NNP+>/SS+(/SS+SBS/SL+)/SS+는/JX
관련	관련/NNG
내용을	내용/NNG+을/JKO
주요하게	주요/NNG+하/XSA+게/EC
다루기	다루/VV+기/ETN
전이었다.	전/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000048.275.7.3
이후 주요 지역 출구조사 결과 보도도 비슷했다고 경찰은 설명했다.

이후	이후/NNG
주요	주요/NNG
지역	지역/NNG
출구조사	출구/NNG+조사/NNG
결과	결과/NNG
보도도	보도/NNG+도/JX
비슷했다고	비슷하/VA+았/EP+다고/EC
경찰은	경찰/NNG+은/JX
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.275.8.1
경찰은 투표 마감 직전인 오후 5시32분에 일부 언론사 정치부 기자들이 공유하는 모바일 채팅방에 한 일간지 기자가 출구조사 결과를 올렸고, 제이티비시 이아무개 기자가 이를 회사에 보고한 것으로 조사됐다고 밝혔다.

경찰은	경찰/NNG+은/JX
투표	투표/NNG
마감	마감/NNG
직전인	직전/NNG+이/VCP+ㄴ/ETM
오후	오후/NNG
5시32분에	5/SN+시/NNB+32/SN+분/NNB+에/JKB
일부	일부/NNG
언론사	언론사/NNG
정치부	정치부/NNG
기자들이	기자/NNG+들/XSN+이/JKS
공유하는	공유/NNG+하/XSV+는/ETM
모바일	모바일/NNG
채팅방에	채팅방/NNG+에/JKB
한	한/MMN
일간지	일간지/NNG
기자가	기자/NNG+가/JKS
출구조사	출구/NNG+조사/NNG
결과를	결과/NNG+를/JKO
올렸고,	올리/VV+었/EP+고/EC+,/SP
제이티비시	제이티비시/NNP
이아무개	이/NNP+아무개/NP
이를	이/NP+를/JKO
회사에	회사/NNG+에/JKB
보고한	보고/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
조사됐다고	조사/NNG+되/XSV+었/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.275.8.2
경찰은 제이티비시가 5시43~46분에 개표방송 시스템에 이 출구조사 결과를 입력했다고 설명했다.

경찰은	경찰/NNG+은/JX
제이티비시가	제이티비시/NNP+가/JKS
5시43~46분에	5/SN+시/NNB+43/SN+~/SO+46/SN+분/NNB+에/JKB
개표방송	개표/NNG+방송/NNG
시스템에	시스템/NNG+에/JKB
이	이/MMD
출구조사	출구/NNG+조사/NNG
결과를	결과/NNG+를/JKO
입력했다고	입력/NNG+하/XSV+았/EP+다고/EC
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.275.9.1
경찰은 ‘정상적 인용 보도’라는 제이티비시의 주장에 대해 “대법원 판례에 따라 영업비밀 침해는 방송 시점이 아닌 ‘입력 시점’으로 보는 것이 타당하다”고 했다.

경찰은	경찰/NNG+은/JX
‘정상적	‘/SS+정상/NNG+적/XSN
인용	인용/NNG
보도’라는	보도/NNG+’/SS+이/VCP+라는/ETM
제이티비시의	제이티비시/NNP+의/JKG
주장에	주장/NNG+에/JKB
대해	대하/VV+아/EC
“대법원	“/SS+대/XPN+법원/NNG
판례에	판례/NNG+에/JKB
따라	따르/VV+아/EC
영업비밀	영업/NNG+비밀/NNG
침해는	침해/NNG+는/JX
방송	방송/NNG
시점이	시점/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
‘입력	‘/SS+입력/NNG
시점’으로	시점/NNG+’/SS+으로/JKB
보는	보/VV+는/ETM
것이	것/NNB+이/JKS
타당하다”고	타당하/VA+다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.275.9.2
판례는 “남의 영업비밀을 활용할 의사 아래 이를 열람하는 것도 (범죄의) 실행 착수로 보아야 한다.

판례는	판례/NNG+는/JX
“남의	“/SS+남/NNG+의/JKG
영업비밀을	영업/NNG+비밀/NNG+을/JKO
활용할	활용/NNG+하/XSV+ㄹ/ETM
의사	의사/NNG
아래	아래/NNG
이를	이/NP+를/JKO
열람하는	열람/NNG+하/XSV+는/ETM
것도	것/NNB+도/JX
(범죄의)	(/SS+범죄/NNG+의/JKG+)/SS
실행	실행/NNG
착수로	착수/NNG+로/JKB
보아야	보/VV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000048.275.9.3
영업비밀의 사용은 기업활동에 직간접적으로 사용하는 행위를 가리킨다”고 돼 있다.

영업비밀의	영업/NNG+비밀/NNG+의/JKG
사용은	사용/NNG+은/JX
기업활동에	기업/NNG+활동/NNG+에/JKB
직간접적으로	직간접/NNG+적/XSN+으로/JKB
사용하는	사용/NNG+하/XSV+는/ETM
행위를	행위/NNG+를/JKO
가리킨다”고	가리키/VV+ㄴ다/EF+”/SS+고/JKQ
돼	되/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000048.275.10.1
이에 제이티비시는 “우리가 출구조사를 인용 보도한 것은 6시49초로, 지상파 3사가 이미 예상득표율 상당 부분을 방송한 이후에 지상파 출구조사 결과임을 분명히 밝히고 인용 보도했다.

이에	이/NP+에/JKB
제이티비시는	제이티비시/NNP+는/JX
“우리가	“/SS+우리/NP+가/JKS
출구조사를	출구/NNG+조사/NNG+를/JKO
인용	인용/NNG
보도한	보도/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
6시49초로,	6/SN+시/NNB+49/SN+초/NNB+로/JKB+,/SP
지상파	지상파/NNG
3사가	3사/NNG+가/JKS
이미	이미/MAG
예상득표율	예상/NNG+득표/NNG+율/XSN
상당	상당/NNG
부분을	부분/NNG+을/JKO
방송한	방송/NNG+하/XSV+ㄴ/ETM
이후에	이후/NNG+에/JKB
출구조사	출구/NNG+조사/NNG
결과임을	결과/NNG+이/VCP+ㅁ/ETN+을/JKO
분명히	분명히/MAG
밝히고	밝히/VV+고/EC
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.275.10.2
우리가 먼저 방송한 것은 단 한건도 없으며, 자료 확보 과정에서도 불법은 일절 없었다”고 주장했다.

우리가	우리/NP+가/JKS
먼저	먼저/MAG
방송한	방송/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
단	단/MMA
한건도	한/MMN+건/NNB+도/JX
없으며,	없/VA+으며/EC+,/SP
자료	자료/NNG
확보	확보/NNG
과정에서도	과정/NNG+에서/JKB+도/JX
불법은	불법/NNG+은/JX
일절	일절/MAG
없었다”고	없/VA+었/EP+다/EF+”/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.275.10.3
사건을 넘겨받은 서울중앙지검 관계자는 “법리 등을 다시 한번 볼 것”이라고 했다.

사건을	사건/NNG+을/JKO
넘겨받은	넘겨받/VV+은/ETM
서울중앙지검	서울중앙지검/NNP
관계자는	관계자/NNG+는/JX
“법리	“/SS+법리/NNG
등을	등/NNB+을/JKO
다시	다시/MAG
한번	한번/MAG
볼	보/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.275.11.1
경찰은 최초 유출자는 밝혀내지 못했다.

경찰은	경찰/NNG+은/JX
최초	최초/NNG
유출자는	유출자/NNG+는/JX
밝혀내지	밝혀내/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000048.275.11.2
대신 정치부 기자들 채팅방에서 출구조사 자료를 공유한 일간지 기자 2명을 같은 혐의로 검찰에 송치했다.

대신	대신/NNG
정치부	정치부/NNG
기자들	기자/NNG+들/XSN
채팅방에서	채팅방/NNG+에서/JKB
출구조사	출구/NNG+조사/NNG
자료를	자료/NNG+를/JKO
공유한	공유/NNG+하/XSV+ㄴ/ETM
일간지	일간지/NNG
기자	기자/NNG
2명을	2/SN+명/NNB+을/JKO
같은	같/VA+은/ETM
혐의로	혐의/NNG+로/JKB
검찰에	검찰/NNG+에/JKB
송치했다.	송치/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.275.11.3
이에 최초 유출자를 확인하지 못한 상태에서 억지로 ‘출처’를 끼워맞춘 것 아니냐는 지적도 나온다.

이에	이/NP+에/JKB
최초	최초/NNG
유출자를	유출자/NNG+를/JKO
확인하지	확인/NNG+하/XSV+지/EC
못한	못하/VX+ㄴ/ETM
상태에서	상태/NNG+에서/JKB
억지로	억지로/MAG
‘출처’를	‘/SS+출처/NNG+’/SS+를/JKO
끼워맞춘	끼우/VV+어/EC+맞추/VV+ㄴ/ETM
것	것/NNB
아니냐는	아니/VCN+냐는/ETM
지적도	지적/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000048.275.12.1
경찰은 출구조사 결과를 사전에 입수한 대기업 대관업무 직원, 그에게 자료를 누설한 조사용역기관 직원도 기소 의견으로 송치했다.

경찰은	경찰/NNG+은/JX
출구조사	출구/NNG+조사/NNG
결과를	결과/NNG+를/JKO
사전에	사전/NNG+에/JKB
입수한	입수/NNG+하/XSV+ㄴ/ETM
대기업	대/XPN+기업/NNG
대관업무	대관/NNG+업무/NNG
직원,	직원/NNG+,/SP
그에게	그/NP+에게/JKB
자료를	자료/NNG+를/JKO
누설한	누설/NNG+하/XSV+ㄴ/ETM
조사용역기관	조사/NNG+용역/NNG+기관/NNG
직원도	직원/NNG+도/JX
기소	기소/NNG
의견으로	의견/NNG+으로/JKB
송치했다.	송치/NNG+하/XSV+았/EP+다/EF+./SF


