# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.446
metadata : {}


# id : NWRW1800000028.446.1.1
스타군단 신한에 뜬 ‘또 하나의 별’

스타군단	스타/NNG+군단/NNG
달렸다.	달리/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.446.5.8
이연화는 “여름 내내 웨이트트레이닝을 많이 해 힘이 붙었고, 출장시간이 늘어 득점이 꾸준해졌다”고 말했다.

이연화는	이연화/NNP+는/JX
“여름	“/SS+여름/NNG
내내	내내/MAG
웨이트트레이닝을	웨이트/NNG+트레이닝/NNG+을/JKO
많이	많이/MAG
해	하/VV+아/EC
힘이	힘/NNG+이/JKS
붙었고,	붙/VV+었/EP+고/EC+,/SP
출장시간이	출장/NNG+시간/NNG+이/JKS
늘어	늘/VV+어/EC
득점이	득점/NNG+이/JKS
꾸준해졌다”고	꾸준하/VA+아/EC+지/VX+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.446.5.9
임달식 감독은 “시야도 넓고 테크닉도 뛰어난 선수”라고 칭찬했다.

임달식	임달식/NNP
감독은	감독/NNG+은/JX
“시야도	“/SS+시야/NNG+도/JX
넓고	넓/VA+고/EC
테크닉도	테크닉/NNG+도/JX
뛰어난	뛰어나/VA+ㄴ/ETM
선수”라고	선수/NNG+”/SS+이라고/JKQ
칭찬했다.	칭찬/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.446.6.1
한편 19일 경기에선 허윤자가 혼자 튄공잡기 21개를 잡아낸 부천 신세계가 천안 국민은행을 69-66으로 꺾고 단독 3위로 올라섰다.

한편	한편/MAG
19일	19/SN+일/NNB
경기에선	경기/NNG+에서/JKB+ㄴ/JX
허윤자가	허윤자/NNP+가/JKS
혼자	혼자/MAG
튄공잡기	튀/VV+ㄴ/ETM+공/NNG+잡/VV+기/ETN
21개를	21/SN+개/NNB+를/JKO
잡아낸	잡아내/VV+ㄴ/ETM
부천	부천/NNP
신세계가	신세계/NNP+가/JKS
천안	천안/NNP
국민은행을	국민은행/NNP+을/JKO
69-66으로	69/SN+-/SO+66/SN+으로/JKB
꺾고	꺾/VV+고/EC
단독	단독/NNG
3위로	3/SN+위/NNB+로/JKB
올라섰다.	올라서/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.446.6.2
국민은행은 28점을 넣은 김영옥을 앞세워 막판 열띤 추격전을 펼쳤지만 주포 변연하의 공백이 끝내 아쉬웠다.

국민은행은	국민은행/NNP+은/JX
28점을	28/SN+점/NNB+을/JKO
넣은	넣/VV+은/ETM
김영옥을	김영옥/NNP+을/JKO
앞세워	앞세우/VV+어/EC
막판	막판/NNG
열띤	열띠/VA+ㄴ/ETM
추격전을	추격전/NNG+을/JKO
펼쳤지만	펼치/VV+었/EP+지만/EC
주포	주포/NNG
변연하의	변연하/NNP+의/JKG
공백이	공백/NNG+이/JKS
끝내	끝내/MAG
아쉬웠다.	아쉽/VA+었/EP+다/EF+./SF


