# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.273
metadata : {}


# id : NWRW1800000048.273.1.1
홍준표쪽 “돈 안 받았다”…윤승모쪽 “돈 건넸다”

홍준표쪽	홍준표/NNP+쪽/NNB
열린	열리/VV+ㄴ/ETM
첫	첫/MMN
공판준비기일에서	공판/NNG+준비/NNG+기일/NNG+에서/JKB
홍	홍/NNP
지사의	지사/NNG+의/JKG
변호인인	변호인/NNG+이/VCP+ㄴ/ETM
이용구	이용구/NNP
변호사는	변호사/NNG+는/JX
“윤	“/SS+윤/NNP
전	전/MMD
부사장한테서	부사장/NNG+한테서/JKB
돈을	돈/NNG+을/JKO
받은	받/VV+은/ETM
사실이	사실/NNG+이/JKS
없다.	없/VA+다/EF+./SF


# id : NWRW1800000048.273.6.2
공소사실에 기재된 장소에서 만난 사실조차 없다”고 밝혔다.

공소사실에	공소/NNG+사실/NNG+에/JKB
기재된	기재/NNG+되/XSV+ㄴ/ETM
장소에서	장소/NNG+에서/JKB
만난	만나/VV+ㄴ/ETM
사실조차	사실/NNG+조차/JX
없다”고	없/VA+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.273.6.3
반면 함께 기소된 윤 전 부사장 쪽 변호인은 “악감정은 없지만, 정치자금을 건넨 건 변할 수 없는 사실”이라고 반박했다.

반면	반면/NNG
함께	함께/MAG
기소된	기소/NNG+되/XSV+ㄴ/ETM
윤	윤/NNP
전	전/MMD
부사장	부사장/NNG
쪽	쪽/NNB
변호인은	변호인/NNG+은/JX
“악감정은	“/SS+악감정/NNG+은/JX
없지만,	없/VA+지만/EC+,/SP
정치자금을	정치/NNG+자금/NNG+을/JKO
건넨	건네/VV+ㄴ/ETM
건	거/NNB+ㄴ/JX
변할	변하/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
사실”이라고	사실/NNG+”/SS+이라고/JKQ
반박했다.	반박/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.273.6.4
윤 전 부사장과 달리 홍 지사는 법정에 나오지 않았다.

윤	윤/NNP
전	전/MMD
부사장과	부사장/NNG+과/JKB
달리	달리/MAG
홍	홍/NNP
지사는	지사/NNG+는/JX
법정에	법정/NNG+에/JKB
나오지	나오/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000048.273.7.1
홍 지사 쪽은 검찰에 돈을 받은 날짜를 특정하라고 요구했다.

홍	홍/NNP
지사	지사/NNG
쪽은	쪽/NNB+은/JX
검찰에	검찰/NNG+에/JKB
돈을	돈/NNG+을/JKO
받은	받/VV+은/ETM
날짜를	날짜/NNG+를/JKO
특정하라고	특정/NNG+하/XSV+라고/EC
요구했다.	요구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.273.7.2
검찰은 2011년 6월 국회 의원회관에서 윤 전 부사장에게 쇼핑백에 든 1억원을 받은 혐의로 홍 지사를 기소했지만 날짜를 구체적으로 밝히지는 않았다.

검찰은	검찰/NNG+은/JX
2011년	2011/SN+년/NNB
6월	6/SN+월/NNB
국회	국회/NNG
의원회관에서	의원/NNG+회관/NNG+에서/JKB
윤	윤/NNP
전	전/MMD
부사장에게	부사장/NNG+에게/JKB
쇼핑백에	쇼핑백/NNG+에/JKB
든	들/VV+ㄴ/ETM
1억원을	1/SN+억/NR+원/NNB+을/JKO
받은	받/VV+은/ETM
혐의로	혐의/NNG+로/JKB
홍	홍/NNP
지사를	지사/NNG+를/JKO
기소했지만	기소/NNG+하/XSV+았/EP+지만/EC
날짜를	날짜/NNG+를/JKO
구체적으로	구체/NNG+적/XSN+으로/JKB
밝히지는	밝히/VV+지/EC+는/JX
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000048.273.7.3
이에 재판부는 “홍 지사는 2011년 6월19일 당대표 입후보를 공식 선언했다.

이에	이/NP+에/JKB
재판부는	재판부/NNG+는/JX
“홍	“/SS+홍/NNP
지사는	지사/NNG+는/JX
2011년	2011/SN+년/NNB
6월19일	6/SN+월/NNB+19/SN+일/NNB
당대표	당/NNG+대표/NNG
입후보를	입후보/NNG+를/JKO
공식	공식/NNG
선언했다.	선언/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.273.7.4
큰 이벤트인데 그 이전인지 이후인지도 특정하기 곤란하냐”고 물었고, 검찰은 “그 정도는 특정하겠다”고 밝혔다.

큰	크/VA+ㄴ/ETM
이벤트인데	이벤트/NNG+이/VCP+ㄴ데/EC
그	그/MMD
이전인지	이전/NNG+이/VCP+ㄴ지/EF
이후인지도	이후/NNG+이/VCP+ㄴ지/EF+도/JX
특정하기	특정/NNG+하/XSV+기/ETN
곤란하냐”고	곤란/NNG+하/XSA+냐/EF+”/SS+고/JKQ
물었고,	묻/VV+었/EP+고/EC+,/SP
검찰은	검찰/NNG+은/JX
“그	“/SS+그/MMD
정도는	정도/NNG+는/JX
특정하겠다”고	특정/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.273.7.5
또 재판부는 검찰이 변호인의 열람·등사가 가능한 증거목록에서 윤 전 부사장 진술을 제외한 것을 두고도 “증거기록 열람은 피고인의 권리”라며 모두 열람할 수 있도록 했다.

또	또/MAG
재판부는	재판부/NNG+는/JX
검찰이	검찰/NNG+이/JKS
변호인의	변호인/NNG+의/JKG
열람·등사가	열람/NNG+·/SP+등사/NNG+가/JKS
가능한	가능/NNG+하/XSA+ㄴ/ETM
증거목록에서	증거/NNG+목록/NNG+에서/JKB
윤	윤/NNP
전	전/MMD
부사장	부사장/NNG
진술을	진술/NNG+을/JKO
제외한	제외/NNG+하/XSV+ㄴ/ETM
것을	것/NNB+을/JKO
두고도	두/VV+고/EC+도/JX
“증거기록	“/SS+증거/NNG+기록/NNG
열람은	열람/NNG+은/JX
피고인의	피고인/NNG+의/JKG
권리”라며	권리/NNG+”/SS+이/VCP+라며/EC
모두	모두/MAG
열람할	열람/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000048.273.8.1
앞서 홍 지사는 재판장과 사법연수원 동기인 이철의 변호사를 선임했으나 논란이 되자 선임을 취소하겠다는 의사를 밝혔다.

앞서	앞서/MAG
홍	홍/NNP
지사는	지사/NNG+는/JX
재판장과	재판장/NNG+과/JC
사법연수원	사법/NNG+연수원/NNG
동기인	동기/NNG+이/VCP+ㄴ/ETM
이철의	이철의/NNP
변호사를	변호사/NNG+를/JKO
선임했으나	선임/NNG+하/XSV+았/EP+으나/EC
논란이	논란/NNG+이/JKC
되자	되/VV+자/EC
선임을	선임/NNG+을/JKO
취소하겠다는	취소/NNG+하/XSV+겠/EP+다는/ETM
의사를	의사/NNG+를/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.273.8.2
같은 법원 형사21부에 사건이 배당된 이 전 총리는 재판장인 엄상필 부장판사의 사법연수원 동기인 이상원 변호사를 선임했다.

같은	같/VA+은/ETM
법원	법원/NNG
형사21부에	형사/NNG+21/SN+부/NNG+에/JKB
사건이	사건/NNG+이/JKS
배당된	배당/NNG+되/XSV+ㄴ/ETM
이	이/NNP
전	전/MMD
총리는	총리/NNG+는/JX
재판장인	재판장/NNG+이/VCP+ㄴ/ETM
엄상필	엄상필/NNP
부장판사의	부장/NNG+판사/NNG+의/JKG
사법연수원	사법/NNG+연수원/NNG
동기인	동기/NNG+이/VCP+ㄴ/ETM
이상원	이상원/NNP
변호사를	변호사/NNG+를/JKO
선임했다.	선임/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.273.9.1
서울지방변호사회는 이날 성명을 내어 “재판 직전에 재판장과 동기인 전관 변호사를 추가 선임하는 것은 재판장과의 연고관계나 전관의 영향을 이용하려는 것이 아니냐는 의심을 받기 충분하다”며 법원에 사건 재배당을 요구했다.

서울지방변호사회는	서울지방변호사회/NNP+는/JX
이날	이날/NNG
성명을	성명/NNG+을/JKO
내어	내/VV+어/EC
“재판	“/SS+재판/NNG
직전에	직전/NNG+에/JKB
재판장과	재판장/NNG+과/JC
동기인	동기/NNG+이/VCP+ㄴ/ETM
전관	전관/NNG
변호사를	변호사/NNG+를/JKO
추가	추가/NNG
선임하는	선임/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
재판장과의	재판장/NNG+과/JKB+의/JKG
연고관계나	연고/NNG+관계/NNG+나/JC
전관의	전관/NNG+의/JKG
영향을	영향/NNG+을/JKO
이용하려는	이용/NNG+하/XSV+려는/ETM
것이	것/NNB+이/JKC
아니냐는	아니/VCN+냐는/ETM
의심을	의심/NNG+을/JKO
받기	받/VV+기/ETN
충분하다”며	충분하/VA+다/EF+”/SS+며/EC
법원에	법원/NNG+에/JKB
사건	사건/NNG
재배당을	재/XPN+배당/NNG+을/JKO
요구했다.	요구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.273.9.2
앞서 서울중앙지법은 8월부터 재판부 구성원과 사법연수원 동기인 변호사를 선임하면 재판부가 재배당을 요청할 수 있도록 했지만, 두 사건은 이미 접수된 것이라 이에 해당하지는 않는다.

앞서	앞서/MAG
서울중앙지법은	서울중앙지법/NNP+은/JX
8월부터	8/SN+월/NNB+부터/JX
재판부	재판부/NNG
구성원과	구성원/NNG+과/JC
사법연수원	사법/NNG+연수원/NNG
동기인	동기/NNG+이/VCP+ㄴ/ETM
변호사를	변호사/NNG+를/JKO
선임하면	선임/NNG+하/XSV+면/EC
재판부가	재판부/NNG+가/JKS
재배당을	재/XPN+배당/NNG+을/JKO
요청할	요청/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
했지만,	하/VX+았/EP+지만/EC+,/SP
두	두/MMN
사건은	사건/NNG+은/JX
이미	이미/MAG
접수된	접수/NNG+되/XSV+ㄴ/ETM
것이라	것/NNB+이/VCP+라/EC
이에	이/NP+에/JKB
해당하지는	해당/NNG+하/XSV+지/EC+는/JX
않는다.	않/VX+는다/EF+./SF


