# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.387
metadata : {}


# id : NWRW1800000046.387.1.1
[한중 청년 자전거 대장정] [광복의 숨결을 따라서] 이승만, 棺(관) 사이에 숨어 상하이로 밀항

[한중	[/SS+한중/NNP
# id : NWRW1800000046.387.4.2
이승만은 1920년 11월 16일 하와이를 출발해 20일간 항해 끝에 12월 5일 상하이 황푸(黃浦)강 어귀에 발을 디뎠다.

이승만은	이승만/NNP+은/JX
1920년	1920/SN+년/NNB
11월	11/SN+월/NNB
16일	16/SN+일/NNB
하와이를	하와이/NNP+를/JKO
출발해	출발/NNG+하/XSV+아/EC
20일간	20/SN+일/NNB+간/XSN
항해	항해/NNG
끝에	끝/NNG+에/JKB
12월	12/SN+월/NNB
5일	5/SN+일/NNB
상하이	상하이/NNP
황푸(黃浦)강	황푸/NNP+(/SS+黃浦/SH+)/SS+강/NNG
어귀에	어귀/NNG+에/JKB
발을	발/NNG+을/JKO
디뎠다.	디디/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.387.5.1
이승만의 상하이 입성(入城)은 극적이었다.

이승만의	이승만/NNP+의/JKG
상하이	상하이/NNP
입성(入城)은	입성/NNG+(/SS+入城/SH+)/SS+은/JX
극적이었다.	극/NNG+적/XSN+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.387.5.2
일제 추적을 따돌리기 위해 상하이로 직항하는 배편을 택했다.

일제	일제/NNG
추적을	추적/NNG+을/JKO
따돌리기	따돌리/VV+기/ETN
위해	위하/VV+아/EC
상하이로	상하이/NNP+로/JKB
직항하는	직항/NNG+하/XSV+는/ETM
배편을	배편/NNG+을/JKO
택했다.	택하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.387.5.3
하와이의 미국인 친구 윌리엄 보드윅은 상하이로 향하는 중국인 시신이 든 관들 사이에 이승만이 숨을 수 있도록 도왔다.

하와이의	하와이/NNP+의/JKG
미국인	미국인/NNG
친구	친구/NNG
윌리엄	윌리엄/NNP
보드윅은	보드윅/NNP+은/JX
상하이로	상하이/NNP+로/JKB
향하는	향하/VV+는/ETM
중국인	중국인/NNG
시신이	시신/NNG+이/JKS
든	들/VV+ㄴ/ETM
관들	관/NNG+들/XSN
사이에	사이/NNG+에/JKB
이승만이	이승만/NNP+이/JKS
숨을	숨/VV+을/ETM
수	수/NNB
있도록	있/VA+도록/EC
도왔다.	돕/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.387.5.4
이승만은 상하이에서 자신의 감회를 담은 한시(漢詩)를 읊었다.

이승만은	이승만/NNP+은/JX
상하이에서	상하이/NNP+에서/JKB
자신의	자신/NNG+의/JKG
감회를	감회/NNG+를/JKO
담은	담/VV+은/ETM
한시(漢詩)를	한시/NNG+(/SS+漢詩/SH+)/SS+를/JKO
읊었다.	읊/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.387.5.5
'비바람 몰아치는 대양에 뜬 배(風風雨雨大洋舟)/ 스무날 채 못 되어 아시아에 닿았구나(未度兩旬到亞洲)/ 강소(江蘇·장쑤성)가 고국과 멀다고 말라(莫道江蘇鄕國遠)/ 구름 인 저 산이 한양의 가을을 닮았다(雲山猶似漢陽秋).'

'비바람	'/SS+비바람/NNG
몰아치는	몰아치/VV+는/ETM
대양에	대양/NNG+에/JKB
뜬	뜨/VV+ㄴ/ETM
배(風風雨雨大洋舟)/	배/NNG+(/SS+風風雨雨大洋舟/SH+)/SS+//SP
스무날	스무날/NNG
채	채/MAG
못	못/MAG
되어	되/VV+어/EC
아시아에	아시아/NNP+에/JKB
닿았구나(未度兩旬到亞洲)/	닿/VV+았/EP+구나/EF+(/SS+未度兩旬到亞洲/SH+)/SS+//SP
강소(江蘇·장쑤성)가	강소/NNP+(/SS+江蘇/SH+·/SP+장쑤성/NNP+)/SS+가/JKS
고국과	고국/NNG+과/JKB
멀다고	멀/VA+다고/EC
말라(莫道江蘇鄕國遠)/	말/VX+라/EF+(/SS+莫道江蘇鄕國遠/SH+)/SS+//SP
구름	구름/NNG
인	이/VCP+ㄴ/ETM
저	저/MMD
산이	산/NNG+이/JKS
한양의	한양/NNP+의/JKG
가을을	가을/NNG+을/JKO
닮았다(雲山猶似漢陽秋).'	닮/VV+았/EP+다/EF+(/SS+雲山猶似漢陽秋/SH+)/SS+./SF+'/SS


# id : NWRW1800000046.387.6.1
이승만은 임시육군무관학교 졸업식에 참석해 훈시하는 것을 시작으로 5월 28일 상하이를 떠날 때까지 6개월간 임정에서 대통령 직무를 수행했다.

이승만은	이승만/NNP+은/JX
임시육군무관학교	임시/NNG+육군/NNG+무관/NNG+학교/NNG
졸업식에	졸업식/NNG+에/JKB
참석해	참석/NNG+하/XSV+아/EC
훈시하는	훈시/NNG+하/XSV+는/ETM
것을	것/NNB+을/JKO
시작으로	시작/NNG+으로/JKB
5월	5/SN+월/NNB
28일	28/SN+일/NNB
상하이를	상하이/NNP+를/JKO
떠날	떠나/VV+ㄹ/ETM
때까지	때/NNG+까지/JX
6개월간	6/SN+개월/NNB+간/XSN
임정에서	임정/NNG+에서/JKB
대통령	대통령/NNG
직무를	직무/NNG+를/JKO
수행했다.	수행/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.387.6.2
교민단 사무소에서 열린 환영회에는 임정 주요 요인이 모두 모여 이승만 대통령을 중심으로 단결할 것을 호소했다.

교민단	교민단/NNG
사무소에서	사무소/NNG+에서/JKB
열린	열리/VV+ㄴ/ETM
환영회에는	환영회/NNG+에/JKB+는/JX
임정	임정/NNG
주요	주요/NNG
요인이	요인/NNG+이/JKS
모두	모두/MAG
모여	모이/VV+어/EC
이승만	이승만/NNP
대통령을	대통령/NNG+을/JKO
중심으로	중심/NNG+으로/JKB
단결할	단결/NNG+하/XSV+ㄹ/ETM
것을	것/NNB+을/JKO
호소했다.	호소/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.387.7.1
이승만은 당시 경무국장 김구가 지휘하는 경호원들의 호위를 받았다.

이승만은	이승만/NNP+은/JX
당시	당시/NNG
경무국장	경무국장/NNG
김구가	김구/NNP+가/JKS
지휘하는	지휘/NNG+하/XSV+는/ETM
경호원들의	경호원/NNG+들/XSN+의/JKG
호위를	호위/NNG+를/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.387.7.2
훗날 임정 내무총장·국무령·주석을 지내는 김구는 이승만이 상하이에 있던 때를 임시정부가 가장 활발히 활동했던 시기로 회고했다.

훗날	훗날/NNG
임정	임정/NNG
내무총장·국무령·주석을	내무/NNG+총장/NNG+·/SP+국무령/NNG+·/SP+주석/NNG+을/JKO
지내는	지내/VV+는/ETM
김구는	김구/NNP+는/JX
이승만이	이승만/NNP+이/JKS
상하이에	상하이/NNP+에/JKB
있던	있/VV+던/ETM
때를	때/NNG+를/JKO
임시정부가	임시/NNG+정부/NNG+가/JKS
가장	가장/MAG
활발히	활발히/MAG
활동했던	활동/NNG+하/XSV+았/EP+던/ETM
시기로	시기/NNG+로/JKB
회고했다.	회고/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.387.7.3
"한때 상하이 우리 독립운동자의 수가 1000여명이었던 것이 차차 줄어 수십 명에 불과하였다.

"한때	"/SS+한때/NNG
상하이	상하이/NNP
우리	우리/NP
독립운동자의	독립/NNG+운동자/NNG+의/JKG
수가	수/NNG+가/JKS
1000여명이었던	1000/SN+여/XSN+명/NNB+이/VCP+었/EP+던/ETM
것이	것/NNB+이/JKS
차차	차차/MAG
줄어	줄/VV+어/EC
수십	수십/NR
명에	명/NNB+에/JKB
불과하였다.	불과/MAG+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000046.387.7.4
이승만 대통령이 취임 시무할 때에는 중국 인사는 물론이고 영국·프랑스·미국 친구들이 임시정부를 방문하였다.

이승만	이승만/NNP
대통령이	대통령/NNG+이/JKS
취임	취임/NNG
시무할	시무/NNG+하/XSV+ㄹ/ETM
때에는	때/NNG+에/JKB+는/JX
중국	중국/NNP
인사는	인사/NNG+는/JX
물론이고	물론/NNG+이/VCP+고/EC
영국·프랑스·미국	영국/NNP+·/SP+프랑스/NNP+·/SP+미국/NNP
친구들이	친구/NNG+들/XSN+이/JKS
임시정부를	임시/NNG+정부/NNG+를/JKO
방문하였다.	방문/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.387.7.5
그런데 이제 임정에 서양인이라고는 프랑스 경찰이 왜놈을 대동하고 사람을 잡으러 오는 이 외에는 없다."('백범일지')

그런데	그런데/MAJ
이제	이제/MAG
임정에	임정/NNG+에/JKB
서양인이라고는	서양인/NNG+이/VCP+라고/EC+는/JX
프랑스	프랑스/NNP
경찰이	경찰/NNG+이/JKS
왜놈을	왜놈/NNG+을/JKO
대동하고	대동/NNG+하/XSV+고/EC
사람을	사람/NNG+을/JKO
잡으러	잡/VV+으러/EC
오는	오/VV+는/ETM
이	이/MMD
외에는	외/NNB+에/JKB+는/JX
없다."('백범일지')	없/VA+다/EF+./SF+"/SS+(/SS+'/SS+백범일지/NNP+'/SS+)/SS


# id : NWRW1800000046.387.8.1
이승만은 미주 지역에서 외교 활동을 펼치기 위해 상하이를 떠났고 1925년 대통령에서 면직됐다.

이승만은	이승만/NNP+은/JX
미주	미주/NNP
지역에서	지역/NNG+에서/JKB
외교	외교/NNG
활동을	활동/NNG+을/JKO
펼치기	펼치/VV+기/ETN
위해	위하/VV+아/EC
상하이를	상하이/NNP+를/JKO
떠났고	떠나/VV+았/EP+고/EC
1925년	1925/SN+년/NNB
대통령에서	대통령/NNG+에서/JKB
면직됐다.	면직/NNG+되/XSV+었/EP+다/EF+./SF


