# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.244
metadata : {}


# id : NWRW1800000040.244.1.1
“사고 직후 90초 동안 탈출명령 없었다”…조종사 대처 논란

“사고	“/SS+사고/NNG
대개 사고가 화재와 연기를 동반하고, 90초 이후 탑승객의 생명을 위협하는 수준까지 도달하거나 폭발에 이르기 때문이다.

대개	대개/MAG
사고가	사고/NNG+가/JKS
화재와	화재/NNG+와/JC
연기를	연기/NNG+를/JKO
동반하고,	동반/NNG+하/XSV+고/EC+,/SP
90초	90/SN+초/NNB
이후	이후/NNG
탑승객의	탑승객/NNG+의/JKG
생명을	생명/NNG+을/JKO
위협하는	위협/NNG+하/XSV+는/ETM
수준까지	수준/NNG+까지/JX
도달하거나	도달/NNG+하/XSV+거나/EC
폭발에	폭발/NNG+에/JKB
이르기	이르/VV+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000040.244.8.1
이를 두고 국내 전문가들 사이에선 의견이 엇갈린다.

이를	이/NP+를/JKO
두고	두/VV+고/EC
국내	국내/NNG
전문가들	전문가/NNG+들/XSN
사이에선	사이/NNG+에서/JKB+ㄴ/JX
의견이	의견/NNG+이/JKS
엇갈린다.	엇갈리/VV+ㄴ다/EF+./SF


# id : NWRW1800000040.244.8.2
사고 기종을 5년차 운항한 한 조종사는 “화재 발생 시 90초 안에 탈출하지 않으면 승객이 숨질 수 있다는 통계가 있다. 이미 비행기가 한바퀴 돌아가는 등의 비상상황에서 바로 탈출을 지시했어야 하는데 조종사 역시 판단력을 잃은 것으로 보인다”고 해석했다.

사고	사고/NNG
기종을	기종/NNG+을/JKO
5년차	5/SN+년/NNB+차/NNB
운항한	운항/NNG+하/XSV+ㄴ/ETM
한	한/MMN
조종사는	조종사/NNG+는/JX
“화재	“/SS+화재/NNG
발생	발생/NNG
시	시/NNB
90초	90/SN+초/NNB
안에	안/NNG+에/JKB
탈출하지	탈출/NNG+하/XSV+지/EC
않으면	않/VX+으면/EC
승객이	승객/NNG+이/JKS
숨질	숨지/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
통계가	통계/NNG+가/JKS
있다.	있/VA+다/EF+./SF
이미	이미/MAG
비행기가	비행기/NNG+가/JKS
한바퀴	한/MMN+바퀴/NNB
돌아가는	돌아가/VV+는/ETM
등의	등/NNB+의/JKG
비상상황에서	비상/NNG+상황/NNG+에서/JKB
바로	바로/MAG
탈출을	탈출/NNG+을/JKO
지시했어야	지시/NNG+하/XSV+았/EP+어야/EC
하는데	하/VX+는데/EC
조종사	조종사/NNG
역시	역시/MAG
판단력을	판단력/NNG+을/JKO
잃은	잃/VV+은/ETM
것으로	것/NNB+으로/JKB
보인다”고	보이/VV+ㄴ다/EF+”/SS+고/JKQ
해석했다.	해석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.244.8.3
반면 최정호 국토교통부 항공정책실장은 “조종사는 관제사와 바로 교신해야 하고 활주로 상황도 파악해야 한다. 이런 절차를 거쳐 대피가 이뤄진다”고 밝혀 정상 조처였음을 시사했다.

반면	반면/NNG
최정호	최정호/NNP
국토교통부	국토/NNG+교통부/NNG
항공정책실장은	항공/NNG+정책실장/NNG+은/JX
“조종사는	“/SS+조종사/NNG+는/JX
관제사와	관제사/NNG+와/JKB
바로	바로/MAG
교신해야	교신/NNG+하/XSV+아야/EC
하고	하/VX+고/EC
활주로	활주로/NNG
상황도	상황/NNG+도/JX
파악해야	파악/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF
이런	이런/MMD
절차를	절차/NNG+를/JKO
거쳐	거치/VV+어/EC
대피가	대피/NNG+가/JKS
이뤄진다”고	이뤄지/VV+ㄴ다/EF+”/SS+고/JKQ
밝혀	밝히/VV+어/EC
정상	정상/NNG
조처였음을	조처/NNG+이/VCP+었/EP+음/ETN+을/JKO
시사했다.	시사/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.244.8.4
또 정윤식 중원대 교수(항공운항과)도 “조종사 훈련 절차를 보면 탈출을 위해 엔진을 끄는 등 절차가 필요하다. 이 절차를 밟는 데 40~60초 정도 걸리는데 그 과정을 수행했다면 정상적인 행동이라고 할 수 있다”고 말했다.

또	또/MAG
정윤식	정윤식/NNP
중원대	중원대/NNP
교수(항공운항과)도	교수/NNG+(/SS+항공/NNG+운항/NNG+과/NNG+)/SS+도/JX
“조종사	“/SS+조종사/NNG
훈련	훈련/NNG
절차를	절차/NNG+를/JKO
보면	보/VV+면/EC
탈출을	탈출/NNG+을/JKO
위해	위하/VV+아/EC
엔진을	엔진/NNG+을/JKO
끄는	끄/VV+는/ETM
등	등/NNB
절차가	절차/NNG+가/JKS
필요하다.	필요/NNG+하/XSA+다/EF+./SF
이	이/MMD
밟는	밟/VV+는/ETM
데	데/NNB
40~60초	40/SN+~/SO+60/SN+초/NNB
정도	정도/NNG
걸리는데	걸리/VV+는데/EC
그	그/MMD
과정을	과정/NNG+을/JKO
수행했다면	수행/NNG+하/XSV+았/EP+다면/EC
정상적인	정상/NNG+적/XSN+이/VCP+ㄴ/ETM
행동이라고	행동/NNG+이/VCP+라고/EC
할	하/VV+ㄹ/ETM
수	수/NNB
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.244.9.1
허스먼 위원장은 사고 여객기를 조종한 이강국 기장이 충돌 34초 전, 500피트(150m) 상공에서 “강한 불빛 때문에 잠시 눈이 안 보였다”고 진술했다고 밝혔다.

허스먼	허스먼/NNP
위원장은	위원장/NNG+은/JX
사고	사고/NNG
여객기를	여객기/NNG+를/JKO
조종한	조종/NNG+하/XSV+ㄴ/ETM
이강국	이강국/NNP
기장이	기장/NNG+이/JKS
충돌	충돌/NNG
34초	34/SN+초/NNB
전,	전/NNG+,/SP
500피트(150m)	500/SN+피트/NNB+(/SS+150/SN+m/SW+)/SS
상공에서	상공/NNG+에서/JKB
“강한	“/SS+강하/VA+ㄴ/ETM
불빛	불빛/NNG
때문에	때문/NNB+에/JKB
잠시	잠시/MAG
눈이	눈/NNG+이/JKS
안	안/MAG
보였다”고	보이/VV+었/EP+다/EF+”/SS+고/JKQ
진술했다고	진술/NNG+하/XSV+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.244.9.2
불빛이 레이저 포인트였느냐는 질문에 허스먼 위원장은 “확실치 않다. 조사해봐야 한다”고 말했다.

불빛이	불빛/NNG+이/JKS
레이저	레이저/NNG
포인트였느냐는	포인트/NNG+이/VCP+었/EP+느냐는/ETM
질문에	질문/NNG+에/JKB
허스먼	허스먼/NNP
위원장은	위원장/NNG+은/JX
“확실치	“/SS+확실하/VA+지/EC
않다.	않/VX+다/EF+./SF
조사해봐야	조사/NNG+하/XSV+아/EC+보/VX+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.244.9.3
불빛이 비쳤다는 500피트는 사고 여객기가 너무 낮은 고도에서 너무 느린 속도로 날고 있다는 사실을 조종사들이 인지한 시점의 높이다.

불빛이	불빛/NNG+이/JKS
비쳤다는	비치/VV+었/EP+다는/ETM
500피트는	500/SN+피트/NNB+는/JX
사고	사고/NNG
여객기가	여객기/NNG+가/JKS
너무	너무/MAG
낮은	낮/VA+은/ETM
고도에서	고도/NNG+에서/JKB
느린	느리/VA+ㄴ/ETM
속도로	속도/NNG+로/JKB
날고	날/VV+고/EC
있다는	있/VX+다는/ETM
사실을	사실/NNG+을/JKO
조종사들이	조종사/NNG+들/XSN+이/JKS
인지한	인지/NNG+하/XSV+ㄴ/ETM
시점의	시점/NNG+의/JKG
높이다.	높이/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.244.9.4
한국민간항공조종사협회 박종국 이사는 “모스크바에서 민간인이 레이저 포인트를 쏴 조종사가 시야를 잃어 사고가 날 뻔한 적도 있다. 사고 원인의 하나가 될 수 있다”고 말했다.

한국민간항공조종사협회	한국민간항공조종사협회/NNP
박종국	박종국/NNP
이사는	이사/NNG+는/JX
“모스크바에서	“/SS+모스크바/NNP+에서/JKB
민간인이	민간인/NNG+이/JKS
레이저	레이저/NNG
포인트를	포인트/NNG+를/JKO
쏴	쏘/VV+아/EC
조종사가	조종사/NNG+가/JKS
시야를	시야/NNG+를/JKO
잃어	잃/VV+어/EC
사고가	사고/NNG+가/JKS
날	나/VV+ㄹ/ETM
뻔한	뻔/NNB+하/XSA+ㄴ/ETM
적도	적/NNB+도/JX
있다.	있/VA+다/EF+./SF
사고	사고/NNG
원인의	원인/NNG+의/JKG
하나가	하나/NR+가/JKC
될	되/VV+ㄹ/ETM
수	수/NNB
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.244.10.1
국토부는 공항 쪽 과실도 조사중이라고 밝혔다.

국토부는	국토부/NNG+는/JX
공항	공항/NNG
쪽	쪽/NNB
과실도	과실/NNG+도/JX
조사중이라고	조사/NNG+중/NNB+이/VCP+라고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.244.10.2
최정호 실장은 “착륙 허가가 나오면 조종사 책임하에 착륙한다”면서도 “착륙 접근 당시 관제사가 경고한 것은 없었다.

최정호	최정호/NNP
실장은	실장/NNG+은/JX
“착륙	“/SS+착륙/NNG
허가가	허가/NNG+가/JKS
나오면	나오/VV+면/EC
조종사	조종사/NNG
책임하에	책임/NNG+하/XSN+에/JKB
착륙한다”면서도	착륙/NNG+하/XSV+ㄴ다/EF+”/SS+면서/EC+도/JX
접근	접근/NNG
당시	당시/NNG
관제사가	관제사/NNG+가/JKS
경고한	경고/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000040.244.10.3
관제사가 직무를 어떻게 수행했는지 조사중이며 책임 여부도 판단한다”고 말했다.

관제사가	관제사/NNG+가/JKS
직무를	직무/NNG+를/JKO
어떻게	어떻/VA+게/EC
수행했는지	수행/NNG+하/XSV+았/EP+는지/EC
조사중이며	조사/NNG+중/NNB+이/VCP+며/EC
책임	책임/NNG
여부도	여부/NNG+도/JX
판단한다”고	판단/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.244.10.4
한편 국토부 항공철도사고조사위원회와 미국 교통안전위 조사단은 이날 객실 승무원 12명 가운데 환자를 제외한 6명을 합동면담해 비행 전후 특이사항과 사고 시 상황, 승객 대피 상황 등을 조사했다.

한편	한편/MAG
국토부	국토부/NNG
항공철도사고조사위원회와	항공/NNG+철도/NNG+사고/NNG+조사/NNG+위원회/NNG+와/JC
미국	미국/NNP
교통안전위	교통/NNG+안전위/NNG
조사단은	조사단/NNG+은/JX
이날	이날/NNG
객실	객실/NNG
승무원	승무원/NNG
12명	12/SN+명/NNB
가운데	가운데/NNG
환자를	환자/NNG+를/JKO
제외한	제외/NNG+하/XSV+ㄴ/ETM
6명을	6/SN+명/NNB+을/JKO
합동면담해	합동/NNG+면담/NNG+하/XSV+아/EC
비행	비행/NNG
전후	전후/NNG
특이사항과	특이/NNG+사항/NNG+과/JC
사고	사고/NNG
시	시/NNB
상황,	상황/NNG+,/SP
승객	승객/NNG
대피	대피/NNG
상황	상황/NNG
등을	등/NNB+을/JKO
조사했다.	조사/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.244.10.5
조사를 마친 이윤혜(40) 사무장 등 6명의 승무원은 인천공항을 통해 저녁 7시30분께 귀국했다.

조사를	조사/NNG+를/JKO
마친	마치/VV+ㄴ/ETM
이윤혜(40)	이윤혜/NNP+(/SS+40/SN+)/SS
사무장	사무장/NNG
등	등/NNB
6명의	6/SN+명/NNB+의/JKG
승무원은	승무원/NNG+은/JX
인천공항을	인천공항/NNP+을/JKO
통해	통하/VV+아/EC
저녁	저녁/NNG
7시30분께	7/SN+시/NNB+30/SN+분/NNB+께/XSN
귀국했다.	귀국/NNG+하/XSV+았/EP+다/EF+./SF


