# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.378
metadata : {}


# id : NWRW1800000041.378.1.1
[수도권]조은희 서울 서초구청장 당선자 “3대 기본, 엄마처럼 꼼꼼히 챙길 것”

[수도권]조은희	[/SS+수도/NNG+권/XSN+]/SS+조은희/NNP
접전 끝에 당선이 확정되자 서울시 ‘최초’ 여성 부시장에 이어 서초구 ‘최초’ 여성 구청장이 탄생했다며 스포트라이트를 받았다.

접전	접전/NNG
끝에	끝/NNG+에/JKB
당선이	당선/NNG+이/JKS
확정되자	확정/NNG+되/XSV+자/EC
서울시	서울시/NNP
‘최초’	‘/SS+최초/NNG+’/SS
여성	여성/NNG
부시장에	부시장/NNG+에/JKB
이어	잇/VV+어/EC
서초구	서초구/NNP
구청장이	구청장/NNG+이/JKS
탄생했다며	탄생/NNG+하/XSV+았/EP+다며/EC
스포트라이트를	스포트라이트/NNG+를/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.378.5.1
조 당선자는 “소통과 배려, 통솔력에 더해 섬세한 리더십을 발휘하겠다”며 “형식과 절차에 얽매이기보다는 사람 중심의 열린 행정을 펼칠 것”이라고 구정 운영방향을 밝혔다.

조	조/NNP
당선자는	당선자/NNG+는/JX
“소통과	“/SS+소통/NNG+과/JC
배려,	배려/NNG+,/SP
통솔력에	통솔력/NNG+에/JKB
더해	더/MAG+하/XSV+아/EC
섬세한	섬세하/VA+ㄴ/ETM
리더십을	리더십/NNG+을/JKO
발휘하겠다”며	발휘/NNG+하/XSV+겠/EP+다/EF+”/SS+며/EC
“형식과	“/SS+형식/NNG+과/JC
절차에	절차/NNG+에/JKB
얽매이기보다는	얽매이/VV+기/ETN+보다/JKB+는/JX
사람	사람/NNG
중심의	중심/NNG+의/JKG
열린	열리/VV+ㄴ/ETM
행정을	행정/NNG+을/JKO
펼칠	펼치/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
구정	구정/NNG
운영방향을	운영/NNG+방향/NNG+을/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.378.6.1
그는 벌써부터 서초구의 가계부를 꽉 틀어쥘 태세다.

그는	그/NP+는/JX
벌써부터	벌써/MAG+부터/JX
서초구의	서초구/NNP+의/JKG
가계부를	가계부/NNG+를/JKO
꽉	꽉/MAG
틀어쥘	틀어쥐/VV+ㄹ/ETM
태세다.	태세/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.378.6.2
10일 인터뷰를 하려고 조 당선자를 만난 곳은 ‘인수위원회’ 사무실의 푹신한 소파가 아니었다.

10일	10/SN+일/NNB
인터뷰를	인터뷰/NNG+를/JKO
하려고	하/VV+려고/EC
조	조/NNP
당선자를	당선자/NNG+를/JKO
만난	만나/VV+ㄴ/ETM
곳은	곳/NNG+은/JX
‘인수위원회’	‘/SS+인수/NNG+위원회/NNG+’/SS
사무실의	사무실/NNG+의/JKG
푹신한	푹신/MAG+하/XSA+ㄴ/ETM
소파가	소파/NNG+가/JKC
아니었다.	아니/VCN+었/EP+다/EF+./SF


# id : NWRW1800000041.378.6.3
시끌벅적한 패스트푸드 가게의 좁은 탁자였다.

시끌벅적한	시끌벅적/MAG+하/XSA+ㄴ/ETM
패스트푸드	패스트푸드/NNG
가게의	가게/NNG+의/JKG
좁은	좁/VA+은/ETM
탁자였다.	탁자/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000041.378.6.4
얼굴이 맞닿을 거리에서 준비한 자료에 직접 줄을 쳐 가며 설명했다.

얼굴이	얼굴/NNG+이/JKS
맞닿을	맞닿/VV+을/ETM
거리에서	거리/NNG+에서/JKB
준비한	준비/NNG+하/XSV+ㄴ/ETM
자료에	자료/NNG+에/JKB
직접	직접/MAG
줄을	줄/NNG+을/JKO
쳐	치/VV+어/EC
가며	가/VX+며/EC
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.378.6.5
“시간과 인력을 아끼기 위해 인수위를 따로 꾸리지 않았다.

“시간과	“/SS+시간/NNG+과/JC
인력을	인력/NNG+을/JKO
아끼기	아끼/VV+기/ETN
위해	위하/VV+아/EC
인수위를	인수위/NNG+를/JKO
따로	따로/MAG
꾸리지	꾸리/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000041.378.6.6
취임식도 직원 조례로 대체할 생각이다.

취임식도	취임식/NNG+도/JX
직원	직원/NNG
조례로	조례/NNG+로/JKB
대체할	대체/NNG+하/XSV+ㄹ/ETM
생각이다.	생각/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.378.6.7
불필요한 부담을 줄이는 대신 철저히 업무로 접근할 계획이다.”

불필요한	불/XPN+필요/NNG+하/XSA+ㄴ/ETM
부담을	부담/NNG+을/JKO
줄이는	줄이/VV+는/ETM
대신	대신/NNG
철저히	철저히/MAG
업무로	업무/NNG+로/JKB
접근할	접근/NNG+하/XSV+ㄹ/ETM
계획이다.”	계획/NNG+이/VCP+다/EF+./SF+”/SS


# id : NWRW1800000041.378.7.1
조 당선자는 벌써 ‘10년 뒤’를 바라보고 있었다.

조	조/NNP
당선자는	당선자/NNG+는/JX
벌써	벌써/MAG
‘10년	‘/SS+10/SN+년/NNB
뒤’를	뒤/NNG+’/SS+를/JKO
바라보고	바라보/VV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000041.378.7.2
그는 “눈앞의 현안에만 연연하지 않고 서초의 미래를 내다보고 ‘2025 비전’을 마련할 것”이라며 “‘큰 바다는 물을 가리지 않는다’는 말처럼 나를 지지하지 않았던 분까지 모두 포용해 폭넓게 아이디어를 얻겠다”고 말했다.

그는	그/NP+는/JX
“눈앞의	“/SS+눈앞/NNG+의/JKG
현안에만	현안/NNG+에/JKB+만/JX
연연하지	연연하/VV+지/EC
않고	않/VX+고/EC
서초의	서초/NNP+의/JKG
미래를	미래/NNG+를/JKO
내다보고	내다보/VV+고/EC
‘2025	‘/SS+2025/SN
비전’을	비전/NNG+’/SS+을/JKO
마련할	마련/NNG+하/XSV+ㄹ/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“‘큰	“/SS+‘/SS+크/VA+ㄴ/ETM
바다는	바다/NNG+는/JX
물을	물/NNG+을/JKO
가리지	가리/VV+지/EC
않는다’는	않/VX+는다/EF+’/SS+는/ETM
말처럼	말/NNG+처럼/JKB
나를	나/NP+를/JKO
지지하지	지지/NNG+하/XSV+지/EC
않았던	않/VX+았/EP+던/ETM
분까지	분/NNB+까지/JX
모두	모두/MAG
포용해	포용/NNG+하/XSV+아/EC
폭넓게	폭넓/VA+게/EC
아이디어를	아이디어/NNG+를/JKO
얻겠다”고	얻/VV+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.378.8.1
이를 위해 안전과 보육, 교육이 기본바탕이 돼야 한다는 게 조 당선자의 생각이다.

이를	이/NP+를/JKO
위해	위하/VV+아/EC
안전과	안전/NNG+과/JC
보육,	보육/NNG+,/SP
교육이	교육/NNG+이/JKS
기본바탕이	기본/NNG+바탕/NNG+이/JKC
돼야	되/VV+어야/EC
한다는	하/VX+ㄴ다는/ETM
게	거/NNB+이/JKS
조	조/NNP
당선자의	당선자/NNG+의/JKG
생각이다.	생각/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.378.8.2
그는 “재난과 범죄를 예방해 안전한 서초구를 만들겠다”며 “장마철마다 반복되는 침수가 되풀이되지 않도록 대심도 배수터널이나 자연유하식 하수터널 등 근본대책을 마련하겠다”고 말했다.

그는	그/NP+는/JX
“재난과	“/SS+재난/NNG+과/JC
범죄를	범죄/NNG+를/JKO
예방해	예방/NNG+하/XSV+아/EC
안전한	안전/NNG+하/XSA+ㄴ/ETM
서초구를	서초구/NNP+를/JKO
만들겠다”며	만들/VV+겠/EP+다/EF+”/SS+며/EC
“장마철마다	“/SS+장마철/NNG+마다/JX
반복되는	반복/NNG+되/XSV+는/ETM
침수가	침수/NNG+가/JKS
되풀이되지	되풀이/NNG+되/XSV+지/EC
않도록	않/VX+도록/EC
대심도	대/XPN+심도/NNG
배수터널이나	배수/NNG+터널/NNG+이나/JC
자연유하식	자연/NNG+유하식/NNG
하수터널	하수/NNG+터널/NNG
등	등/NNB
근본대책을	근본/NNG+대책/NNG+을/JKO
마련하겠다”고	마련/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.378.9.1
또 아이와 여성들이 안전하게 생활할 수 있도록 ‘서초안전지도’를 만들어 범죄를 예방할 계획이다.

또	또/MAG
아이와	아이/NNG+와/JC
여성들이	여성/NNG+들/XSN+이/JKS
안전하게	안전/NNG+하/XSA+게/EC
생활할	생활/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
‘서초안전지도’를	‘/SS+서초/NNP+안전/NNG+지도/NNG+’/SS+를/JKO
만들어	만들/VV+어/EC
범죄를	범죄/NNG+를/JKO
예방할	예방/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.378.9.2
단독주택지에도 아파트 관리사무소와 같은 생활안전센터(가칭 ‘반딧불센터’)를 설치하겠다는 공약도 했다.

단독주택지에도	단독/NNG+주택지/NNG+에/JKB+도/JX
아파트	아파트/NNG
관리사무소와	관리/NNG+사무소/NNG+와/JKB
같은	같/VA+은/ETM
생활안전센터(가칭	생활/NNG+안전/NNG+센터/NNG+(/SS+가칭/NNG
‘반딧불센터’)를	‘/SS+반딧불/NNG+센터/NNG+’/SS+)/SS+를/JKO
설치하겠다는	설치/NNG+하/XSV+겠/EP+다는/ETM
공약도	공약/NNG+도/JX
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.378.10.1
조 당선자는 “보육 분야에선 공립 보육시설을 확충하고 아이 돌보미 사업을 확대해 여성이 마음 놓고 일할 수 있는 환경을 만들겠다”며 “아파트 단지나 대형 건물 신축 시 국공립 어린이집을 설치하도록 용적률 완화 등의 인센티브를 제공하겠다”라고 말했다.

조	조/NNP
당선자는	당선자/NNG+는/JX
“보육	“/SS+보육/NNG
분야에선	분야/NNG+에서/JKB+ㄴ/JX
공립	공립/NNG
보육시설을	보육/NNG+시설/NNG+을/JKO
확충하고	확충/NNG+하/XSV+고/EC
아이	아이/NNG
돌보미	돌보미/NNG
사업을	사업/NNG+을/JKO
확대해	확대/NNG+하/XSV+아/EC
여성이	여성/NNG+이/JKS
마음	마음/NNG
놓고	놓/VV+고/EC
일할	일/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
환경을	환경/NNG+을/JKO
만들겠다”며	만들/VV+겠/EP+다/EF+”/SS+며/EC
“아파트	“/SS+아파트/NNG
단지나	단지/NNG+나/JC
대형	대형/NNG
건물	건물/NNG
신축	신축/NNG
시	시/NNB
국공립	국공립/NNG
어린이집을	어린이집/NNG+을/JKO
설치하도록	설치/NNG+하/XSV+도록/EC
용적률	용적/NNG+률/XSN
완화	완화/NNG
등의	등/NNB+의/JKG
인센티브를	인센티브/NNG+를/JKO
제공하겠다”라고	제공/NNG+하/XSV+겠/EP+다/EF+”/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.378.10.2
이어 “수년째 지지부진한 잠원동 고등학교 신설 문제를 조속히 매듭짓고 내곡지구에 중학교를 유치하는 등 교육여건 개선에도 앞장설 계획”이라고 덧붙였다.

이어	이어/MAG
“수년째	“/SS+수년/NNG+째/XSN
지지부진한	지지부진/NNG+하/XSV+ㄴ/ETM
잠원동	잠원동/NNP
고등학교	고등학교/NNG
신설	신설/NNG
문제를	문제/NNG+를/JKO
조속히	조속히/MAG
매듭짓고	매듭짓/VV+고/EC
내곡지구에	내곡지구/NNP+에/JKB
중학교를	중학교/NNG+를/JKO
유치하는	유치/NNG+하/XSV+는/ETM
등	등/NNB
교육여건	교육/NNG+여건/NNG
개선에도	개선/NNG+에/JKB+도/JX
앞장설	앞장서/VV+ㄹ/ETM
계획”이라고	계획/NNG+”/SS+이라고/JKQ
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.378.10.3
이 밖에 자신이 공약한 재건축 활성화, 문화공간 확충, 경부고속도로 소음 및 분진 문제 등도 적극 해결하겠다는 입장을 밝혔다.

이	이/NP
밖에	밖/NNG+에/JKB
자신이	자신/NNG+이/JKS
공약한	공약/NNG+하/XSV+ㄴ/ETM
재건축	재/XPN+건축/NNG
활성화,	활성/NNG+화/XSN+,/SP
문화공간	문화/NNG+공간/NNG
확충,	확충/NNG+,/SP
경부고속도로	경부고속도로/NNP
소음	소음/NNG
및	및/MAG
분진	분진/NNG
문제	문제/NNG
등도	등/NNB+도/JX
적극	적극/NNG
해결하겠다는	해결/NNG+하/XSV+겠/EP+다는/ETM
입장을	입장/NNG+을/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.378.11.1
그는 주민과의 진정한 소통을 강조하기도 했다.

그는	그/NP+는/JX
주민과의	주민/NNG+과/JKB+의/JKG
진정한	진정하/VA+ㄴ/ETM
소통을	소통/NNG+을/JKO
강조하기도	강조/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000041.378.11.2
내곡동 보금자리주택지구 내 아우디 정비공장을 둘러싼 갈등(2013년 12월 27일자 A16면 참조)에 대해선 “주민들 편에 서서 검토하겠다”며 “‘법적요건이 맞으면 건축허가를 내줘야 한다’는 식의 절차 중심 행정은 기본을 잃어버린 것”이라며 ‘사람을 위한 행정’을 펼칠 것임을 강조했다.

내곡동	내곡동/NNP
보금자리주택지구	보금자리/NNG+주택/NNG+지구/NNG
내	내/NNB
아우디	아우디/NNP
정비공장을	정비/NNG+공장/NNG+을/JKO
둘러싼	둘러싸/VV+ㄴ/ETM
갈등(2013년	갈등/NNG+(/SS+2013/SN+년/NNB
12월	12/SN+월/NNB
27일자	27/SN+일/NNB+자/NNG
A16면	A/SL+16/SN+면/NNG
참조)에	참조/NNG+)/SS+에/JKB
대해선	대하/VV+아서/EC+ㄴ/JX
“주민들	“/SS+주민/NNG+들/XSN
편에	편/NNG+에/JKB
서서	서/VV+어서/EC
검토하겠다”며	검토/NNG+하/XSV+겠/EP+다/EF+”/SS+며/EC
“‘법적요건이	“/SS+‘/SS+법/NNG+적/XSN+요건/NNG+이/JKC
맞으면	맞/VV+으면/EC
건축허가를	건축/NNG+허가/NNG+를/JKO
내줘야	내주/VV+어야/EC
한다’는	하/VX+ㄴ다/EF+’/SS+는/ETM
식의	식/NNB+의/JKG
절차	절차/NNG
중심	중심/NNG
행정은	행정/NNG+은/JX
기본을	기본/NNG+을/JKO
잃어버린	잃어버리/VV+ㄴ/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
‘사람을	‘/SS+사람/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
행정’을	행정/NNG+’/SS+을/JKO
펼칠	펼치/VV+ㄹ/ETM
것임을	것/NNB+이/VCP+ㅁ/ETN+을/JKO
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


