# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.365
metadata : {}


# id : NWRW1800000045.365.1.1
“北 보위부-조직지도부 등 핵심간부 최소 5명 탈북 - 한국 망명”

“北	“/SS+北/SH
탈북하자	탈북/NNG+하/XSV+자/EC
북한은	북한/NNP+은/JX
해외에	해외/NNG+에/JKB
나가	나가/VV+아/EC
있는	있/VX+는/ETM
노동당과	노동당/NNP+과/JC
군부	군부/NNG
산하	산하/NNG
외화벌이	외화벌이/NNG
등	등/NNB
해외사업	해외/NNG+사업/NNG
기관	기관/NNG
전체를	전체/NNG+를/JKO
대상으로	대상/NNG+으로/JKB
대표	대표/NNG
핵심	핵심/NNG
인사들을	인사/NNG+들/XSN+을/JKO
평양에	평양/NNP+에/JKB
소환해	소환/NNG+하/XSV+아/EC
대대적인	대대적/NNG+이/VCP+ㄴ/ETM
사상	사상/NNG
조사를	조사/NNG+를/JKO
벌이고	벌이/VV+고/EC
있다고	있/VX+다고/EC
다른	다른/MMD
대북	대북/NNG
소식통이	소식통/NNG+이/JKS
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.365.7.3
이 사상 조사는 지난해 7∼9월에 집중된 뒤 올해에도 이어지는 것으로 알려졌다.

이	이/MMD
사상	사상/NNG
조사는	조사/NNG+는/JX
지난해	지난해/NNG
7∼9월에	7/SN+∼/SO+9/SN+월/NNB+에/JKB
집중된	집중/NNG+되/XSV+ㄴ/ETM
뒤	뒤/NNG
올해에도	올해/NNG+에/JKB+도/JX
이어지는	이어지/VV+는/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.365.7.4
사상 조사 대상에는 해외에 주재하는 대사관 직원도 포함됐다고 한다.

사상	사상/NNG
조사	조사/NNG
대상에는	대상/NNG+에/JKB+는/JX
해외에	해외/NNG+에/JKB
주재하는	주재/NNG+하/XSV+는/ETM
대사관	대사관/NNG
직원도	직원/NNG+도/JX
포함됐다고	포함/NNG+되/XSV+었/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.365.7.5
통일부 당국자도 7일 “북한이 해외에서 근무 중인 외화벌이 일꾼들을 점검하는 동향이 있는 것으로 안다”고 말했다.

통일부	통일부/NNG
당국자도	당국자/NNG+도/JX
7일	7/SN+일/NNB
“북한이	“/SS+북한/NNP+이/JKS
해외에서	해외/NNG+에서/JKB
근무	근무/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
외화벌이	외화벌이/NNG
일꾼들을	일/NNG+꾼/XSN+들/XSN+을/JKO
점검하는	점검/NNG+하/XSV+는/ETM
동향이	동향/NNG+이/JKS
있는	있/VA+는/ETM
것으로	것/NNB+으로/JKB
안다”고	알/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.365.8.1
울릉도 근해서 北선박 구조… 선원 5명 중 3명 귀순 의사

울릉도	울릉도/NNP
근해서	근해/NNG+서/JKB
北선박	北/SH+선박/NNG
구조…	구조/NNG+…/SE
선원	선원/NNG
5명	5/SN+명/NNB
중	중/NNB
3명	3/SN+명/NNB
귀순	귀순/NNG
의사	의사/NNG


# id : NWRW1800000045.365.9.1
한편 해양경비안전본부는 4일 울릉도 근해에서 침수 중이던 북한 선박에서 선원 5명을 구조했으며 이들 가운데 3명이 남쪽으로 귀순하겠다는 뜻을 나타냈다고 통일부가 밝혔다.

한편	한편/MAG
해양경비안전본부는	해양/NNG+경비/NNG+안전/NNG+본부/NNG+는/JX
4일	4/SN+일/NNB
울릉도	울릉도/NNP
근해에서	근해/NNG+에서/JKB
침수	침수/NNG
중이던	중/NNB+이/VCP+던/ETM
북한	북한/NNP
선박에서	선박/NNG+에서/JKB
선원	선원/NNG
5명을	5/SN+명/NNB+을/JKO
구조했으며	구조/NNG+하/XSV+았/EP+으며/EC
이들	이/NP+들/XSN
가운데	가운데/NNG
3명이	3/SN+명/NNB+이/JKS
남쪽으로	남쪽/NNG+으로/JKB
귀순하겠다는	귀순/NNG+하/XSV+겠/EP+다는/ETM
뜻을	뜻/NNG+을/JKO
나타냈다고	나타내/VV+었/EP+다고/EC
통일부가	통일부/NNG+가/JKS
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.365.9.2
남측은 6일 대한적십자사 총재 명의의 대북 전화통지문을 통해 북한 선원 구조 사실을 알리고 북한으로 돌아가기를 원하는 2명을 송환하겠다고 통보했다.

남측은	남측/NNG+은/JX
6일	6/SN+일/NNB
대한적십자사	대한적십자사/NNP
총재	총재/NNG
명의의	명의/NNG+의/JKG
대북	대북/NNG
전화통지문을	전화/NNG+통지문/NNG+을/JKO
통해	통하/VV+아/EC
북한	북한/NNP
선원	선원/NNG
구조	구조/NNG
사실을	사실/NNG+을/JKO
알리고	알리/VV+고/EC
북한으로	북한/NNP+으로/JKB
돌아가기를	돌아가/VV+기/ETN+를/JKO
원하는	원/NNG+하/XSV+는/ETM
2명을	2/SN+명/NNB+을/JKO
송환하겠다고	송환/NNG+하/XSV+겠/EP+다고/EC
통보했다.	통보/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.365.9.3
하지만 북측은 7일 선원 5명 전원을 돌려보내라고 주장했다.

하지만	하지만/MAJ
북측은	북측/NNG+은/JX
7일	7/SN+일/NNB
선원	선원/NNG
5명	5/SN+명/NNB
전원을	전원/NNG+을/JKO
돌려보내라고	돌려보내/VV+라고/EC
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.365.9.4
남측은 관례에 따라 귀순 희망자 3명에 대해 본인 의사를 존중해 처리하고, 북한으로 돌아가기를 원하는 2명은 조속한 시일 내 판문점을 통해 송환하겠다고 북측에 재차 통지했다.

남측은	남측/NNG+은/JX
관례에	관례/NNG+에/JKB
따라	따르/VV+아/EC
귀순	귀순/NNG
희망자	희망자/NNG
3명에	3/SN+명/NNB+에/JKB
대해	대하/VV+아/EC
본인	본인/NNG
의사를	의사/NNG+를/JKO
존중해	존중/NNG+하/XSV+아/EC
처리하고,	처리/NNG+하/XSV+고/EC+,/SP
북한으로	북한/NNP+으로/JKB
돌아가기를	돌아가/VV+기/ETN+를/JKO
원하는	원/NNG+하/XSV+는/ETM
2명은	2/SN+명/NNB+은/JX
조속한	조속하/VA+ㄴ/ETM
시일	시일/NNG
내	내/NNB
판문점을	판문점/NNP+을/JKO
통해	통하/VV+아/EC
송환하겠다고	송환/NNG+하/XSV+겠/EP+다고/EC
북측에	북측/NNG+에/JKB
재차	재차/MAG
통지했다.	통지/NNG+하/XSV+았/EP+다/EF+./SF


