# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.424
metadata : {}


# id : NWRW1800000026.424.1.1
[대구·경북] 울릉도 '녹색섬'으로… 첫 단추;경북도 국비 10억원 확보 에너지·관광·생활 등 복합"내년부터 기반 다질 계획"

[대구·경북]	[/SS+대구/NNP+·/SP+경북/NNP+]/SS
경북도측은 "에너지와 환경, 관광, 생활 등의 분야가 복합된 국내 최초의 사업인데다 독도 영유권 수호를 위해서도 의미가 있는 사업"이라며 "정부와 국회를 지속적으로 설득한 결과 신규 예산을 따낼 수 있었다"고 말했다.

경북도측은	경북도/NNP+측/NNB+은/JX
"에너지와	"/SS+에너지/NNG+와/JC
환경,	환경/NNG+,/SP
관광,	관광/NNG+,/SP
생활	생활/NNG
등의	등/NNB+의/JKG
분야가	분야/NNG+가/JKS
복합된	복합/NNG+되/XSV+ㄴ/ETM
국내	국내/NNG
최초의	최초/NNG+의/JKG
사업인데다	사업/NNG+이/VCP+ㄴ/ETM+데/NNB+다/JX
독도	독도/NNP
영유권	영유/NNG+권/XSN
수호를	수호/NNG+를/JKO
위해서도	위하/VV+아서/EC+도/JX
의미가	의미/NNG+가/JKS
있는	있/VA+는/ETM
사업"이라며	사업/NNG+"/SS+이/VCP+라며/EC
"정부와	"/SS+정부/NNG+와/JC
국회를	국회/NNG+를/JKO
지속적으로	지속/NNG+적/XSN+으로/JKB
설득한	설득/NNG+하/XSV+ㄴ/ETM
결과	결과/NNG
신규	신규/NNG
예산을	예산/NNG+을/JKO
따낼	따/VV+아/EC+내/VX+ㄹ/ETM
수	수/NNB
있었다"고	있/VA+었/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.424.5.1
사업은 내년부터 본격화된다.

사업은	사업/NNG+은/JX
내년부터	내년/NNG+부터/JX
본격화된다.	본격/NNG+화/XSN+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.424.5.2
현재 국토연구원에 의뢰해 추진 중인 기본용역이 마무리되면 종합적인 구상을 하고, 이를 근거로 지식경제부는 녹색섬 모델 조성을 위한 실천적인 계획을 수립하게 된다.

현재	현재/MAG
국토연구원에	국토/NNG+연구원/NNG+에/JKB
의뢰해	의뢰/NNG+하/XSV+아/EC
추진	추진/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
기본용역이	기본/NNG+용역/NNG+이/JKS
마무리되면	마무리/NNG+되/XSV+면/EC
종합적인	종합/NNG+적/XSN+이/VCP+ㄴ/ETM
구상을	구상/NNG+을/JKO
하고,	하/VV+고/EC+,/SP
이를	이/NP+를/JKO
근거로	근거/NNG+로/JKB
지식경제부는	지식/NNG+경제부/NNG+는/JX
녹색섬	녹색/NNG+섬/NNG
모델	모델/NNG
조성을	조성/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
실천적인	실천/NNG+적/XSN+이/VCP+ㄴ/ETM
계획을	계획/NNG+을/JKO
수립하게	수립/NNG+하/XSV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.424.5.3
정부 차원의 사업계획이 완성되면 향후 2000억원 이상이 투입되는 대규모 사업이 될 전망이다.

정부	정부/NNG
차원의	차원/NNG+의/JKG
사업계획이	사업/NNG+계획/NNG+이/JKS
완성되면	완성/NNG+되/XSV+면/EC
향후	향후/NNG
2000억원	2000/SN+억/NR+원/NNB
이상이	이상/NNG+이/JKS
투입되는	투입/NNG+되/XSV+는/ETM
대규모	대/XPN+규모/NNG
사업이	사업/NNG+이/JKC
될	되/VV+ㄹ/ETM
전망이다.	전망/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.424.6.1
이에 따라 경북도는 내년부터 에너지원별로 민간기업의 투자를 이끌어 내고, 소형풍력 등 신재생에너지 시설을 보급한다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
경북도는	경북도/NNP+는/JX
내년부터	내년/NNG+부터/JX
에너지원별로	에너지원/NNG+별/XSN+로/JKB
민간기업의	민간/NNG+기업/NNG+의/JKG
투자를	투자/NNG+를/JKO
이끌어	이끌/VV+어/EC
내고,	내/VX+고/EC+,/SP
소형풍력	소형/NNG+풍력/NNG
등	등/NNB
신재생에너지	신/XPN+재생/NNG+에너지/NNG
시설을	시설/NNG+을/JKO
보급한다.	보급/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.424.6.2
또 독립전원 도서지역에 시범적으로 추진할 수 있는 스마트그리드(기존의 전력망에 IT기술을 접목해 에너지 효율을 최적화하는 차세대 전력망)사업에 대한 협의도 진행하고, 전기자동차 보급도 실시한다.

또	또/MAG
독립전원	독립/NNG+전원/NNG
도서지역에	도서/NNG+지역/NNG+에/JKB
시범적으로	시범/NNG+적/XSN+으로/JKB
추진할	추진/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
스마트그리드(기존의	스마트/NNG+그리드/NNG+(/SS+기존/NNG+의/JKG
전력망에	전력망/NNG+에/JKB
IT기술을	IT/SL+기술/NNG+을/JKO
접목해	접목/NNG+하/XSV+아/EC
에너지	에너지/NNG
효율을	효율/NNG+을/JKO
최적화하는	최적/NNG+화/XSN+하/XSV+는/ETM
차세대	차세대/NNG
전력망)사업에	전력망/NNG+)/SS+사업/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
협의도	협의/NNG+도/JX
진행하고,	진행/NNG+하/XSV+고/EC+,/SP
전기자동차	전기/NNG+자동차/NNG
보급도	보급/NNG+도/JX
실시한다.	실시/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.424.6.3
특히 국제 녹색섬 네트워크 가입을 추진하면서 국제 녹색섬 포럼을 울릉도에서 개최하는 방안도 검토 중이다.

특히	특히/MAG
국제	국제/NNG
녹색섬	녹색/NNG+섬/NNG
네트워크	네트워크/NNG
가입을	가입/NNG+을/JKO
추진하면서	추진/NNG+하/XSV+면서/EC
포럼을	포럼/NNG+을/JKO
울릉도에서	울릉도/NNP+에서/JKB
개최하는	개최/NNG+하/XSV+는/ETM
방안도	방안/NNG+도/JX
검토	검토/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.424.7.1
세계적으로 성공한 녹색섬으로 꼽히는 덴마크의 삼소섬의 경우, 10여년에 걸쳐 그린에너지로 자립하는 섬을 조성해 연간 관광객이 15만명 수준에서 50만명 수준으로 급증하게 됐다.

세계적으로	세계/NNG+적/XSN+으로/JKB
성공한	성공/NNG+하/XSV+ㄴ/ETM
녹색섬으로	녹색/NNG+섬/NNG+으로/JKB
꼽히는	꼽히/VV+는/ETM
덴마크의	덴마크/NNP+의/JKG
삼소섬의	삼소섬/NNP+의/JKG
경우,	경우/NNG+,/SP
10여년에	10/SN+여/XSN+년/NNB+에/JKB
걸쳐	걸치/VV+어/EC
그린에너지로	그린에너지/NNG+로/JKB
자립하는	자립/NNG+하/XSV+는/ETM
섬을	섬/NNG+을/JKO
조성해	조성/NNG+하/XSV+아/EC
연간	연간/NNG
관광객이	관광객/NNG+이/JKS
15만명	15/SN+만/NR+명/NNB
수준에서	수준/NNG+에서/JKB
50만명	50/SN+만/NR+명/NNB
수준으로	수준/NNG+으로/JKB
급증하게	급증/NNG+하/XSV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.424.7.2
덴마크 롤란드섬의 경우도 신재생에너지 관련 시설 및 기관 입주로 당초 40%에 육박했던 실업률이 3%로 떨어지는 경제적 효과를 봤다.

덴마크	덴마크/NNP
롤란드섬의	롤란드섬/NNP+의/JKG
경우도	경우/NNG+도/JX
신재생에너지	신/XPN+재생/NNG+에너지/NNG
관련	관련/NNG
시설	시설/NNG
및	및/MAG
기관	기관/NNG
입주로	입주/NNG+로/JKB
당초	당초/NNG
40%에	40/SN+%/SW+에/JKB
육박했던	육박/NNG+하/XSV+았/EP+던/ETM
실업률이	실업/NNG+률/XSN+이/JKS
3%로	3/SN+%/SW+로/JKB
떨어지는	떨어지/VV+는/ETM
경제적	경제/NNG+적/XSN
효과를	효과/NNG+를/JKO
봤다.	보/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.424.8.1
울릉도의 경우 녹색섬 조성이 완료되면 현재 27만명 수준의 관광객이 50만명까지 증가하고 관련 산업 활성화에 큰 효과가 있을 것으로 경북도는 기대하고 있다.

울릉도의	울릉도/NNP+의/JKG
경우	경우/NNG
녹색섬	녹색/NNG+섬/NNG
조성이	조성/NNG+이/JKS
완료되면	완료/NNG+되/XSV+면/EC
현재	현재/MAG
27만명	27/SN+만/NR+명/NNB
수준의	수준/NNG+의/JKG
관광객이	관광객/NNG+이/JKS
50만명까지	50/SN+만/NR+명/NNB+까지/JX
증가하고	증가/NNG+하/XSV+고/EC
관련	관련/NNG
산업	산업/NNG
활성화에	활성/NNG+화/XSN+에/JKB
큰	크/VA+ㄴ/ETM
효과가	효과/NNG+가/JKS
있을	있/VA+을/ETM
것으로	것/NNB+으로/JKB
경북도는	경북도/NNP+는/JX
기대하고	기대/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.424.8.2
박기원 미래전략기획단장은 "국비확보라는 첫 단추를 끼운 만큼, 울릉도를 정부와 협의해 세계에 내세울 수 있는 성공적인 녹색섬으로 만들어 가겠다"고 말했다.

박기원	박기원/NNP
미래전략기획단장은	미래/NNG+전략/NNG+기획단장/NNG+은/JX
"국비확보라는	"/SS+국비/NNG+확보/NNG+이/VCP+라는/ETM
첫	첫/MMN
단추를	단추/NNG+를/JKO
끼운	끼우/VV+ㄴ/ETM
만큼,	만큼/NNB+,/SP
울릉도를	울릉도/NNP+를/JKO
정부와	정부/NNG+와/JKB
협의해	협의/NNG+하/XSV+아/EC
세계에	세계/NNG+에/JKB
내세울	내세우/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
성공적인	성공/NNG+적/XSN+이/VCP+ㄴ/ETM
녹색섬으로	녹색/NNG+섬/NNG+으로/JKB
만들어	만들/VV+어/EC
가겠다"고	가/VV+겠/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


