# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.50
metadata : {}


# id : NWRW1800000037.50.1.1
JP모건, 中 고위층 자녀 ‘채용장사’ 자료 당국에 제출

JP모건,	JP모건/NNP+,/SP
확대해왔다는	확대/NNG+하/XSV+아/EC+오/VX+았/EP+다는/ETM
의혹이	의혹/NNG+이/JKS
점점	점점/MAG
사실로	사실/NNG+로/JKB
드러나고	드러나/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.50.4.1
NYT는 이날 온라인 톱기사로 JP모건이 중국 고위층 자제를 채용하면서 이권을 챙겨왔다는 의혹을 받고 있는 ‘아들과 딸들’ 프로그램과 관련해 자료를 당국에 제출했다고 보도했다.

NYT는	NYT/SL+는/JX
이날	이날/NNG
온라인	온라인/NNG
톱기사로	톱기사/NNG+로/JKB
JP모건이	JP모건/NNP+이/JKS
중국	중국/NNP
고위층	고위/NNG+층/XSN
자제를	자제/NNG+를/JKO
채용하면서	채용/NNG+하/XSV+면서/EC
이권을	이권/NNG+을/JKO
챙겨왔다는	챙기/VV+어/EC+오/VX+았/EP+다는/ETM
의혹을	의혹/NNG+을/JKO
받고	받/VV+고/EC
있는	있/VX+는/ETM
‘아들과	‘/SS+아들/NNG+과/JC
딸들’	딸/NNG+들/XSN+’/SS
프로그램과	프로그램/NNG+과/JKB
관련해	관련/NNG+하/XSV+아/EC
자료를	자료/NNG+를/JKO
당국에	당국/NNG+에/JKB
제출했다고	제출/NNG+하/XSV+았/EP+다고/EC
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.50.4.2
JP모건 뉴욕 본사는 당국의 조사가 당초 예상을 뛰어넘는 수준으로 진행되자 최근 적극 협조하고 있는 것으로 알려졌다.

JP모건	JP모건/NNP
뉴욕	뉴욕/NNP
본사는	본사/NNG+는/JX
당국의	당국/NNG+의/JKG
조사가	조사/NNG+가/JKS
당초	당초/NNG
예상을	예상/NNG+을/JKO
뛰어넘는	뛰어넘/VV+는/ETM
수준으로	수준/NNG+으로/JKB
진행되자	진행/NNG+되/XSV+자/EC
최근	최근/MAG
적극	적극/NNG
협조하고	협조/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.50.5.1
이 자료는 채용비리 의혹을 주도해온 JP모건 홍콩법인의 직원들이 내·외부 인사들과 주고받은 e메일과 이 프로그램으로 채용된 직원 및 이로 인해 발생한 수익을 상세히 표로 정리했다.

이	이/MMD
자료는	자료/NNG+는/JX
채용비리	채용/NNG+비리/NNG
의혹을	의혹/NNG+을/JKO
주도해온	주도/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
JP모건	JP모건/NNP
홍콩법인의	홍콩/NNP+법인/NNG+의/JKG
직원들이	직원/NNG+들/XSN+이/JKS
내·외부	내·외부/NNG
인사들과	인사/NNG+들/XSN+과/JKB
주고받은	주고받/VV+은/ETM
e메일과	e/SL+메일/NNG+과/JC
프로그램으로	프로그램/NNG+으로/JKB
채용된	채용/NNG+되/XSV+ㄴ/ETM
직원	직원/NNG
및	및/MAG
이로	이/NP+로/JKB
인해	인/NNG+하/XSV+아/EC
발생한	발생/NNG+하/XSV+ㄴ/ETM
수익을	수익/NNG+을/JKO
상세히	상세히/MAG
표로	표/NNG+로/JKB
정리했다.	정리/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.50.5.2
이 명단에 오른 고위층 자녀 중에는 전 중국 공산당 중앙선전부 부부장과 금융 감독당국 고위층의 친척, 국영 운송기업인 시노트럭 회장의 조카 등이 포함돼 있다.

이	이/MMD
명단에	명단/NNG+에/JKB
오른	오르/VV+ㄴ/ETM
고위층	고위/NNG+층/XSN
자녀	자녀/NNG
중에는	중/NNB+에/JKB+는/JX
전	전/MMD
중국	중국/NNP
공산당	공산당/NNP
중앙선전부	중앙/NNG+선전부/NNG
부부장과	부부장/NNG+과/JC
금융	금융/NNG
감독당국	감독/NNG+당국/NNG
고위층의	고위/NNG+층/XSN+의/JKG
친척,	친척/NNG+,/SP
국영	국영/NNG
운송기업인	운송/NNG+기업/NNG+이/VCP+ㄴ/ETM
시노트럭	시노트럭/NNP
회장의	회장/NNG+의/JKG
조카	조카/NNG
등이	등/NNB+이/JKS
포함돼	포함/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.50.6.1
최근 JP모건을 떠난 장룽의 사례도 JP모건의 채용 관행을 보여주는 한 사례다.

최근	최근/MAG
JP모건을	JP모건/NNP+을/JKO
떠난	떠나/VV+ㄴ/ETM
장룽의	장룽/NNP+의/JKG
사례도	사례/NNG+도/JX
JP모건의	JP모건/NNP+의/JKG
채용	채용/NNG
관행을	관행/NNG+을/JKO
보여주는	보이/VV+어/EC+주/VX+는/ETM
한	한/MMN
사례다.	사례/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.50.6.2
그는 사직서에서 “지금까지 노력해 온 것이 모두 허사가 됐다.

그는	그/NP+는/JX
사직서에서	사직서/NNG+에서/JKB
“지금까지	“/SS+지금/NNG+까지/JX
노력해	노력/NNG+하/XSV+아/EC
온	오/VX+ㄴ/ETM
것이	것/NNB+이/JKS
모두	모두/MAG
허사가	허사/NNG+가/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.50.6.3
어떻게 회사는 (나의 능력이 아니라) 네트워크로 나를 판단하는지 개탄스러울 뿐이다”라고 밝혔다.

어떻게	어떻/VA+게/EC
회사는	회사/NNG+는/JX
(나의	(/SS+나/NP+의/JKG
능력이	능력/NNG+이/JKC
아니라)	아니/VCN+라/EC+)/SS
네트워크로	네트워크/NNG+로/JKB
나를	나/NP+를/JKO
판단하는지	판단/NNG+하/XSV+는지/EF
개탄스러울	개탄/NNG+스럽/XSA+ㄹ/ETM
뿐이다”라고	뿐/NNB+이/VCP+다/EF+”/SS+라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.50.6.4
JP모건은 그의 부친이 중국 우체국과 자회사를 운영하는 차이나포스트그룹의 고위 관계자인 것으로 알고 채용했으나 그룹이 이를 부인하자 그를 해고했다.

JP모건은	JP모건/NNP+은/JX
그의	그/NP+의/JKG
부친이	부친/NNG+이/JKS
중국	중국/NNP
우체국과	우체국/NNG+과/JC
자회사를	자회사/NNG+를/JKO
운영하는	운영/NNG+하/XSV+는/ETM
차이나포스트그룹의	차이나포스트그룹/NNP+의/JKG
고위	고위/NNG
관계자인	관계자/NNG+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
알고	알/VV+고/EC
채용했으나	채용/NNG+하/XSV+았/EP+으나/EC
그룹이	그룹/NNG+이/JKS
이를	이/NP+를/JKO
부인하자	부인/NNG+하/XSV+자/EC
그를	그/NP+를/JKO
해고했다.	해고/NNG+하/XSV+았/EP+다/EF+./SF


