# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.438
metadata : {}


# id : NWRW1800000038.438.1.1
[장성택 처형 후폭풍] "文革(문혁)으로 고초 겪은 시진핑… 김정은의 文革식 숙청에 반감 클수도"

[장성택	[/SS+장성택/NNP
광풍	광풍/NNG
속에	속/NNG+에/JKB
수많은	수많/VA+은/ETM
정치인과	정치인/NNG+과/JC
지식인이	지식인/NNG+이/JKS
장성택처럼	장성택/NNP+처럼/JKB
'반당(反黨)'	'/SS+반당/NNG+(/SS+反黨/SH+)/SS+'/SS
'반혁명'의	'/SS+반/XPN+혁명/NNG+'/SS+의/JKG
굴레를	굴레/NNG+를/JKO
쓰고	쓰/VV+고/EC
희생당한	희생/NNG+당하/XSV+ㄴ/ETM
일이	일/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000038.438.5.4
시진핑(習近平) 국가주석의 부친인 시중쉰(習仲勛) 전 부총리도 당시 반당 인사로 낙인찍혀 시 주석을 포함한 가족들도 오랫동안 고초를 겪었다.

시진핑(習近平)	시진핑/NNP+(/SS+習近平/SH+)/SS
국가주석의	국가주석/NNG+의/JKG
부친인	부친/NNG+이/VCP+ㄴ/ETM
시중쉰(習仲勛)	시중쉰/NNP+(/SS+習仲勛/SH+)/SS
전	전/MMD
부총리도	부총리/NNG+도/JX
당시	당시/NNG
반당	반당/NNG
인사로	인사/NNG+로/JKB
낙인찍혀	낙인찍히/VV+어/EC
시	시/NNP
주석을	주석/NNG+을/JKO
포함한	포함/NNG+하/XSV+ㄴ/ETM
가족들도	가족/NNG+들/XSN+도/JX
오랫동안	오랫동안/NNG
고초를	고초/NNG+를/JKO
겪었다.	겪/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.438.5.5
그래서 시 주석부터 북한에서 일어나고 있는 '문화대혁명'식 정적(政敵) 숙청에 반감을 가질 수 있다는 관측이 나온다.

그래서	그래서/MAJ
시	시/NNP
주석부터	주석/NNG+부터/JX
북한에서	북한/NNP+에서/JKB
일어나고	일어나/VV+고/EC
있는	있/VX+는/ETM
'문화대혁명'식	'/SS+문화/NNG+대/XPN+혁명/NNG+'/SS+식/NNB
정적(政敵)	정적/NNG+(/SS+政敵/SH+)/SS
숙청에	숙청/NNG+에/JKB
반감을	반감/NNG+을/JKO
가질	가지/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
관측이	관측/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.438.6.1
시안(西安)교통대학의 야오수제(姚樹潔) 교수는 최근 주간지 차이징(財經) 기고문에서 "장성택 죄목인 반당·반혁명 등은 문화대혁명 때 자주 등장했던 단어"라며 "50년 전의 독재 수법으로 국가를 통치하는 것은 절대 바람직하지 않다"고 말했다.

시안(西安)교통대학의	시안/NNP+(/SS+西安/SH+)/SS+교통/NNG+대학/NNG+의/JKG
야오수제(姚樹潔)	야오수제/NNP+(/SS+姚樹潔/SH+)/SS
교수는	교수/NNG+는/JX
최근	최근/NNG
주간지	주간지/NNG
차이징(財經)	차이징/NNP+(/SS+財經/SH+)/SS
기고문에서	기고문/NNG+에서/JKB
"장성택	"/SS+장성택/NNP
죄목인	죄목/NNG+이/VCP+ㄴ/ETM
반당·반혁명	반당/NNG+·/SP+반/XPN+혁명/NNG
등은	등/NNB+은/JX
문화대혁명	문화/NNG+대/XPN+혁명/NNG
때	때/NNG
자주	자주/MAG
등장했던	등장/NNG+하/XSV+았/EP+던/ETM
단어"라며	단어/NNG+"/SS+이/VCP+라며/EC
"50년	"/SS+50/SN+년/NNB
전의	전/NNG+의/JKG
독재	독재/NNG
수법으로	수법/NNG+으로/JKB
국가를	국가/NNG+를/JKO
통치하는	통치/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
절대	절대/MAG
바람직하지	바람직하/VA+지/EC
않다"고	않/VX+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.438.6.2
그러면서 "장성택 실각은 북한 멸망의 전주곡"이라고 썼다.

그러면서	그러/VV+면서/EC
"장성택	"/SS+장성택/NNP
실각은	실각/NNG+은/JX
북한	북한/NNP
멸망의	멸망/NNG+의/JKG
전주곡"이라고	전주곡/NNG+"/SS+이라고/JKQ
썼다.	쓰/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.438.6.3
런민대 진찬룽(金燦榮) 국제관계학원 부원장은 "장성택 처형으로 북한에서 적어도 수천 명이 정치 생명에 위협을 받을 것"이라며 "북·중 관계보다 북한 내부 안정이 걱정"이라고 말했다.

런민대	런민대/NNP
진찬룽(金燦榮)	진찬룽/NNP+(/SS+金燦榮/SH+)/SS
국제관계학원	국제/NNG+관계/NNG+학원/NNG
부원장은	부원장/NNG+은/JX
"장성택	"/SS+장성택/NNP
처형으로	처형/NNG+으로/JKB
북한에서	북한/NNP+에서/JKB
적어도	적어도/MAG
수천	수천/NR
명이	명/NNB+이/JKS
정치	정치/NNG
생명에	생명/NNG+에/JKB
위협을	위협/NNG+을/JKO
받을	받/VV+을/ETM
것"이라며	것/NNB+"/SS+이/VCP+라며/EC
"북·중	"/SS+북·중/NNP
관계보다	관계/NNG+보다/JKB
북한	북한/NNP
내부	내부/NNG
안정이	안정/NNG+이/JKS
걱정"이라고	걱정/NNG+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.438.7.1
북한이 장성택 시절 맺었던 북·중 경협 내용을 일방적으로 바꾸려 한다면 중국도 가만히 있지 않을 것이란 분석이 제기된다.

북한이	북한/NNP+이/JKS
장성택	장성택/NNP
시절	시절/NNG
맺었던	맺/VV+었/EP+던/ETM
북·중	북·중/NNP
경협	경협/NNG
내용을	내용/NNG+을/JKO
일방적으로	일방/NNG+적/XSN+으로/JKB
바꾸려	바꾸/VV+려/EC
한다면	하/VX+ㄴ다면/EC
중국도	중국/NNP+도/JX
가만히	가만히/MAG
있지	있/VV+지/EC
않을	않/VX+을/ETM
것이란	것/NNB+이/VCP+란/ETM
분석이	분석/NNG+이/JKS
제기된다.	제기/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.438.7.2
옌볜대 윤승현 교수는 "북한이 황금평·나선 개발, 광물 수출 등에서 장성택 명의로 체결했던 북·중 경협을 대폭 수정하려는 움직임이 있다"고 말했다.

옌볜대	옌볜대/NNP
윤승현	윤승현/NNP
교수는	교수/NNG+는/JX
"북한이	"/SS+북한/NNP+이/JKS
황금평·나선	황금평/NNP+·/SP+나선/NNP
개발,	개발/NNG+,/SP
광물	광물/NNG
수출	수출/NNG
등에서	등/NNB+에서/JKB
장성택	장성택/NNP
명의로	명의/NNG+로/JKB
체결했던	체결/NNG+하/XSV+았/EP+던/ETM
북·중	북·중/NNP
경협을	경협/NNG+을/JKO
대폭	대폭/MAG
수정하려는	수정/NNG+하/XSV+려는/ETM
움직임이	움직임/NNG+이/JKS
있다"고	있/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.438.8.1
청샤오허(成曉河) 런민대 교수는 "장성택 사형과 별개로 중국과 북한이 기존에 맺었던 경협 계약은 지켜져야 한다"며 "북한이 일방적인 (계약) 변경을 시도한다면 북·중 경협 전반에 영향을 줄 수 있다"고 말했다.

청샤오허(成曉河)	청샤오허/NNP+(/SS+成曉河/SH+)/SS
런민대	런민대/NNP
교수는	교수/NNG+는/JX
"장성택	"/SS+장성택/NNP
사형과	사형/NNG+과/JKB
별개로	별개/NNG+로/JKB
중국과	중국/NNP+과/JC
북한이	북한/NNP+이/JKS
기존에	기존/NNG+에/JKB
맺었던	맺/VV+었/EP+던/ETM
경협	경협/NNG
계약은	계약/NNG+은/JX
지켜져야	지키/VV+어/EC+지/VX+어야/EC
한다"며	하/VX+ㄴ다/EF+"/SS+며/EC
"북한이	"/SS+북한/NNP+이/JKS
일방적인	일방/NNG+적/XSN+이/VCP+ㄴ/ETM
(계약)	(/SS+계약/NNG+)/SS
변경을	변경/NNG+을/JKO
시도한다면	시도/NNG+하/XSV+ㄴ다면/EC
북·중	북·중/NNP
전반에	전반/NNG+에/JKB
영향을	영향/NNG+을/JKO
줄	주/VV+ㄹ/ETM
수	수/NNB
있다"고	있/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.438.9.1
국가안보전략연구소 박병광 선임연구위원은 "중국은 불안정한 북한을 관리할 필요가 있다"며 "양국 간 경협을 활성화해 접촉 면을 넓히면서 김정은의 개방을 유도하는 게 현실적인 대책"이라고 말했다.

국가안보전략연구소	국가안보전략연구소/NNP
박병광	박병광/NNP
선임연구위원은	선임/NNG+연구/NNG+위원/NNG+은/JX
"중국은	"/SS+중국/NNP+은/JX
불안정한	불/XPN+안정/NNG+하/XSA+ㄴ/ETM
북한을	북한/NNP+을/JKO
관리할	관리/NNG+하/XSV+ㄹ/ETM
필요가	필요/NNG+가/JKS
있다"며	있/VA+다/EF+"/SS+며/EC
"양국	"/SS+양국/NNG
간	간/NNB
경협을	경협/NNG+을/JKO
활성화해	활성/NNG+화/XSN+하/XSV+아/EC
접촉	접촉/NNG
면을	면/NNG+을/JKO
넓히면서	넓히/VV+면서/EC
김정은의	김정은/NNP+의/JKG
개방을	개방/NNG+을/JKO
유도하는	유도/NNG+하/XSV+는/ETM
게	거/NNB+이/JKS
현실적인	현실/NNG+적/XSN+이/VCP+ㄴ/ETM
대책"이라고	대책/NNG+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.438.10.1
반면 성신여대 김흥규 교수는 "북·중 경협을 총괄했던 장성택이 사라진 만큼 북·중 경협도 원만하기는 어려울 것"이라고 말했다.

반면	반면/NNG
성신여대	성신여대/NNP
김흥규	김흥규/NNP
교수는	교수/NNG+는/JX
"북·중	"/SS+북·중/NNP
경협을	경협/NNG+을/JKO
총괄했던	총괄/NNG+하/XSV+았/EP+던/ETM
장성택이	장성택/NNP+이/JKS
사라진	사라지/VV+ㄴ/ETM
만큼	만큼/NNB
북·중	북·중/NNP
경협도	경협/NNG+도/JX
원만하기는	원만하/VA+기/ETN+는/JX
어려울	어렵/VA+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.438.10.2
또 "중국과 북한 모두 새 라인을 만들려고 하겠지만 시간이 걸린다"고 밝혔다.

또	또/MAG
"중국과	"/SS+중국/NNP+과/JC
북한	북한/NNP
모두	모두/MAG
새	새/MMA
라인을	라인/NNG+을/JKO
만들려고	만들/VV+려고/EC
하겠지만	하/VX+겠/EP+지만/EC
시간이	시간/NNG+이/JKS
걸린다"고	걸리/VV+ㄴ다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.438.11.1
중국이 냉전 시대처럼 북한에 특사를 파견해 정치적으로 개입할 가능성은 작다는 분석이 많다.

중국이	중국/NNP+이/JKS
냉전	냉전/NNG
시대처럼	시대/NNG+처럼/JKB
북한에	북한/NNP+에/JKB
특사를	특사/NNG+를/JKO
파견해	파견/NNG+하/XSV+아/EC
정치적으로	정치/NNG+적/XSN+으로/JKB
개입할	개입/NNG+하/XSV+ㄹ/ETM
가능성은	가능/NNG+성/XSN+은/JX
작다는	작/VA+다는/ETM
분석이	분석/NNG+이/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000038.438.11.2
중국은 1956년 '8월 종파사건' 당시 김일성 개인숭배를 비판한 연안파(친중파)와 소련파 등이 숙청 위기에 몰리자 한국전쟁 때 중공군을 지휘했던 펑더화이(彭德懷)를 보내 연안파를 지원했다.

중국은	중국/NNP+은/JX
1956년	1956/SN+년/NNB
'8월	'/SS+8/SN+월/NNB
종파사건'	종파/NNG+사건/NNG+'/SS
당시	당시/NNG
김일성	김일성/NNP
개인숭배를	개인숭배/NNG+를/JKO
비판한	비판/NNG+하/XSV+ㄴ/ETM
연안파(친중파)와	연안파/NNG+(/SS+친중파/NNG+)/SS+와/JC
소련파	소련파/NNG
등이	등/NNB+이/JKS
숙청	숙청/NNG
위기에	위기/NNG+에/JKB
몰리자	몰리/VV+자/EC
한국전쟁	한국/NNP+전쟁/NNG
때	때/NNG
중공군을	중공군/NNG+을/JKO
지휘했던	지휘/NNG+하/XSV+았/EP+던/ETM
펑더화이(彭德懷)를	펑더화이/NNP+(/SS+彭德懷/SH+)/SS+를/JKO
보내	보내/VV+어/EC
연안파를	연안파/NNG+를/JKO
지원했다.	지원/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.438.11.3
베이징의 외교 소식통은 "북·중은 3개월 안에 고위급 교환을 통해 이번 사태를 정리하려 할 것"이라며 "중국 입장에서 김정은을 신뢰하기도 어렵지만, 대안을 찾기는 더 어려운 처지"라고 말했다.

베이징의	베이징/NNP+의/JKG
외교	외교/NNG
소식통은	소식통/NNG+은/JX
"북·중은	"/SS+북·중/NNP+은/JX
3개월	3/SN+개월/NNB
안에	안/NNG+에/JKB
고위급	고위급/NNG
교환을	교환/NNG+을/JKO
통해	통하/VV+아/EC
이번	이번/NNG
사태를	사태/NNG+를/JKO
정리하려	정리/NNG+하/XSV+려/EC
할	하/VX+ㄹ/ETM
것"이라며	것/NNB+"/SS+이/VCP+라며/EC
"중국	"/SS+중국/NNP
입장에서	입장/NNG+에서/JKB
김정은을	김정은/NNP+을/JKO
신뢰하기도	신뢰/NNG+하/XSV+기/ETN+도/JX
어렵지만,	어렵/VA+지만/EC+,/SP
대안을	대안/NNG+을/JKO
찾기는	찾/VV+기/ETN+는/JX
더	더/MAG
어려운	어렵/VA+ㄴ/ETM
처지"라고	처지/NNG+"/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.438.12.1
☞문화대혁명(문혁)

☞문화대혁명(문혁)	☞/SW+문화/NNG+대/XPN+혁명/NNG+(/SS+문혁/NNG+)/SS


# id : NWRW1800000038.438.13.1
1966년부터 1976년까지 10년간 중국 최고지도자 마오쩌둥(毛澤東)이 주도한 극좌 사회주의 운동.

1966년부터	1966/SN+년/NNB+부터/JX
1976년까지	1976/SN+년/NNB+까지/JX
10년간	10/SN+년/NNB+간/XSN
중국	중국/NNP
최고지도자	최고/NNG+지도자/NNG
마오쩌둥(毛澤東)이	마오쩌둥/NNP+(/SS+毛澤東/SH+)/SS+이/JKS
주도한	주도/NNG+하/XSV+ㄴ/ETM
극좌	극좌/NNG
사회주의	사회주의/NNG
운동.	운동/NNG+./SF


# id : NWRW1800000038.438.13.2
자본주의 부활을 저지하고 사회주의 개혁을 추진한다는 명목을 내세웠으나 실제로는 홍위병 등을 동원해 반대파를 숙청한 대규모 권력투쟁이었다.

자본주의	자본주의/NNG
부활을	부활/NNG+을/JKO
저지하고	저지/NNG+하/XSV+고/EC
사회주의	사회주의/NNG
개혁을	개혁/NNG+을/JKO
추진한다는	추진/NNG+하/XSV+ㄴ다는/ETM
명목을	명목/NNG+을/JKO
내세웠으나	내세우/VV+었/EP+으나/EC
실제로는	실제로/MAG+는/JX
홍위병	홍위병/NNG
등을	등/NNB+을/JKO
동원해	동원/NNG+하/XSV+아/EC
반대파를	반대파/NNG+를/JKO
숙청한	숙청/NNG+하/XSV+ㄴ/ETM
대규모	대/XPN+규모/NNG
권력투쟁이었다.	권력/NNG+투쟁/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.438.13.3
중국 정부는 문혁 기간 40만명이 사망한 것으로 추산했으나 1000만명 이상이 사망했다는 주장도 있다.

중국	중국/NNP
정부는	정부/NNG+는/JX
문혁	문혁/NNG
기간	기간/NNG
40만명이	40/SN+만/NR+명/NNB+이/JKS
사망한	사망/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
추산했으나	추산/NNG+하/XSV+았/EP+으나/EC
1000만명	1000/SN+만/NR+명/NNB
이상이	이상/NNG+이/JKS
사망했다는	사망/NNG+하/XSV+았/EP+다는/ETM
주장도	주장/NNG+도/JX
있다.	있/VA+다/EF+./SF


