# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.232
metadata : {}


# id : NWRW1800000041.232.1.1
中 쇼트트랙 간판 왕멍 발목 골절… 소치 못뛸 듯

中	中/SH
취한	취하/VV+ㄴ/ETM
채	채/NNB
감독을	감독/NNG+을/JKO
때리는	때리/VV+는/ETM
사고를	사고/NNG+를/JKO
쳐	치/VV+어/EC
대표팀에서	대표/NNG+팀/NNG+에서/JKB
퇴출됐던	퇴출/NNG+되/XSV+었/EP+던/ETM
왕멍은	왕멍/NNP+은/JX
2012년	2012/SN+년/NNB
말	말/NNB
대표팀에	대표/NNG+팀/NNG+에/JKB
복귀했다.	복귀/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.232.6.2
2013년 3월 헝가리에서 열린 세계선수권대회에서 왕멍은 주 종목인 500m에서 우승하는 등 3개의 금메달을 목에 걸었다.

2013년	2013/SN+년/NNB
3월	3/SN+월/NNB
헝가리에서	헝가리/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
세계선수권대회에서	세계/NNG+선수/NNG+권/XSN+대회/NNG+에서/JKB
왕멍은	왕멍/NNP+은/JX
주	주/MMA
종목인	종목/NNG+이/VCP+ㄴ/ETM
500m에서	500/SN+m/SW+에서/JKB
우승하는	우승/NNG+하/XSV+는/ETM
등	등/NNB
3개의	3/SN+개/NNB+의/JKG
금메달을	금메달/NNG+을/JKO
목에	목/NNG+에/JKB
걸었다.	걸/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.232.7.1
하지만 대회 마지막 날 비신사적인 플레이로 한국 팬들을 경악시켰다.

하지만	하지만/MAJ
대회	대회/NNG
마지막	마지막/NNG
날	날/NNG
비신사적인	비/XPN+신사/NNG+적/XSN+이/VCP+ㄴ/ETM
플레이로	플레이/NNG+로/JKB
한국	한국/NNP
팬들을	팬/NNG+들/XSN+을/JKO
경악시켰다.	경악/NNG+시키/XSV+었/EP+다/EF+./SF


# id : NWRW1800000041.232.7.2
개인 종합 1위를 달리던 왕멍은 마지막 경기인 3000m 슈퍼 파이널을 앞두고 개인종합 2위를 달리던 박승희(22·화성시청)에게 역전당할 위기를 맞았다.

개인	개인/NNG
종합	종합/NNG
1위를	1/SN+위/NNB+를/JKO
달리던	달리/VV+던/ETM
왕멍은	왕멍/NNP+은/JX
마지막	마지막/NNG
경기인	경기/NNG+이/VCP+ㄴ/ETM
3000m	3000/SN+m/SW
슈퍼	슈퍼/NNG
파이널을	파이널/NNG+을/JKO
앞두고	앞두/VV+고/EC
개인종합	개인/NNG+종합/NNG
2위를	2/SN+위/NNB+를/JKO
박승희(22·화성시청)에게	박승희/NNP+(/SS+22/SN+·/SP+화성시청/NNP+)/SS+에게/JKB
역전당할	역전/NNG+당하/XSV+ㄹ/ETM
위기를	위기/NNG+를/JKO
맞았다.	맞/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.232.7.3
마지막 경기에서 박승희가 우승하고 왕멍이 3위 안에 입상하지 못하면 박승희가 종합우승을 하게 되는 것.

마지막	마지막/NNG
경기에서	경기/NNG+에서/JKB
박승희가	박승희/NNP+가/JKS
우승하고	우승/NNG+하/XSV+고/EC
왕멍이	왕멍/NNP+이/JKS
3위	3/SN+위/NNB
안에	안/NNG+에/JKB
입상하지	입상/NNG+하/XSV+지/EC
못하면	못하/VX+면/EC
종합우승을	종합/NNG+우승/NNG+을/JKO
하게	하/VV+게/EC
되는	되/VV+는/ETM
것.	것/NNB+./SF


# id : NWRW1800000041.232.7.4
장거리에 자신이 없던 왕멍은 마지막 경기에서 잘 달리고 있던 박승희를 고의로 밀어 넘어뜨려 실격을 당했고, 박승희는 우승은커녕 3위 안에도 들지 못했다.

장거리에	장거리/NNG+에/JKB
자신이	자신/NNG+이/JKS
없던	없/VA+던/ETM
왕멍은	왕멍/NNP+은/JX
마지막	마지막/NNG
경기에서	경기/NNG+에서/JKB
잘	잘/MAG
달리고	달리/VV+고/EC
있던	있/VX+던/ETM
박승희를	박승희/NNP+를/JKO
고의로	고의/NNG+로/JKB
밀어	밀/VV+어/EC
넘어뜨려	넘어뜨리/VV+어/EC
실격을	실격/NNG+을/JKO
당했고,	당하/VV+았/EP+고/EC+,/SP
박승희는	박승희/NNP+는/JX
우승은커녕	우승/NNG+은커녕/JX
3위	3/SN+위/NNB
안에도	안/NNG+에/JKB+도/JX
들지	들/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000041.232.7.5
결국 왕멍은 자신의 계획대로 개인종합 우승을 차지했고, 박승희를 비롯한 한국 팀에는 두고두고 큰 상처가 됐다.

결국	결국/NNG
왕멍은	왕멍/NNP+은/JX
자신의	자신/NNG+의/JKG
계획대로	계획/NNG+대로/JX
개인종합	개인/NNG+종합/NNG
우승을	우승/NNG+을/JKO
차지했고,	차지/NNG+하/XSV+았/EP+고/EC+,/SP
박승희를	박승희/NNP+를/JKO
비롯한	비롯하/VV+ㄴ/ETM
한국	한국/NNP
팀에는	팀/NNG+에/JKB+는/JX
두고두고	두고두고/MAG
큰	크/VA+ㄴ/ETM
상처가	상처/NNG+가/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.232.8.1
그런 왕멍이 다음 달 개막하는 소치 겨울올림픽 출전이 불투명해졌다.

그런	그런/MMD
왕멍이	왕멍/NNP+이/JKS
다음	다음/NNG
달	달/NNG
개막하는	개막/NNG+하/XSV+는/ETM
소치	소치/NNP
겨울올림픽	겨울/NNG+올림픽/NNG
출전이	출전/NNG+이/JKS
불투명해졌다.	불/XPN+투명/NNG+하/XSA+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000041.232.8.2
신화왕 등 중국 매체들에 따르면 왕멍은 16일 중국 상하이에서 훈련을 하다가 오른 발목이 부러지는 큰 부상을 당했다.

신화왕	신화왕/NNP
등	등/NNB
중국	중국/NNP
매체들에	매체/NNG+들/XSN+에/JKB
따르면	따르/VV+면/EC
왕멍은	왕멍/NNP+은/JX
16일	16/SN+일/NNB
상하이에서	상하이/NNP+에서/JKB
훈련을	훈련/NNG+을/JKO
하다가	하/VV+다가/EC
오른	오른/MMD
발목이	발목/NNG+이/JKS
부러지는	부러지/VV+는/ETM
큰	크/VA+ㄴ/ETM
부상을	부상/NNG+을/JKO
당했다.	당하/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.232.8.3
중국 대표팀은 자세한 부상 원인과 상태에 대해서는 설명을 내놓지 않고 있다.

중국	중국/NNP
대표팀은	대표/NNG+팀/NNG+은/JX
자세한	자세하/VA+ㄴ/ETM
부상	부상/NNG
원인과	원인/NNG+과/JC
상태에	상태/NNG+에/JKB
대해서는	대하/VV+아서/EC+는/JX
설명을	설명/NNG+을/JKO
내놓지	내놓/VV+지/EC
않고	않/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.232.8.4
하지만 올림픽 개막이 한 달도 남지 않아 사실상 올림픽 출전이 힘들 것으로 보인다.

하지만	하지만/MAJ
올림픽	올림픽/NNG
개막이	개막/NNG+이/JKS
한	한/MMN
달도	달/NNB+도/JX
남지	남/VV+지/EC
않아	않/VX+아/EC
사실상	사실/NNG+상/XSN
출전이	출전/NNG+이/JKS
힘들	힘들/VA+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.232.9.1
왕멍은 2013∼2014시즌에도 4차례의 월드컵 대회 500m에서 3번이나 금메달을 따내며 강자의 면모를 과시했다.

왕멍은	왕멍/NNP+은/JX
2013∼2014시즌에도	2013/SN+∼/SO+2014/SN+시즌/NNG+에/JKB+도/JX
4차례의	4/SN+차례/NNG+의/JKG
월드컵	월드컵/NNG
대회	대회/NNG
500m에서	500/SN+m/SW+에서/JKB
3번이나	3/SN+번/NNB+이나/JX
금메달을	금메달/NNG+을/JKO
따내며	따내/VV+며/EC
강자의	강자/NNG+의/JKG
면모를	면모/NNG+를/JKO
과시했다.	과시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.232.9.2
지난해 11월 4차 월드컵에서는 중국 대표팀을 이끌고 3000m 계주 금메달을 따냈다.

지난해	지난해/NNG
11월	11/SN+월/NNB
4차	4/SN+차/NNB
월드컵에서는	월드컵/NNG+에서/JKB+는/JX
중국	중국/NNP
대표팀을	대표/NNG+팀/NNG+을/JKO
이끌고	이끌/VV+고/EC
3000m	3000/SN+m/SW
계주	계주/NNG
금메달을	금메달/NNG+을/JKO
따냈다.	따내/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.232.9.3
한국 대표팀의 경계 대상 1순위에 꼽혀 온 왕멍이 부상을 당하면서 심석희(17·세화여고), 박승희 등 한국 여자 대표팀의 메달 가능성은 한층 높아질 것으로 보인다.

한국	한국/NNP
대표팀의	대표/NNG+팀/NNG+의/JKG
경계	경계/NNG
대상	대상/NNG
1순위에	1/SN+순위/NNG+에/JKB
꼽혀	꼽히/VV+어/EC
온	오/VX+ㄴ/ETM
왕멍이	왕멍/NNP+이/JKS
부상을	부상/NNG+을/JKO
당하면서	당하/VV+면서/EC
심석희(17·세화여고),	심석희/NNP+(/SS+17/SN+·/SP+세화여고/NNP+)/SS+,/SP
박승희	박승희/NNP
등	등/NNB
여자	여자/NNG
메달	메달/NNG
가능성은	가능/NNG+성/XSN+은/JX
한층	한층/MAG
높아질	높아지/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


