# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.244
metadata : {}


# id : NWRW1800000029.244.1.1
1박2일 소음-술판 집회… 여의도 주민들 “잠 좀 잡시다”

1박2일	1/SN+박/NNB+2/SN+일/NNB
강력하게	강력/NNG+하/XSA+게/EC
항의했다.	항의/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.244.4.1
하지만 음원이 야간 주거 지역(순간소음 기준 60dB)이 아닌 공원 내에 있다 보니 경찰도 순간소음이 70dB을 넘어야만 규제를 할 수 있다.

하지만	하지만/MAJ
음원이	음원/NNG+이/JKS
야간	야간/NNG
주거	주거/NNG
지역(순간소음	지역/NNG+(/SS+순간/NNG+소음/NNG
기준	기준/NNG
60dB)이	60/SN+dB/SW+)/SS+이/JKC
아닌	아니/VCN+ㄴ/ETM
공원	공원/NNG
내에	내/NNB+에/JKB
있다	있/VA+다/EC
보니	보/VX+니/EC
경찰도	경찰/NNG+도/JX
순간소음이	순간/NNG+소음/NNG+이/JKS
70dB을	70/SN+dB/SW+을/JKO
넘어야만	넘/VV+어야/EC+만/JX
규제를	규제/NNG+를/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000029.244.4.2
경찰은 “주최 측에 ‘주민을 위해 앰프 소리를 줄여 달라’고 요청했으나 받아들여지지 않았다”고 밝혔다.

경찰은	경찰/NNG+은/JX
“주최	“/SS+주최/NNG
측에	측/NNB+에/JKB
‘주민을	‘/SS+주민/NNG+을/JKO
위해	위하/VV+아/EC
앰프	앰프/NNG
소리를	소리/NNG+를/JKO
줄여	줄이/VV+어/EC
달라’고	달/VX+라/EF+’/SS+고/JKQ
요청했으나	요청/NNG+하/XSV+았/EP+으나/EC
받아들여지지	받아들이/VV+어/EC+지/VX+지/EC
않았다”고	않/VX+았/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.244.5.1
공원 내에서 밤샘 영업을 한 수십 개의 주점도 주민의 눈살을 찌푸리게 했다.

공원	공원/NNG
내에서	내/NNB+에서/JKB
밤샘	밤샘/NNG
영업을	영업/NNG+을/JKO
한	하/VV+ㄴ/ETM
수십	수십/NR
개의	개/NNB+의/JKG
주점도	주점/NNG+도/JX
주민의	주민/NNG+의/JKG
눈살을	눈살/NNG+을/JKO
찌푸리게	찌푸리/VV+게/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000029.244.5.2
이날 전국학교비정규직 노동조합, 대전대리운전 노조, 전국철거민연합회 등 9개 단체는 공원 내에 주점을 열고 술과 족발 순대 튀김 등 음식을 판매했다.

이날	이날/NNG
전국학교비정규직	전국/NNG+학교/NNG+비/XPN+정규직/NNG
노동조합,	노동조합/NNG+,/SP
대전대리운전	대전/NNP+대리운전/NNG
노조,	노조/NNG+,/SP
전국철거민연합회	전국철거민연합회/NNP
등	등/NNB
9개	9/SN+개/NNB
단체는	단체/NNG+는/JX
공원	공원/NNG
내에	내/NNB+에/JKB
주점을	주점/NNG+을/JKO
열고	열/VV+고/EC
술과	술/NNG+과/JC
족발	족발/NNG
순대	순대/NNG
튀김	튀김/NNG
음식을	음식/NNG+을/JKO
판매했다.	판매/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.244.5.3
한쪽에서는 아예 숯불을 피워 바비큐 요리를 하기도 했다.

한쪽에서는	한쪽/NNG+에서/JKB+는/JX
아예	아예/MAG
숯불을	숯불/NNG+을/JKO
피워	피우/VV+어/EC
바비큐	바비큐/NNG
요리를	요리/NNG+를/JKO
하기도	하/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000029.244.5.4
13일 오전 2시 반경에는 주점에서 술을 마신 집회 참가자 최모 씨가 집으로 귀가하던 중 택시운전사와 시비가 붙은 취객을 말리다 오히려 출동한 경찰을 손으로 밀쳐 공무집행방해 혐의로 경찰에 입건됐다.

13일	13/SN+일/NNB
오전	오전/NNG
2시	2/SN+시/NNB
반경에는	반/NNG+경/XSN+에/JKB+는/JX
주점에서	주점/NNG+에서/JKB
술을	술/NNG+을/JKO
마신	마시/VV+ㄴ/ETM
집회	집회/NNG
참가자	참가자/NNG
최모	최/NNP+모/NP
씨가	씨/NNB+가/JKS
집으로	집/NNG+으로/JKB
귀가하던	귀가/NNG+하/XSV+던/ETM
중	중/NNB
택시운전사와	택시/NNG+운전사/NNG+와/JKB
시비가	시비/NNG+가/JKS
붙은	붙/VV+은/ETM
취객을	취객/NNG+을/JKO
말리다	말리/VV+다/EC
오히려	오히려/MAG
출동한	출동/NNG+하/XSV+ㄴ/ETM
경찰을	경찰/NNG+을/JKO
손으로	손/NNG+으로/JKB
밀쳐	밀치/VV+어/EC
공무집행방해	공무/NNG+집행/NNG+방해/NNG
혐의로	혐의/NNG+로/JKB
경찰에	경찰/NNG+에/JKB
입건됐다.	입건/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000029.244.6.1
평소 매일 밤 공원을 산책한다는 인근 주민 김모 씨(29·여)는 “공원 입구에서부터 음식물쓰레기 냄새가 진동해 깜짝 놀랐다”며 산책을 포기하고 집으로 돌아갔다.

평소	평소/NNG
매일	매일/MAG
밤	밤/NNG
공원을	공원/NNG+을/JKO
산책한다는	산책/NNG+하/XSV+ㄴ다는/ETM
인근	인근/NNG
주민	주민/NNG
김모	김/NNP+모/NP
씨(29·여)는	씨/NNB+(/SS+29/SN+·/SP+여/NNG+)/SS+는/JX
“공원	“/SS+공원/NNG
입구에서부터	입구/NNG+에서부터/JKB
음식물쓰레기	음식물/NNG+쓰레기/NNG
냄새가	냄새/NNG+가/JKS
진동해	진동/NNG+하/XSV+아/EC
깜짝	깜짝/MAG
놀랐다”며	놀라/VV+았/EP+다/EF+”/SS+며/EC
산책을	산책/NNG+을/JKO
포기하고	포기/NNG+하/XSV+고/EC
집으로	집/NNG+으로/JKB
돌아갔다.	돌아가/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.244.6.2
공원에서 만난 시민 한모 씨(41)는 “시위하는 것 자체는 이해하지만 주변에 사는 사람들을 너무 배려하지 않는 것 같다”며 “시위를 해도 좋다고 했지 공원을 점령해도 좋다고 한 건 아니지 않으냐”고 반문했다.

공원에서	공원/NNG+에서/JKB
만난	만나/VV+ㄴ/ETM
시민	시민/NNG
한모	한/NNP+모/NP
씨(41)는	씨/NNB+(/SS+41/SN+)/SS+는/JX
“시위하는	“/SS+시위/NNG+하/XSV+는/ETM
것	것/NNB
자체는	자체/NNG+는/JX
이해하지만	이해/NNG+하/XSV+지만/EC
주변에	주변/NNG+에/JKB
사는	살/VV+는/ETM
사람들을	사람/NNG+들/XSN+을/JKO
너무	너무/MAG
배려하지	배려/NNG+하/XSV+지/EC
않는	않/VX+는/ETM
같다”며	같/VA+다/EF+”/SS+며/EC
“시위를	“/SS+시위/NNG+를/JKO
해도	하/VV+아도/EC
좋다고	좋/VA+다고/EC
했지	하/VV+았/EP+지/EC
공원을	공원/NNG+을/JKO
점령해도	점령/NNG+하/XSV+아도/EC
한	하/VV+ㄴ/ETM
건	거/NNB+ㄴ/JX
아니지	아니/VCN+지/EC
않으냐”고	않/VX+으냐/EF+”/SS+고/JKQ
반문했다.	반문/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.244.7.1
한편 13일 오후 서울 중구 태평로 서울광장에서 민주노총 소속 노조원 등이 참가한 ‘2011 전국 노동자대회’와 ‘한미 FTA 저지 범국민 문화제’는 경찰과 별 충돌 없이 끝났다.

한편	한편/MAG
13일	13/SN+일/NNB
오후	오후/NNG
서울	서울/NNP
중구	중구/NNP
태평로	태평로/NNP
서울광장에서	서울광장/NNP+에서/JKB
민주노총	민주노총/NNP
소속	소속/NNG
노조원	노조원/NNG
등이	등/NNB+이/JKS
참가한	참가/NNG+하/XSV+ㄴ/ETM
‘2011	‘/SS+2011/SN
전국	전국/NNG
노동자대회’와	노동자/NNG+대회/NNG+’/SS+와/JC
‘한미	‘/SS+한미/NNP
FTA	FTA/SL
저지	저지/NNG
범국민	범/XPN+국민/NNG
문화제’는	문화제/NNG+’/SS+는/JX
경찰과	경찰/NNG+과/JKB
별	별/MMA
충돌	충돌/NNG
없이	없이/MAG
끝났다.	끝나/VV+았/EP+다/EF+./SF


