# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.36
metadata : {}


# id : NWRW1800000033.36.1.1
[CAR]‘탑승자 안전지대’ 꿈꾸는 자동차 첨단기술의 진화

[CAR]‘탑승자	[/SS+CAR/SL+]/SS+‘/SS+탑승자/NNG
3배	3/SN+배/NNG
이상으로	이상/NNG+으로/JKB
넓어진다.	넓/VA+어/EC+지/VX+ㄴ다/EF+./SF


# id : NWRW1800000033.36.7.4
이 기술을 통해 차량이 정면충돌 했을 때 안전벨트의 압박으로 인한 가슴과 갈비뼈 등 흉부 부상의 위험을 크게 줄일 수 있다.

이	이/MMD
기술을	기술/NNG+을/JKO
통해	통하/VV+아/EC
차량이	차량/NNG+이/JKS
정면충돌	정면충돌/NNG
했을	하/VV+았/EP+을/ETM
때	때/NNG
안전벨트의	안전벨트/NNG+의/JKG
압박으로	압박/NNG+으로/JKB
인한	인/NNG+하/XSV+ㄴ/ETM
가슴과	가슴/NNG+과/JC
갈비뼈	갈비뼈/NNG
등	등/NNB
흉부	흉부/NNG
부상의	부상/NNG+의/JKG
위험을	위험/NNG+을/JKO
크게	크/VA+게/EC
줄일	줄이/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000033.36.8.1
벨트백은 몸에 닿는 면적이 넓어 기존 안전벨트보다 착용감이 개선됐다는 장점도 있다.

벨트백은	벨트/NNG+백/NNG+은/JX
몸에	몸/NNG+에/JKB
닿는	닿/VV+는/ETM
면적이	면적/NNG+이/JKS
넓어	넓/VA+어/EC
기존	기존/NNG
안전벨트보다	안전벨트/NNG+보다/JKB
착용감이	착용감/NNG+이/JKS
개선됐다는	개선/NNG+되/XSV+었/EP+다는/ETM
장점도	장점/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000033.36.8.2
벤츠는 내년부터 벨트백을 일부 고급차종의 기본 장치로 장착할 계획이다.

벤츠는	벤츠/NNP+는/JX
내년부터	내년/NNG+부터/JX
벨트백을	벨트/NNG+백/NNG+을/JKO
일부	일부/NNG
고급차종의	고급차종/NNG+의/JKG
기본	기본/NNG
장치로	장치/NNG+로/JKB
장착할	장착/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.36.8.3
내년 생산 예정인 대형세단 S클래스에 적용될 것이 유력하다.

내년	내년/NNG
생산	생산/NNG
예정인	예정/NNG+이/VCP+ㄴ/ETM
대형세단	대형/NNG+세단/NNG
S클래스에	S클래스/NNP+에/JKB
적용될	적용/NNG+되/XSV+ㄹ/ETM
것이	것/NNB+이/JKS
유력하다.	유력/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000033.36.9.1
벤츠는 2009년 콘셉트카 ‘ESF2009 S400 하이브리드’를 통해 벨트백을 처음으로 선보였다.

벤츠는	벤츠/NNP+는/JX
2009년	2009/SN+년/NNB
콘셉트카	콘셉트카/NNG
‘ESF2009	‘/SS+ESF/SL+2009/SN
S400	S/SL+400/SN
하이브리드’를	하이브리드/NNG+’/SS+를/JKO
통해	통하/VV+아/EC
벨트백을	벨트/NNG+백/NNG+을/JKO
처음으로	처음/NNG+으로/JKB
선보였다.	선보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.36.9.2
하지만 상용화는 미국 포드자동차가 빨랐다.

하지만	하지만/MAJ
상용화는	상용/NNG+화/XSN+는/JX
미국	미국/NNP
포드자동차가	포드자동차/NNP+가/JKS
빨랐다.	빠르/VA+았/EP+다/EF+./SF


# id : NWRW1800000033.36.9.3
포드는 지난해 스포츠유틸리티차량(SUV) ‘익스플로러’에 이와 유사한 형태의 안전벨트를 시범 적용했다.

포드는	포드/NNP+는/JX
지난해	지난해/NNG
스포츠유틸리티차량(SUV)	스포츠/NNG+유틸리티/NNG+차량/NNG+(/SS+SUV/SL+)/SS
‘익스플로러’에	‘/SS+익스플로러/NNG+’/SS+에/JKB
이와	이/NP+와/JKB
유사한	유사/NNG+하/XSA+ㄴ/ETM
형태의	형태/NNG+의/JKG
안전벨트를	안전벨트/NNG+를/JKO
시범	시범/NNG
적용했다.	적용/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.36.10.1
벤츠가 내년부터 양산 차종에 벨트백을 적용하면서 이 장치의 대중화를 이끌지도 관심거리다.

벤츠가	벤츠/NNP+가/JKS
내년부터	내년/NNG+부터/JX
양산	양산/NNG
차종에	차종/NNG+에/JKB
벨트백을	벨트/NNG+백/NNG+을/JKO
적용하면서	적용/NNG+하/XSV+면서/EC
이	이/MMD
장치의	장치/NNG+의/JKG
대중화를	대중/NNG+화/XSN+를/JKO
이끌지도	이끌/VV+지/EC+도/JX
관심거리다.	관심거리/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.36.10.2
벤츠는 앞서 에어백, 차체자세제어장치(ESP) 등 현재 대다수 차량에 기본으로 적용되는 안전장치를 처음으로 개발한 자동차 안전 분야의 선도 업체다.

벤츠는	벤츠/NNP+는/JX
앞서	앞서/MAG
에어백,	에어백/NNG+,/SP
차체자세제어장치(ESP)	차체/NNG+자세/NNG+제어/NNG+장치/NNG+(/SS+ESP/SL+)/SS
등	등/NNB
현재	현재/MAG
대다수	대/XPN+다수/NNG
차량에	차량/NNG+에/JKB
기본으로	기본/NNG+으로/JKB
적용되는	적용/NNG+되/XSV+는/ETM
안전장치를	안전장치/NNG+를/JKO
처음으로	처음/NNG+으로/JKB
개발한	개발/NNG+하/XSV+ㄴ/ETM
자동차	자동차/NNG
안전	안전/NNG
분야의	분야/NNG+의/JKG
선도	선도/NNG
업체다.	업체/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.36.11.1
벨트백 적용이 일반화하면 이는 1959년 스웨덴 볼보자동차가 세계 최초로 개발해 지금까지 보편적으로 사용하고 있는 ‘3점식 안전벨트’가 50여 년 만에 큰 진화를 이루는 셈이다.

벨트백	벨트/NNG+백/NNG
적용이	적용/NNG+이/JKS
일반화하면	일반/NNG+화/XSN+하/XSV+면/EC
이는	이/NP+는/JX
1959년	1959/SN+년/NNB
스웨덴	스웨덴/NNP
볼보자동차가	볼보자동차/NNP+가/JKS
세계	세계/NNG
최초로	최초/NNG+로/JKB
개발해	개발/NNG+하/XSV+아/EC
지금까지	지금/NNG+까지/JX
보편적으로	보편/NNG+적/XSN+으로/JKB
사용하고	사용/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
‘3점식	‘/SS+3/SN+점식/NNB
안전벨트’가	안전벨트/NNG+’/SS+가/JKS
50여	50/SN+여/XSN
년	년/NNB
만에	만/NNB+에/JKB
큰	크/VA+ㄴ/ETM
진화를	진화/NNG+를/JKO
이루는	이루/VV+는/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.36.12.1
○ ‘알아서 서는 차’ 안전성 입증

○	○/SW
‘알아서	‘/SS+알/VV+아서/EC
서는	서/VV+는/ETM
차’	차/NNG+’/SS
안전성	안전/NNG+성/XSN
입증	입증/NNG


# id : NWRW1800000033.36.13.1
‘안전의 대명사’ 볼보의 첨단 안전장치인 ‘시티 세이프티’는 지난해 미국 교통당국으로부터 사고 발생을 크게 줄인다는 효과를 인정받았다.

‘안전의	‘/SS+안전/NNG+의/JKG
대명사’	대명사/NNG+’/SS
볼보의	볼보/NNP+의/JKG
첨단	첨단/NNG
안전장치인	안전장치/NNG+이/VCP+ㄴ/ETM
‘시티	‘/SS+시티/NNG
세이프티’는	세이프티/NNG+’/SS+는/JX
지난해	지난해/NNG
미국	미국/NNP
교통당국으로부터	교통/NNG+당국/NNG+으로부터/JKB
사고	사고/NNG
발생을	발생/NNG+을/JKO
크게	크/VA+게/EC
줄인다는	줄이/VV+ㄴ다는/ETM
효과를	효과/NNG+를/JKO
인정받았다.	인정/NNG+받/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.36.13.2
시티 세이프티는 차량 앞 유리 상단에 장착된 레이저 시스템을 통해 시속 30km 이하의 주행 상황에서 앞차와의 추돌 위험이 감지되면 차량의 속도를 줄이거나 완전히 세우는 저속 추돌방지 시스템이다.

시티	시티/NNG
세이프티는	세이프티/NNG+는/JX
차량	차량/NNG
앞	앞/NNG
유리	유리/NNG
상단에	상단/NNG+에/JKB
장착된	장착/NNG+되/XSV+ㄴ/ETM
레이저	레이저/NNG
시스템을	시스템/NNG+을/JKO
통해	통하/VV+아/EC
시속	시속/NNG
30km	30/SN+km/SW
이하의	이하/NNG+의/JKG
주행	주행/NNG
상황에서	상황/NNG+에서/JKB
앞차와의	앞차/NNG+와/JKB+의/JKG
추돌	추돌/NNG
위험이	위험/NNG+이/JKS
감지되면	감지/NNG+되/XSV+면/EC
차량의	차량/NNG+의/JKG
속도를	속도/NNG+를/JKO
줄이거나	줄이/VV+거나/EC
완전히	완전히/MAG
세우는	세우/VV+는/ETM
저속	저속/NNG
추돌방지	추돌/NNG+방지/NNG
시스템이다.	시스템/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.36.13.3
볼보는 전체 추돌사고의 75%가 시속 29km 이하의 속도에서 발생한다는 점에 착안해 이 시스템을 개발했다.

볼보는	볼보/NNP+는/JX
전체	전체/NNG
추돌사고의	추돌/NNG+사고/NNG+의/JKG
75%가	75/SN+%/SW+가/JKS
시속	시속/NNG
29km	29/SN+km/SW
이하의	이하/NNG+의/JKG
속도에서	속도/NNG+에서/JKB
발생한다는	발생/NNG+하/XSV+ㄴ다는/ETM
점에	점/NNG+에/JKB
착안해	착안/NNG+하/XSV+아/EC
이	이/MMD
시스템을	시스템/NNG+을/JKO
개발했다.	개발/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.36.14.1
미국 고속도로인명손실데이터연구소(HLDI)와 고속도로안전보험협회(IIHS)가 지난해 조사한 바에 따르면 시티 세이프티가 장착된 볼보의 SUV ‘XC60’은 다른 동급 SUV에 비해 사고 발생을 감소하는 효과가 약 22% 높은 것으로 평가됐다.

미국	미국/NNP
고속도로인명손실데이터연구소(HLDI)와	고속/NNG+도로/NNG+인명/NNG+손실/NNG+데이터/NNG+연구소/NNG+(/SS+HLDI/SL+)/SS+와/JC
고속도로안전보험협회(IIHS)가	고속도로안전보험협회/NNP+(/SS+IIHS/SL+)/SS+가/JKS
지난해	지난해/NNG
조사한	조사/NNG+하/XSV+ㄴ/ETM
바에	바/NNB+에/JKB
따르면	따르/VV+면/EC
시티	시티/NNG
세이프티가	세이프티/NNG+가/JKS
장착된	장착/NNG+되/XSV+ㄴ/ETM
볼보의	볼보/NNP+의/JKG
SUV	SUV/SL
‘XC60’은	‘/SS+XC/SL+60/SN+’/SS+은/JX
다른	다른/MMD
동급	동급/NNG
SUV에	SUV/SL+에/JKB
비해	비/NNG+하/XSV+아/EC
사고	사고/NNG
발생을	발생/NNG+을/JKO
감소하는	감소/NNG+하/XSV+는/ETM
효과가	효과/NNG+가/JKS
약	약/MMA
22%	22/SN+%/SW
높은	높/VA+은/ETM
것으로	것/NNB+으로/JKB
평가됐다.	평가/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000033.36.14.2
IIHS는 이 기술이 매년 190만 건의 사고를 예방하거나 피해를 줄여준다고 덧붙였다.

IIHS는	IIHS/SL+는/JX
이	이/MMD
기술이	기술/NNG+이/JKS
매년	매년/MAG
190만	190/SN+만/NR
건의	건/NNB+의/JKG
사고를	사고/NNG+를/JKO
예방하거나	예방/NNG+하/XSV+거나/EC
피해를	피해/NNG+를/JKO
줄여준다고	줄이/VV+어/EC+주/VX+ㄴ다고/EC
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.36.14.3
볼보는 시티 세이프티 기능의 개량을 거듭해 올해 제네바 모터쇼에서 공개한 신차 ‘V40’에는 작동 가능 속도를 시속 50km로 높였다.

볼보는	볼보/NNP+는/JX
시티	시티/NNG
세이프티	세이프티/NNG
기능의	기능/NNG+의/JKG
개량을	개량/NNG+을/JKO
거듭해	거듭/MAG+하/XSV+아/EC
올해	올해/NNG
제네바	제네바/NNP
모터쇼에서	모터쇼/NNG+에서/JKB
공개한	공개/NNG+하/XSV+ㄴ/ETM
신차	신차/NNG
‘V40’에는	‘/SS+V/SL+40/SN+’/SS+에/JKB+는/JX
작동	작동/NNG
가능	가능/NNG
속도를	속도/NNG+를/JKO
시속	시속/NNG
50km로	50/SN+km/SW+로/JKB
높였다.	높이/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.36.15.1
일본 닛산자동차의 고급 브랜드인 인피니티는 차로이탈방지시스템(LDP)을 선보였다.

일본	일본/NNP
닛산자동차의	닛산자동차/NNP+의/JKG
고급	고급/NNG
브랜드인	브랜드/NNG+이/VCP+ㄴ/ETM
인피니티는	인피니티/NNP+는/JX
차로이탈방지시스템(LDP)을	차로/NNG+이탈/NNG+방지/NNG+시스템/NNG+(/SS+LDP/SL+)/SS+을/JKO
선보였다.	선보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.36.15.2
이 기능은 단순히 차가 주행 중 차로에서 벗어날 때 소리나 진동으로 운전자에게 경고하는 차로이탈경보시스템에서 진화한 것이다.

이	이/MMD
기능은	기능/NNG+은/JX
단순히	단순히/MAG
차가	차/NNG+가/JKS
주행	주행/NNG
중	중/NNB
차로에서	차로/NNG+에서/JKB
벗어날	벗어나/VV+ㄹ/ETM
때	때/NNG
소리나	소리/NNG+나/JC
진동으로	진동/NNG+으로/JKB
운전자에게	운전자/NNG+에게/JKB
경고하는	경고/NNG+하/XSV+는/ETM
차로이탈경보시스템에서	차로/NNG+이탈/NNG+경보/NNG+시스템/NNG+에서/JKB
진화한	진화/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.36.16.1
이 시스템은 차량 앞 유리에 장착된 카메라가 차선을 감지해 운전자가 방향 지시등의 조작 없이 주행차로를 벗어나면 먼저 경고음을 울려 주의를 보낸다.

이	이/MMD
시스템은	시스템/NNG+은/JX
차량	차량/NNG
앞	앞/NNG
유리에	유리/NNG+에/JKB
장착된	장착/NNG+되/XSV+ㄴ/ETM
카메라가	카메라/NNG+가/JKS
차선을	차선/NNG+을/JKO
감지해	감지/NNG+하/XSV+아/EC
운전자가	운전자/NNG+가/JKS
방향	방향/NNG
지시등의	지시/NNG+등/NNG+의/JKG
조작	조작/NNG
없이	없이/MAG
주행차로를	주행/NNG+차로/NNG+를/JKO
벗어나면	벗어나/VV+면/EC
먼저	먼저/MAG
경고음을	경고음/NNG+을/JKO
울려	울리/VV+어/EC
주의를	주의/NNG+를/JKO
보낸다.	보내/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.36.16.2
이후에도 운전대를 조작해 제자리로 돌아오지 않으면 차체 자세 제어장치(VDC)와 연계해 각 바퀴의 브레이크 압력을 조절함으로써 차량이 진행하던 차로로 돌아올 수 있게 돕는다.

이후에도	이후/NNG+에/JKB+도/JX
운전대를	운전대/NNG+를/JKO
조작해	조작/NNG+하/XSV+아/EC
제자리로	제자리/NNG+로/JKB
돌아오지	돌아오/VV+지/EC
않으면	않/VX+으면/EC
차체	차체/NNG
자세	자세/NNG
제어장치(VDC)와	제어/NNG+장치/NNG+(/SS+VDC/SL+)/SS+와/JKB
연계해	연계/NNG+하/XSV+아/EC
각	각/MMD
바퀴의	바퀴/NNG+의/JKG
브레이크	브레이크/NNG
압력을	압력/NNG+을/JKO
조절함으로써	조절/NNG+하/XSV+ㅁ/ETN+으로써/JKB
차량이	차량/NNG+이/JKS
진행하던	진행/NNG+하/XSV+던/ETM
차로로	차로/NNG+로/JKB
돌아올	돌아오/VV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
돕는다.	돕/VV+는다/EF+./SF


