# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.59
metadata : {}


# id : NWRW1800000044.59.1.1
점유율 50% 선언…SKT 자충수 됐다

점유율	점유/NNG+율/XSN
에스케이텔레콤의	에스케이텔레콤/NNP+의/JKG
시장지배력을	시장/NNG+지배력/NNG+을/JKO
낮추는	낮추/VV+는/ETM
정책을	정책/NNG+을/JKO
강화하고	강화/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.59.8.2
김경만 과장은 “이동통신망 도매 대가를 더 낮춰 알뜰폰 사업자들의 원가를 줄여주고, 이를 통해 좀더 싼 요금제를 내놓을 수 있게 하는 방안을 준비하고 있다.

김경만	김경만/NNP
과장은	과장/NNG+은/JX
“이동통신망	“/SS+이동/NNG+통신망/NNG
도매	도매/NNG
대가를	대가/NNG+를/JKO
더	더/MAG
낮춰	낮추/VV+어/EC
알뜰폰	알뜰/NNG+폰/NNG
사업자들의	사업자/NNG+들/XSN+의/JKG
원가를	원가/NNG+를/JKO
줄여주고,	줄이/VV+어/EC+주/VX+고/EC+,/SP
이를	이/NP+를/JKO
통해	통하/VV+아/EC
좀더	좀/MAG+더/MAG
싼	싸/VA+ㄴ/ETM
요금제를	요금/NNG+제/XSN+를/JKO
내놓을	내놓/VV+을/ETM
수	수/NNB
있게	있/VA+게/EC
하는	하/VX+는/ETM
방안을	방안/NNG+을/JKO
준비하고	준비/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.59.8.3
에스케이텔링크 등 이동통신 업체 자회사의 시장점유율에 상한을 두는 방안도 검토중”이라고 말했다.

에스케이텔링크	에스케이텔링크/NNP
등	등/NNB
이동통신	이동/NNG+통신/NNG
업체	업체/NNG
자회사의	자회사/NNG+의/JKG
시장점유율에	시장/NNG+점유/NNG+율/XSN+에/JKB
상한을	상한/NNG+을/JKO
두는	두/VV+는/ETM
방안도	방안/NNG+도/JX
검토중”이라고	검토/NNG+중/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.59.9.1
미래부는 알뜰폰 사업을 통해 씨제이(CJ) 등 다른 대기업들의 통신시장 진출을 확대하고, 중소 알뜰폰 사업자 간 인수합병을 통해 경쟁력을 높이게 할 계획도 마련하고 있다.

미래부는	미래부/NNG+는/JX
알뜰폰	알뜰/NNG+폰/NNG
사업을	사업/NNG+을/JKO
통해	통하/VV+아/EC
씨제이(CJ)	씨제이/NNP+(/SS+CJ/SL+)/SS
등	등/NNB
다른	다른/MMD
대기업들의	대/XPN+기업/NNG+들/XSN+의/JKG
통신시장	통신/NNG+시장/NNG
진출을	진출/NNG+을/JKO
확대하고,	확대/NNG+하/XSV+고/EC+,/SP
중소	중소/NNG
사업자	사업자/NNG
간	간/NNB
인수합병을	인수/NNG+합병/NNG+을/JKO
경쟁력을	경쟁력/NNG+을/JKO
높이게	높이/VV+게/EC
할	하/VX+ㄹ/ETM
계획도	계획/NNG+도/JX
마련하고	마련/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.59.9.2
미래부 관계자는 “‘흰 고양이건 검은 고양이건 쥐만 잡으면 된다(흑묘백묘)’는 말이 있잖냐.

미래부	미래부/NNG
관계자는	관계자/NNG+는/JX
“‘흰	“/SS+‘/SS+희/VA+ㄴ/ETM
고양이건	고양이/NNG+이/VCP+건/EC
검은	검/VA+은/ETM
쥐만	쥐/NNG+만/JX
잡으면	잡/VV+으면/EC
된다(흑묘백묘)’는	되/VV+ㄴ다/EF+(/SS+흑묘백묘/NNG+)/SS+’/SS+는/ETM
말이	말/NNG+이/JKS
있잖냐.	있/VA+잖냐/EF+./SF


# id : NWRW1800000044.59.9.3
이통 3사 간 경쟁으로 해결하려고 했으나 안되니 다른 대기업을 투입해서라도 경쟁을 활성화할 필요가 있다고 본다”고 말했다.

이통	이통/NNG
3사	3사/NNG
간	간/NNB
경쟁으로	경쟁/NNG+으로/JKB
해결하려고	해결/NNG+하/XSV+려고/EC
했으나	하/VX+았/EP+으나/EC
안되니	안/MAG+되/XSV+니/EC
다른	다른/MMD
대기업을	대/XPN+기업/NNG+을/JKO
투입해서라도	투입/NNG+하/XSV+아서/EC+라도/JX
경쟁을	경쟁/NNG+을/JKO
활성화할	활성/NNG+화/XSN+하/XSV+ㄹ/ETM
필요가	필요/NNG+가/JKS
있다고	있/VA+다고/EC
본다”고	보/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.59.10.1
경쟁업체들도 독기를 내뿜고 있다.

경쟁업체들도	경쟁업체/NNG+들/XSN+도/JX
독기를	독기/NNG+를/JKO
내뿜고	내뿜/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.59.10.2
엘지유플러스 관계자는 “알뜰폰 사업자까지 대거 등장한 마당에 시장점유율 50%를 고수하겠다는 것은, 경쟁업체들은 쪼그라들라는 말과 다름없다”고 목청을 높였다.

엘지유플러스	엘지유플러스/NNP
관계자는	관계자/NNG+는/JX
“알뜰폰	“/SS+알뜰/NNG+폰/NNG
사업자까지	사업자/NNG+까지/JX
대거	대거/MAG
등장한	등장/NNG+하/XSV+ㄴ/ETM
마당에	마당/NNB+에/JKB
시장점유율	시장/NNG+점유/NNG+율/XSN
50%를	50/SN+%/SW+를/JKO
고수하겠다는	고수/NNG+하/XSV+겠/EP+다는/ETM
것은,	것/NNB+은/JX+,/SP
경쟁업체들은	경쟁업체/NNG+들/XSN+은/JX
쪼그라들라는	쪼그라들/VV+라는/ETM
말과	말/NNG+과/JKB
다름없다”고	다름없/VA+다/EF+”/SS+고/JKQ
목청을	목청/NNG+을/JKO
높였다.	높이/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.59.10.3
실제로 에스케이텔레콤의 시장점유율 50% 고수 공개 선언 이후, 이동통신 시장에서 보조금을 통한 경쟁업체 가입자 빼가기 경쟁이 한층 심해졌다.

실제로	실제로/MAG
에스케이텔레콤의	에스케이텔레콤/NNP+의/JKG
시장점유율	시장/NNG+점유/NNG+율/XSN
50%	50/SN+%/SW
고수	고수/NNG
공개	공개/NNG
선언	선언/NNG
이후,	이후/NNG+,/SP
이동통신	이동/NNG+통신/NNG
시장에서	시장/NNG+에서/JKB
보조금을	보조금/NNG+을/JKO
통한	통하/VV+ㄴ/ETM
경쟁업체	경쟁업체/NNG
가입자	가입자/NNG
빼가기	빼/VV+어/EC+가/VV+기/ETN
경쟁이	경쟁/NNG+이/JKS
한층	한층/MAG
심해졌다.	심하/VA+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000044.59.10.4
선언 당일 저녁 ‘1.23 대란’에 이어 ‘2.11 대란’과 ‘2.26대란’이 일어나는 등 전에 없던 상황이 벌어졌고, 불법 보조금 경쟁을 벌이다 줄줄이 영업정지 명령을 받는 사태까지 발생했다.

선언	선언/NNG
당일	당일/NNG
저녁	저녁/NNG
‘1.23	‘/SS+1/SN+./SP+23/SN
대란’에	대란/NNG+’/SS+에/JKB
이어	잇/VV+어/EC
‘2.11	‘/SS+2/SN+./SP+11/SN
대란’과	대란/NNG+’/SS+과/JC
‘2.26대란’이	‘/SS+2/SN+./SP+26/SN+대란/NNG+’/SS+이/JKS
일어나는	일어나/VV+는/ETM
등	등/NNB
전에	전/NNG+에/JKB
없던	없/VA+던/ETM
상황이	상황/NNG+이/JKS
벌어졌고,	벌어지/VV+었/EP+고/EC+,/SP
불법	불법/NNG
보조금	보조금/NNG
경쟁을	경쟁/NNG+을/JKO
벌이다	벌이/VV+다/EC
줄줄이	줄줄이/MAG
영업정지	영업/NNG+정지/NNG
명령을	명령/NNG+을/JKO
받는	받/VV+는/ETM
사태까지	사태/NNG+까지/JX
발생했다.	발생/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.59.11.1
에스케이텔레콤은 억울하다는 반응이다.

에스케이텔레콤은	에스케이텔레콤/NNP+은/JX
억울하다는	억울/NNG+하/XSA+다는/ETM
반응이다.	반응/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.59.11.2
이 업체의 한 임원은 “우리는 보조금 경쟁을 일으킬 이유가 없다.

이	이/MMD
업체의	업체/NNG+의/JKG
한	한/MMN
임원은	임원/NNG+은/JX
“우리는	“/SS+우리/NP+는/JX
보조금	보조금/NNG
경쟁을	경쟁/NNG+을/JKO
일으킬	일으키/VV+ㄹ/ETM
이유가	이유/NNG+가/JKS
없다.	없/VA+다/EF+./SF


# id : NWRW1800000044.59.11.3
경쟁업체들이 불법 보조금까지 쓰며 가입자를 빼가니 방어할 수밖에 없는 것 아니냐”고 말했다.

경쟁업체들이	경쟁업체/NNG+들/XSN+이/JKS
불법	불법/NNG
보조금까지	보조금/NNG+까지/JX
쓰며	쓰/VV+며/EC
가입자를	가입자/NNG+를/JKO
빼가니	빼/VV+어/EC+가/VV+니/EC
방어할	방어/NNG+하/XSV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없는	없/VA+는/ETM
것	것/NNB
아니냐”고	아니/VCN+냐/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.59.11.4
이 임원은 시장점유율 50% 이상 고수 선언에 대해 “사업총괄 사장으로서 목표를 갖고, 또 당당히 말할 수 있는 것 아니냐”고 반박했다.

이	이/MMD
임원은	임원/NNG+은/JX
시장점유율	시장/NNG+점유/NNG+율/XSN
50%	50/SN+%/SW
이상	이상/NNG
고수	고수/NNG
선언에	선언/NNG+에/JKB
대해	대하/VV+아/EC
“사업총괄	“/SS+사업/NNG+총괄/NNG
사장으로서	사장/NNG+으로서/JKB
목표를	목표/NNG+를/JKO
갖고,	갖/VV+고/EC+,/SP
또	또/MAG
당당히	당당히/MAG
말할	말/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
것	것/NNB
아니냐”고	아니/VCN+냐/EF+”/SS+고/JKQ
반박했다.	반박/NNG+하/XSV+았/EP+다/EF+./SF


