# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.214
metadata : {}


# id : NWRW1800000045.214.1.1
[단독]성탄절 가석방 500명선… 장재구 前한국일보 회장 포함

[단독]성탄절	[/SS+단독/NNG+]/SS+성탄절/NNG
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000045.214.4.1
15일 사법당국과 법조계에 따르면 14일 열린 법무부 가석방심사위원회는 성탄절 가석방 대상을 이같이 확정했다.

15일	15/SN+일/NNB
사법당국과	사법/NNG+당국/NNG+과/JC
법조계에	법조/NNG+계/XSN+에/JKB
따르면	따르/VV+면/EC
14일	14/SN+일/NNB
열린	열리/VV+ㄴ/ETM
법무부	법무부/NNG
가석방심사위원회는	가/XPN+석방/NNG+심사/NNG+위원회/NNG+는/JX
성탄절	성탄절/NNG
가석방	가/XPN+석방/NNG
대상을	대상/NNG+을/JKO
이같이	이/NP+같이/JKB
확정했다.	확정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.214.5.1
이번 가석방은 법무부가 그동안 원천 배제했던 사회지도층이나 사회적 물의를 일으킨 수형자도 다른 수형자와 동등하게 심사하겠다고 발표한 뒤 이를 실제로 적용한 첫 사례다.

이번	이번/NNG
가석방은	가/XPN+석방/NNG+은/JX
법무부가	법무부/NNG+가/JKS
그동안	그동안/NNG
원천	원천/NNG
배제했던	배제/NNG+하/XSV+았/EP+던/ETM
사회지도층이나	사회/NNG+지도/NNG+층/XSN+이나/JC
사회적	사회/NNG+적/XSN
물의를	물의/NNG+를/JKO
일으킨	일으키/VV+ㄴ/ETM
수형자도	수형자/NNG+도/JX
다른	다른/MMD
수형자와	수형자/NNG+와/JKB
동등하게	동등/NNG+하/XSA+게/EC
심사하겠다고	심사/NNG+하/XSV+겠/EP+다고/EC
발표한	발표/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
이를	이/NP+를/JKO
실제로	실제로/MAG
적용한	적용/NNG+하/XSV+ㄴ/ETM
첫	첫/MMN
사례다.	사례/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.214.5.2
지난해 성탄절 전국 교도소에서 가석방된 수형자 수(614명)와 비교하면 전체 규모는 줄었다.

지난해	지난해/NNG
성탄절	성탄절/NNG
전국	전국/NNG
교도소에서	교도소/NNG+에서/JKB
가석방된	가/XPN+석방/NNG+되/XSV+ㄴ/ETM
수형자	수형자/NNG
수(614명)와	수/NNG+(/SS+614/SN+명/NNB+)/SS+와/JKB
비교하면	비교/NNG+하/XSV+면/EC
전체	전체/NNG
규모는	규모/NNG+는/JX
줄었다.	줄/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.214.6.1
가석방 대상에 포함된 장 전 회장은 10월 대법원에서 징역 2년 6개월의 확정판결을 받고 형기를 한 달여 정도 남겨두고 있다.

가석방	가/XPN+석방/NNG
대상에	대상/NNG+에/JKB
포함된	포함/NNG+되/XSV+ㄴ/ETM
장	장/NNP
전	전/MMD
회장은	회장/NNG+은/JX
10월	10/SN+월/NNB
대법원에서	대/XPN+법원/NNG+에서/JKB
징역	징역/NNG
2년	2/SN+년/NNB
6개월의	6/SN+개월/NNB+의/JKG
확정판결을	확정/NNG+판결/NNG+을/JKO
받고	받/VV+고/EC
형기를	형기/NNG+를/JKO
한	한/MMN
달여	달/NNB+여/XSN
정도	정도/NNG
남겨두고	남기/VV+어/EC+두/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.214.6.2
장 전 회장은 한국일보 옛 사옥 매각 과정에서 신축 사옥의 우선매수청구권을 포기해 회사에 손해를 끼치고, 서울경제신문 재무제표를 거짓으로 꾸며 회삿돈을 횡령하는 등 456억 원대의 피해를 준 혐의 등으로 기소됐다.

장	장/NNP
전	전/MMD
회장은	회장/NNG+은/JX
한국일보	한국일보/NNP
옛	옛/MMA
사옥	사옥/NNG
매각	매각/NNG
과정에서	과정/NNG+에서/JKB
신축	신축/NNG
사옥의	사옥/NNG+의/JKG
우선매수청구권을	우선/NNG+매수/NNG+청구/NNG+권/XSN+을/JKO
포기해	포기/NNG+하/XSV+아/EC
회사에	회사/NNG+에/JKB
손해를	손해/NNG+를/JKO
끼치고,	끼치/VV+고/EC+,/SP
서울경제신문	서울경제신문/NNP
재무제표를	재무제표/NNG+를/JKO
거짓으로	거짓/NNG+으로/JKB
꾸며	꾸미/VV+어/EC
회삿돈을	회삿돈/NNG+을/JKO
횡령하는	횡령/NNG+하/XSV+는/ETM
등	등/NNB
456억	456/SN+억/NR
원대의	원/NNB+대/XSN+의/JKG
피해를	피해/NNG+를/JKO
준	주/VV+ㄴ/ETM
혐의	혐의/NNG
등으로	등/NNB+으로/JKB
기소됐다.	기소/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000045.214.7.1
대상자 중에는 무기수에서 장기수(징역 20년형)로 감형된 뒤 형기를 한 달여 남겨둔 수형자도 처음 포함됐다.

대상자	대상자/NNG
중에는	중/NNB+에/JKB+는/JX
무기수에서	무기수/NNG+에서/JKB
장기수(징역	장기수/NNG+(/SS+징역/NNG
20년형)로	20/SN+년/NNB+형/NNG+)/SS+로/JKB
감형된	감형/NNG+되/XSV+ㄴ/ETM
뒤	뒤/NNG
형기를	형기/NNG+를/JKO
한	한/MMN
달여	달/NNB+여/XSN
남겨둔	남기/VV+어/EC+두/VX+ㄴ/ETM
수형자도	수형자/NNG+도/JX
처음	처음/NNG
포함됐다.	포함/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000045.214.7.2
가석방심사위 관계자는 “심사기준이 완화된 이후 모범적인 수형생활을 하면 이런 경우도 나갈 수 있다는 것을 보여주기 위해 선정한 것으로 안다”고 전했다.

가석방심사위	가/XPN+석방/NNG+심사위/NNG
관계자는	관계자/NNG+는/JX
“심사기준이	“/SS+심사/NNG+기준/NNG+이/JKS
완화된	완화/NNG+되/XSV+ㄴ/ETM
이후	이후/NNG
모범적인	모범/NNG+적/XSN+이/VCP+ㄴ/ETM
수형생활을	수형/NNG+생활/NNG+을/JKO
하면	하/VV+면/EC
이런	이런/MMD
경우도	경우/NNG+도/JX
나갈	나가/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
것을	것/NNB+을/JKO
보여주기	보이/VV+어/EC+주/VX+기/ETN
위해	위하/VV+아/EC
선정한	선정/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
안다”고	알/VV+ㄴ다/EF+”/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.214.8.1
통상 형기의 70∼80%를 마친 수형자를 대상으로 이뤄지던 가석방 심사기준이 현 정부 이후 90% 수준으로 강화되면서 교도소 과밀화 등의 문제점이 제기되자, 법무부는 지난달 과거 수준으로 심사기준을 완화하겠다고 밝혔다.

통상	통상/MAG
형기의	형기/NNG+의/JKG
70∼80%를	70/SN+∼/SO+80/SN+%/SW+를/JKO
마친	마치/VV+ㄴ/ETM
수형자를	수형자/NNG+를/JKO
대상으로	대상/NNG+으로/JKB
이뤄지던	이뤄지/VV+던/ETM
가석방	가/XPN+석방/NNG
심사기준이	심사/NNG+기준/NNG+이/JKS
현	현/MMD
정부	정부/NNG
이후	이후/NNG
90%	90/SN+%/SW
수준으로	수준/NNG+으로/JKB
강화되면서	강화/NNG+되/XSV+면서/EC
교도소	교도소/NNG
과밀화	과밀/NNG+화/XSN
등의	등/NNB+의/JKG
문제점이	문제점/NNG+이/JKS
제기되자,	제기/NNG+되/XSV+자/EC+,/SP
법무부는	법무부/NNG+는/JX
지난달	지난달/NNG
과거	과거/NNG
심사기준을	심사/NNG+기준/NNG+을/JKO
완화하겠다고	완화/NNG+하/XSV+겠/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.214.8.2
새 지침에 따라 지난달 538명이 가석방으로 출소했으나, 실제 심사기준이 크게 완화되진 않은 것으로 알려졌다.

새	새/MMA
지침에	지침/NNG+에/JKB
따라	따르/VV+아/EC
지난달	지난달/NNG
538명이	538/SN+명/NNB+이/JKS
가석방으로	가/XPN+석방/NNG+으로/JKB
출소했으나,	출소/NNG+하/XSV+았/EP+으나/EC+,/SP
실제	실제/NNG
심사기준이	심사/NNG+기준/NNG+이/JKS
크게	크/VA+게/EC
완화되진	완화/NNG+되/XSV+지/EC+ㄴ/JX
않은	않/VX+은/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.214.8.3
이 때문에 120%에 육박하는 전국 교도소 및 구치소의 수용률은 크게 개선되지 않고 있다.

이	이/MMD
때문에	때문/NNB+에/JKB
120%에	120/SN+%/SW+에/JKB
육박하는	육박/NNG+하/XSV+는/ETM
전국	전국/NNG
교도소	교도소/NNG
및	및/MAG
구치소의	구치소/NNG+의/JKG
수용률은	수용/NNG+률/XSN+은/JX
크게	크/VA+게/EC
개선되지	개선/NNG+되/XSV+지/EC
않고	않/VX+고/EC
있다.	있/VX+다/EF+./SF


