# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.163
metadata : {}


# id : NWRW1800000054.163.1.1
특목고처럼… 일반고에도 '사배자(사회적 배려 대상자)' 전형 신설

특목고처럼…	특목고/NNG+처럼/JKB+…/SE
"자유학기제를	"/SS+자유/NNG+학기/NNG+제/XSN+를/JKO
경험한	경험/NNG+하/XSV+ㄴ/ETM
중학생이	중학/NNG+생/XSN+이/JKS
내년부터	내년/NNG+부터/JX
본격적으로	본격/NNG+적/XSN+으로/JKB
고등학교에	고등학교/NNG+에/JKB
입학함에	입학/NNG+하/XSV+ㅁ/ETN+에/JKB
따라,	따르/VV+아/EC+,/SP
일반고에	일반고/NNG+에/JKB
지원을	지원/NNG+을/JKO
강화하고	강화/NNG+하/XSV+고/EC
고교	고교/NNG
교육의	교육/NNG+의/JKG
근본적	근본/NNG+적/XSN
변화를	변화/NNG+를/JKO
이끌어내겠다"고	이끌/VV+어/EC+내/VX+겠/EP+다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.163.3.1
서울 지역의 경우 2019학년도에 특성화고 신입생 전체를 '미래인재전형'으로 선발하기로 했다.

서울	서울/NNP
지역의	지역/NNG+의/JKG
경우	경우/NNG
2019학년도에	2019/SN+학년도/NNG+에/JKB
특성화고	특성화고/NNG
신입생	신입/NNG+생/XSN
전체를	전체/NNG+를/JKO
'미래인재전형'으로	'/SS+미래/NNG+인재/NNG+전형/NNG+'/SS+으로/JKB
선발하기로	선발/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.163.3.2
이를 위해 교육청은 각 학생의 소질·적성을 정확히 평가할 수 있도록 평가 방법을 개발할 예정이다.

이를	이/NP+를/JKO
위해	위하/VV+아/EC
교육청은	교육청/NNG+은/JX
각	각/MMD
학생의	학생/NNG+의/JKG
소질·적성을	소질/NNG+·/SP+적성/NNG+을/JKO
정확히	정확히/MAG
평가할	평가/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
평가	평가/NNG
방법을	방법/NNG+을/JKO
개발할	개발/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.163.3.3
전남은 2018학년도부터 특성화고 학생 선발에서 내신 반영 비율을 축소하고 희망 직업 등을 고려해 면접을 보는 방식으로 바꾼다.

전남은	전남/NNP+은/JX
2018학년도부터	2018/SN+학년도/NNG+부터/JX
특성화고	특성화고/NNG
학생	학생/NNG
선발에서	선발/NNG+에서/JKB
내신	내신/NNG
반영	반영/NNG
비율을	비율/NNG+을/JKO
축소하고	축소/NNG+하/XSV+고/EC
희망	희망/NNG
직업	직업/NNG
등을	등/NNB+을/JKO
고려해	고려/NNG+하/XSV+아/EC
면접을	면접/NNG+을/JKO
보는	보/VV+는/ETM
방식으로	방식/NNG+으로/JKB
바꾼다.	바꾸/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.163.3.4
경남도 2018학년도부터 우선 5개 학교에서 학생을 소질·적성 중심으로 선발하는 '자기주도학습전형'을 도입하기로 했다.

경남도	경남/NNP+도/JX
2018학년도부터	2018/SN+학년도/NNG+부터/JX
우선	우선/MAG
5개	5/SN+개/NNB
학교에서	학교/NNG+에서/JKB
학생을	학생/NNG+을/JKO
소질·적성	소질/NNG+·/SP+적성/NNG
중심으로	중심/NNG+으로/JKB
선발하는	선발/NNG+하/XSV+는/ETM
'자기주도학습전형'을	'/SS+자기/NNG+주도/NNG+학습/NNG+전형/NNG+'/SS+을/JKO
도입하기로	도입/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.163.4.1
일반고·특성화고 전형에 '사회적배려 대상자(사배자) 전형'도 단계적으로 신설한다.

일반고·특성화고	일반고/NNG+·/SP+특성화고/NNG
전형에	전형/NNG+에/JKB
'사회적배려	'/SS+사회/NNG+적/XSN+배려/NNG
대상자(사배자)	대상자/NNG+(/SS+사배자/NNG+)/SS
전형'도	전형/NNG+'/SS+도/JX
단계적으로	단계/NNG+적/XSN+으로/JKB
신설한다.	신설/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000054.163.4.2
현재 특목고, 자사고, 국제고 등은 규정에 따라 의무적으로 정원의 20% 이상을 기회균등전형, 사회다양성전형 등으로 선발하고 있는데 이를 일반고·특성화고에도 도입하는 것이다.

현재	현재/MAG
특목고,	특목고/NNG+,/SP
자사고,	자사고/NNG+,/SP
국제고	국제고/NNG
등은	등/NNB+은/JX
규정에	규정/NNG+에/JKB
따라	따르/VV+아/EC
의무적으로	의무/NNG+적/XSN+으로/JKB
정원의	정원/NNG+의/JKG
20%	20/SN+%/SW
이상을	이상/NNG+을/JKO
기회균등전형,	기회균등/NNG+전형/NNG+,/SP
사회다양성전형	사회/NNG+다양/NNG+성/XSN+전형/NNG
등으로	등/NNB+으로/JKB
선발하고	선발/NNG+하/XSV+고/EC
있는데	있/VX+는데/EC
이를	이/NP+를/JKO
일반고·특성화고에도	일반고/NNG+·/SP+특성화고/NNG+에/JKB+도/JX
도입하는	도입/NNG+하/XSV+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.163.4.3
교육부는 "충남 한일고처럼 비평준화 지역의 '명문'으로 떠오른 일반고나 선호도가 높은 특성화고에서 학생을 선발할 때, 일정 비율을 사배자 전형으로 선발하게 해 저소득층에도 균등한 기회를 주자는 취지"라고 말했다.

교육부는	교육부/NNG+는/JX
"충남	"/SS+충남/NNP
한일고처럼	한일고/NNP+처럼/JKB
비평준화	비/XPN+평준/NNG+화/XSN
지역의	지역/NNG+의/JKG
'명문'으로	'/SS+명문/NNG+'/SS+으로/JKB
떠오른	떠오르/VV+ㄴ/ETM
일반고나	일반고/NNG+나/JC
선호도가	선호도/NNG+가/JKS
높은	높/VA+은/ETM
특성화고에서	특성화고/NNG+에서/JKB
학생을	학생/NNG+을/JKO
선발할	선발/NNG+하/XSV+ㄹ/ETM
때,	때/NNG+,/SP
일정	일정/NNG
비율을	비율/NNG+을/JKO
사배자	사배자/NNG
전형으로	전형/NNG+으로/JKB
선발하게	선발/NNG+하/XSV+게/EC
해	하/VX+아/EC
저소득층에도	저/XPN+소득/NNG+층/XSN+에/JKB+도/JX
균등한	균등/NNG+하/XSA+ㄴ/ETM
기회를	기회/NNG+를/JKO
주자는	주/VV+자는/ETM
취지"라고	취지/NNG+"/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.163.4.4
우선 내년부터 전남에서 희망 학교들이 자율적으로 사배자 전형을 운영한 뒤 전체 학교로 확대해 나갈 계획이라고 교육부는 전했다.

우선	우선/MAG
내년부터	내년/NNG+부터/JX
전남에서	전남/NNP+에서/JKB
희망	희망/NNG
학교들이	학교/NNG+들/XSN+이/JKS
자율적으로	자율/NNG+적/XSN+으로/JKB
사배자	사배자/NNG
전형을	전형/NNG+을/JKO
운영한	운영/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
전체	전체/NNG
학교로	학교/NNG+로/JKB
확대해	확대/NNG+하/XSV+아/EC
나갈	나가/VX+ㄹ/ETM
계획이라고	계획/NNG+이/VCP+라고/EC
교육부는	교육부/NNG+는/JX
전했다.	전하/VV+았/EP+다/EF+./SF


