# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.21
metadata : {}


# id : NWRW1800000054.21.1.1
[리퍼트·강인선의 워싱턴 Live] "제재·압박은 성과가 나기 전에는 실패로 보여… 북핵도 마찬가지"

[리퍼트·강인선의	[/SS+리퍼트/NNP+·/SP+강인선/NNP+의/JKG
유일한	유일/NNG+하/XSA+ㄴ/ETM
선택지가	선택지/NNG+가/JKC
되는	되/VV+는/ETM
상황은	상황/NNG+은/JX
만들지	만들/VV+지/EC
않아야	않/VX+아야/EC
한다고	하/VX+ㄴ다고/EC
생각한다"면서	생각/NNG+하/XSV+ㄴ다/EF+"/SS+면서/EC
"전임	"/SS+전임/NNG
오바마	오바마/NNP
정부도	정부/NNG+도/JX
그걸	그거/NP+ㄹ/JKO
피하기	피하/VV+기/ETN
위해	위하/VV+아/EC
전례	전례/NNG
없는	없/VA+는/ETM
고강도	고/XPN+강도/NNG
유엔안보리	유엔안보리/NNP
제재를	제재/NNG+를/JKO
끌어내고	끌어내/VV+고/EC
북한과	북한/NNP+과/JKB
대화도	대화/NNG+도/JX
시도했다"고	시도/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.21.4.1
―지난주 미·중 정상회담이 공동성명이나 기자회견도 없이 끝났다.

―지난주	―/SS+지난주/NNG
미·중	미/NNP+·/SP+중/NNP
정상회담이	정상/NNG+회담/NNG+이/JKS
공동성명이나	공동/NNG+성명/NNG+이나/JC
기자회견도	기자/NNG+회견/NNG+도/JX
없이	없이/MAG
끝났다.	끝나/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.21.4.2
트럼프 대통령이 최근 밝힌 대로 미국은 이제 중국 협조 없이 독자적으로 북핵 문제 해결에 나설 것으로 보나.

트럼프	트럼프/NNP
대통령이	대통령/NNG+이/JKS
최근	최근/NNG
밝힌	밝히/VV+ㄴ/ETM
대로	대로/NNB
미국은	미국/NNP+은/JX
이제	이제/MAG
중국	중국/NNP
협조	협조/NNG
없이	없이/MAG
독자적으로	독자/NNG+적/XSN+으로/JKB
북핵	북핵/NNG
문제	문제/NNG
해결에	해결/NNG+에/JKB
나설	나서/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보나.	보/VV+나/EF+./SF


# id : NWRW1800000054.21.5.1
"모든 미국 대통령은 미국에 대한 급박한 위협으로부터 미국을 보호하기 위해 독자적으로 움직일 권리를 갖고 있다.

"모든	"/SS+모든/MMN
미국	미국/NNP
대통령은	대통령/NNG+은/JX
미국에	미국/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
급박한	급박/NNG+하/XSA+ㄴ/ETM
위협으로부터	위협/NNG+으로부터/JKB
미국을	미국/NNP+을/JKO
보호하기	보호/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
독자적으로	독자/NNG+적/XSN+으로/JKB
움직일	움직이/VV+ㄹ/ETM
권리를	권리/NNG+를/JKO
갖고	갖/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.21.5.2
하지만 내가 알기로 트럼프 행정부는 북핵 문제와 관련해 중국의 협력을 끌어내기 위해 열심히 뛰고 있다."

하지만	하지만/MAJ
내가	내/NP+가/JKS
알기로	알/VV+기/ETN+로/JKB
트럼프	트럼프/NNP
행정부는	행정부/NNG+는/JX
북핵	북핵/NNG
문제와	문제/NNG+와/JKB
관련해	관련/NNG+하/XSV+아/EC
중국의	중국/NNP+의/JKG
협력을	협력/NNG+을/JKO
끌어내기	끌어내/VV+기/ETN
위해	위하/VV+아/EC
열심히	열심히/MAG
뛰고	뛰/VV+고/EC
있다."	있/VX+다/EF+./SF+"/SS


# id : NWRW1800000054.21.6.1
―미·중 정상회담 직후 호주로 가던 칼빈슨 항모 전단이 한반도 인근 서태평양 해역으로 이동 배치됐다.

―미·중	―/SS+미/NNP+·/SP+중/NNP
정상회담	정상/NNG+회담/NNG
직후	직후/NNG
호주로	호주/NNP+로/JKB
가던	가/VV+던/ETM
칼빈슨	칼빈슨/NNP
항모	항모/NNG
전단이	전단/NNG+이/JKS
한반도	한반도/NNP
인근	인근/NNG
서태평양	서태평양/NNP
해역으로	해역/NNG+으로/JKB
이동	이동/NNG
배치됐다.	배치/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000054.21.6.2
미국의 북한 군사공격이 임박한 것 아니냐며 불안해한다.

미국의	미국/NNP+의/JKG
북한	북한/NNP
군사공격이	군사/NNG+공격/NNG+이/JKS
임박한	임박/NNG+하/XSV+ㄴ/ETM
것	것/NNB
아니냐며	아니/VCN+냐며/EC
불안해한다.	불안/NNG+하/XSA+아/EC+하/VX+ㄴ다/EF+./SF


# id : NWRW1800000054.21.7.1
"그 이유에 대해 추측하고 싶진 않지만 북한의 위협과 위험, 북한이 중요시하는 시기(김일성 생일인 15일 등)가 다가오고 있다는 점 등을 고려하면 이 지역에 항모를 보내는 것은 신중한 결정이라고 생각한다."

"그	"/SS+그/MMD
이유에	이유/NNG+에/JKB
대해	대하/VV+아/EC
추측하고	추측/NNG+하/XSV+고/EC
싶진	싶/VX+지/EC+ㄴ/JX
않지만	않/VX+지만/EC
북한의	북한/NNP+의/JKG
위협과	위협/NNG+과/JC
위험,	위험/NNG+,/SP
북한이	북한/NNP+이/JKS
중요시하는	중요/NNG+시/XSN+하/XSV+는/ETM
시기(김일성	시기/NNG+(/SS+김일성/NNP
생일인	생일/NNG+이/VCP+ㄴ/ETM
15일	15/SN+일/NNB
등)가	등/NNB+)/SS+가/JKS
다가오고	다가오/VV+고/EC
있다는	있/VX+다는/ETM
점	점/NNG
등을	등/NNB+을/JKO
고려하면	고려/NNG+하/XSV+면/EC
이	이/MMD
지역에	지역/NNG+에/JKB
항모를	항모/NNG+를/JKO
보내는	보내/VV+는/ETM
것은	것/NNB+은/JX
신중한	신중/NNG+하/XSA+ㄴ/ETM
결정이라고	결정/NNG+이/VCP+라고/EC
생각한다."	생각/NNG+하/XSV+ㄴ다/EF+./SF+"/SS


# id : NWRW1800000054.21.8.1
―트럼프 대통령은 미·중 정상회담을 하는 동안 시리아 공습을 했다.

―트럼프	―/SS+트럼프/NNP
대통령은	대통령/NNG+은/JX
미·중	미/NNP+·/SP+중/NNP
정상회담을	정상/NNG+회담/NNG+을/JKO
하는	하/VV+는/ETM
동안	동안/NNG
시리아	시리아/NNP
공습을	공습/NNG+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.21.8.2
북한이나 중국에 대한 메시지로도 해석될 수 있는 움직임이다.

북한이나	북한/NNP+이나/JC
중국에	중국/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
메시지로도	메시지/NNG+로/JKB+도/JX
해석될	해석/NNG+되/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
움직임이다.	움직임/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.21.9.1
"중국과 북한은 당연히 시리아 공습을 주의 깊게 봤을 것이다.

"중국과	"/SS+중국/NNP+과/JC
북한은	북한/NNP+은/JX
당연히	당연히/MAG
시리아	시리아/NNP
공습을	공습/NNG+을/JKO
주의	주의/NNG
깊게	깊/VA+게/EC
봤을	보/VV+았/EP+을/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.21.9.2
하지만 지금 이 시점에선 그게 북한 문제에 궁극적으로 어떤 영향을 끼칠 것이라고 단정하긴 어렵다.

하지만	하지만/MAJ
지금	지금/MAG
이	이/MMD
시점에선	시점/NNG+에서/JKB+ㄴ/JX
그게	그거/NP+이/JKS
북한	북한/NNP
문제에	문제/NNG+에/JKB
궁극적으로	궁극/NNG+적/XSN+으로/JKB
어떤	어떤/MMD
영향을	영향/NNG+을/JKO
끼칠	끼치/VV+ㄹ/ETM
것이라고	것/NNB+이/VCP+라고/EC
단정하긴	단정/NNG+하/XSV+기/ETN+ㄴ/JX
어렵다.	어렵/VA+다/EF+./SF


# id : NWRW1800000054.21.9.3
트럼프 행정부의 전반적인 대북 전략과 그에 따른 정책 이행 과정을 봐야 한다."

트럼프	트럼프/NNP
행정부의	행정부/NNG+의/JKG
전반적인	전반/NNG+적/XSN+이/VCP+ㄴ/ETM
대북	대북/NNG
전략과	전략/NNG+과/JC
그에	그/NP+에/JKB
따른	따르/VV+ㄴ/ETM
정책	정책/NNG
이행	이행/NNG
과정을	과정/NNG+을/JKO
봐야	보/VV+아야/EC
한다."	하/VX+ㄴ다/EF+./SF+"/SS


# id : NWRW1800000054.21.10.1
―북핵 문제 해결을 위해 지금 상황에서 더 할 수 있는 일이 뭔가.

―북핵	―/SS+북핵/NNG
문제	문제/NNG
해결을	해결/NNG+을/JKO
위해	위하/VV+아/EC
지금	지금/MAG
상황에서	상황/NNG+에서/JKB
더	더/MAG
할	하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
일이	일/NNG+이/JKS
뭔가.	뭐/NP+이/VCP+ㄴ가/EF+./SF


# id : NWRW1800000054.21.11.1
"북한과 대화 가능성을 열어놓고 더 많은 제재와 압박을 가하고 한반도에 추가로 무기를 배치할 필요가 있다.

"북한과	"/SS+북한/NNP+과/JKB
대화	대화/NNG
가능성을	가능/NNG+성/XSN+을/JKO
열어놓고	열/VV+어/EC+놓/VX+고/EC
더	더/MAG
많은	많/VA+은/ETM
제재와	제재/NNG+와/JC
압박을	압박/NNG+을/JKO
가하고	가하/VV+고/EC
한반도에	한반도/NNP+에/JKB
추가로	추가/NNG+로/JKB
무기를	무기/NNG+를/JKO
배치할	배치/NNG+하/XSV+ㄹ/ETM
필요가	필요/NNG+가/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000054.21.11.2
제재와 압박은 성과가 나타나기 전까지는 실패한 것처럼 보인다.

제재와	제재/NNG+와/JC
압박은	압박/NNG+은/JX
성과가	성과/NNG+가/JKS
나타나기	나타나/VV+기/ETN
전까지는	전/NNG+까지/JX+는/JX
실패한	실패/NNG+하/XSV+ㄴ/ETM
것처럼	것/NNB+처럼/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.21.11.3
하지만 이란 핵 협상에서 봤던 것처럼 서방 제재가 효과를 내면서 이란 측이 협상 테이블로 나왔다.

하지만	하지만/MAJ
이란	이란/NNP
핵	핵/NNG
협상에서	협상/NNG+에서/JKB
봤던	보/VV+았/EP+던/ETM
것처럼	것/NNB+처럼/JKB
서방	서방/NNG
제재가	제재/NNG+가/JKS
효과를	효과/NNG+를/JKO
내면서	내/VV+면서/EC
측이	측/NNB+이/JKS
협상	협상/NNG
테이블로	테이블/NNG+로/JKB
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.21.11.4
다만 트럼프 행정부가 북한을 비핵화 협상 테이블에 앉히기 위해 중국에 영향력을 행사하고 제재 수위를 더 높일 수 있을지는 의문이다."

다만	다만/MAG
트럼프	트럼프/NNP
행정부가	행정부/NNG+가/JKS
북한을	북한/NNP+을/JKO
비핵화	비핵/NNG+화/XSN
협상	협상/NNG
테이블에	테이블/NNG+에/JKB
앉히기	앉히/VV+기/ETN
위해	위하/VV+아/EC
중국에	중국/NNP+에/JKB
영향력을	영향력/NNG+을/JKO
행사하고	행사/NNG+하/XSV+고/EC
제재	제재/NNG
수위를	수위/NNG+를/JKO
더	더/MAG
높일	높이/VV+ㄹ/ETM
수	수/NNB
있을지는	있/VA+을지/EF+는/JX
의문이다."	의문/NNG+이/VCP+다/EF+./SF+"/SS


# id : NWRW1800000054.21.12.1
―김정은 정권의 교체가 대안이라는 주장에 대해선 어떻게 생각하나.

―김정은	―/SS+김정은/NNP
정권의	정권/NNG+의/JKG
교체가	교체/NNG+가/JKS
대안이라는	대안/NNG+이/VCP+라는/ETM
주장에	주장/NNG+에/JKB
대해선	대하/VV+아서/EC+ㄴ/JX
어떻게	어떻/VA+게/EC
생각하나.	생각/NNG+하/XSV+나/EF+./SF


# id : NWRW1800000054.21.13.1
"리처드 아미티지 전 미 국무부 부장관이 한 포럼에서 북한 정권 교체 필요성을 대북 제재의 한 방안으로 강하게 제기했다.

"리처드	"/SS+리처드/NNP
아미티지	아미티지/NNP
전	전/MMD
미	미/NNP
국무부	국무부/NNG
부장관이	부장관/NNG+이/JKS
한	한/MMN
포럼에서	포럼/NNG+에서/JKB
북한	북한/NNP
정권	정권/NNG
교체	교체/NNG
필요성을	필요/NNG+성/XSN+을/JKO
대북	대북/NNG
제재의	제재/NNG+의/JKG
방안으로	방안/NNG+으로/JKB
강하게	강하/VA+게/EC
제기했다.	제기/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.21.13.2
하지만 나는 아직 협상해 볼 시간이 있다고 생각한다."

하지만	하지만/MAJ
나는	나/NP+는/JX
아직	아직/MAG
협상해	협상/NNG+하/XSV+아/EC
볼	보/VX+ㄹ/ETM
시간이	시간/NNG+이/JKS
있다고	있/VA+다고/EC
생각한다."	생각/NNG+하/XSV+ㄴ다/EF+./SF+"/SS


# id : NWRW1800000054.21.14.1
―주한 미 대사로 일하는 동안 북핵 문제 해결을 막는 가장 큰 장애물이 무엇이었나.

―주한	―/SS+주한/NNG
미	미/NNP
대사로	대사/NNG+로/JKB
일하는	일/NNG+하/XSV+는/ETM
동안	동안/NNG
북핵	북핵/NNG
문제	문제/NNG
해결을	해결/NNG+을/JKO
막는	막/VV+는/ETM
가장	가장/MAG
큰	크/VA+ㄴ/ETM
장애물이	장애물/NNG+이/JKS
무엇이었나.	무엇/NP+이/VCP+었/EP+나/EF+./SF


# id : NWRW1800000054.21.15.1
"협상엔 관심 없고 무모한 행동만 하는 김정은 정권이었다.

"협상엔	"/SS+협상/NNG+에/JKB+ㄴ/JX
관심	관심/NNG
없고	없/VA+고/EC
무모한	무모/NNG+하/XSA+ㄴ/ETM
행동만	행동/NNG+만/JX
하는	하/VV+는/ETM
김정은	김정은/NNP
정권이었다.	정권/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000054.21.15.2
김정일도 문제가 많았지만 그래도 협상 의지는 있었기 때문에 북핵 문제 타결 가능성이 지금보다는 컸다.

김정일도	김정일/NNP+도/JX
문제가	문제/NNG+가/JKS
많았지만	많/VA+았/EP+지만/EC
그래도	그러/VV+어도/EC
협상	협상/NNG
의지는	의지/NNG+는/JX
있었기	있/VA+었/EP+기/ETN
때문에	때문/NNB+에/JKB
북핵	북핵/NNG
문제	문제/NNG
타결	타결/NNG
가능성이	가능/NNG+성/XSN+이/JKS
지금보다는	지금/NNG+보다/JKB+는/JX
컸다.	크/VA+었/EP+다/EF+./SF


# id : NWRW1800000054.21.15.3
하지만 김정은 정권은 협상엔 관심 없이 무모한 행동만 하기 때문에 북핵 문제 진전에 가장 큰 장애물이다."

하지만	하지만/MAJ
김정은	김정은/NNP
정권은	정권/NNG+은/JX
협상엔	협상/NNG+에/JKB+ㄴ/JX
관심	관심/NNG
없이	없이/MAG
무모한	무모/NNG+하/XSA+ㄴ/ETM
행동만	행동/NNG+만/JX
하기	하/VV+기/ETN
때문에	때문/NNB+에/JKB
북핵	북핵/NNG
문제	문제/NNG
진전에	진전/NNG+에/JKB
가장	가장/MAG
큰	크/VA+ㄴ/ETM
장애물이다."	장애물/NNG+이/VCP+다/EF+./SF+"/SS


