# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.144
metadata : {}


# id : NWRW1800000021.144.1.1
킹이 된 빈민가 소년

킹이	킹/NNG+이/JKC
차지했다.	차지/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.144.4.2
2003년 신인 드래프트에서 전체 1순위로 뽑힌 뒤 6시즌 만에 영광의 주인공이 됐다.

2003년	2003/SN+년/NNB
신인	신인/NNG
드래프트에서	드래프트/NNG+에서/JKB
전체	전체/NNG
1순위로	1/SN+순위/NNG+로/JKB
뽑힌	뽑히/VV+ㄴ/ETM
뒤	뒤/NNG
6시즌	6/SN+시즌/NNG
만에	만/NNB+에/JKB
영광의	영광/NNG+의/JKG
주인공이	주인공/NNG+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.144.4.3
정규시즌 종료일 기준으로 24세 106일로 수상하게 돼 1979년 모지스 말론(24세 16일) 이후 최연소 MVP가 됐다.

정규시즌	정규/NNG+시즌/NNG
종료일	종료일/NNG
기준으로	기준/NNG+으로/JKB
24세	24/SN+세/NNB
106일로	106/SN+일/NNB+로/JKB
수상하게	수상/NNG+하/XSV+게/EC
돼	되/VV+어/EC
1979년	1979/SN+년/NNB
모지스	모지스/NNP
말론(24세	말론/NNP+(/SS+24/SN+세/NNB
16일)	16/SN+일/NNB+)/SS
이후	이후/NNG
최연소	최/XPN+연소/NNG
MVP가	MVP/SL+가/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.144.5.1
자신의 땀이 밴 모교 체육관에서 어머니와 함께 트로피를 안은 제임스는 “내 모든 꿈이 여기서 시작됐다.

자신의	자신/NNG+의/JKG
땀이	땀/NNG+이/JKS
밴	배/VV+ㄴ/ETM
모교	모교/NNG
체육관에서	체육관/NNG+에서/JKB
어머니와	어머니/NNG+와/JKB
함께	함께/MAG
트로피를	트로피/NNG+를/JKO
안은	안/VV+은/ETM
제임스는	제임스/NNP+는/JX
“내	“/SS+나/NP+의/JKG
모든	모든/MMN
꿈이	꿈/NNG+이/JKS
여기서	여기/NP+서/JKB
시작됐다.	시작/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000021.144.5.2
이렇게 빨리 이 상을 받을 줄 몰랐다”며 감격스러워 했다.

이렇게	이렇/VA+게/EC
빨리	빨리/MAG
이	이/MMD
상을	상/NNG+을/JKO
받을	받/VV+을/ETM
줄	줄/NNB
몰랐다”며	모르/VV+았/EP+다/EF+”/SS+며/EC
감격스러워	감격/NNG+스럽/XSA+어/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000021.144.5.3
올 시즌 제임스는 평균 28.4득점, 7.6리바운드, 7.2어시스트를 올리며 클리블랜드 선수로는 처음으로 MVP를 수상했다.

올	올/NNG
시즌	시즌/NNG
제임스는	제임스/NNP+는/JX
평균	평균/NNG
28.4득점,	28/SN+./SP+4/SN+득점/NNG+,/SP
7.6리바운드,	7/SN+./SP+6/SN+리바운드/NNG+,/SP
7.2어시스트를	7/SN+./SP+2/SN+어시스트/NNG+를/JKO
올리며	올리/VV+며/EC
클리블랜드	클리블랜드/NNP
선수로는	선수/NNG+로/JKB+는/JX
처음으로	처음/NNG+으로/JKB
MVP를	MVP/SL+를/JKO
수상했다.	수상/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.144.5.4
눈부신 공격력에 끈끈한 수비 능력까지 펼쳐 자신의 우상인 마이클 조든의 플레이에 더욱 가까워졌다는 평가를 들었다.

눈부신	눈부시/VA+ㄴ/ETM
공격력에	공격력/NNG+에/JKB
끈끈한	끈끈하/VA+ㄴ/ETM
수비	수비/NNG
능력까지	능력/NNG+까지/JX
펼쳐	펼치/VV+어/EC
자신의	자신/NNG+의/JKG
우상인	우상/NNG+이/VCP+ㄴ/ETM
마이클	마이클/NNP
조든의	조든/NNP+의/JKG
플레이에	플레이/NNG+에/JKB
더욱	더욱/MAG
가까워졌다는	가깝/VA+어/EC+지/VX+었/EP+다는/ETM
평가를	평가/NNG+를/JKO
들었다.	듣/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.144.6.1
홈구장에서 열리는 예년 시상식과 달리 모교에서 상을 받기를 원했던 제임스는 시상식 스폰서인 기아자동차가 제공한 스포츠유틸리티차량을 이 지역의 자선단체에 기증했다.

홈구장에서	홈구장/NNG+에서/JKB
열리는	열리/VV+는/ETM
예년	예년/NNG
시상식과	시상식/NNG+과/JKB
달리	달리/MAG
모교에서	모교/NNG+에서/JKB
상을	상/NNG+을/JKO
받기를	받/VV+기/ETN+를/JKO
원했던	원/NNG+하/XSV+았/EP+던/ETM
제임스는	제임스/NNP+는/JX
시상식	시상식/NNG
스폰서인	스폰서/NNG+이/VCP+ㄴ/ETM
기아자동차가	기아자동차/NNP+가/JKS
제공한	제공/NNG+하/XSV+ㄴ/ETM
스포츠유틸리티차량을	스포츠/NNG+유틸리티/NNG+차량/NNG+을/JKO
이	이/MMD
지역의	지역/NNG+의/JKG
자선단체에	자선/NNG+단체/NNG+에/JKB
기증했다.	기증/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.144.6.2
포스트시즌에서 더욱 위력을 떨치고 있는 제임스.

포스트시즌에서	포스트시즌/NNG+에서/JKB
더욱	더욱/MAG
위력을	위력/NNG+을/JKO
떨치고	떨치/VV+고/EC
있는	있/VX+는/ETM
제임스.	제임스/NNP+./SF


# id : NWRW1800000021.144.6.3
그의 팀은 6일부터 애틀랜타 호크스와의 동부콘퍼런스 4강 플레이오프에 들어간다.

그의	그/NP+의/JKG
팀은	팀/NNG+은/JX
6일부터	6/SN+일/NNB+부터/JX
애틀랜타	애틀랜타/NNP
호크스와의	호크스/NNP+와/JKB+의/JKG
동부콘퍼런스	동부/NNG+콘퍼런스/NNG
4강	4/SN+강/NNB
플레이오프에	플레이오프/NNG+에/JKB
들어간다.	들어가/VV+ㄴ다/EF+./SF


