# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.304
metadata : {}


# id : NWRW1800000036.304.1.1
UFC, 내년 5월 한국서 열린다

UFC,	UFC/SL+,/SP
5월엔	5/SN+월/NNB+에/JKB+ㄴ/JX
한국에서	한국/NNP+에서/JKB
세계적인	세계/NNG+적/XSN+이/VCP+ㄴ/ETM
격투사들의	격투사/NNG+들/XSN+의/JKG
경기	경기/NNG
모습을	모습/NNG+을/JKO
직접	직접/MAG
볼	보/VV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.304.4.2
그는 또 “현재 개최 도시로는 경기도 고양시가 유력하다.

그는	그/NP+는/JX
또	또/MAG
“현재	“/SS+현재/MAG
개최	개최/NNG
도시로는	도시/NNG+로/JKB+는/JX
경기도	경기도/NNP
고양시가	고양시/NNP+가/JKS
유력하다.	유력/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000036.304.4.3
최근 고양시 관계자들과 실무협상을 하고 있다”고 밝혔다.

최근	최근/MAG
고양시	고양시/NNP
관계자들과	관계자/NNG+들/XSN+과/JKB
실무협상을	실무/NNG+협상/NNG+을/JKO
하고	하/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.304.5.1
또 복수의 국내 대기업이 유에프시의 국내 개최권을 보유하는 데 깊은 관심을 보이고 있다고 피셔 지사장은 덧붙였다.

또	또/MAG
복수의	복수/NNG+의/JKG
국내	국내/NNG
대기업이	대/XPN+기업/NNG+이/JKS
유에프시의	유에프시/NNP+의/JKG
개최권을	개최/NNG+권/XSN+을/JKO
보유하는	보유/NNG+하/XSV+는/ETM
데	데/NNB
깊은	깊/VA+은/ETM
관심을	관심/NNG+을/JKO
보이고	보이/VV+고/EC
있다고	있/VX+다고/EC
피셔	피셔/NNP
지사장은	지사장/NNG+은/JX
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.304.5.2
특히 여러개의 유선 텔레비전 방송을 운영하고 있는 한 대기업은 유에프시 국내 유치를 위해 8일 라스베이거스에서 열리는 ‘유에프시 148’ 경기에 그룹 고위임원이 직접 현장을 보러 올 계획으로 있다.

특히	특히/MAG
여러개의	여러/MMN+개/NNB+의/JKG
유선	유선/NNG
텔레비전	텔레비전/NNG
방송을	방송/NNG+을/JKO
운영하고	운영/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
한	한/MMN
대기업은	대/XPN+기업/NNG+은/JX
유에프시	유에프시/NNP
국내	국내/NNG
유치를	유치/NNG+를/JKO
위해	위하/VV+아/EC
8일	8/SN+일/NNB
라스베이거스에서	라스베이거스/NNP+에서/JKB
열리는	열리/VV+는/ETM
‘유에프시	‘/SS+유에프시/NNP
148’	148/SN+’/SS
경기에	경기/NNG+에/JKB
그룹	그룹/NNG
고위임원이	고위/NNG+임원/NNG+이/JKS
직접	직접/MAG
현장을	현장/NNG+을/JKO
보러	보/VV+러/EC
올	오/VV+ㄹ/ETM
계획으로	계획/NNG+으로/JKB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000036.304.5.3
유에프시는 이 대기업에 약 20억원의 중계권 사용료를 제시한 것으로 알려졌다.

유에프시는	유에프시/NNP+는/JX
이	이/MMD
대기업에	대/XPN+기업/NNG+에/JKB
약	약/MMA
20억원의	20/SN+억/NR+원/NNB+의/JKG
중계권	중계/NNG+권/XSN
사용료를	사용료/NNG+를/JKO
제시한	제시/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.304.5.4
유에프시가 한국에서 열릴 경우 ‘코리안 좀비’ 정찬성과 ‘격투기의 지존’ 김동현 등의 경기 모습을 국내 팬들이 직접 안방에서 볼 수 있다.

유에프시가	유에프시/NNP+가/JKS
한국에서	한국/NNP+에서/JKB
열릴	열리/VV+ㄹ/ETM
경우	경우/NNG
‘코리안	‘/SS+코리안/NNP
좀비’	좀비/NNG+’/SS
정찬성과	정찬성/NNP+과/JC
‘격투기의	‘/SS+격투기/NNG+의/JKG
지존’	지존/NNG+’/SS
김동현	김동현/NNP
등의	등/NNB+의/JKG
경기	경기/NNG
모습을	모습/NNG+을/JKO
국내	국내/NNG
팬들이	팬/NNG+들/XSN+이/JKS
직접	직접/MAG
안방에서	안방/NNG+에서/JKB
볼	보/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000036.304.6.1
피셔 지사장은 “이종격투기의 새로운 시장으로 아시아가 급부상하고 있다.

피셔	피셔/NNP
지사장은	지사장/NNG+은/JX
“이종격투기의	“/SS+이종/NNG+격투기/NNG+의/JKG
새로운	새롭/VA+ㄴ/ETM
시장으로	시장/NNG+으로/JKB
아시아가	아시아/NNP+가/JKS
급부상하고	급부상/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.304.6.2
특히 한국은 뛰어난 선수들이 계속 배출되고 있어 아시아 흥행의 중심으로 성장하고 있다”고 말했다.

특히	특히/MAG
한국은	한국/NNP+은/JX
뛰어난	뛰어나/VA+ㄴ/ETM
선수들이	선수/NNG+들/XSN+이/JKS
계속	계속/MAG
배출되고	배출/NNG+되/XSV+고/EC
있어	있/VX+어/EC
아시아	아시아/NNP
흥행의	흥행/NNG+의/JKG
중심으로	중심/NNG+으로/JKB
성장하고	성장/NNG+하/XSV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.304.6.3
유에프시는 2010년 10월 아시아본부를 중국에 설치하며 본격적인 아시아 시장 공략에 나섰다.

유에프시는	유에프시/NNP+는/JX
2010년	2010/SN+년/NNB
10월	10/SN+월/NNB
아시아본부를	아시아/NNP+본부/NNG+를/JKO
중국에	중국/NNP+에/JKB
설치하며	설치/NNG+하/XSV+며/EC
본격적인	본격/NNG+적/XSN+이/VCP+ㄴ/ETM
아시아	아시아/NNP
시장	시장/NNG
공략에	공략/NNG+에/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


