# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.215
metadata : {}


# id : NWRW1800000037.215.1.1
[휴지통]술만 취하면… 1000여차례 ‘허위 신고왕’

[휴지통]술만	[/SS+휴지통/NNG+]/SS+술/NNG+만/JX
것들이었다.	것/NNB+들/XSN+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000037.215.3.3
경찰이 막상 현장에 가 보면 별다른 일이 발생하지 않은 경우가 대부분이었다.

경찰이	경찰/NNG+이/JKS
막상	막상/MAG
현장에	현장/NNG+에/JKB
가	가/VV+아/EC
보면	보/VX+면/EC
별다른	별다르/VA+ㄴ/ETM
일이	일/NNG+이/JKS
발생하지	발생/NNG+하/XSV+지/EC
않은	않/VX+은/ETM
경우가	경우/NNG+가/JKS
대부분이었다.	대/XPN+부분/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000037.215.3.4
신고자 임모 씨(66)는 술에 거나하게 취한 채 출동한 경찰에게 “내가 누군 줄 아느냐.

신고자	신고자/NNG
임모	임/NNP+모/NP
씨(66)는	씨/NNB+(/SS+66/SN+)/SS+는/JX
술에	술/NNG+에/JKB
거나하게	거나하/VA+게/EC
취한	취하/VV+ㄴ/ETM
채	채/NNB
출동한	출동/NNG+하/XSV+ㄴ/ETM
경찰에게	경찰/NNG+에게/JKB
“내가	“/SS+내/NP+가/JKS
누군	누구/NP+이/VCP+ㄴ/ETM
줄	줄/NNB
아느냐.	알/VV+느냐/EF+./SF


# id : NWRW1800000037.215.3.5
인사 똑바로 하지 않으면 청와대 사람 부르겠다”며 경찰을 종 부리듯 했다.

인사	인사/NNG
똑바로	똑바로/MAG
하지	하/VV+지/EC
않으면	않/VX+으면/EC
청와대	청와대/NNP
사람	사람/NNG
부르겠다”며	부르/VV+겠/EP+다/EF+”/SS+며/EC
경찰을	경찰/NNG+을/JKO
종	종/NNG
부리듯	부리/VV+듯/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000037.215.3.6
심지어는 허위 신고를 받고 출동한 경찰에게 “하계역까지만 순찰차로 태워 달라”고 조르기도 했다.

심지어는	심지어/MAG+는/JX
허위	허위/NNG
신고를	신고/NNG+를/JKO
받고	받/VV+고/EC
출동한	출동/NNG+하/XSV+ㄴ/ETM
경찰에게	경찰/NNG+에게/JKB
“하계역까지만	“/SS+하계역/NNP+까지/JX+만/JX
순찰차로	순찰차/NNG+로/JKB
태워	태우/VV+어/EC
달라”고	달/VX+라/EF+”/SS+고/JKQ
조르기도	조르/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000037.215.3.7
이런 식으로 임 씨는 술만 마시면 112 버튼을 눌렀다.

이런	이런/MMD
식으로	식/NNB+으로/JKB
임	임/NNP
씨는	씨/NNB+는/JX
술만	술/NNG+만/JX
마시면	마시/VV+면/EC
112	112/SN
버튼을	버튼/NNG+을/JKO
눌렀다.	누르/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.215.4.1
임 씨의 신고는 여기서 끝나지 않았다.

임	임/NNP
씨의	씨/NNB+의/JKG
신고는	신고/NNG+는/JX
여기서	여기/NP+서/JKB
끝나지	끝나/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000037.215.4.2
그는 노원경찰서 청문감사실, 서장실, 182경찰민원콜센터에까지 계속 전화를 해 경찰에게 욕설을 퍼부었다.

그는	그/NP+는/JX
노원경찰서	노원경찰서/NNP
청문감사실,	청문/NNG+감사실/NNG+,/SP
서장실,	서장실/NNG+,/SP
182경찰민원콜센터에까지	182/SN+경찰/NNG+민원/NNG+콜센터/NNG+에/JKB+까지/JX
계속	계속/MAG
전화를	전화/NNG+를/JKO
해	하/VV+아/EC
경찰에게	경찰/NNG+에게/JKB
욕설을	욕설/NNG+을/JKO
퍼부었다.	퍼붓/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.215.4.3
8월까지 그가 112를 통해 신고한 횟수는 310여 건.

8월까지	8/SN+월/NNB+까지/JX
그가	그/NP+가/JKS
112를	112/SN+를/JKO
통해	통하/VV+아/EC
신고한	신고/NNG+하/XSV+ㄴ/ETM
횟수는	횟수/NNG+는/JX
310여	310/SN+여/XSN
건.	건/NNB+./SF


# id : NWRW1800000037.215.4.4
182센터, 청문감사실에 신고한 것까지 포함하면 무려 1000여 건에 달한다.

182센터,	182/SN+센터/NNG+,/SP
청문감사실에	청문/NNG+감사실/NNG+에/JKB
신고한	신고/NNG+하/XSV+ㄴ/ETM
것까지	것/NNB+까지/JX
포함하면	포함/NNG+하/XSV+면/EC
무려	무려/MAG
1000여	1000/SN+여/XSN
건에	건/NNB+에/JKB
달한다.	달하/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.215.5.1
19일 저녁, 임 씨는 오후 7시 42분부터 3시간 동안 총 41회의 112신고를 연달아 한 뒤 “경찰이 신고를 해도 조치를 취하지 않는다”며 직접 지구대로 찾아왔다.

19일	19/SN+일/NNB
저녁,	저녁/NNG+,/SP
임	임/NNP
씨는	씨/NNB+는/JX
오후	오후/NNG
7시	7/SN+시/NNB
42분부터	42/SN+분/NNB+부터/JX
3시간	3/SN+시간/NNB
동안	동안/NNG
총	총/MMA
41회의	41/SN+회/NNB+의/JKG
112신고를	112/SN+신고/NNG+를/JKO
연달아	연달/VV+아/EC
한	하/VV+ㄴ/ETM
뒤	뒤/NNG
“경찰이	“/SS+경찰/NNG+이/JKS
신고를	신고/NNG+를/JKO
해도	하/VV+아도/EC
조치를	조치/NNG+를/JKO
취하지	취하/VV+지/EC
않는다”며	않/VX+는다/EF+”/SS+며/EC
직접	직접/MAG
지구대로	지구대/NNG+로/JKB
찾아왔다.	찾아오/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.215.5.2
경찰은 현장에서 공무집행방해 혐의 등으로 그를 불구속 입건했다.

경찰은	경찰/NNG+은/JX
현장에서	현장/NNG+에서/JKB
공무집행방해	공무/NNG+집행/NNG+방해/NNG
혐의	혐의/NNG
등으로	등/NNB+으로/JKB
그를	그/NP+를/JKO
불구속	불/XPN+구속/NNG
입건했다.	입건/NNG+하/XSV+았/EP+다/EF+./SF


