# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.8
metadata : {}


# id : NWRW1800000049.8.1.1
[미래로 뛰는 한국기업]신소재 탄소섬유-폴리케톤 원천 기술력 자랑

[미래로	[/SS+미래/NNG+로/JKB
사용될	사용/NNG+되/XSV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
정도로	정도/NNG+로/JKB
광범위한	광범위/NNG+하/XSA+ㄴ/ETM
사용처를	사용처/NNG+를/JKO
자랑한다.	자랑/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.8.4.1
효성이 탄소섬유를 개발하기 전까지 국내 탄소섬유 시장은 2012년까지 전량 수입에 의존했다.

효성이	효성/NNP+이/JKS
탄소섬유를	탄소/NNG+섬유/NNG+를/JKO
개발하기	개발/NNG+하/XSV+기/ETN
전까지	전/NNG+까지/JX
국내	국내/NNG
탄소섬유	탄소/NNG+섬유/NNG
시장은	시장/NNG+은/JX
2012년까지	2012/SN+년/NNB+까지/JX
전량	전량/NNG
수입에	수입/NNG+에/JKB
의존했다.	의존/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.8.4.2
효성이 상용화 설비를 가동해 자체 수급을 하기 시작한 뒤 이에 따른 수입대체 효과도 크다.

효성이	효성/NNP+이/JKS
상용화	상용/NNG+화/XSN
설비를	설비/NNG+를/JKO
가동해	가동/NNG+하/XSV+아/EC
자체	자체/NNG
수급을	수급/NNG+을/JKO
하기	하/VV+기/ETN
시작한	시작/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
이에	이/NP+에/JKB
따른	따르/VV+ㄴ/ETM
수입대체	수입/NNG+대체/NNG
효과도	효과/NNG+도/JX
크다.	크/VA+다/EF+./SF


# id : NWRW1800000049.8.5.1
효성 관계자는 “탄소섬유 사업은 다양한 용도 개발이 가능해 연간 12% 이상의 시장 성장률을 보이고 있을 정도로 급속하게 확대되고 있어 신성장사업의 중추적 역할을 하고 있다”고 말했다.

효성	효성/NNP
관계자는	관계자/NNG+는/JX
“탄소섬유	“/SS+탄소/NNG+섬유/NNG
사업은	사업/NNG+은/JX
다양한	다양/NNG+하/XSA+ㄴ/ETM
용도	용도/NNG
개발이	개발/NNG+이/JKS
가능해	가능/NNG+하/XSA+아/EC
연간	연간/NNG
12%	12/SN+%/SW
이상의	이상/NNG+의/JKG
시장	시장/NNG
성장률을	성장/NNG+률/XSN+을/JKO
보이고	보이/VV+고/EC
있을	있/VX+을/ETM
정도로	정도/NNG+로/JKB
급속하게	급속/NNG+하/XSA+게/EC
확대되고	확대/NNG+되/XSV+고/EC
있어	있/VX+어/EC
신성장사업의	신/XPN+성장/NNG+사업/NNG+의/JKG
중추적	중추/NNG+적/XSN
역할을	역할/NNG+을/JKO
하고	하/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.8.6.1
효성은 원천기술 확보 후에도 꾸준한 연구를 통해 탄소섬유 성형재료(Prepreg), 압력용기용 탄소섬유 등을 개발했다.

효성은	효성/NNP+은/JX
원천기술	원천/NNG+기술/NNG
확보	확보/NNG
후에도	후/NNG+에/JKB+도/JX
꾸준한	꾸준하/VA+ㄴ/ETM
연구를	연구/NNG+를/JKO
통해	통하/VV+아/EC
탄소섬유	탄소/NNG+섬유/NNG
성형재료(Prepreg),	성형/NNG+재료/NNG+(/SS+Prepreg/SL+)/SS+,/SP
압력용기용	압력/NNG+용기/NNG+용/XSN
등을	등/NNB+을/JKO
개발했다.	개발/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.8.6.2
이달 초 프랑스 파리에서 열린 세계 최대 복합재료 전시회인 ‘JEC World 2016’에 참가해 실제 압축천연가스(CNG) 고압 용기, 전선 심재, 화살 등 다양한 제품들을 대거 선보였다.

이달	이달/NNG
초	초/NNB
프랑스	프랑스/NNP
파리에서	파리/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
세계	세계/NNG
최대	최대/NNG
복합재료	복합/NNG+재료/NNG
전시회인	전시회/NNG+이/VCP+ㄴ/ETM
‘JEC	‘/SS+JEC/SL
World	World/SL
2016’에	2016/SN+’/SS+에/JKB
참가해	참가/NNG+하/XSV+아/EC
실제	실제/NNG
압축천연가스(CNG)	압축/NNG+천연가스/NNG+(/SS+CNG/SL+)/SS
고압	고압/NNG
용기,	용기/NNG+,/SP
전선	전선/NNG
심재,	심재/NNG+,/SP
화살	화살/NNG
등	등/NNB
다양한	다양/NNG+하/XSA+ㄴ/ETM
제품들을	제품/NNG+들/XSN+을/JKO
대거	대거/MAG
선보였다.	선보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.8.7.1
대기오염의 주범인 일산화탄소를 원료로 하는 친환경 소재 폴리케톤도 효성이 자랑하는 신성장동력 중 하나다.

대기오염의	대기/NNG+오염/NNG+의/JKG
주범인	주범/NNG+이/VCP+ㄴ/ETM
일산화탄소를	일산화/NNG+탄소/NNG+를/JKO
원료로	원료/NNG+로/JKB
하는	하/VV+는/ETM
친환경	친/XPN+환경/NNG
소재	소재/NNG
폴리케톤도	폴리케톤/NNG+도/JX
효성이	효성/NNP+이/JKS
자랑하는	자랑/NNG+하/XSV+는/ETM
신성장동력	신/XPN+성장/NNG+동력/NNG
중	중/NNB
하나다.	하나/NR+이/VCP+다/EF+./SF


# id : NWRW1800000049.8.7.2
폴리케톤은 나일론보다 내마모성, 내화학성 등이 뛰어나 차세대 엔지니어링 플라스틱 소재로 각광받고 있다.

폴리케톤은	폴리케톤/NNG+은/JX
나일론보다	나일론/NNG+보다/JKB
내마모성,	내마모/NNG+성/XSN+,/SP
내화학성	내화학/NNG+성/XSN
등이	등/NNB+이/JKS
뛰어나	뛰어나/VA+아/EC
차세대	차세대/NNG
엔지니어링	엔지니어링/NNG
플라스틱	플라스틱/NNG
소재로	소재/NNG+로/JKB
각광받고	각광/NNG+받/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.8.8.1
효성은 10여 년 동안 폴리케톤 개발에 약 500억 원의 연구개발 비용을 투자했다.

효성은	효성/NNP+은/JX
10여	10/SN+여/XSN
년	년/NNB
동안	동안/NNG
폴리케톤	폴리케톤/NNG
개발에	개발/NNG+에/JKB
약	약/MMA
500억	500/SN+억/NR
원의	원/NNB+의/JKG
연구개발	연구/NNG+개발/NNG
비용을	비용/NNG+을/JKO
투자했다.	투자/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.8.8.2
2010년 산업통상자원부의 세계 10대 일류소재기술(WPM·World Premier Material) 사업 국책 과제로 선정돼 연구 지원을 받는 성과도 거뒀다.

2010년	2010/SN+년/NNB
산업통상자원부의	산업/NNG+통상/NNG+자원부/NNG+의/JKG
세계	세계/NNG
10대	10/SN+대/NNG
일류소재기술(WPM·World	일류/NNG+소재/NNG+기술/NNG+(/SS+WPM/SL+·/SP+World/SL
Premier	Premier/SL
Material)	Material/SL+)/SS
사업	사업/NNG
국책	국책/NNG
과제로	과제/NNG+로/JKB
선정돼	선정/NNG+되/XSV+어/EC
연구	연구/NNG
지원을	지원/NNG+을/JKO
받는	받/VV+는/ETM
성과도	성과/NNG+도/JX
거뒀다.	거두/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.8.9.1
효성은 올해 연산 1000t 규모의 폴리케톤 소재 생산 공장과 연산 5만 t 규모의 상용 공장을 바탕으로 본격적인 국내 및 글로벌 시장 공략에 나선다.

효성은	효성/NNP+은/JX
올해	올해/NNG
연산	연산/NNG
1000t	1000/SN+t/SW
규모의	규모/NNG+의/JKG
폴리케톤	폴리케톤/NNG
소재	소재/NNG
생산	생산/NNG
공장과	공장/NNG+과/JC
5만	5/SN+만/NR
t	t/SW
상용	상용/NNG
공장을	공장/NNG+을/JKO
바탕으로	바탕/NNG+으로/JKB
본격적인	본격/NNG+적/XSN+이/VCP+ㄴ/ETM
국내	국내/NNG
및	및/MAG
글로벌	글로벌/NNG
시장	시장/NNG
공략에	공략/NNG+에/JKB
나선다.	나서/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.8.9.2
효성 측은 자동차·전기전자 분야 내외장재 및 연료계통 부품 등 고부가 엔지니어링 플라스틱 용도로 적용될 수 있을 것으로 기대하고 있다.

효성	효성/NNP
측은	측/NNB+은/JX
자동차·전기전자	자동차/NNG+·/SP+전기/NNG+전자/NNG
분야	분야/NNG
내외장재	내외장재/NNG
및	및/MAG
연료계통	연료/NNG+계통/NNG
부품	부품/NNG
등	등/NNB
고부가	고/XPN+부가/NNG
엔지니어링	엔지니어링/NNG
플라스틱	플라스틱/NNG
용도로	용도/NNG+로/JKB
적용될	적용/NNG+되/XSV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것으로	것/NNB+으로/JKB
기대하고	기대/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.8.10.1
효성은 지난해 중국 광저우에서 개최된 세계 3대 플라스틱 산업 전시회 ‘차이나플라스(Chinaplas) 2015’ 전시회 참여를 기점으로 한국, 중국, 일본 등 아시아 지역과 미국, 유럽 등지에서 시장 개척에 나서고 있다.

효성은	효성/NNP+은/JX
지난해	지난해/NNG
중국	중국/NNP
광저우에서	광저우/NNP+에서/JKB
개최된	개최/NNG+되/XSV+ㄴ/ETM
세계	세계/NNG
3대	3/SN+대/NNG
플라스틱	플라스틱/NNG
산업	산업/NNG
전시회	전시회/NNG
‘차이나플라스(Chinaplas)	‘/SS+차이나플라스/NNG+(/SS+Chinaplas/SL+)/SS
2015’	2015/SN+’/SS
참여를	참여/NNG+를/JKO
기점으로	기점/NNG+으로/JKB
한국,	한국/NNP+,/SP
중국,	중국/NNP+,/SP
일본	일본/NNP
등	등/NNB
아시아	아시아/NNP
지역과	지역/NNG+과/JC
미국,	미국/NNP+,/SP
유럽	유럽/NNP
등지에서	등지/NNB+에서/JKB
시장	시장/NNG
개척에	개척/NNG+에/JKB
나서고	나서/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.8.10.2
기존 엔지니어링 플라스틱 소재 대비 폴리케톤만이 갖는 내마모성, 내화학성, 기체 차단성 등 제품의 장점을 살린 마케팅 활동으로 시장에서의 점유율을 높여갈 계획이다.

기존	기존/NNG
엔지니어링	엔지니어링/NNG
플라스틱	플라스틱/NNG
소재	소재/NNG
대비	대비/NNG
폴리케톤만이	폴리케톤/NNG+만/JX+이/JKS
갖는	갖/VV+는/ETM
내마모성,	내마모/NNG+성/XSN+,/SP
내화학성,	내화학/NNG+성/XSN+,/SP
기체	기체/NNG
차단성	차단/NNG+성/XSN
등	등/NNB
제품의	제품/NNG+의/JKG
장점을	장점/NNG+을/JKO
살린	살리/VV+ㄴ/ETM
마케팅	마케팅/NNG
활동으로	활동/NNG+으로/JKB
시장에서의	시장/NNG+에서/JKB+의/JKG
점유율을	점유/NNG+율/XSN+을/JKO
높여갈	높이/VV+어/EC+가/VX+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.8.11.1
효성 중공업사업 부문도 신성장동력 중 하나다.

효성	효성/NNP
중공업사업	중공업/NNG+사업/NNG
부문도	부문/NNG+도/JX
신성장동력	신/XPN+성장/NNG+동력/NNG
중	중/NNB
하나다.	하나/NR+이/VCP+다/EF+./SF


# id : NWRW1800000049.8.11.2
2014년 흑자로 전환한 뒤 지난해에는 영업이익 1522억 원을 기록하는 등 눈에 띄는 실적 회복을 이루었다.

2014년	2014/SN+년/NNB
흑자로	흑자/NNG+로/JKB
전환한	전환/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
지난해에는	지난해/NNG+에/JKB+는/JX
영업이익	영업/NNG+이익/NNG
1522억	1522/SN+억/NR
원을	원/NNB+을/JKO
기록하는	기록/NNG+하/XSV+는/ETM
등	등/NNB
눈에	눈/NNG+에/JKB
띄는	띄/VV+는/ETM
실적	실적/NNG
회복을	회복/NNG+을/JKO
이루었다.	이루/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.8.11.3
미국, 사우디, 유럽 등 다양한 해외 시장을 중심으로 한 영업활동 강화와 동시에 품질 혁신을 통한 제품 경쟁력을 확보했다고 평가받고 있다.

미국,	미국/NNP+,/SP
사우디,	사우디/NNP+,/SP
유럽	유럽/NNP
등	등/NNB
다양한	다양/NNG+하/XSA+ㄴ/ETM
해외	해외/NNG
시장을	시장/NNG+을/JKO
중심으로	중심/NNG+으로/JKB
한	하/VV+ㄴ/ETM
영업활동	영업/NNG+활동/NNG
강화와	강화/NNG+와/JKB
동시에	동시/NNG+에/JKB
품질	품질/NNG
혁신을	혁신/NNG+을/JKO
통한	통하/VV+ㄴ/ETM
제품	제품/NNG
경쟁력을	경쟁력/NNG+을/JKO
확보했다고	확보/NNG+하/XSV+았/EP+다고/EC
평가받고	평가/NNG+받/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.8.12.1
조현준 효성 사장은 “효성은 고부가가치 에너지 신사업 아이템을 새로운 도약의 기반으로 삼고 있다”며 “이를 기반으로 글로벌 선도업체 수준의 전력에너지 토털솔루션 공급업체로 성장할 수 있도록 사업 확대 및 역량 확보에 더욱 주력할 방침”이라고 말했다.

조현준	조현준/NNP
효성	효성/NNP
사장은	사장/NNG+은/JX
“효성은	“/SS+효성/NNP+은/JX
고부가가치	고/XPN+부가/NNG+가치/NNG
에너지	에너지/NNG
신사업	신/XPN+사업/NNG
아이템을	아이템/NNG+을/JKO
새로운	새롭/VA+ㄴ/ETM
도약의	도약/NNG+의/JKG
기반으로	기반/NNG+으로/JKB
삼고	삼/VV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“이를	“/SS+이/NP+를/JKO
글로벌	글로벌/NNG
선도업체	선도/NNG+업체/NNG
수준의	수준/NNG+의/JKG
전력에너지	전력/NNG+에너지/NNG
토털솔루션	토털/NNG+솔루션/NNG
공급업체로	공급업체/NNG+로/JKB
성장할	성장/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
사업	사업/NNG
확대	확대/NNG
및	및/MAG
역량	역량/NNG
확보에	확보/NNG+에/JKB
더욱	더욱/MAG
주력할	주력/NNG+하/XSV+ㄹ/ETM
방침”이라고	방침/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


