# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.309
metadata : {}


# id : NWRW1800000030.309.1.1
"신공항 당장은 부적절" 金총리, 李대통령에게 보고

"신공항	"/SS+신/XPN+공항/NNG
입지평가단은	입지/NNG+평가단/NNG+은/JX
30일	30/SN+일/NNB
오후	오후/NNG
3시	3/SN+시/NNB
30분	30/SN+분/NNB
정부과천청사에서	정부과천청사/NNP+에서/JKB
신공항	신/XPN+공항/NNG
입지	입지/NNG
선정을	선정/NNG+을/JKO
놓고	놓/VV+고/EC
경쟁을	경쟁/NNG+을/JKO
벌여온	벌이/VV+어/EC+오/VX+ㄴ/ETM
경남	경남/NNP
밀양과	밀양/NNP+과/JC
부산	부산/NNP
가덕도에	가덕도/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
평가	평가/NNG
결과를	결과/NNG+를/JKO
공개한다.	공개/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000030.309.5.2
정부는 평가단 발표에 이어 김황식 국무총리 주재로 관계 장관 회의를 거친 뒤 김 총리가 서울 세종로 정부중앙청사에서 신공항 입지 선정 평가 결과에 대한 정부의 공식 입장을 발표할 예정이다.

정부는	정부/NNG+는/JX
평가단	평가단/NNG
발표에	발표/NNG+에/JKB
이어	잇/VV+어/EC
김황식	김황식/NNP
국무총리	국무총리/NNG
주재로	주재/NNG+로/JKB
관계	관계/NNG
장관	장관/NNG
회의를	회의/NNG+를/JKO
거친	거치/VV+ㄴ/ETM
뒤	뒤/NNG
김	김/NNP
총리가	총리/NNG+가/JKS
서울	서울/NNP
세종로	세종로/NNP
정부중앙청사에서	정부중앙청사/NNP+에서/JKB
신공항	신/XPN+공항/NNG
입지	입지/NNG
선정	선정/NNG
평가	평가/NNG
결과에	결과/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
정부의	정부/NNG+의/JKG
공식	공식/NNG
입장을	입장/NNG+을/JKO
발표할	발표/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


