# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.86
metadata : {}


# id : NWRW1800000046.86.1.1
"빠르게 발전한 한국 농업기술, 개도국 희망이 됐죠"

"빠르게	"/SS+빠르/VA+게/EC
발전한	발전/NNG+하/XSV+ㄴ/ETM
CGRFA는 동·식물, 산림, 수산 등 4개 분야 유전자원의 지속 가능한 이용과 보존을 위해 1983년 설치된 기구로 인류 기아와 빈곤 퇴출이 첫째 목표다.

CGRFA는	CGRFA/SL+는/JX
동·식물,	동·식물/NNG+,/SP
산림,	산림/NNG+,/SP
수산	수산/NNG
등	등/NNB
4개	4/SN+개/NNB
분야	분야/NNG
유전자원의	유전자원/NNG+의/JKG
지속	지속/NNG
가능한	가능/NNG+하/XSA+ㄴ/ETM
이용과	이용/NNG+과/JC
보존을	보존/NNG+을/JKO
위해	위하/VV+아/EC
1983년	1983/SN+년/NNB
설치된	설치/NNG+되/XSV+ㄴ/ETM
기구로	기구/NNG+로/JKB
인류	인류/NNG
기아와	기아/NNG+와/JC
빈곤	빈곤/NNG
퇴출이	퇴출/NNG+이/JKS
첫째	첫째/NR
목표다.	목표/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.86.5.2
세계 178개국과 유럽연합(EU)을 회원국으로 하는 이 위원회에서 조 박사는 동아시아 국가 대표 가운데 처음 선출된 의장이다.

세계	세계/NNG
178개국과	178/SN+개국/NNB+과/JC
유럽연합(EU)을	유럽연합/NNP+(/SS+EU/SL+)/SS+을/JKO
회원국으로	회원국/NNG+으로/JKB
하는	하/VV+는/ETM
이	이/MMD
위원회에서	위원회/NNG+에서/JKB
조	조/NNP
박사는	박사/NNG+는/JX
동아시아	동아시아/NNP
국가	국가/NNG
대표	대표/NNG
가운데	가운데/NNG
처음	처음/NNG
선출된	선출/NNG+되/XSV+ㄴ/ETM
의장이다.	의장/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.86.5.3
그는 2001년부터 축산과학원에서 일하면서 유전자원 이용과 생물다양성 보존 등을 위한 국제 무대에서 한국 정부 대표로 활동해왔다.

그는	그/NP+는/JX
2001년부터	2001/SN+년/NNB+부터/JX
축산과학원에서	축산/NNG+과학원/NNG+에서/JKB
일하면서	일/NNG+하/XSV+면서/EC
유전자원	유전자원/NNG
이용과	이용/NNG+과/JC
생물다양성	생물/NNG+다양/NNG+성/XSN
보존	보존/NNG
등을	등/NNB+을/JKO
위한	위하/VV+ㄴ/ETM
국제	국제/NNG
무대에서	무대/NNG+에서/JKB
한국	한국/NNP
정부	정부/NNG
대표로	대표/NNG+로/JKB
활동해왔다.	활동/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000046.86.6.1
유전자원 이용·보존에 관한 국제협력은 인류 영양 공급에서 기후 변화 대응으로까지 분야가 넓혀진다.

유전자원	유전자원/NNG
이용·보존에	이용/NNG+·/SP+보존/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
국제협력은	국제/NNG+협력/NNG+은/JX
인류	인류/NNG
영양	영양/NNG
공급에서	공급/NNG+에서/JKB
기후	기후/NNG
변화	변화/NNG
대응으로까지	대응/NNG+으로/JKB+까지/JX
분야가	분야/NNG+가/JKS
넓혀진다.	넓히/VV+어/EC+지/VX+ㄴ다/EF+./SF


# id : NWRW1800000046.86.6.2
물론 이는 이윤을 위해 유전자원을 거래하는 곡물·축산·의약 등 다국적 기업의 이해와 충돌하기도 한다.

물론	물론/MAG
이는	이/NP+는/JX
이윤을	이윤/NNG+을/JKO
위해	위하/VV+아/EC
유전자원을	유전자원/NNG+을/JKO
거래하는	거래/NNG+하/XSV+는/ETM
곡물·축산·의약	곡물/NNG+·/SP+축산/NNG+·/SP+의약/NNG
등	등/NNB
다국적	다국적/NNG
기업의	기업/NNG+의/JKG
이해와	이해/NNG+와/JKB
충돌하기도	충돌/NNG+하/XSV+기/ETN+도/JX
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000046.86.6.3
생물다양성협약에 미국부터 서명을 미룬 것도 바로 이 때문이라고 조 의장은 말했다.

생물다양성협약에	생물/NNG+다양/NNG+성/XSN+협약/NNG+에/JKB
미국부터	미국/NNP+부터/JX
서명을	서명/NNG+을/JKO
미룬	미루/VV+ㄴ/ETM
것도	것/NNB+도/JX
바로	바로/MAG
이	이/MMD
때문이라고	때문/NNB+이/VCP+라고/EC
조	조/NNP
의장은	의장/NNG+은/JX
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.86.7.1
"예컨대 조류독감 치료제 타미플루만 해도 중국 원산의 식물에서 추출해 미국 기업이 신약으로 개발했고, 스위스 업체가 그 특허를 사들여 독점 생산합니다.

"예컨대	"/SS+예컨대/MAG
조류독감	조류/NNG+독감/NNG
치료제	치료제/NNG
타미플루만	타미플루/NNG+만/JX
해도	하/VV+아도/EC
중국	중국/NNP
원산의	원산/NNG+의/JKG
식물에서	식물/NNG+에서/JKB
추출해	추출/NNG+하/XSV+아/EC
미국	미국/NNP
기업이	기업/NNG+이/JKS
신약으로	신약/NNG+으로/JKB
개발했고,	개발/NNG+하/XSV+았/EP+고/EC+,/SP
스위스	스위스/NNP
업체가	업체/NNG+가/JKS
그	그/MMD
특허를	특허/NNG+를/JKO
사들여	사들이/VV+어/EC
독점	독점/NNG
생산합니다.	생산/NNG+하/XSV+ㅂ니다/EF+./SF


# id : NWRW1800000046.86.7.2
생산 독점은 공급 부족을 낳습니다.

생산	생산/NNG
독점은	독점/NNG+은/JX
공급	공급/NNG
부족을	부족/NNG+을/JKO
낳습니다.	낳/VV+습니다/EF+./SF


# id : NWRW1800000046.86.7.3
유전자원을 둘러싼 선·후진국들 이해 조율에 유엔이 나설 수밖에 없는 이유죠."

유전자원을	유전자원/NNG+을/JKO
둘러싼	둘러싸/VV+ㄴ/ETM
선·후진국들	선·후진국/NNG+들/XSN
이해	이해/NNG
조율에	조율/NNG+에/JKB
유엔이	유엔/NNP+이/JKS
나설	나서/VV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없는	없/VA+는/ETM
이유죠."	이유/NNG+이/VCP+죠/EF+./SF+"/SS


# id : NWRW1800000046.86.8.1
당장 하루 1.25달러 이하로 생활하는 절대빈곤자(1990년 7억명)를 2015년까지 절반으로 줄이자는 게 유엔 목표였다.

당장	당장/NNG
하루	하루/NNG
1.25달러	1/SN+./SP+25/SN+달러/NNB
이하로	이하/NNG+로/JKB
생활하는	생활/NNG+하/XSV+는/ETM
절대빈곤자(1990년	절대/NNG+빈곤자/NNG+(/SS+1990/SN+년/NNB
7억명)를	7/SN+억/NR+명/NNB+)/SS+를/JKO
2015년까지	2015/SN+년/NNB+까지/JX
절반으로	절반/NNG+으로/JKB
줄이자는	줄이/VV+자는/ETM
게	거/NNB+이/JKS
유엔	유엔/NNP
목표였다.	목표/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.86.8.2
조 의장은 2년 임기 중 6개월마다 국제회의를 통해 이 목표 달성을 위한 유전자원 기술 협력의 성과들을 검검하며 10년 단위의 새 실행 계획을 짜야 한다.

조	조/NNP
의장은	의장/NNG+은/JX
2년	2/SN+년/NNB
임기	임기/NNG
중	중/NNB
6개월마다	6/SN+개월/NNB+마다/JX
국제회의를	국제회의/NNG+를/JKO
통해	통하/VV+아/EC
이	이/MMD
목표	목표/NNG
달성을	달성/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
유전자원	유전자원/NNG
기술	기술/NNG
협력의	협력/NNG+의/JKG
성과들을	성과/NNG+들/XSN+을/JKO
검검하며	검검하/VV+며/EC
10년	10/SN+년/NNB
단위의	단위/NNG+의/JKG
새	새/MMA
실행	실행/NNG
계획을	계획/NNG+을/JKO
짜야	짜/VV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000046.86.8.3
위원회 사무국 직원 30명과 함께 매년 회원국들로부터 취합하는 유전자원 이용 동향 보고서만 수천 쪽이다.

위원회	위원회/NNG
사무국	사무국/NNG
직원	직원/NNG
30명과	30/SN+명/NNB+과/JKB
함께	함께/MAG
매년	매년/MAG
회원국들로부터	회원국/NNG+들/XSN+로부터/JKB
취합하는	취합/NNG+하/XSV+는/ETM
유전자원	유전자원/NNG
이용	이용/NNG
동향	동향/NNG
보고서만	보고서/NNG+만/JX
수천	수천/NR
쪽이다.	쪽/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.86.9.1
한국이 해외 16개국에 농업기술 전문가를 보내는 등 국제사회 기여를 늘려온 가운데 그가 2011~2013년 케냐에서 국제축산연구소 상주 연구원으로 활동한 이력도 CGRFA 의장 당선의 배경이 됐다.

한국이	한국/NNP+이/JKS
해외	해외/NNG
16개국에	16/SN+개국/NNB+에/JKB
농업기술	농업/NNG+기술/NNG
전문가를	전문가/NNG+를/JKO
보내는	보내/VV+는/ETM
등	등/NNB
국제사회	국제/NNG+사회/NNG
기여를	기여/NNG+를/JKO
늘려온	늘리/VV+어/EC+오/VX+ㄴ/ETM
가운데	가운데/NNG
그가	그/NP+가/JKS
2011~2013년	2011/SN+~/SO+2013/SN+년/NNB
케냐에서	케냐/NNP+에서/JKB
국제축산연구소	국제축산연구소/NNP
상주	상주/NNG
연구원으로	연구원/NNG+으로/JKB
활동한	활동/NNG+하/XSV+ㄴ/ETM
이력도	이력/NNG+도/JX
CGRFA	CGRFA/SL
의장	의장/NNG
당선의	당선/NNG+의/JKG
배경이	배경/NNG+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.86.9.2
그는 아프리카의 초보 연구자들과 동고동락하며 현지 재래 닭 품종 세분화 및 개량의 길을 열면서 소의 비육도를 높이는 기술을 보급하기도 했다.

그는	그/NP+는/JX
아프리카의	아프리카/NNP+의/JKG
초보	초보/NNG
연구자들과	연구자/NNG+들/XSN+과/JKB
동고동락하며	동고동락/NNG+하/XSV+며/EC
현지	현지/NNG
재래	재래/NNG
닭	닭/NNG
품종	품종/NNG
세분화	세분/NNG+화/XSN
및	및/MAG
개량의	개량/NNG+의/JKG
길을	길/NNG+을/JKO
열면서	열/VV+면서/EC
소의	소/NNG+의/JKG
비육도를	비육도/NNG+를/JKO
높이는	높이/VV+는/ETM
기술을	기술/NNG+을/JKO
보급하기도	보급/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000046.86.10.1
조 의장은 "해방 후 토지 개혁과 산림 녹화, 이중곡가(二重穀價), 새마을운동까지도 개도국들이 배우고자 열망한다"고 했다.

조	조/NNP
의장은	의장/NNG+은/JX
"해방	"/SS+해방/NNG
후	후/NNG
토지	토지/NNG
개혁과	개혁/NNG+과/JC
산림	산림/NNG
녹화,	녹화/NNG+,/SP
이중곡가(二重穀價),	이중곡가/NNG+(/SS+二重穀價/SH+)/SS+,/SP
새마을운동까지도	새마을/NNG+운동/NNG+까지/JX+도/JX
개도국들이	개도국/NNG+들/XSN+이/JKS
배우고자	배우/VV+고자/EC
열망한다"고	열망/NNG+하/XSV+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.86.11.1
그는 경기 안성 출신으로 일본 도쿄농업대학에서 박사 학위를 받았다.

그는	그/NP+는/JX
경기	경기/NNP
안성	안성/NNP
출신으로	출신/NNG+으로/JKB
일본	일본/NNP
도쿄농업대학에서	도쿄농업대학/NNP+에서/JKB
박사	박사/NNG
학위를	학위/NNG+를/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.86.11.2
전북 남원 운봉고원의 가축유전자원센터에서 재래 유전자들을 관리해오고 있다.

전북	전북/NNP
남원	남원/NNP
운봉고원의	운봉고원/NNP+의/JKG
가축유전자원센터에서	가축/NNG+유전자원/NNG+센터/NNG+에서/JKB
재래	재래/NNG
유전자들을	유전자/NNG+들/XSN+을/JKO
관리해오고	관리/NNG+하/XSV+아/EC+오/VX+고/EC
있다.	있/VX+다/EF+./SF


