# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.64
metadata : {}


# id : NWRW1800000041.64.1.1
中-인도 “국경분쟁 해법 조속 마련”

中-인도	中/SH+-/SO+인도/NNP
90분간	90/SN+분/NNB+간/XSN
공식	공식/NNG
회담을	회담/NNG+을/JKO
갖고	갖/VV+고/EC
기자회견에서	기자/NNG+회견/NNG+에서/JKB
성과를	성과/NNG+를/JKO
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.64.5.1
모디 총리는 “국경분쟁 해결이 필요하다고 시 주석에게 말했다”며 중국이 인도의 아루나찰프라데시 주를 자국령이라 주장한다는 점을 지적했다.

모디	모디/NNP
총리는	총리/NNG+는/JX
“국경분쟁	“/SS+국경/NNG+분쟁/NNG
해결이	해결/NNG+이/JKS
필요하다고	필요/NNG+하/XSA+다고/EC
시	시/NNP
주석에게	주석/NNG+에게/JKB
말했다”며	말/NNG+하/XSV+았/EP+다/EF+”/SS+며/EC
중국이	중국/NNP+이/JKS
인도의	인도/NNP+의/JKG
아루나찰프라데시	아루나찰프라데시/NNP
주를	주/NNG+를/JKO
자국령이라	자국령/NNG+이/VCP+라/EC
주장한다는	주장/NNG+하/XSV+ㄴ다는/ETM
점을	점/NNG+을/JKO
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.64.5.2
시 주석은 “양국은 상대의 우려를 존중한다”며 국경 문제에 대한 합의가 이뤄지지 않았음을 시사했다.

시	시/NNP
주석은	주석/NNG+은/JX
“양국은	“/SS+양국/NNG+은/JX
상대의	상대/NNG+의/JKG
우려를	우려/NNG+를/JKO
존중한다”며	존중/NNG+하/XSV+ㄴ다/EF+”/SS+며/EC
국경	국경/NNG
문제에	문제/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
합의가	합의/NNG+가/JKS
이뤄지지	이뤄지/VV+지/EC
않았음을	않/VX+았/EP+음/ETN+을/JKO
시사했다.	시사/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.64.6.1
17일 인도령 카슈미르 동남부 지역인 라다크에서는 중국 인민해방군 수백 명이 양국의 국경 역할을 하는 ‘실질통제선(LAC)’을 넘어 인도 쪽으로 들어왔으며 이날까지 양국 군대 1000여 명이 대치하는 일이 벌어졌다고 인도 언론이 전했다.

17일	17/SN+일/NNB
인도령	인도령/NNG
카슈미르	카슈미르/NNP
동남부	동남부/NNG
지역인	지역/NNG+이/VCP+ㄴ/ETM
라다크에서는	라다크/NNP+에서/JKB+는/JX
중국	중국/NNP
인민해방군	인민/NNG+해방군/NNG
수백	수백/NR
명이	명/NNB+이/JKS
양국의	양국/NNG+의/JKG
국경	국경/NNG
역할을	역할/NNG+을/JKO
하는	하/VV+는/ETM
‘실질통제선(LAC)’을	‘/SS+실질/NNG+통제선/NNG+(/SS+LAC/SL+)/SS+’/SS+을/JKO
넘어	넘/VV+어/EC
인도	인도/NNP
쪽으로	쪽/NNB+으로/JKB
들어왔으며	들어오/VV+았/EP+으며/EC
이날까지	이날/NNG+까지/JX
양국	양국/NNG
군대	군대/NNG
1000여	1000/SN+여/XSN
대치하는	대치/NNG+하/XSV+는/ETM
일이	일/NNG+이/JKS
벌어졌다고	벌어지/VV+었/EP+다고/EC
언론이	언론/NNG+이/JKS
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.64.6.2
양국은 카슈미르와 아루나찰프라데시 등에서 국경을 획정하지 못한 채 4000여 km에 이르는 LAC를 설정한 상태다.

양국은	양국/NNG+은/JX
카슈미르와	카슈미르/NNP+와/JKB
아루나찰프라데시	아루나찰프라데시/NNP
등에서	등/NNB+에서/JKB
국경을	국경/NNG+을/JKO
획정하지	획정/NNG+하/XSV+지/EC
못한	못하/VX+ㄴ/ETM
채	채/NNB
4000여	4000/SN+여/XSN
km에	km/SW+에/JKB
이르는	이르/VV+는/ETM
LAC를	LAC/SL+를/JKO
설정한	설정/NNG+하/XSV+ㄴ/ETM
상태다.	상태/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.64.7.1
시 주석은 모디 총리와의 회담에서 앞으로 5년간 200억 달러(약 20조8000억 원)를 투자하겠다는 계획을 밝혔다.

시	시/NNP
주석은	주석/NNG+은/JX
모디	모디/NNP
총리와의	총리/NNG+와/JKB+의/JKG
회담에서	회담/NNG+에서/JKB
앞으로	앞/NNG+으로/JKB
5년간	5/SN+년/NNB+간/XSN
200억	200/SN+억/NR
달러(약	달러/NNB+(/SS+약/MMA
20조8000억	20/SN+조/NR+8000/SN+억/NR
원)를	원/NNB+)/SS+를/JKO
투자하겠다는	투자/NNG+하/XSV+겠/EP+다는/ETM
계획을	계획/NNG+을/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.64.7.2
앞서 인도 언론은 “1000억 달러 투자 계약이 이뤄질 것”이라고 보도했지만 실제 투자 규모는 기대보다 작았다.

앞서	앞서/MAG
인도	인도/NNP
언론은	언론/NNG+은/JX
“1000억	“/SS+1000/SN+억/NR
달러	달러/NNB
투자	투자/NNG
계약이	계약/NNG+이/JKS
이뤄질	이뤄지/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
보도했지만	보도/NNG+하/XSV+았/EP+지만/EC
실제	실제/MAG
규모는	규모/NNG+는/JX
기대보다	기대/NNG+보다/JKB
작았다.	작/VA+았/EP+다/EF+./SF


# id : NWRW1800000041.64.7.3
또 1일 아베 신조(安倍晋三) 일본 총리가 인도를 방문했을 때 밝힌 5년간 3조5000억 엔(약 34조 원) 투자 계획에도 미치지 못한다.

또	또/MAG
1일	1/SN+일/NNB
아베	아베/NNP
신조(安倍晋三)	신조/NNP+(/SS+安倍晋三/SH+)/SS
일본	일본/NNP
총리가	총리/NNG+가/JKS
인도를	인도/NNP+를/JKO
방문했을	방문/NNG+하/XSV+았/EP+을/ETM
때	때/NNG
밝힌	밝히/VV+ㄴ/ETM
5년간	5/SN+년/NNB+간/XSN
3조5000억	3/SN+조/NR+5000/SN+억/NR
엔(약	엔/NNB+(/SS+약/MMA
34조	34/SN+조/NR
원)	원/NNB+)/SS
투자	투자/NNG
계획에도	계획/NNG+에/JKB+도/JX
미치지	미치/VV+지/EC
못한다.	못하/VX+ㄴ다/EF+./SF


# id : NWRW1800000041.64.8.1
하지만 중국 인도 양국은 경제협력 수준을 높이는 합의도 체결했다.

하지만	하지만/MAJ
중국	중국/NNP
인도	인도/NNP
양국은	양국/NNG+은/JX
경제협력	경제/NNG+협력/NNG
수준을	수준/NNG+을/JKO
높이는	높이/VV+는/ETM
합의도	합의/NNG+도/JX
체결했다.	체결/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.64.8.2
신화통신은 양국 간 무역 불균형을 줄이기 위해 중국이 인도의 의약품과 농산품 수입을 늘리기로 했다고 전했다.

신화통신은	신화통신/NNP+은/JX
양국	양국/NNG
간	간/NNB
무역	무역/NNG
불균형을	불/XPN+균형/NNG+을/JKO
줄이기	줄이/VV+기/ETN
위해	위하/VV+아/EC
중국이	중국/NNP+이/JKS
인도의	인도/NNP+의/JKG
의약품과	의약품/NNG+과/JC
농산품	농산품/NNG
수입을	수입/NNG+을/JKO
늘리기로	늘리/VV+기/ETN+로/JKB
했다고	하/VV+았/EP+다고/EC
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.64.8.3
중국은 첸나이-방갈로르-카르나타카(옛 마이소르)를 잇는 철도의 고속화 사업에 적극 참여하기로 했다.

중국은	중국/NNP+은/JX
첸나이-방갈로르-카르나타카(옛	첸나이/NNP+-/SO+방갈로르/NNP+-/SO+카르나타카/NNP+(/SS+옛/MMA
마이소르)를	마이소르/NNP+)/SS+를/JKO
잇는	잇/VV+는/ETM
철도의	철도/NNG+의/JKG
고속화	고속/NNG+화/XSN
사업에	사업/NNG+에/JKB
적극	적극/NNG
참여하기로	참여/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.64.8.4
중국은 모디 총리의 고향인 구자라트와 중부의 마하라슈트라 주에 산업단지를 조성하기로 했다.

중국은	중국/NNP+은/JX
모디	모디/NNP
총리의	총리/NNG+의/JKG
고향인	고향/NNG+이/VCP+ㄴ/ETM
구자라트와	구자라트/NNP+와/JC
중부의	중부/NNG+의/JKG
마하라슈트라	마하라슈트라/NNP
주에	주/NNG+에/JKB
산업단지를	산업/NNG+단지/NNG+를/JKO
조성하기로	조성/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.64.8.5
광둥(廣東) 성과 구자라트 주 간에는 우호관계도 맺었다.

광둥(廣東)	광둥/NNP+(/SS+廣東/SH+)/SS
성과	성/NNG+과/JC
구자라트	구자라트/NNP
주	주/NNG
간에는	간/NNB+에/JKB+는/JX
우호관계도	우호/NNG+관계/NNG+도/JX
맺었다.	맺/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.64.9.1
시 주석은 인도가 상하이협력기구(SCO)의 옵서버에서 정식 회원국으로 가입하는 것을 지원하기로 했다.

시	시/NNP
주석은	주석/NNG+은/JX
인도가	인도/NNP+가/JKS
상하이협력기구(SCO)의	상하이협력기구/NNP+(/SS+SCO/SL+)/SS+의/JKG
옵서버에서	옵서버/NNG+에서/JKB
정식	정식/NNG
회원국으로	회원국/NNG+으로/JKB
가입하는	가입/NNG+하/XSV+는/ETM
것을	것/NNB+을/JKO
지원하기로	지원/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


