# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.235
metadata : {}


# id : NWRW1800000022.235.1.1
별은… 죽음조차 빛난다;3일 잭슨 추도식 100만 인파 예상 死後 빌보드 앨범차트 1위로 등극

별은…	별/NNG+은/JX+…/SE
7일자로	7/SN+일자/NNG+로/JKB
작성된	작성/NNG+되/XSV+ㄴ/ETM
것으로,	것/NNB+으로/JKB+,/SP
재산의	재산/NNG+의/JKG
40%는	40/SN+%/SW+는/JX
어머니	어머니/NNG
캐서린에게,	캐서린/NNP+에게/JKB+,/SP
또	또/MAG
세	세/MMN
자녀에게,	자녀/NNG+에게/JKB+,/SP
나머지	나머지/NNG
20%는	20/SN+%/SW+는/JX
자선	자선/NNG
기관에	기관/NNG+에/JKB
돌아간다.	돌아가/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.235.6.2
세 아이의 양육권은 어머니에게 넘긴 것으로 적혀 있다고 AP통신이 1일 보도했다.

세	세/MMN
아이의	아이/NNG+의/JKG
양육권은	양육/NNG+권/XSN+은/JX
어머니에게	어머니/NNG+에게/JKB
넘긴	넘기/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
적혀	적히/VV+어/EC
있다고	있/VX+다고/EC
AP통신이	AP통신/NNP+이/JKS
1일	1/SN+일/NNB
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.235.7.1
유언장에 아버지 조가 빠져있는 사실은 잭슨과 아버지의 고통스러웠던 관계를 그대로 보여준다.

유언장에	유언장/NNG+에/JKB
아버지	아버지/NNG
조가	조/NNP+가/JKS
빠져있는	빠지/VV+어/EC+있/VX+는/ETM
사실은	사실/NNG+은/JX
잭슨과	잭슨/NNP+과/JKB
아버지의	아버지/NNG+의/JKG
고통스러웠던	고통/NNG+스럽/XSA+었/EP+던/ETM
관계를	관계/NNG+를/JKO
그대로	그대로/MAG
보여준다.	보이/VV+어/EC+주/VX+ㄴ다/EF+./SF


# id : NWRW1800000022.235.7.2
잭슨은 2003년 한 인터뷰에서 "연습 도중에 아버지가 벨트로 나를 때리기도 했다"고 말했다.

잭슨은	잭슨/NNP+은/JX
2003년	2003/SN+년/NNB
한	한/MMN
인터뷰에서	인터뷰/NNG+에서/JKB
"연습	"/SS+연습/NNG
도중에	도중/NNG+에/JKB
아버지가	아버지/NNG+가/JKS
벨트로	벨트/NNG+로/JKB
나를	나/NP+를/JKO
때리기도	때리/VV+기/ETN+도/JX
했다"고	하/VX+았/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.235.7.3
이에 대해 아버지 조는 "벨트로는 매질(whip)을 했을 뿐, 때리지는(beat) 않았다"고 반박했다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
아버지	아버지/NNG
조는	조/NNP+는/JX
"벨트로는	"/SS+벨트/NNG+로/JKB+는/JX
매질(whip)을	매/NNG+질/XSN+(/SS+whip/SL+)/SS+을/JKO
했을	하/VV+았/EP+을/ETM
뿐,	뿐/NNB+,/SP
때리지는(beat)	때리/VV+지/EC+는/JX+(/SS+beat/SL+)/SS
않았다"고	않/VX+았/EP+다/EF+"/SS+고/JKQ
반박했다.	반박/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.235.8.1
육체적 학대를 견디고 자라 한 시대의 상징이 되기까지, 잭슨이 겪어야 했던 고난과 갈등은 그의 육체를 서서히 파괴했다.

육체적	육체/NNG+적/XSN
학대를	학대/NNG+를/JKO
견디고	견디/VV+고/EC
자라	자라/VV+아/EC
한	한/MMN
시대의	시대/NNG+의/JKG
상징이	상징/NNG+이/JKC
되기까지,	되/VV+기/ETN+까지/JX+,/SP
잭슨이	잭슨/NNP+이/JKS
겪어야	겪/VV+어야/EC
했던	하/VX+았/EP+던/ETM
고난과	고난/NNG+과/JC
갈등은	갈등/NNG+은/JX
그의	그/NP+의/JKG
육체를	육체/NNG+를/JKO
서서히	서서히/MAG
파괴했다.	파괴/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.235.8.2
잭슨의 간호사 셰릴린 리(Lee)는 AP통신에 "불면증에 시달리던 그가 강력한 안정제를 달라고 애원했다"고 말했다.

잭슨의	잭슨/NNP+의/JKG
간호사	간호사/NNG
셰릴린	셰릴린/NNP
리(Lee)는	리/NNP+(/SS+Lee/SL+)/SS+는/JX
AP통신에	AP통신/NNP+에/JKB
"불면증에	"/SS+불면증/NNG+에/JKB
시달리던	시달리/VV+던/ETM
그가	그/NP+가/JKS
강력한	강력/NNG+하/XSA+ㄴ/ETM
안정제를	안정제/NNG+를/JKO
달라고	달/VV+라고/EC
애원했다"고	애원/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.235.9.1
한편, 죽은 잭슨이 살아있는 모든 아티스트를 제치고 빌보드 앨범 차트 1위를 석권했다고 CNN방송이 전했다.

한편,	한편/MAG+,/SP
죽은	죽/VV+은/ETM
잭슨이	잭슨/NNP+이/JKS
살아있는	살/VV+아/EC+있/VX+는/ETM
모든	모든/MMN
아티스트를	아티스트/NNG+를/JKO
제치고	제치/VV+고/EC
빌보드	빌보드/NNP
앨범	앨범/NNG
차트	차트/NNG
1위를	1/SN+위/NNB+를/JKO
석권했다고	석권/NNG+하/XSV+았/EP+다고/EC
CNN방송이	CNN/SL+방송/NNG+이/JKS
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.235.9.2
잭슨의 여러 앨범은 빌보드의 '톱 팝 카탈로그 앨범' 차트에서 1~9위를 휩쓸었다.

잭슨의	잭슨/NNP+의/JKG
여러	여러/MMN
앨범은	앨범/NNG+은/JX
빌보드의	빌보드/NNP+의/JKG
'톱	'/SS+톱/NNG
팝	팝/NNG
카탈로그	카탈로그/NNG
앨범'	앨범/NNG+'/SS
차트에서	차트/NNG+에서/JKB
1~9위를	1/SN+~/SO+9/SN+위/NNB+를/JKO
휩쓸었다.	휩쓸/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.235.9.3
그의 앨범은 새로 발매된 것이 아니기 때문에 '빌보드 200' 차트에는 오를 수 없지만, 판매량으로만 따진다면 현재 1위인 블랙아이드피스의 앨범을 4위로 떨어뜨릴 정도로 위력을 과시하고 있다.

그의	그/NP+의/JKG
앨범은	앨범/NNG+은/JX
새로	새로/MAG
발매된	발매/NNG+되/XSV+ㄴ/ETM
것이	것/NNB+이/JKC
아니기	아니/VCN+기/ETN
때문에	때문/NNB+에/JKB
'빌보드	'/SS+빌보드/NNP
200'	200/SN+'/SS
차트에는	차트/NNG+에/JKB+는/JX
오를	오르/VV+ㄹ/ETM
수	수/NNB
없지만,	없/VA+지만/EC+,/SP
판매량으로만	판매량/NNG+으로/JKB+만/JX
따진다면	따지/VV+ㄴ다면/EC
현재	현재/MAG
1위인	1/SN+위/NNB+이/VCP+ㄴ/ETM
블랙아이드피스의	블랙아이드피스/NNP+의/JKG
앨범을	앨범/NNG+을/JKO
4위로	4/SN+위/NNB+로/JKB
떨어뜨릴	떨어뜨리/VV+ㄹ/ETM
정도로	정도/NNG+로/JKB
위력을	위력/NNG+을/JKO
과시하고	과시/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.235.9.4
'넘버 원스' '스릴러'는 지난주에만도 각각 10만장 이상이 나갔다.

'넘버	'/SS+넘버/NNP
원스'	원스/NNP+'/SS
'스릴러'는	'/SS+스릴러/NNG+'/SS+는/JX
지난주에만도	지난주/NNG+에/JKB+만/JX+도/JX
각각	각각/MAG
10만장	10/SN+만/NR+장/NNB
이상이	이상/NNG+이/JKS
나갔다.	나가/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.235.9.5
잭슨의 곡은 아이튠스 다운로드 횟수로도 21개국에서 톱 10위 안에 들었다.

잭슨의	잭슨/NNP+의/JKG
곡은	곡/NNG+은/JX
아이튠스	아이튠스/NNG
다운로드	다운로드/NNG
횟수로도	횟수/NNG+로/JKB+도/JX
21개국에서	21/SN+개국/NNB+에서/JKB
톱	톱/NNG
10위	10/SN+위/NNB
안에	안/NNG+에/JKB
들었다.	들/VV+었/EP+다/EF+./SF


