# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.28
metadata : {}


# id : NWRW1800000041.28.1.1
LG화학, 신소재 개발-신사업 발굴 박차

LG화학,	LG화학/NNP+,/SP
SAP와	SAP/SL+와/JC
51만	51/SN+만/NR
아크릴산	아크릴산/NNG
등을	등/NNB+을/JKO
생산할	생산/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
일관	일관/NNG
생산체제를	생산/NNG+체제/NNG+를/JKO
갖추게	갖추/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.28.6.5
합성고무 사업에서는 친환경 타이어용 제품 비중을 10%대에서 2018년 40% 이상으로 늘리기로 했다.

합성고무	합성/NNG+고무/NNG
사업에서는	사업/NNG+에서/JKB+는/JX
친환경	친/XPN+환경/NNG
타이어용	타이어/NNG+용/XSN
제품	제품/NNG
비중을	비중/NNG+을/JKO
10%대에서	10/SN+%/SW+대/XSN+에서/JKB
2018년	2018/SN+년/NNB
40%	40/SN+%/SW
이상으로	이상/NNG+으로/JKB
늘리기로	늘리/VV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.28.7.1
미래 신사업 발굴에도 적극 나선다.

미래	미래/NNG
신사업	신/XPN+사업/NNG
발굴에도	발굴/NNG+에/JKB+도/JX
적극	적극/NNG
나선다.	나서/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.28.7.2
올해 석유화학 분야 R&D에 1200억 원을 투자해 기존 사업을 강화하는 한편 신소재 사업을 육성할 계획이다.

올해	올해/NNG
석유화학	석유/NNG+화학/NNG
분야	분야/NNG
R&D에	R/SL+&/SW+D/SL+에/JKB
1200억	1200/SN+억/NR
원을	원/NNB+을/JKO
투자해	투자/NNG+하/XSV+아/EC
기존	기존/NNG
사업을	사업/NNG+을/JKO
강화하는	강화/NNG+하/XSV+는/ETM
한편	한편/NNG
신소재	신/XPN+소재/NNG
육성할	육성/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.28.7.3
이를 위해 LG화학은 이미 올 3월 미국 수처리 필터 생산 업체인 나노H₂O를 2억 달러(약 2060억 원)에 인수했다.

이를	이/NP+를/JKO
위해	위하/VV+아/EC
LG화학은	LG화학/NNP+은/JX
이미	이미/MAG
올	올/NNG
3월	3/SN+월/NNB
미국	미국/NNP
수처리	수처리/NNG
필터	필터/NNG
생산	생산/NNG
업체인	업체/NNG+이/VCP+ㄴ/ETM
나노H₂O를	나노H₂O/NNP+를/JKO
2억	2/SN+억/NR
달러(약	달러/NNB+(/SS+약/MMA
2060억	2060/SN+억/NR
원)에	원/NNB+)/SS+에/JKB
인수했다.	인수/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.28.7.4
이 회사가 생산하는 해담수용 역삼투압 필터 시장은 연평균 23% 성장해 2018년 시장 규모가 24억 달러에 이를 것으로 전망된다.

이	이/MMD
회사가	회사/NNG+가/JKS
생산하는	생산/NNG+하/XSV+는/ETM
해담수용	해담수/NNG+용/XSN
역삼투압	역삼투압/NNG
필터	필터/NNG
시장은	시장/NNG+은/JX
연평균	연평균/NNG
23%	23/SN+%/SW
성장해	성장/NNG+하/XSV+아/EC
2018년	2018/SN+년/NNB
시장	시장/NNG
규모가	규모/NNG+가/JKS
24억	24/SN+억/NR
달러에	달러/NNB+에/JKB
이를	이르/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
전망된다.	전망/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.28.7.5
이 밖에 LG화학은 탄소나노튜브(CNT), 이산화탄소(CO₂) 플라스틱 등 신소재 개발에도 박차를 가하기로 했다.

이	이/MMD
밖에	밖/NNG+에/JKB
LG화학은	LG화학/NNP+은/JX
탄소나노튜브(CNT),	탄소/NNG+나노/NNG+튜브/NNG+(/SS+CNT/SL+)/SS+,/SP
이산화탄소(CO₂)	이산화/NNG+탄소/NNG+(/SS+CO₂/SW+)/SS
플라스틱	플라스틱/NNG
등	등/NNB
신소재	신/XPN+소재/NNG
개발에도	개발/NNG+에/JKB+도/JX
박차를	박차/NNG+를/JKO
가하기로	가하/VV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


