# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.438
metadata : {}


# id : NWRW1800000022.438.1.1
[인천·부천] [알뜰정보] 장애인 행정 도우미 모집 외

[인천·부천]	[/SS+인천/NNP+·/SP+부천/NNP+]/SS
7시간씩	7/SN+시간/NNB+씩/XSN
근무하고,	근무/NNG+하/XSV+고/EC+,/SP
1인당	1/SN+인/NNG+당/XSN
월	월/NNG
72만원의	72/SN+만/NR+원/NNB+의/JKG
활동비를	활동비/NNG+를/JKO
받는다.	받/VV+는다/EF+./SF


# id : NWRW1800000022.438.3.4
기초생활수급자 등 저소득층에는 우선권을 준다.

기초생활수급자	기초/NNG+생활/NNG+수급자/NNG
등	등/NNB
저소득층에는	저/XPN+소득/NNG+층/XSN+에/JKB+는/JX
우선권을	우선/NNG+권/XSN+을/JKO
준다.	주/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.438.3.5
☎760-7662

☎760-7662	☎/SW+760/SN+-/SO+7662/SN


# id : NWRW1800000022.438.4.1
청소년 취미교양교육 수강생 모집

청소년	청소년/NNG
취미교양교육	취미/NNG+교양/NNG+교육/NNG
수강생	수강/NNG+생/XSN
모집	모집/NNG


# id : NWRW1800000022.438.5.1
인천시 청소년회관은 2010년도 청소년 취미교양교육 겨울방학 특강 수강생을 선착순 모집 중이다.

인천시	인천시/NNP
청소년회관은	청소년/NNG+회관/NNG+은/JX
2010년도	2010/SN+년도/NNB
청소년	청소년/NNG
취미교양교육	취미/NNG+교양/NNG+교육/NNG
겨울방학	겨울/NNG+방학/NNG
특강	특강/NNG
수강생을	수강/NNG+생/XSN+을/JKO
선착순	선착순/NNG
모집	모집/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.438.5.2
미술로 생각 키우기, 도자기공예, 종이접기, 하모니카, 통기타, 사물놀이, 역사논술, 레고닥터, 댄스스포츠, 태껸, 요가, 바둑 등 10개 분야 32개 반을 모집한다.

미술로	미술/NNG+로/JKB
생각	생각/NNG
키우기,	키우/VV+기/ETN+,/SP
도자기공예,	도자기/NNG+공예/NNG+,/SP
종이접기,	종이접기/NNG+,/SP
하모니카,	하모니카/NNG+,/SP
통기타,	통기타/NNG+,/SP
사물놀이,	사물놀이/NNG+,/SP
역사논술,	역사/NNG+논술/NNG+,/SP
레고닥터,	레고/NNG+닥터/NNG+,/SP
댄스스포츠,	댄스/NNG+스포츠/NNG+,/SP
태껸,	태껸/NNG+,/SP
요가,	요가/NNG+,/SP
바둑	바둑/NNG
등	등/NNB
10개	10/SN+개/NNB
분야	분야/NNG
32개	32/SN+개/NNB
반을	반/NNG+을/JKO
모집한다.	모집/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.438.5.3
과목에 따라 초등 3학년부터 고3까지 지원할 수 있으며, 모집 인원은 과목별로 18~20명씩이다.

과목에	과목/NNG+에/JKB
따라	따르/VV+아/EC
초등	초등/NNG
3학년부터	3/SN+학년/NNG+부터/JX
고3까지	고/NNG+3/SN+까지/JX
지원할	지원/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있으며,	있/VA+으며/EC+,/SP
모집	모집/NNG
인원은	인원/NNG+은/JX
과목별로	과목/NNG+별/XSN+로/JKB
18~20명씩이다.	18/SN+~/SO+20/SN+명/NNB+씩/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000022.438.5.4
수강료는 무료지만 재료비나 교재비는 내야 한다.

수강료는	수강료/NNG+는/JX
무료지만	무료/NNG+이/VCP+지만/EC
재료비나	재료비/NNG+나/JC
교재비는	교재비/NNG+는/JX
내야	내/VV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000022.438.5.5
☎465-6827~8

☎465-6827~8	☎/SW+465/SN+-/SO+6827/SN+~/SO+8/SN


