# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.70
metadata : {}


# id : NWRW1800000052.70.1.1
“인공지능·로봇 개발법인 내년초 설립” 네이버, 구글·애플과 기술경쟁 선언

“인공지능·로봇	“/SS+인공/NNG+지능/NNG+·/SP+로봇/NNG
발족했다”고	발족/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.70.7.5
파파고는 의사소통의 장벽을 낮춰준다.

파파고는	파파고/NNP+는/JX
의사소통의	의사소통/NNG+의/JKG
장벽을	장벽/NNG+을/JKO
낮춰준다.	낮추/VV+어/EC+주/VX+ㄴ다/EF+./SF


# id : NWRW1800000052.70.8.1
네이버는 첫 개발 로봇 ‘엠(M)1’도 선보였다.

네이버는	네이버/NNP+는/JX
첫	첫/MMN
개발	개발/NNG
로봇	로봇/NNG
‘엠(M)1’도	‘/SS+엠/NNP+(/SS+M/SL+)/SS+1/SN+’/SS+도/JX
선보였다.	선보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.70.8.2
레이저 스캐너와 고성능 카메라를 탑재했다.

레이저	레이저/NNG
스캐너와	스캐너/NNG+와/JC
고성능	고/XPN+성능/NNG
카메라를	카메라/NNG+를/JKO
탑재했다.	탑재/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.70.8.3
사무실·쇼핑몰·극장 등을 돌아다니며 고정밀 실내지도를 만드는 능력을 갖췄다.

사무실·쇼핑몰·극장	사무실/NNG+·/SP+쇼핑몰/NNG+·/SP+극장/NNG
등을	등/NNB+을/JKO
돌아다니며	돌아다니/VV+며/EC
고정밀	고/XPN+정밀/NNG
실내지도를	실내/NNG+지도/NNG+를/JKO
만드는	만들/VV+는/ETM
능력을	능력/NNG+을/JKO
갖췄다.	갖추/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.70.8.4
네이버는 “기계가 인간의 일상생활 곳곳의 맥락과 의미를 이해하려면 실내 공간에 무엇이 있는지부터 꼼꼼하게 지도로 파악해야 한다”며 “엠1의 슬로건은 ‘미래를 지도로 만든다’이다”고 설명했다.

네이버는	네이버/NNP+는/JX
“기계가	“/SS+기계/NNG+가/JKS
인간의	인간/NNG+의/JKG
일상생활	일상생활/NNG
곳곳의	곳곳/NNG+의/JKG
맥락과	맥락/NNG+과/JKB
의미를	의미/NNG+를/JKO
이해하려면	이해/NNG+하/XSV+려면/EC
실내	실내/NNG
공간에	공간/NNG+에/JKB
무엇이	무엇/NP+이/JKS
있는지부터	있/VA+는지/EF+부터/JX
꼼꼼하게	꼼꼼/MAG+하/XSA+게/EC
지도로	지도/NNG+로/JKB
파악해야	파악/NNG+하/XSV+아야/EC
한다”며	하/VX+ㄴ다/EF+”/SS+며/EC
“엠1의	“/SS+엠1/NNP+의/JKG
슬로건은	슬로건/NNG+은/JX
‘미래를	‘/SS+미래/NNG+를/JKO
만든다’이다”고	만들/VV+ㄴ다/EF+’/SS+이/VCP+다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.70.9.1
이해진 네이버 이사회 의장은 콘퍼런스 인사말에서 “인공지능과 데이터분석 등이 실험실의 신기술 수준을 넘어 통번역과 로봇 자산투자 등으로 상용화돼 일상생활 속으로 들어오고 있다”며 “이제부터는 기술 싸움이 관건인 만큼, 좋은 기술을 가진 스타트업에 투자하고 협업하는 기회를 적극 늘려가겠다”고 말했다.

이해진	이해진/NNP
네이버	네이버/NNP
이사회	이사회/NNG
의장은	의장/NNG+은/JX
콘퍼런스	콘퍼런스/NNG
인사말에서	인사말/NNG+에서/JKB
“인공지능과	“/SS+인공/NNG+지능/NNG+과/JC
데이터분석	데이터/NNG+분석/NNG
등이	등/NNB+이/JKS
실험실의	실험실/NNG+의/JKG
신기술	신/XPN+기술/NNG
수준을	수준/NNG+을/JKO
넘어	넘/VV+어/EC
통번역과	통번역/NNG+과/JC
로봇	로봇/NNG
자산투자	자산/NNG+투자/NNG
등으로	등/NNB+으로/JKB
상용화돼	상용/NNG+화/XSN+되/XSV+어/EC
일상생활	일상생활/NNG
속으로	속/NNG+으로/JKB
들어오고	들어오/VV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“이제부터는	“/SS+이제/NNG+부터/JX+는/JX
기술	기술/NNG
싸움이	싸움/NNG+이/JKS
관건인	관건/NNG+이/VCP+ㄴ/ETM
만큼,	만큼/NNB+,/SP
좋은	좋/VA+은/ETM
기술을	기술/NNG+을/JKO
가진	가지/VV+ㄴ/ETM
스타트업에	스타트업/NNG+에/JKB
투자하고	투자/NNG+하/XSV+고/EC
협업하는	협업/NNG+하/XSV+는/ETM
기회를	기회/NNG+를/JKO
적극	적극/NNG
늘려가겠다”고	늘리/VV+어/EC+가/VX+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.70.10.1
한편 카카오는 중소 상공인과 소비자를 직접 연결하는 ‘메이커스 위드 카카오’ 사업을 ‘카카오메이커스’란 자회사로 독립시키기로 했다고 이날 밝혔다.

한편	한편/MAG
카카오는	카카오/NNP+는/JX
중소	중소/NNG
상공인과	상공인/NNG+과/JC
소비자를	소비자/NNG+를/JKO
직접	직접/MAG
연결하는	연결/NNG+하/XSV+는/ETM
‘메이커스	‘/SS+메이커스/NNG
위드	위드/NNG
카카오’	카카오/NNP+’/SS
사업을	사업/NNG+을/JKO
‘카카오메이커스’란	‘/SS+카카오메이커스/NNP+’/SS+이/VCP+란/ETM
자회사로	자회사/NNG+로/JKB
독립시키기로	독립/NNG+시키/XSV+기/ETN+로/JKB
했다고	하/VV+았/EP+다고/EC
이날	이날/NNG
밝혔다.	밝히/VV+었/EP+다/EF+./SF


