# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.225
metadata : {}


# id : NWRW1800000044.225.1.1
“인권위원회, 이대로 가면 ICC서 등급 강등 가능성”

“인권위원회,	“/SS+인권/NNG+위원회/NNG+,/SP
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000044.225.7.4
인권위는 2001년 출범 뒤 줄곧 최고 등급인 A등급을 유지해 왔지만, 지난 4월 사실상 강등과 다름없는 ‘등급 보류’ 판정을 받은 사실이 알려졌다.

인권위는	인권위/NNP+는/JX
2001년	2001/SN+년/NNB
출범	출범/NNG
뒤	뒤/NNG
줄곧	줄곧/MAG
최고	최고/NNG
등급인	등급/NNG+이/VCP+ㄴ/ETM
A등급을	A/SL+등급/NNG+을/JKO
유지해	유지/NNG+하/XSV+아/EC
왔지만,	오/VX+았/EP+지만/EC+,/SP
지난	지나/VV+ㄴ/ETM
4월	4/SN+월/NNB
사실상	사실/NNG+상/XSN
강등과	강등/NNG+과/JKB
다름없는	다름없/VA+는/ETM
‘등급	‘/SS+등급/NNG
보류’	보류/NNG+’/SS
판정을	판정/NNG+을/JKO
받은	받/VV+은/ETM
사실이	사실/NNG+이/JKS
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.225.8.1
유 변호사는 7일 “심사의 초점은 인권위법을 개정하라는 2008년 권고의 이행 여부인데 인권위는 그동안 아무것도 하지 않았다”며 긍정적 평가를 받기 어려울 것으로 내다봤다.

유	유/NNP
변호사는	변호사/NNG+는/JX
7일	7/SN+일/NNB
“심사의	“/SS+심사/NNG+의/JKG
초점은	초점/NNG+은/JX
인권위법을	인권위/NNP+법/NNG+을/JKO
개정하라는	개정/NNG+하/XSV+라는/ETM
2008년	2008/SN+년/NNB
권고의	권고/NNG+의/JKG
이행	이행/NNG
여부인데	여부/NNG+이/VCP+ㄴ데/EC
인권위는	인권위/NNP+는/JX
그동안	그동안/NNG
아무것도	아무것/NNG+도/JX
하지	하/VV+지/EC
않았다”며	않/VX+았/EP+다/EF+”/SS+며/EC
긍정적	긍정/NNG+적/XSN
평가를	평가/NNG+를/JKO
받기	받/VV+기/ETN
어려울	어렵/VA+ㄹ/ETM
것으로	것/NNB+으로/JKB
내다봤다.	내다보/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.225.8.2
또 그는 등급 심사가 국가인권기구의 활동을 고무하고 격려하는 데 궁극적 목적이 있는 만큼 등급 강등 가능성도 배제할 수 없다고 조심스럽게 추측했다.

또	또/MAG
그는	그/NP+는/JX
등급	등급/NNG
심사가	심사/NNG+가/JKS
국가인권기구의	국가/NNG+인권/NNG+기구/NNG+의/JKG
활동을	활동/NNG+을/JKO
고무하고	고무/NNG+하/XSV+고/EC
격려하는	격려/NNG+하/XSV+는/ETM
데	데/NNB
궁극적	궁극/NNG+적/XSN
목적이	목적/NNG+이/JKS
있는	있/VA+는/ETM
만큼	만큼/NNB
강등	강등/NNG
가능성도	가능/NNG+성/XSN+도/JX
배제할	배제/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없다고	없/VA+다고/EC
조심스럽게	조심/NNG+스럽/XSA+게/EC
추측했다.	추측/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.225.8.3
인권위원 전원을 총리가 지명하도록 했던 말레이시아의 경우 B등급으로 강등된 뒤 인권위법의 해당 조항을 두 차례나 고쳐 A등급을 회복했다고 전했다.

인권위원	인권위원/NNG
전원을	전원/NNG+을/JKO
총리가	총리/NNG+가/JKS
지명하도록	지명/NNG+하/XSV+도록/EC
했던	하/VV+았/EP+던/ETM
말레이시아의	말레이시아/NNP+의/JKG
경우	경우/NNG
B등급으로	B/SL+등급/NNG+으로/JKB
강등된	강등/NNG+되/XSV+ㄴ/ETM
뒤	뒤/NNG
인권위법의	인권위/NNP+법/NNG+의/JKG
해당	해당/NNG
조항을	조항/NNG+을/JKO
두	두/MMN
차례나	차례/NNG+나/JX
고쳐	고치/VV+어/EC
A등급을	A/SL+등급/NNG+을/JKO
회복했다고	회복/NNG+하/XSV+았/EP+다고/EC
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.225.9.1
다만 유 변호사는 “10월 재심사 이전에 인권위법 개정안을 통과시키면 참작이 될 수 있다”고 했다.

다만	다만/MAG
유	유/NNP
변호사는	변호사/NNG+는/JX
“10월	“/SS+10/SN+월/NNB
재심사	재/XPN+심사/NNG
이전에	이전/NNG+에/JKB
인권위법	인권위/NNP+법/NNG
개정안을	개정안/NNG+을/JKO
통과시키면	통과/NNG+시키/XSV+면/EC
참작이	참작/NNG+이/JKC
될	되/VV+ㄹ/ETM
수	수/NNB
있다”고	있/VA+다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.225.9.2
그는 “국제조정위는 국제적 영향력을 무시할 수 없는 기구다.

그는	그/NP+는/JX
“국제조정위는	“/SS+국제조정위/NNP+는/JX
국제적	국제/NNG+적/XSN
영향력을	영향력/NNG+을/JKO
무시할	무시/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
기구다.	기구/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.225.9.3
‘유엔에서 서포트(지지)하는 국제기구가 권고했으니 (인권위법을) 바꿔달라’고 국회와 정부를 압박할 수 있는 기회로 삼아야 한다”고 조언했다.

‘유엔에서	‘/SS+유엔/NNP+에서/JKB
서포트(지지)하는	서포트/NNG+(/SS+지지/NNG+)/SS+하/XSV+는/ETM
국제기구가	국제기구/NNG+가/JKS
권고했으니	권고/NNG+하/XSV+았/EP+으니/EC
(인권위법을)	(/SS+인권위/NNP+법/NNG+을/JKO+)/SS
바꿔달라’고	바꾸/VV+어/EC+달/VX+라/EF+’/SS+고/JKQ
국회와	국회/NNG+와/JC
정부를	정부/NNG+를/JKO
압박할	압박/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
기회로	기회/NNG+로/JKB
삼아야	삼/VV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
조언했다.	조언/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.225.9.4
유엔 인권고등판무관실이 국제조정위 사무국을 맡고 있으며, 등급 심사 때도 판무관실의 특정 국가 또는 지역 담당자가 조사해 만든 비공개 보고가 주요 판단 근거가 된다.

유엔	유엔/NNP
인권고등판무관실이	인권/NNG+고등/NNG+판무관실/NNG+이/JKS
국제조정위	국제조정위/NNP
사무국을	사무국/NNG+을/JKO
맡고	맡/VV+고/EC
있으며,	있/VX+으며/EC+,/SP
등급	등급/NNG
심사	심사/NNG
때도	때/NNG+도/JX
판무관실의	판무관실/NNG+의/JKG
특정	특정/NNG
국가	국가/NNG
또는	또는/MAG
지역	지역/NNG
담당자가	담당자/NNG+가/JKS
조사해	조사/NNG+하/XSV+아/EC
만든	만들/VV+ㄴ/ETM
비공개	비/XPN+공개/NNG
보고가	보고/NNG+가/JKS
주요	주요/NNG
판단	판단/NNG
근거가	근거/NNG+가/JKC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000044.225.10.1
B등급 국가인권기구가 되면 유엔 인권이사회에서 발언권이 없고 국제조정위 회의에서 의결권도 행사할 수 없게 된다.

B등급	B/SL+등급/NNG
국가인권기구가	국가/NNG+인권/NNG+기구/NNG+가/JKC
되면	되/VV+면/EC
유엔	유엔/NNP
인권이사회에서	인권/NNG+이사회/NNG+에서/JKB
발언권이	발언/NNG+권/XSN+이/JKS
없고	없/VA+고/EC
국제조정위	국제조정위/NNP
회의에서	회의/NNG+에서/JKB
의결권도	의결/NNG+권/XSN+도/JX
행사할	행사/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없게	없/VA+게/EC
된다.	되/VV+ㄴ다/EF+./SF


