# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.287
metadata : {}


# id : NWRW1800000056.287.1.1
“목표는 종합 4위” 하나된 투지, 평창을 뜨겁게

“목표는	“/SS+목표/NNG+는/JX
초대	초대/NNG
챔피언에	챔피언/NNG+에/JKB
욕심을	욕심/NNG+을/JKO
냈다.	내/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.287.7.3
이승훈은 “월드컵·세계선수권·아시안게임 등을 통해 많이 해봤기 때문에 경험이나 경기력에서 자신 있다”고 밝혔고, 김보름은 “아직 올림픽 메달이 없다.

이승훈은	이승훈/NNP+은/JX
“월드컵·세계선수권·아시안게임	“/SS+월드컵/NNG+·/SP+세계/NNG+선수/NNG+권/XSN+·/SP+아시안/NNP+게임/NNG
등을	등/NNB+을/JKO
통해	통하/VV+아/EC
많이	많이/MAG
해봤기	하/VV+아/EC+보/VX+았/EP+기/ETN
때문에	때문/NNB+에/JKB
경험이나	경험/NNG+이나/JC
경기력에서	경기력/NNG+에서/JKB
자신	자신/NNG
있다”고	있/VA+다/EF+”/SS+고/JKQ
밝혔고,	밝히/VV+었/EP+고/EC+,/SP
김보름은	김보름/NNP+은/JX
“아직	“/SS+아직/MAG
올림픽	올림픽/NNG
메달이	메달/NNG+이/JKS
없다.	없/VA+다/EF+./SF


# id : NWRW1800000056.287.7.4
초대 챔피언을 위해 남은 100일 동안 열심히 준비하겠다”고 말했다.

초대	초대/NNG
챔피언을	챔피언/NNG+을/JKO
위해	위하/VV+아/EC
남은	남/VV+은/ETM
100일	100/SN+일/NNB
동안	동안/NNG
열심히	열심히/MAG
준비하겠다”고	준비/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.287.7.5
19살의 쇼트트랙 스타 최민정은 “첫 올림픽이고 한국에서 열려 의미가 깊다”며 “여자 대표팀 선수들이 모두 열심히 준비하고 있다”고 전했다.

19살의	19/SN+살/NNB+의/JKG
쇼트트랙	쇼트트랙/NNG
스타	스타/NNG
최민정은	최민정/NNP+은/JX
“첫	“/SS+첫/MMN
올림픽이고	올림픽/NNG+이/VCP+고/EC
한국에서	한국/NNP+에서/JKB
열려	열리/VV+어/EC
의미가	의미/NNG+가/JKS
깊다”며	깊/VA+다/EF+”/SS+며/EC
“여자	“/SS+여자/NNG
대표팀	대표/NNG+팀/NNG
선수들이	선수/NNG+들/XSN+이/JKS
모두	모두/MAG
열심히	열심히/MAG
준비하고	준비/NNG+하/XSV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.287.7.6
서이라는 “월드컵에서 보셨듯이 준비가 잘 돼가고 있다”고 자신감을 드러냈다.

서이라는	서이라/NNP+는/JX
“월드컵에서	“/SS+월드컵/NNG+에서/JKB
보셨듯이	보/VV+시/EP+었/EP+듯이/EC
준비가	준비/NNG+가/JKS
잘	잘/MAG
돼가고	되/VV+어/EC+가/VX+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
자신감을	자신감/NNG+을/JKO
드러냈다.	드러내/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.287.8.1
스키 종목에서는 사상 첫 올림픽 메달을 기대하고 있다.

스키	스키/NNG
종목에서는	종목/NNG+에서/JKB+는/JX
사상	사상/NNG
첫	첫/MMN
올림픽	올림픽/NNG
메달을	메달/NNG+을/JKO
기대하고	기대/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000056.287.8.2
이상호는 “저희가 생각하기에 가능성은 충분하다.

이상호는	이상호/NNP+는/JX
“저희가	“/SS+저희/NP+가/JKS
생각하기에	생각/NNG+하/XSV+기에/EC
가능성은	가능/NNG+성/XSN+은/JX
충분하다.	충분하/VA+다/EF+./SF


# id : NWRW1800000056.287.8.3
긍정적으로 생각하고 최선을 다하고 있다”고 밝혔다.

긍정적으로	긍정/NNG+적/XSN+으로/JKB
생각하고	생각/NNG+하/XSV+고/EC
최선을	최선/NNG+을/JKO
다하고	다/MAG+하/XSV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.287.8.4
이상호는 2월 겨울아시아경기에서 일본 선수들을 제치고 스노보드 2관왕에 올랐다.

이상호는	이상호/NNP+는/JX
2월	2/SN+월/NNB
겨울아시아경기에서	겨울/NNG+아시아/NNP+경기/NNG+에서/JKB
일본	일본/NNP
선수들을	선수/NNG+들/XSN+을/JKO
제치고	제치/VV+고/EC
스노보드	스노보드/NNG
2관왕에	2관왕/NNG+에/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.287.8.5
최재우와 서정화는 한국 모굴스키의 희망이다.

최재우와	최재우/NNP+와/JC
서정화는	서정화/NNP+는/JX
한국	한국/NNP
모굴스키의	모굴/NNG+스키/NNG+의/JKG
희망이다.	희망/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000056.287.8.6
최재우는 “평창 올림픽과 다른 대회가 다를 게 없다고 생각한다”며 담담한 모습이었고, 서정화는 “밴쿠버와 소치에서는 아쉬움을 남겼지만 이번 올림픽은 그 어느 시즌보다 잘 준비했다”고 각오를 밝혔다.

최재우는	최재우/NNP+는/JX
“평창	“/SS+평창/NNP
올림픽과	올림픽/NNG+과/JC
다른	다른/MMD
대회가	대회/NNG+가/JKS
다를	다르/VA+ㄹ/ETM
게	거/NNB+이/JKS
없다고	없/VA+다고/EC
생각한다”며	생각/NNG+하/XSV+ㄴ다/EF+”/SS+며/EC
담담한	담담하/VA+ㄴ/ETM
모습이었고,	모습/NNG+이/VCP+었/EP+고/EC+,/SP
서정화는	서정화/NNP+는/JX
“밴쿠버와	“/SS+밴쿠버/NNP+와/JC
소치에서는	소치/NNP+에서/JKB+는/JX
아쉬움을	아쉬움/NNG+을/JKO
남겼지만	남기/VV+었/EP+지만/EC
이번	이번/NNG
올림픽은	올림픽/NNG+은/JX
그	그/MMD
어느	어느/MMD
시즌보다	시즌/NNG+보다/JKB
잘	잘/MAG
준비했다”고	준비/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
각오를	각오/NNG+를/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.287.8.7
남녀 아이스하키팀은 메달 획득은 어렵지만 새로운 지평을 열겠다고 밝혔다.

남녀	남녀/NNG
아이스하키팀은	아이스하키/NNG+팀/NNG+은/JX
메달	메달/NNG
획득은	획득/NNG+은/JX
어렵지만	어렵/VA+지만/EC
새로운	새롭/VA+ㄴ/ETM
지평을	지평/NNG+을/JKO
열겠다고	열/VV+겠/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.287.8.8
여자 대표팀 세라 머리 감독은 “예전에는 스스로 만족할 수 있는 경기를 하는 것이 목표였다면, 지금은 예선을 통과한 뒤 상급 디비전에서 경쟁하는 것이 목표”라고 말했다.

여자	여자/NNG
대표팀	대표/NNG+팀/NNG
세라	세라/NNP
머리	머리/NNP
감독은	감독/NNG+은/JX
“예전에는	“/SS+예전/NNG+에/JKB+는/JX
스스로	스스로/MAG
만족할	만족/NNG+하/XSA+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
경기를	경기/NNG+를/JKO
하는	하/VV+는/ETM
것이	것/NNB+이/JKS
목표였다면,	목표/NNG+이/VCP+었/EP+다면/EC+,/SP
지금은	지금/NNG+은/JX
예선을	예선/NNG+을/JKO
통과한	통과/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
상급	상급/NNG
디비전에서	디비전/NNG+에서/JKB
경쟁하는	경쟁/NNG+하/XSV+는/ETM
목표”라고	목표/NNG+”/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.287.8.9
남자팀 백지선 감독은 “11월 오스트리아, 12월 러시아 등 국제 경험을 쌓으면서 선수들이 더욱 발전하도록 계획된 과정을 밟아나가겠다”고 전했다.

남자팀	남자/NNG+팀/NNG
백지선	백지선/NNP
감독은	감독/NNG+은/JX
“11월	“/SS+11/SN+월/NNB
오스트리아,	오스트리아/NNP+,/SP
12월	12/SN+월/NNB
러시아	러시아/NNP
등	등/NNB
국제	국제/NNG
경험을	경험/NNG+을/JKO
쌓으면서	쌓/VV+으면서/EC
선수들이	선수/NNG+들/XSN+이/JKS
더욱	더욱/MAG
발전하도록	발전/NNG+하/XSV+도록/EC
계획된	계획/NNG+되/XSV+ㄴ/ETM
과정을	과정/NNG+을/JKO
밟아나가겠다”고	밟/VV+아/EC+나가/VX+겠/EP+다/EF+”/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.287.8.10
루지 국가대표 김동현은 “봅슬레이나 스켈레톤을 보면서 투자가 좋으면 결과도 따라온다고 느꼈다”며 “10년이나 15년 뒤에는 루지도 지금의 빙상처럼 국위를 선양하는 강팀이 될 것”이라고 희망을 노래했다.

루지	루지/NNG
국가대표	국가/NNG+대표/NNG
김동현은	김동현/NNP+은/JX
“봅슬레이나	“/SS+봅슬레이/NNG+나/JX
스켈레톤을	스켈레톤/NNG+을/JKO
보면서	보/VV+면서/EC
투자가	투자/NNG+가/JKS
좋으면	좋/VA+으면/EC
결과도	결과/NNG+도/JX
따라온다고	따라오/VV+ㄴ다고/EC
느꼈다”며	느끼/VV+었/EP+다/EF+”/SS+며/EC
“10년이나	“/SS+10/SN+년/NNB+이나/JC
15년	15/SN+년/NNB
뒤에는	뒤/NNG+에/JKB+는/JX
루지도	루지/NNG+도/JX
지금의	지금/NNG+의/JKG
빙상처럼	빙상/NNG+처럼/JKB
국위를	국위/NNG+를/JKO
선양하는	선양/NNG+하/XSV+는/ETM
강팀이	강팀/NNG+이/JKC
될	되/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
희망을	희망/NNG+을/JKO
노래했다.	노래/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.287.9.1
평창올림픽은 내년 2월9일부터 25일까지 17일 동안 강원도 평창·강릉·정선 일원에서 펼쳐진다.

평창올림픽은	평창/NNP+올림픽/NNG+은/JX
내년	내년/NNG
2월9일부터	2/SN+월/NNB+9/SN+일/NNB+부터/JX
25일까지	25/SN+일/NNB+까지/JX
17일	17/SN+일/NNB
동안	동안/NNG
강원도	강원도/NNP
평창·강릉·정선	평창/NNP+·/SP+강릉/NNP+·/SP+정선/NNP
일원에서	일원/NNG+에서/JKB
펼쳐진다.	펼쳐지/VV+ㄴ다/EF+./SF


# id : NWRW1800000056.287.9.2
우리나라는 평창올림픽에서 금메달 8개, 은메달 4개, 동메달 8개로 종합 4위를 목표로 하고 있다.

우리나라는	우리나라/NNG+는/JX
평창올림픽에서	평창/NNP+올림픽/NNG+에서/JKB
금메달	금메달/NNG
8개,	8/SN+개/NNB+,/SP
은메달	은메달/NNG
4개,	4/SN+개/NNB+,/SP
동메달	동메달/NNG
8개로	8/SN+개/NNB+로/JKB
종합	종합/NNG
4위를	4/SN+위/NNB+를/JKO
목표로	목표/NNG+로/JKB
하고	하/VV+고/EC
있다.	있/VX+다/EF+./SF


