# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.15
metadata : {}


# id : NWRW1800000036.15.1.1
“하이닉스 반도체산업 불안정성 SK가 보완”

“하이닉스	“/SS+하이닉스/NNP
# id : NWRW1800000036.15.5.4
김 부사장이 맡은 코퍼레이트센터는 전략기획실·대외협력실·재경실·기업문화실 등 지원부서를 총괄한다.

김	김/NNP
부사장이	부사장/NNG+이/JKS
맡은	맡/VV+은/ETM
코퍼레이트센터는	코퍼레이트/NNG+센터/NNG+는/JX
전략기획실·대외협력실·재경실·기업문화실	전략/NNG+기획실/NNG+·/SP+대외/NNG+협력실/NNG+·/SP+재경실/NNG+·/SP+기업/NNG+문화실/NNG
등	등/NNB
지원부서를	지원/NNG+부서/NNG+를/JKO
총괄한다.	총괄/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000036.15.6.1
김 부사장이 관리를 담당한다면, 에스케이에너지에서 잔뼈가 굵고 에스케이그룹 기술혁신센터 사장을 지낸 박상훈 부사장은 제조 쪽을 책임진다.

김	김/NNP
부사장이	부사장/NNG+이/JKS
관리를	관리/NNG+를/JKO
담당한다면,	담당/NNG+하/XSV+ㄴ다면/EC+,/SP
에스케이에너지에서	에스케이에너지/NNP+에서/JKB
잔뼈가	잔뼈/NNG+가/JKS
굵고	굵/VA+고/EC
에스케이그룹	에스케이그룹/NNP
기술혁신센터	기술/NNG+혁신/NNG+센터/NNG
사장을	사장/NNG+을/JKO
지낸	지내/VV+ㄴ/ETM
박상훈	박상훈/NNP
부사장은	부사장/NNG+은/JX
제조	제조/NNG
쪽을	쪽/NNB+을/JKO
책임진다.	책임지/VV+ㄴ다/EF+./SF


# id : NWRW1800000036.15.6.2
두 부사장을 비롯한 8명의 임원이 에스케이그룹에서 하이닉스로 이동했다.

두	두/MMN
부사장을	부사장/NNG+을/JKO
비롯한	비롯하/VV+ㄴ/ETM
8명의	8/SN+명/NNB+의/JKG
임원이	임원/NNG+이/JKS
에스케이그룹에서	에스케이그룹/NNP+에서/JKB
하이닉스로	하이닉스/NNP+로/JKB
이동했다.	이동/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.15.7.1
이들의 양 끝에는 박성욱 연구개발 총괄부사장과 송현종 에스케이매니지먼트시스템(SKMS)실 전무가 앉았다.

이들의	이/NP+들/XSN+의/JKG
양	양/MMA
끝에는	끝/NNG+에/JKB+는/JX
박성욱	박성욱/NNP
연구개발	연구/NNG+개발/NNG
총괄부사장과	총괄/NNG+부사장/NNG+과/JKB
송현종	송현종/NNP
에스케이매니지먼트시스템(SKMS)실	에스케이/NNP+매니지먼트/NNG+시스템/NNG+(/SS+SKMS/SL+)/SS+실/NNG
전무가	전무/NNG+가/JKS
앉았다.	앉/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.15.7.2
에스케이텔레콤 미래경영실 실장을 지낸 송 전무는 대표이사 직속 조직인 에스케이엠에스실에서 에스케이그룹 문화를 하이닉스에 심는 일을 맡는다.

에스케이텔레콤	에스케이텔레콤/NNP
미래경영실	미래/NNG+경영실/NNG
실장을	실장/NNG+을/JKO
지낸	지내/VV+ㄴ/ETM
송	송/NNP
전무는	전무/NNG+는/JX
대표이사	대표/NNG+이사/NNG
직속	직속/NNG
조직인	조직/NNG+이/VCP+ㄴ/ETM
에스케이엠에스실에서	에스케이엠에스/NNP+실/NNG+에서/JKB
에스케이그룹	에스케이그룹/NNP
문화를	문화/NNG+를/JKO
하이닉스에	하이닉스/NNP+에/JKB
심는	심/VV+는/ETM
일을	일/NNG+을/JKO
맡는다.	맡/VV+는다/EF+./SF


# id : NWRW1800000036.15.7.3
에스케이엠에스실에는 하이닉스 인수 정밀 실사단에 참여한 14명이 배치됐다.

에스케이엠에스실에는	에스케이엠에스/NNP+실/NNG+에/JKB+는/JX
하이닉스	하이닉스/NNP
인수	인수/NNG
정밀	정밀/NNG
실사단에	실사단/NNG+에/JKB
참여한	참여/NNG+하/XSV+ㄴ/ETM
14명이	14/SN+명/NNB+이/JKS
배치됐다.	배치/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000036.15.7.4
박 부사장은 하이닉스의 핵심이라 할 반도체 연구개발을 계속 책임진다.

박	박/NNP
부사장은	부사장/NNG+은/JX
하이닉스의	하이닉스/NNP+의/JKG
핵심이라	핵심/NNG+이/VCP+라/EC
할	하/VV+ㄹ/ETM
반도체	반도체/NNG
연구개발을	연구/NNG+개발/NNG+을/JKO
계속	계속/MAG
책임진다.	책임지/VV+ㄴ다/EF+./SF


# id : NWRW1800000036.15.8.1
하이닉스는 연구개발 등 기술 분야 외에 관리와 제조 등에서 에스케이의 ‘날개’를 단 셈이다.

하이닉스는	하이닉스/NNP+는/JX
연구개발	연구/NNG+개발/NNG
등	등/NNB
기술	기술/NNG
분야	분야/NNG
외에	외/NNB+에/JKB
관리와	관리/NNG+와/JC
제조	제조/NNG
등에서	등/NNB+에서/JKB
에스케이의	에스케이/NNP+의/JKG
‘날개’를	‘/SS+날개/NNG+’/SS+를/JKO
단	달/VV+ㄴ/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000036.15.8.2
23일 정기 주주총회에선 간판도 에스케이하이닉스로 바꿔 단다.

23일	23/SN+일/NNB
정기	정기/NNG
주주총회에선	주주/NNG+총회/NNG+에서/JKB+ㄴ/JX
간판도	간판/NNG+도/JX
에스케이하이닉스로	에스케이하이닉스/NNP+로/JKB
바꿔	바꾸/VV+어/EC
단다.	달/VV+ㄴ다/EF+./SF


# id : NWRW1800000036.15.8.3
권 사장은 “하이닉스와 에스케이가 큰 시너지 효과를 낼 것으로 기대한다”며 “특히 반도체는 성장성은 높지만 안정성이 부족한 산업인데 에스케이가 이를 보완할 수 있을 것”이라고 말했다.

권	권/NNP
사장은	사장/NNG+은/JX
“하이닉스와	“/SS+하이닉스/NNP+와/JC
에스케이가	에스케이/NNP+가/JKS
큰	크/VA+ㄴ/ETM
시너지	시너지/NNG
효과를	효과/NNG+를/JKO
낼	내/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
기대한다”며	기대/NNG+하/XSV+ㄴ다/EF+”/SS+며/EC
“특히	“/SS+특히/MAG
반도체는	반도체/NNG+는/JX
성장성은	성장/NNG+성/XSN+은/JX
높지만	높/VA+지만/EC
안정성이	안정/NNG+성/XSN+이/JKS
부족한	부족/NNG+하/XSA+ㄴ/ETM
산업인데	산업/NNG+이/VCP+ㄴ데/EC
이를	이/NP+를/JKO
보완할	보완/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.15.8.4
김 부사장은 “하이닉스는 이제 에스케이그룹의 핵심 계열사”라고 덧붙였다.

김	김/NNP
부사장은	부사장/NNG+은/JX
“하이닉스는	“/SS+하이닉스/NNP+는/JX
이제	이제/MAG
에스케이그룹의	에스케이그룹/NNP+의/JKG
핵심	핵심/NNG
계열사”라고	계열사/NNG+”/SS+라고/JKQ
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.15.9.1
에스케이의 날개를 단 하이닉스는 최근 디(D)램 값 반등의 훈풍도 타고 있다.

에스케이의	에스케이/NNP+의/JKG
날개를	날개/NNG+를/JKO
단	달/VV+ㄴ/ETM
하이닉스는	하이닉스/NNP+는/JX
최근	최근/NNG
디(D)램	디/NNG+(/SS+D/SL+)/SS+램/NNG
값	값/NNG
반등의	반등/NNG+의/JKG
훈풍도	훈풍/NNG+도/JX
타고	타/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.15.9.2
권 사장은 “일본 엘피다가 법정관리에 들어가는 등 메모리 반도체 업계 후발업체들이 재무적으로 어려움을 겪고 있다”며 “지금이 한국 메모리 반도체 회사들이 시장영향력과 사업 위상을 높일 수 있는 기회”라고 말했다.

권	권/NNP
사장은	사장/NNG+은/JX
“일본	“/SS+일본/NNP
엘피다가	엘피다/NNP+가/JKS
법정관리에	법정/NNG+관리/NNG+에/JKB
들어가는	들어가/VV+는/ETM
등	등/NNB
메모리	메모리/NNG
반도체	반도체/NNG
업계	업계/NNG
후발업체들이	후발/NNG+업체/NNG+들/XSN+이/JKS
재무적으로	재무/NNG+적/XSN+으로/JKB
어려움을	어려움/NNG+을/JKO
겪고	겪/VV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“지금이	“/SS+지금/NNG+이/JKS
한국	한국/NNP
회사들이	회사/NNG+들/XSN+이/JKS
시장영향력과	시장/NNG+영향력/NNG+과/JC
사업	사업/NNG
위상을	위상/NNG+을/JKO
높일	높이/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
기회”라고	기회/NNG+”/SS+이/VCP+라고/EC
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.15.9.3
그는 이어 “지금 디램 가격이 바닥을 치고 회복세를 타고 있으며, 이런 추세가 지속되기를 바란다”며 “올해 중·후반에는 지금보다 훨씬 나아진 시장 여건을 기대한다”고 덧붙였다.

그는	그/NP+는/JX
이어	이어/MAG
“지금	“/SS+지금/MAG
디램	디램/NNG
가격이	가격/NNG+이/JKS
바닥을	바닥/NNG+을/JKO
치고	치/VV+고/EC
회복세를	회복세/NNG+를/JKO
타고	타/VV+고/EC
있으며,	있/VX+으며/EC+,/SP
이런	이런/MMD
추세가	추세/NNG+가/JKS
지속되기를	지속/NNG+되/XSV+기/ETN+를/JKO
바란다”며	바라/VV+ㄴ다/EF+”/SS+며/EC
“올해	“/SS+올해/NNG
중·후반에는	중·후반/NNG+에/JKB+는/JX
지금보다	지금/NNG+보다/JKB
훨씬	훨씬/MAG
나아진	나아지/VV+ㄴ/ETM
시장	시장/NNG
여건을	여건/NNG+을/JKO
기대한다”고	기대/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.15.10.1
하이닉스는 올해 4조원대의 설비투자 계획을 세웠다.

하이닉스는	하이닉스/NNP+는/JX
올해	올해/NNG
4조원대의	4/SN+조/NR+원/NNB+대/XSN+의/JKG
설비투자	설비/NNG+투자/NNG
계획을	계획/NNG+을/JKO
세웠다.	세우/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.15.10.2
이 가운데 절반 이상을 비메모리에 투입하지만, 메모리 반도체 사업도 게을리하지 않을 계획이다.

이	이/MMD
가운데	가운데/NNG
절반	절반/NNG
이상을	이상/NNG+을/JKO
비메모리에	비/XPN+메모리/NNG+에/JKB
투입하지만,	투입/NNG+하/XSV+지만/EC+,/SP
메모리	메모리/NNG
반도체	반도체/NNG
사업도	사업/NNG+도/JX
게을리하지	게을리/MAG+하/XSV+지/EC
않을	않/VX+을/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.15.10.3
권 사장은 “아직 성장여력이 충분한 메모리 반도체에서 확고한 우위를 구축하겠다”며 “메모리에 대한 모바일 등의 수요가 지속적으로 상승 중이고, 경쟁업체 대비 하이닉스가 기술과 제품, 원가경쟁력에서 상당한 경쟁력을 갖고 있다”고 강조했다.

권	권/NNP
사장은	사장/NNG+은/JX
“아직	“/SS+아직/MAG
성장여력이	성장/NNG+여력/NNG+이/JKS
충분한	충분하/VA+ㄴ/ETM
메모리	메모리/NNG
반도체에서	반도체/NNG+에서/JKB
확고한	확고하/VA+ㄴ/ETM
우위를	우위/NNG+를/JKO
구축하겠다”며	구축/NNG+하/XSV+겠/EP+다/EF+”/SS+며/EC
“메모리에	“/SS+메모리/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
모바일	모바일/NNG
등의	등/NNB+의/JKG
수요가	수요/NNG+가/JKS
지속적으로	지속/NNG+적/XSN+으로/JKB
상승	상승/NNG
중이고,	중/NNB+이/VCP+고/EC+,/SP
경쟁업체	경쟁업체/NNG
대비	대비/NNG
하이닉스가	하이닉스/NNP+가/JKS
기술과	기술/NNG+과/JC
제품,	제품/NNG+,/SP
원가경쟁력에서	원가/NNG+경쟁력/NNG+에서/JKB
상당한	상당/NNG+하/XSA+ㄴ/ETM
경쟁력을	경쟁력/NNG+을/JKO
갖고	갖/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


