# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.366
metadata : {}


# id : NWRW1800000029.366.1.1
‘MB-손학규’ 회담 시점 기싸움… 민주, 외통-국방위원 초청 거부

‘MB-손학규’	‘/SS+MB/SL+-/SO+손학규/NNP+’/SS
내놓지는	내놓/VV+지/EC+는/JX
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000029.366.6.2
다만 내부에서는 “청와대는 야당보다 사전에 조율해야 할 곳이 많다” “대학등록금 문제는 추경예산 편성으로 해결할 사안은 아니라고 본다”는 얘기가 흘러나왔다.

다만	다만/MAG
내부에서는	내부/NNG+에서/JKB+는/JX
“청와대는	“/SS+청와대/NNP+는/JX
야당보다	야당/NNG+보다/JKB
사전에	사전/NNG+에/JKB
조율해야	조율/NNG+하/XSV+아야/EC
할	하/VX+ㄹ/ETM
곳이	곳/NNG+이/JKS
많다”	많/VA+다/EF+”/SS
“대학등록금	“/SS+대학/NNG+등록금/NNG
문제는	문제/NNG+는/JX
추경예산	추경/NNG+예산/NNG
편성으로	편성/NNG+으로/JKB
해결할	해결/NNG+하/XSV+ㄹ/ETM
사안은	사안/NNG+은/JX
아니라고	아니/VCN+라고/EC
본다”는	보/VV+ㄴ다/EF+”/SS+는/ETM
얘기가	얘기/NNG+가/JKS
흘러나왔다.	흘러나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.366.7.1
민주당은 청와대가 22일과 23일 국회 외교통일통상위원회와 국방위원회 소속 의원들을 청와대 오찬에 각각 초청한 것을 놓고 불쾌한 기색이 역력했다.

민주당은	민주당/NNP+은/JX
청와대가	청와대/NNP+가/JKS
22일과	22/SN+일/NNB+과/JC
23일	23/SN+일/NNB
국회	국회/NNG
외교통일통상위원회와	외교/NNG+통일/NNG+통상/NNG+위원회/NNG+와/JC
국방위원회	국방/NNG+위원회/NNG
소속	소속/NNG
의원들을	의원/NNG+들/XSN+을/JKO
청와대	청와대/NNP
오찬에	오찬/NNG+에/JKB
각각	각각/MAG
초청한	초청/NNG+하/XSV+ㄴ/ETM
것을	것/NNB+을/JKO
놓고	놓/VV+고/EC
불쾌한	불쾌/NNG+하/XSA+ㄴ/ETM
기색이	기색/NNG+이/JKS
역력했다.	역력하/VA+았/EP+다/EF+./SF


# id : NWRW1800000029.366.7.2
“22일, 23일에 시간이 난다면 그때 손 대표와 회동하는 게 순서”라는 소리가 나왔다.

“22일,	“/SS+22/SN+일/NNB+,/SP
23일에	23/SN+일/NNB+에/JKB
시간이	시간/NNG+이/JKS
난다면	나/VV+ㄴ다면/EC
그때	그때/NNG
손	손/NNP
대표와	대표/NNG+와/JKB
회동하는	회동/NNG+하/XSV+는/ETM
게	거/NNB+이/JKS
순서”라는	순서/NNG+”/SS+이/VCP+라는/ETM
소리가	소리/NNG+가/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.366.8.1
두 차례의 오찬 계획은 민주당 측이 초청에 응하지 않기로 결정하면서 사실상 무산됐다.

두	두/MMN
차례의	차례/NNG+의/JKG
오찬	오찬/NNG
계획은	계획/NNG+은/JX
민주당	민주당/NNP
측이	측/NNB+이/JKS
초청에	초청/NNG+에/JKB
응하지	응하/VV+지/EC
않기로	않/VX+기/ETN+로/JKB
결정하면서	결정/NNG+하/XSV+면서/EC
사실상	사실/NNG+상/XSN
무산됐다.	무산/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000029.366.8.2
이용섭 민주당 대변인은 “책임 있는 두 분이 먼저 만나 민생 문제를 협의하고 이를 바탕으로 야당 의원들에게 협조를 청하는 게 일의 순서”라며 “22일, 23일 오찬시간이 비었으니 그때도 적절한 시점”이라고 말했다.

이용섭	이용섭/NNP
민주당	민주당/NNP
대변인은	대변인/NNG+은/JX
“책임	“/SS+책임/NNG
있는	있/VA+는/ETM
두	두/MMN
분이	분/NNB+이/JKS
먼저	먼저/MAG
만나	만나/VV+아/EC
민생	민생/NNG
문제를	문제/NNG+를/JKO
협의하고	협의/NNG+하/XSV+고/EC
이를	이/NP+를/JKO
바탕으로	바탕/NNG+으로/JKB
야당	야당/NNG
의원들에게	의원/NNG+들/XSN+에게/JKB
협조를	협조/NNG+를/JKO
청하는	청/NNG+하/XSV+는/ETM
게	거/NNB+이/JKS
일의	일/NNG+의/JKG
순서”라며	순서/NNG+”/SS+이/VCP+라며/EC
“22일,	“/SS+22/SN+일/NNB+,/SP
23일	23/SN+일/NNB
오찬시간이	오찬/NNG+시간/NNG+이/JKS
비었으니	비/VV+었/EP+으니/EC
그때도	그때/NNG+도/JX
적절한	적절하/VA+ㄴ/ETM
시점”이라고	시점/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.366.9.1
한편 손 대표는 다음 달 초 남아프리카공화국 더반에서 열리는 국제올림픽위원회(IOC) 총회에 참석하지 않기로 했다.

한편	한편/MAG
손	손/NNP
대표는	대표/NNG+는/JX
다음	다음/NNG
달	달/NNG
초	초/NNB
남아프리카공화국	남아프리카공화국/NNP
더반에서	더반/NNP+에서/JKB
열리는	열리/VV+는/ETM
국제올림픽위원회(IOC)	국제올림픽위원회/NNP+(/SS+IOC/SL+)/SS
총회에	총회/NNG+에/JKB
참석하지	참석/NNG+하/XSV+지/EC
않기로	않/VX+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.366.9.2
이번 총회에서는 강원도 평창이 유치 신청을 한 2018년 겨울올림픽 개최지가 결정된다.

이번	이번/NNG
총회에서는	총회/NNG+에서/JKB+는/JX
강원도	강원도/NNP
평창이	평창/NNP+이/JKS
유치	유치/NNG
신청을	신청/NNG+을/JKO
한	하/VV+ㄴ/ETM
2018년	2018/SN+년/NNB
겨울올림픽	겨울/NNG+올림픽/NNG
개최지가	개최지/NNG+가/JKS
결정된다.	결정/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000029.366.9.3
당 관계자는 “참석 의사를 정부에 전달했으나 정부가 ‘100명의 총회 참석자 명단이 (IOC에) 이미 통보됐고, 손 대표가 가더라도 IOC 위원들과 접촉하는 게 법적으로 차단돼 있다’는 설명을 들었다”고 취소 이유를 밝혔다.

당	당/NNG
관계자는	관계자/NNG+는/JX
“참석	“/SS+참석/NNG
의사를	의사/NNG+를/JKO
정부에	정부/NNG+에/JKB
전달했으나	전달/NNG+하/XSV+았/EP+으나/EC
정부가	정부/NNG+가/JKS
‘100명의	‘/SS+100/SN+명/NNB+의/JKG
총회	총회/NNG
참석자	참석자/NNG
명단이	명단/NNG+이/JKS
(IOC에)	(/SS+IOC/SL+에/JKB+)/SS
이미	이미/MAG
통보됐고,	통보/NNG+되/XSV+었/EP+고/EC+,/SP
손	손/NNP
대표가	대표/NNG+가/JKS
가더라도	가/VV+더라도/EC
IOC	IOC/SL
위원들과	위원/NNG+들/XSN+과/JKB
접촉하는	접촉/NNG+하/XSV+는/ETM
게	거/NNB+이/JKS
법적으로	법/NNG+적/XSN+으로/JKB
차단돼	차단/NNG+되/XSV+어/EC
있다’는	있/VX+다/EF+’/SS+는/ETM
설명을	설명/NNG+을/JKO
들었다”고	듣/VV+었/EP+다/EF+”/SS+고/JKQ
취소	취소/NNG
이유를	이유/NNG+를/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


