# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.325
metadata : {}


# id : NWRW1800000038.325.1.1
[기자수첩] 20만원 어때?

[기자수첩]	[/SS+기자/NNG+수첩/NNG+]/SS
올려줘야	올리/VV+어/EC+주/VX+어야/EC
돼"라고	되/VV+어/EF+"/SS+라고/JKQ
맞장구쳤다.	맞장구치/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.325.4.3
속기록을 보면 마치 잡담하는 듯했다.

속기록을	속기록/NNG+을/JKO
보면	보/VV+면/EC
마치	마치/MAG
잡담하는	잡담/NNG+하/XSV+는/ETM
듯했다.	듯/NNB+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000038.325.5.1
0세 20만원, 1세 15만원, 2세 10만원인 양육수당의 액수를 더 올려 가정에서 아이를 키우도록 유도하자는 얘기는 전문가들도 찬성하는 것이다.

0세	0/SN+세/NNB
20만원,	20/SN+만/NR+원/NNB+,/SP
1세	1/SN+세/NNB
15만원,	15/SN+만/NR+원/NNB+,/SP
2세	2/SN+세/NNB
10만원인	10/SN+만/NR+원/NNB+이/VCP+ㄴ/ETM
양육수당의	양육/NNG+수당/NNG+의/JKG
액수를	액수/NNG+를/JKO
더	더/MAG
올려	올리/VV+어/EC
가정에서	가정/NNG+에서/JKB
아이를	아이/NNG+를/JKO
키우도록	키우/VV+도록/EC
유도하자는	유도/NNG+하/XSV+자는/ETM
얘기는	얘기/NNG+는/JX
전문가들도	전문가/NNG+들/XSN+도/JX
찬성하는	찬성/NNG+하/XSV+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.325.5.2
그러나 3~5세는 발달 과정상 보육시설에 다니는 것이 좋기 때문에 양육수당까지 주는 것은 맞지 않다는 것이 정부와 전문가들의 견해였다.

그러나	그러나/MAJ
3~5세는	3/SN+~/SO+5/SN+세/NNB+는/JX
발달	발달/NNG
과정상	과정/NNG+상/XSN
보육시설에	보육/NNG+시설/NNG+에/JKB
다니는	다니/VV+는/ETM
것이	것/NNB+이/JKS
좋기	좋/VA+기/ETN
때문에	때문/NNB+에/JKB
양육수당까지	양육/NNG+수당/NNG+까지/JX
주는	주/VV+는/ETM
것은	것/NNB+은/JX
맞지	맞/VV+지/EC
않다는	않/VX+다는/ETM
정부와	정부/NNG+와/JC
전문가들의	전문가/NNG+들/XSN+의/JKG
견해였다.	견해/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.325.6.1
그런데 이날 의원들은 이런 점을 고려하지 않고 순식간에 0~5세 전부에 양육수당 20만원을 지급하기로 결정한 것이다.

그런데	그런데/MAJ
이날	이날/NNG
의원들은	의원/NNG+들/XSN+은/JX
이런	이런/MMD
점을	점/NNG+을/JKO
고려하지	고려/NNG+하/XSV+지/EC
않고	않/VX+고/EC
순식간에	순식/NNG+간/XSN+에/JKB
0~5세	0/SN+~/SO+5/SN+세/NNB
전부에	전부/NNG+에/JKB
양육수당	양육/NNG+수당/NNG
20만원을	20/SN+만/NR+원/NNB+을/JKO
지급하기로	지급/NNG+하/XSV+기/ETN+로/JKB
결정한	결정/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.325.6.2
일부 의원들은 연령별 양육수당 지원 액수도 제대로 알지 못했고, 예산이 얼마나 늘어날지도 몰랐다.

일부	일부/NNG
의원들은	의원/NNG+들/XSN+은/JX
연령별	연령/NNG+별/XSN
양육수당	양육/NNG+수당/NNG
지원	지원/NNG
액수도	액수/NNG+도/JX
제대로	제대로/MAG
알지	알/VV+지/EC
못했고,	못하/VX+았/EP+고/EC+,/SP
예산이	예산/NNG+이/JKS
얼마나	얼마나/MAG
늘어날지도	늘어나/VV+ㄹ지/EF+도/JX
몰랐다.	모르/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.325.7.1
전문가들은 3~5세 양육수당을 20만원 지급할 경우 보육료 지원액(22만원)과 비슷해져 어린이집·유치원을 보내지 않고 양육수당을 받아 영어학원 등을 보내는 학부모들이 늘어날 것이라고 걱정했다.

전문가들은	전문가/NNG+들/XSN+은/JX
3~5세	3/SN+~/SO+5/SN+세/NNB
양육수당을	양육/NNG+수당/NNG+을/JKO
20만원	20/SN+만/NR+원/NNB
지급할	지급/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
보육료	보육료/NNG
지원액(22만원)과	지원액/NNG+(/SS+22/SN+만/NR+원/NNB+)/SS+과/JKB
비슷해져	비슷하/VA+아/EC+지/VX+어/EC
어린이집·유치원을	어린이집/NNG+·/SP+유치원/NNG+을/JKO
보내지	보내/VV+지/EC
않고	않/VX+고/EC
받아	받/VV+아/EC
영어학원	영어/NNP+학원/NNG
등을	등/NNB+을/JKO
보내는	보내/VV+는/ETM
학부모들이	학부모/NNG+들/XSN+이/JKS
늘어날	늘어나/VV+ㄹ/ETM
것이라고	것/NNB+이/VCP+라고/EC
걱정했다.	걱정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.325.7.2
또 저소득층의 경우 아이를 시설에 보내지 않고 20만원을 생활비로 쓰는 가정이 적지 않을 것으로 우려한다.

또	또/MAG
저소득층의	저/XPN+소득/NNG+층/XSN+의/JKG
경우	경우/NNG
아이를	아이/NNG+를/JKO
시설에	시설/NNG+에/JKB
보내지	보내/VV+지/EC
않고	않/VX+고/EC
20만원을	20/SN+만/NR+원/NNB+을/JKO
생활비로	생활비/NNG+로/JKB
쓰는	쓰/VV+는/ETM
가정이	가정/NNG+이/JKS
적지	적/VA+지/EC
않을	않/VX+을/ETM
것으로	것/NNB+으로/JKB
우려한다.	우려/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.325.7.3
이 자리에는 복지부 손건익 차관, 최희주 저출산고령사회정책실장, 조남권 보육정책관 등이 있었지만 양육수당을 올릴 경우 어떤 부작용이 있을지 설명하지 않았다.

이	이/MMD
자리에는	자리/NNG+에/JKB+는/JX
복지부	복지부/NNG
손건익	손건익/NNP
차관,	차관/NNG+,/SP
최희주	최희주/NNP
저출산고령사회정책실장,	저/XPN+출산/NNG+고령/NNG+사회/NNG+정책실장/NNG+,/SP
조남권	조남권/NNP
보육정책관	보육/NNG+정책관/NNG
등이	등/NNB+이/JKS
있었지만	있/VA+었/EP+지만/EC
양육수당을	양육/NNG+수당/NNG+을/JKO
올릴	올리/VV+ㄹ/ETM
경우	경우/NNG
어떤	어떤/MMD
부작용이	부작용/NNG+이/JKS
있을지	있/VA+을지/EF
설명하지	설명/NNG+하/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000038.325.8.1
다행히 국회 예결위 계수조정 과정에서 0~5세 전원에게 20만원을 주는 안은 원래대로 2~5세는 10만원만 주는 것으로 원위치했다.

다행히	다행히/MAG
국회	국회/NNG
예결위	예결위/NNG
계수조정	계수/NNG+조정/NNG
과정에서	과정/NNG+에서/JKB
0~5세	0/SN+~/SO+5/SN+세/NNB
전원에게	전원/NNG+에게/JKB
20만원을	20/SN+만/NR+원/NNB+을/JKO
주는	주/VV+는/ETM
안은	안/NNG+은/JX
원래대로	원래/NNG+대로/JX
2~5세는	2/SN+~/SO+5/SN+세/NNB+는/JX
10만원만	10/SN+만/NR+원/NNB+만/JX
것으로	것/NNB+으로/JKB
원위치했다.	원위치/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.325.8.2
하지만 그날 복지위의 의사결정 과정은 한국의 복지정책이 일부 의원들의 즉흥적인 발상으로 흔들릴 수 있다는 점을 실감케 했다.

하지만	하지만/MAJ
그날	그날/NNG
복지위의	복지위/NNG+의/JKG
의사결정	의사/NNG+결정/NNG
과정은	과정/NNG+은/JX
한국의	한국/NNP+의/JKG
복지정책이	복지/NNG+정책/NNG+이/JKS
일부	일부/NNG
의원들의	의원/NNG+들/XSN+의/JKG
즉흥적인	즉흥/NNG+적/XSN+이/VCP+ㄴ/ETM
발상으로	발상/NNG+으로/JKB
흔들릴	흔들리/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
점을	점/NNG+을/JKO
실감케	실감/NNG+하/XSV+게/EC
했다.	하/VX+았/EP+다/EF+./SF


