# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.26
metadata : {}


# id : NWRW1800000032.26.1.1
프라임저축 뱅크런 1100억 넘어 /금융위원장 “유동성 충분 지원”

프라임저축	프라임저축/NNP
상황인	상황/NNG+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
안다”고	알/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.26.7.1
한편 김석동 금융위원장은 이날 서울에서 열린 ‘보험회사 및 유관기관 관계자 간담회’에 앞서 프라임저축은행 지원책을 묻는 질문에 “유동성 지원이 충분히 이뤄지도록 하겠다”고 밝혔다.

한편	한편/MAG
김석동	김석동/NNP
금융위원장은	금융/NNG+위원장/NNG+은/JX
이날	이날/NNG
서울에서	서울/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
‘보험회사	‘/SS+보험/NNG+회사/NNG
및	및/MAG
유관기관	유관/NNG+기관/NNG
관계자	관계자/NNG
간담회’에	간담회/NNG+’/SS+에/JKB
앞서	앞서/VV+어/EC
프라임저축은행	프라임저축은행/NNP
지원책을	지원책/NNG+을/JKO
묻는	묻/VV+는/ETM
질문에	질문/NNG+에/JKB
“유동성	“/SS+유동/NNG+성/XSN
지원이	지원/NNG+이/JKS
충분히	충분히/MAG
이뤄지도록	이뤄지/VV+도록/EC
하겠다”고	하/VX+겠/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.26.7.2
또 금융감독원이 프라임저축은행 말고 다른 저축은행도 검찰에 고발한 것 아니냐는 질문에는 “처음 듣는 얘기”라고 답했다.

또	또/MAG
금융감독원이	금융/NNG+감독원/NNG+이/JKS
프라임저축은행	프라임저축은행/NNP
말고	말/VV+고/EC
다른	다른/MMD
저축은행도	저축/NNG+은행/NNG+도/JX
검찰에	검찰/NNG+에/JKB
고발한	고발/NNG+하/XSV+ㄴ/ETM
것	것/NNB
아니냐는	아니/VCN+냐는/ETM
질문에는	질문/NNG+에/JKB+는/JX
“처음	“/SS+처음/NNG
듣는	듣/VV+는/ETM
얘기”라고	얘기/NNG+”/SS+라고/JKQ
답했다.	답/NNG+하/XSV+았/EP+다/EF+./SF


