# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.353
metadata : {}


# id : NWRW1800000046.353.1.1
야당도 정부도 과장된 주장

야당도	야당/NNG+도/JX
보건복지부와 야당 측 전문가 모두가 인정하는 진실은 이렇다.

보건복지부와	보건/NNG+복지부/NNG+와/JC
야당	야당/NNG
측	측/NNB
전문가	전문가/NNG
모두가	모두/NNG+가/JKS
인정하는	인정/NNG+하/XSV+는/ETM
진실은	진실/NNG+은/JX
이렇다.	이렇/VA+다/EF+./SF


# id : NWRW1800000046.353.6.1
①보험료율을 10.01%로 올리면 소득대체율은 50%가 되는 건 맞다.

①보험료율을	①/SN+보험료/NNG+율/XSN+을/JKO
10.01%로	10/SN+./SP+01/SN+%/SW+로/JKB
올리면	올리/VV+면/EC
소득대체율은	소득/NNG+대체/NNG+율/XSN+은/JX
50%가	50/SN+%/SW+가/JKS
되는	되/VV+는/ETM
건	거/NNB+ㄴ/JX
맞다.	맞/VV+다/EF+./SF


# id : NWRW1800000046.353.6.2
단 이 경우에 연기금은 2060년에 전부 고갈된다.

단	단/MMA
이	이/MMD
경우에	경우/NNG+에/JKB
연기금은	연기금/NNG+은/JX
2060년에	2060/SN+년/NNB+에/JKB
전부	전부/MAG
고갈된다.	고갈/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000046.353.6.3
②보험료율 9%, 소득대체율 40%인 현행 시스템을 그대로 유지해도 2060년에 연기금이 전부 고갈되는 건 마찬가지다.

②보험료율	②/SN+보험료/NNG+율/XSN
9%,	9/SN+%/SW+,/SP
소득대체율	소득/NNG+대체/NNG+율/XSN
40%인	40/SN+%/SW+이/VCP+ㄴ/ETM
현행	현행/NNG
시스템을	시스템/NNG+을/JKO
그대로	그대로/MAG
유지해도	유지/NNG+하/XSV+아도/EC
2060년에	2060/SN+년/NNB+에/JKB
연기금이	연기금/NNG+이/JKS
전부	전부/MAG
고갈되는	고갈/NNG+되/XSV+는/ETM
건	거/NNB+ㄴ/JX
마찬가지다.	마찬가지/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.353.6.4
③2100년까지 연기금을 안정적으로 유지하면서 소득대체율 40%를 유지하려면 보험료율을 올해부터 15.85%로 올려야 한다.

③2100년까지	③/SN+2100/SN+년/NNB+까지/JX
연기금을	연기금/NNG+을/JKO
안정적으로	안정/NNG+적/XSN+으로/JKB
유지하면서	유지/NNG+하/XSV+면서/EC
소득대체율	소득/NNG+대체/NNG+율/XSN
40%를	40/SN+%/SW+를/JKO
유지하려면	유지/NNG+하/XSV+려면/EC
보험료율을	보험료/NNG+율/XSN+을/JKO
올해부터	올해/NNG+부터/JX
15.85%로	15/SN+./SP+85/SN+%/SW+로/JKB
올려야	올리/VV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000046.353.6.5
④2100년까지 연기금을 안정적으로 유지하면서 소득대체율을 50%로 올리려면 보험료율은 18.85%로 올려야 한다.

④2100년까지	④/SN+2100/SN+년/NNB+까지/JX
연기금을	연기금/NNG+을/JKO
안정적으로	안정/NNG+적/XSN+으로/JKB
유지하면서	유지/NNG+하/XSV+면서/EC
소득대체율을	소득/NNG+대체/NNG+율/XSN+을/JKO
50%로	50/SN+%/SW+로/JKB
올리려면	올리/VV+려면/EC
보험료율은	보험료/NNG+율/XSN+은/JX
18.85%로	18/SN+./SP+85/SN+%/SW+로/JKB
올려야	올리/VV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000046.353.6.6
이 4항목을 놓고 정부와 야당은 각자 자신들 주장에 맞는 부분만을 떼내서 주장하는 것이다.

이	이/MMD
4항목을	4/SN+항목/NNG+을/JKO
놓고	놓/VV+고/EC
정부와	정부/NNG+와/JC
야당은	야당/NNG+은/JX
각자	각자/MAG
자신들	자신/NNG+들/XSN
주장에	주장/NNG+에/JKB
맞는	맞/VV+는/ETM
부분만을	부분/NNG+만/JX+을/JKO
떼내서	떼/VV+어/EC+내/VX+어서/EC
주장하는	주장/NNG+하/XSV+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.353.6.7
야당이 "1%포인트만 올리면 된다"고 하는 건 ② ③ ④를 빼고 말하는 것이고, 문 장관은 다른 건 빼고 ④번만 얘기하고 있는 것이다.

야당이	야당/NNG+이/JKS
"1%포인트만	"/SS+1/SN+%포인트/NNG+만/JX
올리면	올리/VV+면/EC
된다"고	되/VV+ㄴ다/EF+"/SS+고/JKQ
하는	하/VV+는/ETM
건	거/NNB+ㄴ/JX
②	②/SN
③	③/SN
④를	④/SN+를/JKO
빼고	빼/VV+고/EC
말하는	말/NNG+하/XSV+는/ETM
것이고,	것/NNB+이/VCP+고/EC+,/SP
문	문/NNP
장관은	장관/NNG+은/JX
다른	다른/MMD
④번만	④/SN+번/NNB+만/JX
얘기하고	얘기/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.353.7.1
결국 정부가 계산하는 대로 하더라도 보험료율은 어차피 15.85%로 올라야 하는 것이고, 소득대체율을 50%로 할 때와 40%로 할 때의 차이는 '두 배'가 아니라 '3%포인트 차이'인 셈이다.

결국	결국/MAG
정부가	정부/NNG+가/JKS
계산하는	계산/NNG+하/XSV+는/ETM
대로	대로/NNB
하더라도	하/VV+더라도/EC
보험료율은	보험료/NNG+율/XSN+은/JX
어차피	어차피/MAG
15.85%로	15/SN+./SP+85/SN+%/SW+로/JKB
올라야	오르/VV+아야/EC
하는	하/VX+는/ETM
것이고,	것/NNB+이/VCP+고/EC+,/SP
소득대체율을	소득/NNG+대체/NNG+율/XSN+을/JKO
50%로	50/SN+%/SW+로/JKB
할	하/VV+ㄹ/ETM
때와	때/NNG+와/JC
40%로	40/SN+%/SW+로/JKB
때의	때/NNG+의/JKG
차이는	차이/NNG+는/JX
'두	'/SS+두/MMN
배'가	배/NNG+'/SS+가/JKC
아니라	아니/VCN+라/EC
'3%포인트	'/SS+3/SN+%포인트/NNG
차이'인	차이/NNG+'/SS+이/VCP+ㄴ/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.353.7.2
또 야당이 하는 말은 '2060년 연기금 고갈'이라는 극단적인 상황을 생략한 채 하고 있는 것이다.

또	또/MAG
야당이	야당/NNG+이/JKS
하는	하/VV+는/ETM
말은	말/NNG+은/JX
'2060년	'/SS+2060/SN+년/NNB
연기금	연기금/NNG
고갈'이라는	고갈/NNG+'/SS+이/VCP+라는/ETM
극단적인	극단/NNG+적/XSN+이/VCP+ㄴ/ETM
상황을	상황/NNG+을/JKO
생략한	생략/NNG+하/XSV+ㄴ/ETM
채	채/NNB
하고	하/VV+고/EC
있는	있/VX+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.353.7.3
문 장관이 "두 배가 든다"고 말한 것에 대해 복지부 관계자는 "보험료를 10.01%로 올리면 저소득층, 영세 자영업자 등 보험료를 납부하지 못하는 사람이 더 늘기 때문에 문 장관이 다소 강하게 얘기한 것"이라고 해명했다.

문	문/NNP
장관이	장관/NNG+이/JKS
"두	"/SS+두/MMN
배가	배/NNG+가/JKS
든다"고	들/VV+ㄴ다/EF+"/SS+고/JKQ
말한	말/NNG+하/XSV+ㄴ/ETM
것에	것/NNB+에/JKB
대해	대하/VV+아/EC
복지부	복지부/NNG
관계자는	관계자/NNG+는/JX
"보험료를	"/SS+보험료/NNG+를/JKO
10.01%로	10/SN+./SP+01/SN+%/SW+로/JKB
올리면	올리/VV+면/EC
저소득층,	저/XPN+소득/NNG+층/XSN+,/SP
영세	영세/NNG
자영업자	자영업자/NNG
등	등/NNB
보험료를	보험료/NNG+를/JKO
납부하지	납부/NNG+하/XSV+지/EC
못하는	못하/VX+는/ETM
사람이	사람/NNG+이/JKS
더	더/MAG
늘기	늘/VV+기/ETN
때문에	때문/NNB+에/JKB
다소	다소/MAG
강하게	강하/VA+게/EC
얘기한	얘기/NNG+하/XSV+ㄴ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
해명했다.	해명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.353.8.1
한편 2060년 이후 연기금이 완전히 고갈되면 당장 그해 보험료율은 21.4%(소득대체율이 40%일 때)나 25.3%(소득대체율이 50%)로 껑충 뛰게 된다.

한편	한편/MAG
2060년	2060/SN+년/NNB
이후	이후/NNG
연기금이	연기금/NNG+이/JKS
완전히	완전히/MAG
고갈되면	고갈/NNG+되/XSV+면/EC
당장	당장/NNG
그해	그해/NNG
보험료율은	보험료/NNG+율/XSN+은/JX
21.4%(소득대체율이	21/SN+./SP+4/SN+%/SW+(/SS+소득/NNG+대체/NNG+율/XSN+이/JKS
40%일	40/SN+%/SW+이/VCP+ㄹ/ETM
때)나	때/NNG+)/SS+나/JC
25.3%(소득대체율이	25/SN+./SP+3/SN+%/SW+(/SS+소득/NNG+대체/NNG+율/XSN+이/JKS
50%)로	50/SN+%/SW+)/SS+로/JKB
껑충	껑충/MAG
뛰게	뛰/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.353.8.2
100만원을 벌어 9만원을 보험료로 냈다면 연기금 고갈 이후에는 연금 가입자가 매달 21만4000원 혹은 25만3000원을 내서 연금 수급자의 연금액을 줘야 한다.

100만원을	100/SN+만/NR+원/NNB+을/JKO
벌어	벌/VV+어/EC
9만원을	9/SN+만/NR+원/NNB+을/JKO
보험료로	보험료/NNG+로/JKB
냈다면	내/VV+었/EP+다면/EC
연기금	연기금/NNG
고갈	고갈/NNG
이후에는	이후/NNG+에/JKB+는/JX
연금	연금/NNG
가입자가	가입자/NNG+가/JKS
매달	매달/MAG
21만4000원	21/SN+만/NR+4000/SN+원/NNB
혹은	혹은/MAG
25만3000원을	25/SN+만/NR+3000/SN+원/NNB+을/JKO
내서	내/VV+어서/EC
수급자의	수급자/NNG+의/JKG
연금액을	연금액/NNG+을/JKO
줘야	주/VV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000046.353.8.3
이 같은 논쟁에 대해 새누리당은 관망하고 있다.

이	이/NP
같은	같/VA+은/ETM
논쟁에	논쟁/NNG+에/JKB
대해	대하/VV+아/EC
새누리당은	새누리당/NNP+은/JX
관망하고	관망/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.353.8.4
당 관계자는 "국민이 국민연금을 '세금'처럼 받아들이기 때문에 보험료율 1% 올리는 것도 쉽지 않을 것"이라고 말했다.

당	당/NNG
관계자는	관계자/NNG+는/JX
"국민이	"/SS+국민/NNG+이/JKS
국민연금을	국민연금/NNG+을/JKO
'세금'처럼	'/SS+세금/NNG+'/SS+처럼/JKB
받아들이기	받아들이/VV+기/ETN
때문에	때문/NNB+에/JKB
보험료율	보험료/NNG+율/XSN
1%	1/SN+%/SW
올리는	올리/VV+는/ETM
것도	것/NNB+도/JX
쉽지	쉽/VA+지/EC
않을	않/VX+을/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


