# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.266
metadata : {}


# id : NWRW1800000038.266.1.1
'창 vs 창' 포항제철·대륜高 고교축구선수권 16강 격돌

'창	'/SS+창/NNG
포항제철고는	포항제철고/NNP+는/JX
이번	이번/NNG
대회를	대회/NNG+를/JKO
앞두고	앞두/VV+고/EC
대한축구협회가	대한축구협회/NNP+가/JKS
참가팀	참가/NNG+팀/NNG
지도자들을	지도자/NNG+들/XSN+을/JKO
대상으로	대상/NNG+으로/JKB
실시한	실시/NNG+하/XSV+ㄴ/ETM
우승	우승/NNG
후보를	후보/NNG+를/JKO
꼽는	꼽/VV+는/ETM
설문	설문/NNG
조사(60명	조사/NNG+(/SS+60/SN+명/NNB
참여,	참여/NNG+,/SP
복수	복수/NNG
응답	응답/NNG
가능)에서	가능/NNG+)/SS+에서/JKB
44표를	44/SN+표/NNG+를/JKO
얻어	얻/VV+어/EC
2위에	2/SN+위/NNB+에/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.266.6.3
대구·경북리그에서 단 한 번도 패하지 않고 1위(12승2무)를 차지했던 대륜고는 이번 대회 64·32강전에서 각각 학성고(5대3 승)와 이리고(2대2, 승부차기 5대4 승)를 누르고 16강에 올랐다.

대구·경북리그에서	대구/NNP+·/SP+경북/NNP+리그/NNG+에서/JKB
단	단/MMA
한	한/MMN
번도	번/NNB+도/JX
패하지	패/NNG+하/XSV+지/EC
않고	않/VX+고/EC
1위(12승2무)를	1/SN+위/NNB+(/SS+12/SN+승/NNB+2/SN+무/NNB+)/SS+를/JKO
차지했던	차지/NNG+하/XSV+았/EP+던/ETM
대륜고는	대륜고/NNP+는/JX
이번	이번/NNG
대회	대회/NNG
64·32강전에서	64/SN+·/SP+32/SN+강전/NNB+에서/JKB
각각	각각/MAG
학성고(5대3	학성고/NNP+(/SS+5/SN+대/NNB+3/SN
승)와	승/NNG+)/SS+와/JC
이리고(2대2,	이리고/NNP+(/SS+2/SN+대/NNB+2/SN+,/SP
승부차기	승부차기/NNG
5대4	5/SN+대/NNB+4/SN
승)를	승/NNG+)/SS+를/JKO
누르고	누르/VV+고/EC
16강에	16/SN+강/NNB+에/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.266.7.1
프로축구 포항 스틸러스의 유스팀인 포항제철고는 '패스 축구'가 장점이다.

프로축구	프로/NNG+축구/NNG
포항	포항/NNP
스틸러스의	스틸러스/NNP+의/JKG
유스팀인	유스팀/NNG+이/VCP+ㄴ/ETM
포항제철고는	포항제철고/NNP+는/JX
'패스	'/SS+패스/NNG
축구'가	축구/NNG+'/SS+가/JKS
장점이다.	장점/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.266.7.2
포항제철고의 중심에는 이광혁(18)이 있다.

포항제철고의	포항제철고/NNP+의/JKG
중심에는	중심/NNG+에/JKB+는/JX
이광혁(18)이	이광혁/NNP+(/SS+18/SN+)/SS+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000038.266.7.3
챌린지리그 최우수선수(MVP)로 뽑혔던 이광혁(170㎝)은 발이 빠르고 침투 패스 능력이 좋다.

챌린지리그	챌린지리그/NNG
최우수선수(MVP)로	최/XPN+우수/NNG+선수/NNG+(/SS+MVP/SL+)/SS+로/JKB
뽑혔던	뽑히/VV+었/EP+던/ETM
이광혁(170㎝)은	이광혁/NNP+(/SS+170/SN+㎝/SW+)/SS+은/JX
발이	발/NNG+이/JKS
빠르고	빠르/VA+고/EC
침투	침투/NNG
패스	패스/NNG
능력이	능력/NNG+이/JKS
좋다.	좋/VA+다/EF+./SF


# id : NWRW1800000038.266.7.4
챌린지리그 13경기에서 7득점 10도움을 기록했다.

챌린지리그	챌린지리그/NNG
13경기에서	13/SN+경기/NNG+에서/JKB
7득점	7/SN+득점/NNG
10도움을	10/SN+도움/NNG+을/JKO
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.266.7.5
포항제철고의 원톱 스트라이커는 작년 16세 이하 아시아선수권에서 득점왕(5골)을 차지한 황희찬(17)이다.

포항제철고의	포항제철고/NNP+의/JKG
원톱	원톱/NNG
스트라이커는	스트라이커/NNG+는/JX
작년	작년/NNG
16세	16/SN+세/NNB
이하	이하/NNG
아시아선수권에서	아시아/NNP+선수/NNG+권/XSN+에서/JKB
득점왕(5골)을	득점왕/NNG+(/SS+5/SN+골/NNG+)/SS+을/JKO
차지한	차지/NNG+하/XSV+ㄴ/ETM
황희찬(17)이다.	황희찬/NNP+(/SS+17/SN+)/SS+이/VCP+다/EF+./SF


# id : NWRW1800000038.266.7.6
그는 이번 대회 64강전 광명공고전에서 해트트릭을 기록했다.

그는	그/NP+는/JX
이번	이번/NNG
대회	대회/NNG
64강전	64/SN+강전/NNB
광명공고전에서	광명공고전/NNG+에서/JKB
해트트릭을	해트트릭/NNG+을/JKO
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.266.7.7
황희찬은 자신의 우상인 황선홍 포항 감독의 선수 시절 등번호 18번을 달고 뛴다.

황희찬은	황희찬/NNP+은/JX
자신의	자신/NNG+의/JKG
우상인	우상/NNG+이/VCP+ㄴ/ETM
황선홍	황선홍/NNP
포항	포항/NNP
감독의	감독/NNG+의/JKG
선수	선수/NNG
시절	시절/NNG
등번호	등/NNG+번호/NNG
18번을	18/SN+번/NNB+을/JKO
달고	달/VV+고/EC
뛴다.	뛰/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.266.7.8
대륜고는 2선 공격수들의 득점력이 강하다.

대륜고는	대륜고/NNP+는/JX
2선	2/SN+선/NNG
공격수들의	공격수/NNG+들/XSN+의/JKG
득점력이	득점력/NNG+이/JKS
강하다.	강하/VA+다/EF+./SF


# id : NWRW1800000038.266.7.9
대륜고가 대구·경북리그에서 기록한 53골 중 3분의 2가 미드필더들이 넣은 골이다.

대륜고가	대륜고/NNP+가/JKS
대구·경북리그에서	대구/NNP+·/SP+경북/NNP+리그/NNG+에서/JKB
기록한	기록/NNG+하/XSV+ㄴ/ETM
53골	53/SN+골/NNG
중	중/NNB
3분의	3/SN+분/XSN+의/JKG
2가	2/SN+가/JKS
미드필더들이	미드필더/NNG+들/XSN+이/JKS
넣은	넣/VV+은/ETM
골이다.	골/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.266.7.10
미드필더 송기웅(18)과 김진영(18)은 지역리그(14경기)에서 나란히 11골을 뽑아내며 팀 내 최다득점을 기록했다.

미드필더	미드필더/NNG
송기웅(18)과	송기웅/NNP+(/SS+18/SN+)/SS+과/JC
김진영(18)은	김진영/NNP+(/SS+18/SN+)/SS+은/JX
지역리그(14경기)에서	지역/NNG+리그/NNG+(/SS+14/SN+경기/NNG+)/SS+에서/JKB
나란히	나란히/MAG
11골을	11/SN+골/NNG+을/JKO
뽑아내며	뽑아내/VV+며/EC
팀	팀/NNG
내	내/NNB
최다득점을	최다/NNG+득점/NNG+을/JKO
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.266.8.1
'디펜딩 챔피언' 부경고(부산)가 대회 2연패를 이룰지도 관심이다.

'디펜딩	'/SS+디펜딩/NNG
챔피언'	챔피언/NNG+'/SS
부경고(부산)가	부경고/NNP+(/SS+부산/NNP+)/SS+가/JKS
대회	대회/NNG
2연패를	2/SN+연패/NNG+를/JKO
이룰지도	이루/VV+ㄹ지/EC+도/JX
관심이다.	관심/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.266.8.2
부경고는 2010년과 2012년 두 차례 고교 축구 최강자에 오른 전통의 강호다.

부경고는	부경고/NNP+는/JX
2010년과	2010/SN+년/NNB+과/JC
2012년	2012/SN+년/NNB
두	두/MMN
차례	차례/NNG
고교	고교/NNG
축구	축구/NNG
최강자에	최강자/NNG+에/JKB
오른	오르/VV+ㄴ/ETM
전통의	전통/NNG+의/JKG
강호다.	강호/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.266.8.3
올해 부산 권역 리그에서 무패(16승2무)를 기록하며 1위를 차지한 부경고는 2010년부터 부산리그 무패 기록을 4년째 이어오고 있다.

올해	올해/NNG
부산	부산/NNP
권역	권역/NNG
리그에서	리그/NNG+에서/JKB
무패(16승2무)를	무패/NNG+(/SS+16/SN+승/NNB+2/SN+무/NNB+)/SS+를/JKO
기록하며	기록/NNG+하/XSV+며/EC
1위를	1/SN+위/NNB+를/JKO
차지한	차지/NNG+하/XSV+ㄴ/ETM
부경고는	부경고/NNP+는/JX
2010년부터	2010/SN+년/NNB+부터/JX
부산리그	부산/NNP+리그/NNG
무패	무패/NNG
기록을	기록/NNG+을/JKO
4년째	4/SN+년/NNB+째/XSN
이어오고	잇/VV+어/EC+오/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.266.8.4
부산리그에서 21골을 기록해 득점왕을 차지했던 스트라이커 김태훈(18)이 왕중왕전에서 아직 골맛을 보지 못한 것이 부경고의 고민이다.

부산리그에서	부산/NNP+리그/NNG+에서/JKB
21골을	21/SN+골/NNG+을/JKO
기록해	기록/NNG+하/XSV+아/EC
득점왕을	득점왕/NNG+을/JKO
차지했던	차지/NNG+하/XSV+았/EP+던/ETM
스트라이커	스트라이커/NNG
김태훈(18)이	김태훈/NNP+(/SS+18/SN+)/SS+이/JKS
왕중왕전에서	왕중왕전/NNG+에서/JKB
아직	아직/MAG
골맛을	골맛/NNG+을/JKO
보지	보/VV+지/EC
못한	못하/VX+ㄴ/ETM
것이	것/NNB+이/JKS
부경고의	부경고/NNP+의/JKG
고민이다.	고민/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.266.8.5
부경고는 유성생명과학고(대전)와 16강전에서 격돌한다.

부경고는	부경고/NNP+는/JX
유성생명과학고(대전)와	유성생명과학고/NNP+(/SS+대전/NNP+)/SS+와/JKB
16강전에서	16/SN+강전/NNB+에서/JKB
격돌한다.	격돌/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.266.9.1
프로축구 전북 현대의 유스팀 전주영생고와 구자철(볼프스부르크), 서정진(수원) 등을 배출한 신흥 강호 보인고(서울)의 승부도 관심을 모은다.

프로축구	프로/NNG+축구/NNG
전북	전북/NNP
현대의	현대/NNP+의/JKG
유스팀	유스팀/NNG
전주영생고와	전주영생고/NNP+와/JC
구자철(볼프스부르크),	구자철/NNP+(/SS+볼프스부르크/NNP+)/SS+,/SP
서정진(수원)	서정진/NNP+(/SS+수원/NNP+)/SS
등을	등/NNB+을/JKO
배출한	배출/NNG+하/XSV+ㄴ/ETM
신흥	신흥/NNG
강호	강호/NNG
보인고(서울)의	보인고/NNP+(/SS+서울/NNP+)/SS+의/JKG
승부도	승부/NNG+도/JX
관심을	관심/NNG+을/JKO
모은다.	모으/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.266.9.2
전주영생고는 챌린지리그 득점왕 출신 김신(13골)의 발끝에 기대를 걸고 있다.

전주영생고는	전주영생고/NNP+는/JX
챌린지리그	챌린지리그/NNG
득점왕	득점왕/NNG
출신	출신/NNG
김신(13골)의	김신/NNP+(/SS+13/SN+골/NNG+)/SS+의/JKG
발끝에	발끝/NNG+에/JKB
기대를	기대/NNG+를/JKO
걸고	걸/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.266.9.3
키 180㎝, 몸무게 82㎏의 체격을 지닌 김신은 득점력뿐만 아니라 패스 능력까지 갖췄다.

키	키/NNG
180㎝,	180/SN+㎝/SW+,/SP
몸무게	몸무게/NNG
82㎏의	82/SN+㎏/SW+의/JKG
체격을	체격/NNG+을/JKO
지닌	지니/VV+ㄴ/ETM
김신은	김신/NNP+은/JX
득점력뿐만	득점력/NNG+뿐/JX+만/JX
아니라	아니/VCN+라/EC
패스	패스/NNG
능력까지	능력/NNG+까지/JX
갖췄다.	갖추/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.266.9.4
그는 챌린지리그에서 도움을 7개 기록해 이 부문 2위에 올랐다.

그는	그/NP+는/JX
챌린지리그에서	챌린지리그/NNG+에서/JKB
도움을	도움/NNG+을/JKO
7개	7/SN+개/NNB
기록해	기록/NNG+하/XSV+아/EC
이	이/MMD
부문	부문/NNG
2위에	2/SN+위/NNB+에/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.266.9.5
보인고의 중원은 주장 이상민(18)이 이끈다.

보인고의	보인고/NNP+의/JKG
중원은	중원/NNG+은/JX
주장	주장/NNG
이상민(18)이	이상민/NNP+(/SS+18/SN+)/SS+이/JKS
이끈다.	이끌/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.266.9.6
이상민은 후방에서 볼 배급을 담당하면서도 서울 북부 권역 리그에서 13득점을 올려 개인 득점 3위에 올랐다.

이상민은	이상민/NNP+은/JX
후방에서	후방/NNG+에서/JKB
볼	볼/NNG
배급을	배급/NNG+을/JKO
담당하면서도	담당/NNG+하/XSV+면서/EC+도/JX
서울	서울/NNP
북부	북부/NNG
권역	권역/NNG
리그에서	리그/NNG+에서/JKB
13득점을	13/SN+득점/NNG+을/JKO
올려	올리/VV+어/EC
개인	개인/NNG
득점	득점/NNG
3위에	3/SN+위/NNB+에/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


