# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.89
metadata : {}


# id : NWRW1800000052.89.1.1
멜라니아, 미셸 연설문 표절 논란

멜라니아,	멜라니아/NNP+,/SP
<시엔엔>에서	</SS+시엔엔/NNP+>/SS+에서/JKB
“표절은	“/SS+표절/NNG+은/JX
‘매우	‘/SS+매우/MAG
심각한	심각하/VA+ㄴ/ETM
문제’”라며	문제/NNG+’/SS+”/SS+이/VCP+라며/EC
“연설문	“/SS+연설문/NNG
작성에	작성/NNG+에/JKB
관여한	관여/NNG+하/XSV+ㄴ/ETM
캠페인	캠페인/NNG
담당자는	담당자/NNG+는/JX
이번	이번/NNG
논란에	논란/NNG+에/JKB
책임을	책임/NNG+을/JKO
지고	지/VV+고/EC
떠나야	떠나/VV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.89.10.1
슬로베니아에서 태어난 멜라니아는 만일 트럼프가 대통령이 된다면, 존 퀸시 애덤스 6대 대통령(재임 1829~1837년)의 영국 출신 부인 이후 거의 200년 만에 처음으로 외국 태생 퍼스트레이디가 된다.

슬로베니아에서	슬로베니아/NNP+에서/JKB
태어난	태어나/VV+ㄴ/ETM
멜라니아는	멜라니아/NNP+는/JX
만일	만일/MAG
트럼프가	트럼프/NNP+가/JKS
대통령이	대통령/NNG+이/JKC
된다면,	되/VV+ㄴ다면/EC+,/SP
존	존/NNP
퀸시	퀸시/NNP
애덤스	애덤스/NNP
6대	6/SN+대/NNB
대통령(재임	대통령/NNG+(/SS+재임/NNG
1829~1837년)의	1829/SN+~/SO+1837/SN+년/NNB+)/SS+의/JKG
영국	영국/NNP
출신	출신/NNG
부인	부인/NNG
이후	이후/NNG
거의	거의/MAG
200년	200/SN+년/NNB
만에	만/NNB+에/JKB
처음으로	처음/NNG+으로/JKB
외국	외국/NNG
태생	태생/NNG
퍼스트레이디가	퍼스트레이디/NNG+가/JKC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000052.89.10.2
올해 46살인 멜라니아는 10대 때부터 유럽 패션 무대에서 모델로 활동했고, 1996년 미국 뉴욕으로 진출한 뒤, 1998년 트럼프와 처음 만났고, 2005년 24살 차이가 나는 트럼프와 결혼해 그의 3번째 부인이 됐다.

올해	올해/NNG
46살인	46/SN+살/NNB+이/VCP+ㄴ/ETM
멜라니아는	멜라니아/NNP+는/JX
10대	10/SN+대/NNB
때부터	때/NNG+부터/JX
유럽	유럽/NNP
패션	패션/NNG
무대에서	무대/NNG+에서/JKB
모델로	모델/NNG+로/JKB
활동했고,	활동/NNG+하/XSV+았/EP+고/EC+,/SP
1996년	1996/SN+년/NNB
미국	미국/NNP
뉴욕으로	뉴욕/NNP+으로/JKB
진출한	진출/NNG+하/XSV+ㄴ/ETM
뒤,	뒤/NNG+,/SP
1998년	1998/SN+년/NNB
트럼프와	트럼프/NNP+와/JKB
처음	처음/NNG
만났고,	만나/VV+았/EP+고/EC+,/SP
2005년	2005/SN+년/NNB
24살	24/SN+살/NNB
차이가	차이/NNG+가/JKS
나는	나/VV+는/ETM
결혼해	결혼/NNG+하/XSV+아/EC
그의	그/NP+의/JKG
3번째	3/SN+번/NNB+째/XSN
부인이	부인/NNG+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.89.10.3
둘 사이에 아들 한 명을 두고 있다.

둘	둘/NR
사이에	사이/NNG+에/JKB
아들	아들/NNG
한	한/MMN
명을	명/NNB+을/JKO
두고	두/VV+고/EC
있다.	있/VX+다/EF+./SF


