# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.318
metadata : {}


# id : NWRW1800000045.318.1.1
극단처방 악순환… 여야 증세논쟁 다시 번질 조짐

극단처방	극단/NNG+처방/NNG
대기업을	대/XPN+기업/NNG+을/JKO
향한	향하/VV+ㄴ/ETM
법인세	법인세/NNG
인상의	인상/NNG+의/JKG
필요성을	필요/NNG+성/XSN+을/JKO
제기한	제기/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000045.318.10.3
백재현 정책위의장도 “(박근혜 정부는) 이명박 정부의 국부 낭비로 약화된 세수 기반을 소득세 인상, 즉 서민과 중산층의 주머니를 털어서 메웠다”며 “근본적인 해법은 법인세 정상화뿐”이라고 했다.

백재현	백재현/NNP
정책위의장도	정책위/NNG+의장/NNG+도/JX
“(박근혜	“/SS+(/SS+박근혜/NNP
정부는)	정부/NNG+는/JX+)/SS
이명박	이명박/NNP
정부의	정부/NNG+의/JKG
국부	국부/NNG
낭비로	낭비/NNG+로/JKB
약화된	약화/NNG+되/XSV+ㄴ/ETM
세수	세수/NNG
기반을	기반/NNG+을/JKO
소득세	소득세/NNG
인상,	인상/NNG+,/SP
즉	즉/MAG
서민과	서민/NNG+과/JC
중산층의	중산/NNG+층/XSN+의/JKG
주머니를	주머니/NNG+를/JKO
털어서	털/VV+어서/EC
메웠다”며	메우/VV+었/EP+다/EF+”/SS+며/EC
“근본적인	“/SS+근본/NNG+적/XSN+이/VCP+ㄴ/ETM
해법은	해법/NNG+은/JX
법인세	법인세/NNG
정상화뿐”이라고	정상/NNG+화/XSN+뿐/JX+”/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.318.10.4
한편 여당 내 일각에선 ‘소급 입법’에 대한 신중론도 나와 입법 과정에서 진통이 예상된다.

한편	한편/MAG
여당	여당/NNG
내	내/NNB
일각에선	일각/NNG+에서/JKB+ㄴ/JX
‘소급	‘/SS+소급/NNG
입법’에	입법/NNG+’/SS+에/JKB
대한	대하/VV+ㄴ/ETM
신중론도	신중/NNG+론/XSN+도/JX
나와	나오/VV+아/EC
입법	입법/NNG
과정에서	과정/NNG+에서/JKB
진통이	진통/NNG+이/JKS
예상된다.	예상/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.318.10.5
국회 기획재정위원장인 정희수 새누리당 의원은 이날 “당에서 소급입법을 결정한 걸 이해는 하지만 원칙에 맞지 않다.

국회	국회/NNG
기획재정위원장인	기획/NNG+재정/NNG+위원장/NNG+이/VCP+ㄴ/ETM
정희수	정희수/NNP
새누리당	새누리당/NNP
의원은	의원/NNG+은/JX
이날	이날/NNG
“당에서	“/SS+당/NNG+에서/JKB
소급입법을	소급/NNG+입법/NNG+을/JKO
결정한	결정/NNG+하/XSV+ㄴ/ETM
걸	거/NNB+ㄹ/JKO
이해는	이해/NNG+는/JX
하지만	하/VV+지만/EC
원칙에	원칙/NNG+에/JKB
맞지	맞/VV+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000045.318.10.6
나쁜 선례가 만들어지고 근간이 흔들리는 것”이라고 지적했다.

나쁜	나쁘/VA+ㄴ/ETM
선례가	선례/NNG+가/JKS
만들어지고	만들/VV+어/EC+지/VX+고/EC
근간이	근간/NNG+이/JKS
흔들리는	흔들리/VV+는/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


