# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.13
metadata : {}


# id : NWRW1800000045.13.1.1
[화제의 분양현장]끝없이 치솟는 서울 전세금에 수도권 분양 아파트 ‘반사효과’

[화제의	[/SS+화제/NNG+의/JKG
거리이고,	거리/NNG+이/VCP+고/EC+,/SP
신내	신내/NNP
나들목과	나들목/NNG+과/JKB
퇴계원	퇴계원/NNP
나들목도	나들목/NNG+도/JX
가까워	가깝/VA+어/EC
북부간선도로와	북부간선도로/NNP+와/JC
서울외곽순환도로를	서울외곽순환도로/NNP+를/JKO
쉽게	쉽/VA+게/EC
이용할	이용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000045.13.5.1
부천 옥길지구 C1블록에서는 호반건설이 6월 ‘부천 옥길 호반베르디움’을 공급한다.

부천	부천/NNP
옥길지구	옥길지구/NNP
C1블록에서는	C/SL+1/SN+블록/NNG+에서/JKB+는/JX
호반건설이	호반건설/NNP+이/JKS
6월	6/SN+월/NNB
‘부천	‘/SS+부천/NNP
옥길	옥길/NNP
호반베르디움’을	호반베르디움/NNP+’/SS+을/JKO
공급한다.	공급/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.13.5.2
옥길지구 최대 규모 아파트인 이 단지는 지하 2층∼지상 29층, 16개 동, 전용면적 72∼97m², 총 1420채로 구성된다.

옥길지구	옥길지구/NNP
최대	최대/NNG
규모	규모/NNG
아파트인	아파트/NNG+이/VCP+ㄴ/ETM
이	이/MMD
단지는	단지/NNG+는/JX
지하	지하/NNG
2층∼지상	2/SN+층/NNG+∼/SO+지상/NNG
29층,	29/SN+층/NNG+,/SP
16개	16/SN+개/NNB
동,	동/NNB+,/SP
전용면적	전용/NNG+면적/NNG
72∼97m²,	72/SN+∼/SO+97/SN+m²/SW+,/SP
총	총/MMA
1420채로	1420/SN+채/NNB+로/JKB
구성된다.	구성/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.13.5.3
1호선 역곡역과 7호선 온수역을 통한 서울 도심권과 강남권 출퇴근이 편리하고, 단지 바로 옆에 이마트가 들어설 예정이다.

1호선	1/SN+호선/NNB
역곡역과	역곡역/NNP+과/JC
7호선	7/SN+호선/NNB
온수역을	온수역/NNP+을/JKO
통한	통하/VV+ㄴ/ETM
서울	서울/NNP
도심권과	도심/NNG+권/XSN+과/JC
강남권	강남/NNP+권/XSN
출퇴근이	출퇴근/NNG+이/JKS
편리하고,	편리/NNG+하/XSA+고/EC+,/SP
단지	단지/MAG
바로	바로/MAG
옆에	옆/NNG+에/JKB
이마트가	이마트/NNP+가/JKS
들어설	들어서/VV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.13.6.1
GS건설도 6월 부천 옥길지구에서 ‘부천옥길자이’를 분양한다.

GS건설도	GS건설/NNP+도/JX
6월	6/SN+월/NNB
부천	부천/NNP
옥길지구에서	옥길지구/NNP+에서/JKB
‘부천옥길자이’를	‘/SS+부천옥길자이/NNP+’/SS+를/JKO
분양한다.	분양/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.13.6.2
지하 3층∼지상 29층 6개 동, 총 710채 규모다.

지하	지하/NNG
3층∼지상	3/SN+층/NNG+∼/SO+지상/NNG
29층	29/SN+층/NNG
6개	6/SN+개/NNB
동,	동/NNB+,/SP
총	총/MMA
710채	710/SN+채/NNB
규모다.	규모/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.13.6.3
아파트는 5개 동 566채(전용 84∼122m²), 오피스텔은 1개동 144실(78, 79m²)이다.

아파트는	아파트/NNG+는/JX
5개	5/SN+개/NNB
동	동/NNB
566채(전용	566/SN+채/NNB+(/SS+전용/NNG
84∼122m²),	84/SN+∼/SO+122/SN+m²/SW+)/SS+,/SP
오피스텔은	오피스텔/NNG+은/JX
1개동	1/SN+개/NNB+동/NNB
144실(78,	144/SN+실/NNB+(/SS+78/SN+,/SP
79m²)이다.	79/SN+m²/SW+)/SS+이/VCP+다/EF+./SF


# id : NWRW1800000045.13.6.4
지하철 1·7호선 및 외곽순환도로를 통한 뛰어난 서울 접근성을 자랑한다.

지하철	지하철/NNG
1·7호선	1/SN+·/SP+7/SN+호선/NNB
및	및/MAG
외곽순환도로를	외곽순환도로/NNP+를/JKO
통한	통하/VV+ㄴ/ETM
뛰어난	뛰어나/VA+ㄴ/ETM
서울	서울/NNP
접근성을	접근/NNG+성/XSN+을/JKO
자랑한다.	자랑/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.13.7.1
대우건설은 6월 기흥역세권 3-2블록 일대 ‘기흥역 센트럴 푸르지오’를 분양한다.

대우건설은	대우건설/NNP+은/JX
6월	6/SN+월/NNB
기흥역세권	기흥/NNP+역세권/NNG
3-2블록	3/SN+-/SO+2/SN+블록/NNG
일대	일대/NNG
‘기흥역	‘/SS+기흥역/NNP
센트럴	센트럴/NNP
푸르지오’를	푸르지오/NNP+’/SS+를/JKO
분양한다.	분양/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.13.7.2
기흥역세권지구 내 가장 큰 규모로 아파트(전용 84m²) 6개 동 1316채, 오피스텔(전용 59∼84m²) 1개 동 182실로 구성된다.

기흥역세권지구	기흥역세권지구/NNP
내	내/NNB
가장	가장/MAG
큰	크/VA+ㄴ/ETM
규모로	규모/NNG+로/JKB
아파트(전용	아파트/NNG+(/SS+전용/NNG
84m²)	84/SN+m²/SW+)/SS
6개	6/SN+개/NNB
동	동/NNB
1316채,	1316/SN+채/NNB+,/SP
오피스텔(전용	오피스텔/NNG+(/SS+전용/NNG
59∼84m²)	59/SN+∼/SO+84/SN+m²/SW+)/SS
1개	1/SN+개/NNB
182실로	182/SN+실/NNB+로/JKB
구성된다.	구성/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.13.7.3
분당선과 용인경전철 환승역인 기흥역과 인접하다.

분당선과	분당선/NNP+과/JC
용인경전철	용인/NNP+경전철/NNG
환승역인	환승역/NNG+이/VCP+ㄴ/ETM
기흥역과	기흥역/NNP+과/JKB
인접하다.	인접/NNG+하/XSV+다/EF+./SF


# id : NWRW1800000045.13.8.1
포스코건설은 7월 송도국제도시 RM2블록에서 ‘송도 더샵 센트럴시티’를 분양할 예정이다.

포스코건설은	포스코건설/NNP+은/JX
7월	7/SN+월/NNB
송도국제도시	송도국제도시/NNP
RM2블록에서	RM/SL+2/SN+블록/NNG+에서/JKB
‘송도	‘/SS+송도/NNP
더샵	더샵/NNP
센트럴시티’를	센트럴시티/NNP+’/SS+를/JKO
분양할	분양/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.13.8.2
아파트 전용 59∼172m²(펜트하우스 포함) 2610채, 오피스텔 전용 84m² 238실 등 총 2848채의 대단지로 조성된다.

아파트	아파트/NNG
전용	전용/NNG
59∼172m²(펜트하우스	59/SN+∼/SO+172/SN+m²/SW+(/SS+펜트하우스/NNG
포함)	포함/NNG+)/SS
2610채,	2610/SN+채/NNB+,/SP
오피스텔	오피스텔/NNG
84m²	84/SN+m²/SW
238실	238/SN+실/NNB
등	등/NNB
총	총/MMA
2848채의	2848/SN+채/NNB+의/JKG
대단지로	대/XPN+단지/NNG+로/JKB
조성된다.	조성/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.13.8.3
최고 지상 47층 높이로 송도국제도시 내 희소성 높은 전용 84m² 이하 중소형 물량이 전체의 96.8%다.

최고	최고/NNG
지상	지상/NNG
47층	47/SN+층/NNG
높이로	높이/NNG+로/JKB
송도국제도시	송도국제도시/NNP
내	내/NNB
희소성	희소/NNG+성/XSN
높은	높/VA+은/ETM
전용	전용/NNG
84m²	84/SN+m²/SW
이하	이하/NNG
중소형	중소형/NNG
물량이	물량/NNG+이/JKS
전체의	전체/NNG+의/JKG
96.8%다.	96/SN+./SP+8/SN+%/SW+이/VCP+다/EF+./SF


# id : NWRW1800000045.13.9.1
SK건설은 경기 화성시 기산2지구에서 ‘신동탄 SK뷰 파크 2차’를 분양 중이다.

SK건설은	SK건설/NNP+은/JX
경기	경기/NNP
화성시	화성시/NNP
기산2지구에서	기산2지구/NNP+에서/JKB
‘신동탄	‘/SS+신동탄/NNP
SK뷰	SK뷰/NNP
파크	파크/NNP
2차’를	2/SN+차/NNB+’/SS+를/JKO
분양	분양/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000045.13.9.2
단지는 지하 2층∼지상 24층, 14개동, 총 1196채 규모로 조성된다.

단지는	단지/NNG+는/JX
지하	지하/NNG
2층∼지상	2/SN+층/NNG+∼/SO+지상/NNG
24층,	24/SN+층/NNG+,/SP
14개동,	14/SN+개/NNB+동/NNB+,/SP
총	총/MMA
1196채	1196/SN+채/NNB
규모로	규모/NNG+로/JKB
조성된다.	조성/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.13.9.3
전가구 전용면적 59m², 84m²로 실수요자들의 관심이 높은 중소형 물량이다.

전가구	전/MMN+가구/NNG
전용면적	전용/NNG+면적/NNG
59m²,	59/SN+m²/SW+,/SP
84m²로	84/SN+m²/SW+로/JKB
실수요자들의	실수요자/NNG+들/XSN+의/JKG
관심이	관심/NNG+이/JKS
높은	높/VA+은/ETM
중소형	중소형/NNG
물량이다.	물량/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.13.9.4
단지는 경부고속도로 동탄 나들목과 인접해 있을 뿐 아니라 서울∼용인고속도로 동탄∼수원 간 도로를 이용한 광역교통망까지 잘 갖춰져 수도권 어디로든 이동이 편리하다.

단지는	단지/NNG+는/JX
경부고속도로	경부고속도로/NNP
동탄	동탄/NNP
나들목과	나들목/NNG+과/JKB
인접해	인접/NNG+하/XSV+아/EC
있을	있/VX+을/ETM
뿐	뿐/NNB
아니라	아니/VCN+라/EC
서울∼용인고속도로	서울/NNP+∼/SO+용인/NNP+고속/NNG+도로/NNG
동탄∼수원	동탄/NNP+∼/SO+수원/NNP
간	간/NNB
도로를	도로/NNG+를/JKO
이용한	이용/NNG+하/XSV+ㄴ/ETM
광역교통망까지	광역/NNG+교통망/NNG+까지/JX
잘	잘/MAG
갖춰져	갖추/VV+어/EC+지/VX+어/EC
수도권	수도/NNG+권/XSN
어디로든	어디/NP+로/JKB+든/JX
이동이	이동/NNG+이/JKS
편리하다.	편리/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000045.13.10.1
㈜동일은 6월 중 경기 고양시 원흥공공택지지구 A7블록에서 ‘고양 원흥 동일스위트’를 분양한다.

㈜동일은	㈜/SW+동일/NNP+은/JX
6월	6/SN+월/NNB
중	중/NNB
경기	경기/NNP
고양시	고양시/NNP
원흥공공택지지구	원흥공공택지지구/NNP
A7블록에서	A/SL+7/SN+블록/NNG+에서/JKB
‘고양	‘/SS+고양/NNP
원흥	원흥/NNP
동일스위트’를	동일스위트/NNP+’/SS+를/JKO
분양한다.	분양/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.13.10.2
원흥지구 마지막 분양 단지로 총 1257채 전용 84m²로 구성된다.

원흥지구	원흥지구/NNP
마지막	마지막/NNG
분양	분양/NNG
단지로	단지/NNG+로/JKB
총	총/MMA
1257채	1257/SN+채/NNB
전용	전용/NNG
84m²로	84/SN+m²/SW+로/JKB
구성된다.	구성/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.13.10.3
단지 바로 앞에 흥도초와 흥도유치원(공립)이 함께 있다.

단지	단지/NNG
바로	바로/MAG
앞에	앞/NNG+에/JKB
흥도초와	흥도초/NNP+와/JC
흥도유치원(공립)이	흥도유치원/NNP+(/SS+공립/NNG+)/SS+이/JKS
함께	함께/MAG
있다.	있/VA+다/EF+./SF


# id : NWRW1800000045.13.10.4
인근 지역 최초로 수영장이 적용된다.

인근	인근/NNG
지역	지역/NNG
최초로	최초/NNG+로/JKB
수영장이	수영장/NNG+이/JKS
적용된다.	적용/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.13.10.5
호반건설은 이달 경기 의정부시 민락2지구 B2블록에 ‘민락2지구 호반베르디움 2차’, B12블록에 ‘민락2지구 호반베르디움 3차’를 동시 분양한다.

호반건설은	호반건설/NNP+은/JX
이달	이달/NNG
경기	경기/NNP
의정부시	의정부시/NNP
민락2지구	민락2지구/NNP
B2블록에	B/SL+2/SN+블록/NNG+에/JKB
‘민락2지구	‘/SS+민락2지구/NNP
호반베르디움	호반베르디움/NNP
2차’,	2/SN+차/NNB+’/SS+,/SP
B12블록에	B/SL+12/SN+블록/NNG+에/JKB
3차’를	3/SN+차/NNB+’/SS+를/JKO
동시	동시/NNG
분양한다.	분양/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.13.10.6
두 단지 모두 전용면적 84m², 총 989채로 구성된다.

두	두/MMN
단지	단지/NNG
모두	모두/MAG
전용면적	전용/NNG+면적/NNG
84m²,	84/SN+m²/SW+,/SP
총	총/MMA
989채로	989/SN+채/NNB+로/JKB
구성된다.	구성/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.13.10.7
이미 분양한 1차(1567채)가 민락지구에서 최단기간 내 조기 마감돼 2, 3차와 함께 민락2지구에만 2556채의 브랜드타운을 형성할 예정이다.

이미	이미/MAG
분양한	분양/NNG+하/XSV+ㄴ/ETM
1차(1567채)가	1/SN+차/NNB+(/SS+1567/SN+채/NNB+)/SS+가/JKS
민락지구에서	민락지구/NNP+에서/JKB
최단기간	최단기간/NNG
내	내/NNB
조기	조기/NNG
마감돼	마감/NNG+되/XSV+어/EC
2,	2/SN+,/SP
3차와	3/SN+차/NNB+와/JKB
함께	함께/MAG
민락2지구에만	민락2지구/NNP+에/JKB+만/JX
2556채의	2556/SN+채/NNB+의/JKG
브랜드타운을	브랜드타운/NNG+을/JKO
형성할	형성/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.13.10.8
대우건설은 6월 지하철 8호선 수진역세권에서 ‘성남 센트럴 푸르지오 시티’ 오피스텔을 분양한다.

대우건설은	대우건설/NNP+은/JX
6월	6/SN+월/NNB
지하철	지하철/NNG
8호선	8/SN+호선/NNB
수진역세권에서	수진/NNP+역세권/NNG+에서/JKB
‘성남	‘/SS+성남/NNP
센트럴	센트럴/NNP
푸르지오	푸르지오/NNP
시티’	시티/NNP+’/SS
오피스텔을	오피스텔/NNG+을/JKO
분양한다.	분양/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.13.10.9
지하 5층∼지상 13층, 총 1255실(전용 20∼49m²) 규모다.

지하	지하/NNG
5층∼지상	5/SN+층/NNG+∼/SO+지상/NNG
13층,	13/SN+층/NNG+,/SP
총	총/MMA
1255실(전용	1255/SN+실/NNB+(/SS+전용/NNG
20∼49m²)	20/SN+∼/SO+49/SN+m²/SW+)/SS
규모다.	규모/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.13.10.10
오피스텔과 근린생활시설 2개 동으로 구성된다.

오피스텔과	오피스텔/NNG+과/JC
근린생활시설	근린/NNG+생활/NNG+시설/NNG
2개	2/SN+개/NNB
동으로	동/NNB+으로/JKB
구성된다.	구성/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.13.10.11
오피스텔은 총 20개 타입으로 구성된다.

오피스텔은	오피스텔/NNG+은/JX
총	총/MMA
20개	20/SN+개/NNB
타입으로	타입/NNG+으로/JKB
구성된다.	구성/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.13.10.12
100% 자주식 주차가 가능하다.

100%	100/SN+%/SW
자주식	자주식/NNG
주차가	주차/NNG+가/JKS
가능하다.	가능/NNG+하/XSA+다/EF+./SF


