# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.431
metadata : {}


# id : NWRW1800000038.431.1.1
기업들도 미세먼지 몸살… 출고 대기車 더러워져 다시 세차도

기업들도	기업/NNG+들/XSN+도/JX
반도체의	반도체/NNG+의/JKG
원재료인	원재료/NNG+이/VCP+ㄴ/ETM
웨이퍼를	웨이퍼/NNG+를/JKO
가공할	가공/NNG+하/XSV+ㄹ/ETM
때	때/NNG
먼지가	먼지/NNG+가/JKS
붙으면	붙/VV+으면/EC
불량이	불량/NNG+이/JKS
난다.	나/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.431.4.5
환경부는 지난 2011년 0.3%였던 A전자업체의 평균 불량률이 이후 강한 황사가 중국에서 불어닥치면서 0.7%까지 올라갔다고 밝혔다.

환경부는	환경부/NNG+는/JX
지난	지나/VV+ㄴ/ETM
2011년	2011/SN+년/NNB
0.3%였던	0/SN+./SP+3/SN+%/SW+이/VCP+었/EP+던/ETM
A전자업체의	A/SL+전자업체/NNG+의/JKG
평균	평균/NNG
불량률이	불량/NNG+률/XSN+이/JKS
이후	이후/NNG
강한	강하/VA+ㄴ/ETM
황사가	황사/NNG+가/JKS
중국에서	중국/NNP+에서/JKB
불어닥치면서	불어닥치/VV+면서/EC
0.7%까지	0/SN+./SP+7/SN+%/SW+까지/JX
올라갔다고	올라가/VV+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.431.5.1
LG디스플레이는 최근 먼지를 잡는 기계인 외부 공조기에 필터를 추가로 설치했다.

LG디스플레이는	LG디스플레이/NNP+는/JX
최근	최근/MAG
먼지를	먼지/NNG+를/JKO
잡는	잡/VV+는/ETM
기계인	기계/NNG+이/VCP+ㄴ/ETM
외부	외부/NNG
공조기에	공조기/NNG+에/JKB
필터를	필터/NNG+를/JKO
추가로	추가/NNG+로/JKB
설치했다.	설치/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.431.5.2
현재 미세 먼지 농도(5일 서울 기준 최고 215㎍/㎥)는 전 산업계에 비상이 걸릴 만큼 심각한 수준에는 못 미친다.

현재	현재/MAG
미세	미세/NNG
먼지	먼지/NNG
농도(5일	농도/NNG+(/SS+5/SN+일/NNB
서울	서울/NNP
기준	기준/NNG
최고	최고/NNG
215㎍/㎥)는	215/SN+㎍/SW+//SP+㎥/SW+)/SS+는/JX
전	전/MMN
산업계에	산업/NNG+계/XSN+에/JKB
비상이	비상/NNG+이/JKS
걸릴	걸리/VV+ㄹ/ETM
만큼	만큼/NNB
심각한	심각하/VA+ㄴ/ETM
수준에는	수준/NNG+에/JKB+는/JX
못	못/MAG
미친다.	미치/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.431.5.3
그러나 미세 먼지 농도가 현재보다 조금 더 높아지고, 또 빈도가 잦아지게 되면 피해는 극심해질 것이라는 게 산업계의 중론이다.

그러나	그러나/MAJ
미세	미세/NNG
먼지	먼지/NNG
농도가	농도/NNG+가/JKS
현재보다	현재/NNG+보다/JKB
조금	조금/MAG
더	더/MAG
높아지고,	높아지/VV+고/EC+,/SP
또	또/MAG
빈도가	빈도/NNG+가/JKS
잦아지게	잦아지/VV+게/EC
되면	되/VV+면/EC
피해는	피해/NNG+는/JX
극심해질	극심하/VA+아/EC+지/VX+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
게	거/NNB+이/JKS
산업계의	산업/NNG+계/XSN+의/JKG
중론이다.	중론/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.431.6.1
삼성전자 반도체 공장은 미세 먼지 농도가 300㎍/㎥이 넘어가면 공장 내부의 기압을 올려 외부 공기 유입을 막는다.

삼성전자	삼성전자/NNP
반도체	반도체/NNG
공장은	공장/NNG+은/JX
미세	미세/NNG
먼지	먼지/NNG
농도가	농도/NNG+가/JKS
300㎍/㎥이	300/SN+㎍/SW+//SP+㎥/SW+이/JKS
넘어가면	넘어가/VV+면/EC
공장	공장/NNG
내부의	내부/NNG+의/JKG
기압을	기압/NNG+을/JKO
올려	올리/VV+어/EC
외부	외부/NNG
공기	공기/NNG
유입을	유입/NNG+을/JKO
막는다.	막/VV+는다/EF+./SF


# id : NWRW1800000038.431.6.2
LG디스플레이는 미세 먼지 농도가 400㎍/㎥ 이상일 때 모든 장비의 생산라인 반입을 금지하고 작업 인원의 라인 입장도 최소화한다.

LG디스플레이는	LG디스플레이/NNP+는/JX
미세	미세/NNG
먼지	먼지/NNG
농도가	농도/NNG+가/JKS
400㎍/㎥	400/SN+㎍/SW+//SP+㎥/SW
이상일	이상/NNG+이/VCP+ㄹ/ETM
때	때/NNG
모든	모든/MMN
장비의	장비/NNG+의/JKG
생산라인	생산/NNG+라인/NNG
반입을	반입/NNG+을/JKO
금지하고	금지/NNG+하/XSV+고/EC
작업	작업/NNG
인원의	인원/NNG+의/JKG
라인	라인/NNG
입장도	입장/NNG+도/JX
최소화한다.	최소/NNG+화/XSN+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.431.6.3
이런 미세 먼지 대응 작업은 결국 생산 비용 증가로 이어진다.

이런	이런/MMD
미세	미세/NNG
먼지	먼지/NNG
대응	대응/NNG
작업은	작업/NNG+은/JX
결국	결국/MAG
생산	생산/NNG
비용	비용/NNG
증가로	증가/NNG+로/JKB
이어진다.	이어지/VV+ㄴ다/EF+./SF


