# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.14
metadata : {}


# id : NWRW1800000038.14.1.1
中, 작년 美 제치고 세계 최대 무역국으로

中,	中/SH+,/SP
1353개에서	1353/SN+개/NNB+에서/JKB
2011년	2011/SN+년/NNB
1431개로	1431/SN+개/NNB+로/JKB
늘며	늘/VV+며/EC
1위를	1/SN+위/NNB+를/JKO
지키고	지키/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.14.7.4
중국은 지난해 기준으로 미국을 제치고 특허 1위 국가의 지위도 차지했다.

중국은	중국/NNP+은/JX
지난해	지난해/NNG
기준으로	기준/NNG+으로/JKB
미국을	미국/NNP+을/JKO
제치고	제치/VV+고/EC
특허	특허/NNG
1위	1/SN+위/NNB
국가의	국가/NNG+의/JKG
지위도	지위/NNG+도/JX
차지했다.	차지/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.14.8.1
짐 오닐 골드만삭스자산운용 회장은 "전 세계 많은 국가에 중국이 가장 중요한 양자 무역 파트너로 부상하고 있다"면서 "이런 속도로 대(對)중국 무역이 늘어난다면 2020년 이전에 많은 유럽 국가 간 역내 무역 규모보다 중국과의 양자 무역 규모가 더 커질 것"이라고 예상했다.

짐	짐/NNP
오닐	오닐/NNP
골드만삭스자산운용	골드만삭스자산운용/NNP
회장은	회장/NNG+은/JX
"전	"/SS+전/MMN
세계	세계/NNG
많은	많/VA+은/ETM
국가에	국가/NNG+에/JKB
중국이	중국/NNP+이/JKS
가장	가장/MAG
중요한	중요/NNG+하/XSA+ㄴ/ETM
양자	양자/NNG
무역	무역/NNG
파트너로	파트너/NNG+로/JKB
부상하고	부상/NNG+하/XSV+고/EC
있다"면서	있/VX+다/EF+"/SS+면서/EC
"이런	"/SS+이런/MMD
속도로	속도/NNG+로/JKB
대(對)중국	대/NA+(/SS+對/SH+)/SS+중국/NNP
무역이	무역/NNG+이/JKS
늘어난다면	늘어나/VV+ㄴ다면/EC
2020년	2020/SN+년/NNB
이전에	이전/NNG+에/JKB
유럽	유럽/NNP
국가	국가/NNG
간	간/NNB
역내	역내/NNG
규모보다	규모/NNG+보다/JKB
중국과의	중국/NNP+과/JKB+의/JKG
규모가	규모/NNG+가/JKS
더	더/MAG
커질	커지/VV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
예상했다.	예상/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.14.9.1
하지만 중국의 무역 성장 가도에도 해결해야 할 과제들이 산적해 있다고 전문가들은 지적한다.

하지만	하지만/MAJ
중국의	중국/NNP+의/JKG
무역	무역/NNG
성장	성장/NNG
가도에도	가도/NNG+에/JKB+도/JX
해결해야	해결/NNG+하/XSV+아야/EC
할	하/VX+ㄹ/ETM
과제들이	과제/NNG+들/XSN+이/JKS
산적해	산적/NNG+하/XSV+아/EC
있다고	있/VX+다고/EC
전문가들은	전문가/NNG+들/XSN+은/JX
지적한다.	지적/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.14.9.2
외형적 성장은 이뤘지만 질적인 면에서 경쟁국과 비교하기엔 아직 무리라는 것이다.

외형적	외형/NNG+적/XSN
성장은	성장/NNG+은/JX
이뤘지만	이루/VV+었/EP+지만/EC
질적인	질/NNG+적/XSN+이/VCP+ㄴ/ETM
면에서	면/NNG+에서/JKB
경쟁국과	경쟁국/NNG+과/JKB
비교하기엔	비교/NNG+하/XSV+기/ETN+에/JKB+ㄴ/JX
아직	아직/MAG
무리라는	무리/NNG+이/VCP+라는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.14.9.3
13억 중국 인구의 1인당 GDP는 5400달러로 여전히 세계 90위권이다.

13억	13/SN+억/NR
중국	중국/NNP
인구의	인구/NNG+의/JKG
1인당	1/SN+인/NNG+당/XSN
GDP는	GDP/SL+는/JX
5400달러로	5400/SN+달러/NNB+로/JKB
여전히	여전히/MAG
세계	세계/NNG
90위권이다.	90/SN+위/NNB+권/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000038.14.9.4
실질적인 국민 경제력은 개발도상국 수준이라는 평가다.

실질적인	실질/NNG+적/XSN+이/VCP+ㄴ/ETM
국민	국민/NNG
경제력은	경제력/NNG+은/JX
개발도상국	개발/NNG+도상국/NNG
수준이라는	수준/NNG+이/VCP+라는/ETM
평가다.	평가/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.14.10.1
중국 정부의 통계를 믿을 수 없다는 회의론도 적지 않다.

중국	중국/NNP
정부의	정부/NNG+의/JKG
통계를	통계/NNG+를/JKO
믿을	믿/VV+을/ETM
수	수/NNB
없다는	없/VA+다는/ETM
회의론도	회의/NNG+론/XSN+도/JX
적지	적/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000038.14.10.2
UBS와 호주뉴질랜드은행(ANZ)은 작년 12월 중국 수출이 14% 급증했다는 중국 해관 통계에 대해 의문을 제기하기도 했다.

UBS와	UBS/SL+와/JC
호주뉴질랜드은행(ANZ)은	호주뉴질랜드은행/NNP+(/SS+ANZ/SL+)/SS+은/JX
작년	작년/NNG
12월	12/SN+월/NNB
중국	중국/NNP
수출이	수출/NNG+이/JKS
14%	14/SN+%/SW
급증했다는	급증/NNG+하/XSV+았/EP+다는/ETM
해관	해관/NNG
통계에	통계/NNG+에/JKB
대해	대하/VV+아/EC
의문을	의문/NNG+을/JKO
제기하기도	제기/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


