# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.441
metadata : {}


# id : NWRW1800000054.441.1.1
소상공인이 만든 생활용품, KC인증 부담 덜게 됐다

소상공인이	소/XPN+상공인/NNG+이/JKS
오른	오르/VV+ㄴ/ETM
안건	안건/NNG
중	중/NNB
한국광물자원공사	한국광물자원공사/NNP
정부	정부/NNG
출자금을	출자금/NNG+을/JKO
2조원에서	2/SN+조/NR+원/NNB+에서/JKB
4조원으로	4/SN+조/NR+원/NNB+으로/JKB
증액하는	증액/NNG+하/XSV+는/ETM
법안은	법안/NNG+은/JX
통과되지	통과/NNG+되/XSV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000054.441.5.2
민주당 의원들이 발의했지만 같은 당 홍영표 의원이 "이명박 정부 때 해외 자원 개발에 실패해 누적 적자가 3조원을 넘어선 공기업에 대한 지원은 신중해야 한다"고 반대토론에 나서자 부결됐다.

민주당	민주당/NNP
의원들이	의원/NNG+들/XSN+이/JKS
발의했지만	발의/NNG+하/XSV+았/EP+지만/EC
같은	같/VA+은/ETM
당	당/NNG
홍영표	홍영표/NNP
의원이	의원/NNG+이/JKS
"이명박	"/SS+이명박/NNP
정부	정부/NNG
때	때/NNG
해외	해외/NNG
자원	자원/NNG
개발에	개발/NNG+에/JKB
실패해	실패/NNG+하/XSV+아/EC
누적	누적/NNG
적자가	적자/NNG+가/JKS
3조원을	3/SN+조/NR+원/NNB+을/JKO
넘어선	넘어서/VV+ㄴ/ETM
공기업에	공기업/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
지원은	지원/NNG+은/JX
신중해야	신중/NNG+하/XSA+아야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
반대토론에	반대/NNG+토론/NNG+에/JKB
나서자	나서/VV+자/EC
부결됐다.	부결/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000054.441.6.1
여야는 이날 본회의에 앞서 원내대표 회동을 갖고 개헌특위와 정치개혁특위를 통합해 '헌법 개정 및 정치 개혁 특별위원회'를 구성하고, 활동 기한을 내년 6월 말까지 연장키로 합의했다.

여야는	여야/NNG+는/JX
이날	이날/NNG
본회의에	본회의/NNG+에/JKB
앞서	앞서/VV+어/EC
원내대표	원내/NNG+대표/NNG
회동을	회동/NNG+을/JKO
갖고	갖/VV+고/EC
개헌특위와	개헌/NNG+특위/NNG+와/JC
정치개혁특위를	정치/NNG+개혁/NNG+특위/NNG+를/JKO
통합해	통합/NNG+하/XSV+아/EC
'헌법	'/SS+헌법/NNG
개정	개정/NNG
및	및/MAG
정치	정치/NNG
개혁	개혁/NNG
특별위원회'를	특별/NNG+위원회/NNG+'/SS+를/JKO
구성하고,	구성/NNG+하/XSV+고/EC+,/SP
활동	활동/NNG
기한을	기한/NNG+을/JKO
내년	내년/NNG
6월	6/SN+월/NNB
말까지	말/NNB+까지/JX
연장키로	연장/NNG+하/XSV+기/ETN+로/JKB
합의했다.	합의/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.441.6.2
민주당이 끝까지 요구했던 '2월 중 개헌안 마련을 위해 노력한다'는 내용은 이번 합의문에서 빠졌다.

민주당이	민주당/NNP+이/JKS
끝까지	끝/NNG+까지/JX
요구했던	요구/NNG+하/XSV+았/EP+던/ETM
'2월	'/SS+2/SN+월/NNB
중	중/NNB
개헌안	개헌안/NNG
마련을	마련/NNG+을/JKO
위해	위하/VV+아/EC
노력한다'는	노력/NNG+하/XSV+ㄴ다/EF+'/SS+는/ETM
내용은	내용/NNG+은/JX
이번	이번/NNG
합의문에서	합의문/NNG+에서/JKB
빠졌다.	빠지/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.441.6.3
대신 '1월 중에 이 문제를 다시 논의한다'는 단서를 달았다.

대신	대신/NNG
'1월	'/SS+1/SN+월/NNB
중에	중/NNB+에/JKB
이	이/MMD
문제를	문제/NNG+를/JKO
다시	다시/MAG
논의한다'는	논의/NNG+하/XSV+ㄴ다/EF+'/SS+는/ETM
단서를	단서/NNG+를/JKO
달았다.	달/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.441.6.4
민주당은 "내년 6월 지방선거에서 개헌안 국민투표를 함께 실시하려면 2월까지는 여야가 개헌안에 합의해야 한다"고 주장했고, 야당들은 "단기간 내 여야 합의가 어려운 것을 뻔히 알면서도 청와대에 개헌 주도권을 넘기기 위해 여당이 2월 시한을 고집하고 있다"고 맞서왔다.

민주당은	민주당/NNP+은/JX
"내년	"/SS+내년/NNG
6월	6/SN+월/NNB
지방선거에서	지방/NNG+선거/NNG+에서/JKB
개헌안	개헌안/NNG
국민투표를	국민/NNG+투표/NNG+를/JKO
함께	함께/MAG
실시하려면	실시/NNG+하/XSV+려면/EC
2월까지는	2/SN+월/NNB+까지/JX+는/JX
여야가	여야/NNG+가/JKS
개헌안에	개헌안/NNG+에/JKB
합의해야	합의/NNG+하/XSV+아야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
주장했고,	주장/NNG+하/XSV+았/EP+고/EC+,/SP
야당들은	야당/NNG+들/XSN+은/JX
"단기간	"/SS+단기간/NNG
내	내/NNB
여야	여야/NNG
합의가	합의/NNG+가/JKS
어려운	어렵/VA+ㄴ/ETM
것을	것/NNB+을/JKO
뻔히	뻔히/MAG
알면서도	알/VV+면서/EC+도/JX
청와대에	청와대/NNP+에/JKB
개헌	개헌/NNG
주도권을	주도/NNG+권/XSN+을/JKO
넘기기	넘기/VV+기/ETN
위해	위하/VV+아/EC
여당이	여당/NNG+이/JKS
2월	2/SN+월/NNB
시한을	시한/NNG+을/JKO
고집하고	고집/NNG+하/XSV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
맞서왔다.	맞서/VV+어/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000054.441.6.5
개헌 시기와 관련된 갈등을 미봉하는 수준에서 여야 합의가 도출된 셈이다.

개헌	개헌/NNG
시기와	시기/NNG+와/JKB
관련된	관련/NNG+되/XSV+ㄴ/ETM
갈등을	갈등/NNG+을/JKO
미봉하는	미봉/NNG+하/XSV+는/ETM
수준에서	수준/NNG+에서/JKB
여야	여야/NNG
합의가	합의/NNG+가/JKS
도출된	도출/NNG+되/XSV+ㄴ/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.441.7.1
여야는 법원과 검찰, 경찰 개혁 과제를 다룰 사법개혁특별위원회를 구성해 내년 6월 말까지 활동한다는 데에도 합의했다.

여야는	여야/NNG+는/JX
법원과	법원/NNG+과/JC
검찰,	검찰/NNG+,/SP
경찰	경찰/NNG
개혁	개혁/NNG
과제를	과제/NNG+를/JKO
다룰	다루/VV+ㄹ/ETM
사법개혁특별위원회를	사법/NNG+개혁/NNG+특별/NNG+위원회/NNG+를/JKO
구성해	구성/NNG+하/XSV+아/EC
내년	내년/NNG
6월	6/SN+월/NNB
말까지	말/NNB+까지/JX
활동한다는	활동/NNG+하/XSV+ㄴ다는/ETM
데에도	데/NNB+에/JKB+도/JX
합의했다.	합의/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.441.7.2
또 '5·18 진상규명특별법'도 내년 2월 국회에서 처리키로 합의했다.

또	또/MAG
'5·18	'/SS+5/SN+·/SP+18/SN
진상규명특별법'도	진상/NNG+규명/NNG+특별법/NNG+'/SS+도/JX
내년	내년/NNG
2월	2/SN+월/NNB
국회에서	국회/NNG+에서/JKB
처리키로	처리/NNG+하/XSV+기/ETN+로/JKB
합의했다.	합의/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.441.7.3
한국당 최경환·이우현 의원에 대한 체포 동의안도 이날 본회의에 보고됐지만, 이날로 12월 임시국회 회기가 끝남에 따라 표결은 이뤄지지 않았다.

한국당	한국당/NNP
최경환·이우현	최경환/NNP+·/SP+이우현/NNP
의원에	의원/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
체포	체포/NNG
동의안도	동의안/NNG+도/JX
이날	이날/NNG
본회의에	본회의/NNG+에/JKB
보고됐지만,	보고/NNG+되/XSV+었/EP+지만/EC+,/SP
이날로	이날/NNG+로/JKB
12월	12/SN+월/NNB
임시국회	임시/NNG+국회/NNG
회기가	회기/NNG+가/JKS
끝남에	끝나/VV+ㅁ/ETN+에/JKB
따라	따르/VV+아/EC
표결은	표결/NNG+은/JX
이뤄지지	이뤄지/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


