# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.331
metadata : {}


# id : NWRW1800000030.331.1.1
"李대통령, 정치만 잘 못해 회사 경영하듯 국가 경영… 혼자 잘나 되는 시대 아냐"

"李대통령,	"/SS+李/SH+대통령/NNG+,/SP
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.331.5.1
홍 대표는 이날 오후엔 한국방송기자클럽 초청 토론회에서 한상대 검찰총장 내정자의 병역면제 의혹에 대해 "총리, 장관으로 가는 사람이 병역면제 의혹이 있으면 안 되지만 한 내정자는 합법적으로 진단서를 받아 의혹이 없는 사람"이라며 "신체상 결함으로 (군대에) 못 갔다고 해서 공직이 안 된다는 것은 곤란하다"고 말했다.

홍	홍/NNP
대표는	대표/NNG+는/JX
이날	이날/NNG
오후엔	오후/NNG+에/JKB+ㄴ/JX
한국방송기자클럽	한국방송기자클럽/NNP
초청	초청/NNG
토론회에서	토론회/NNG+에서/JKB
한상대	한상대/NNP
검찰총장	검찰/NNG+총장/NNG
내정자의	내정자/NNG+의/JKG
병역면제	병역/NNG+면제/NNG
의혹에	의혹/NNG+에/JKB
대해	대하/VV+아/EC
"총리,	"/SS+총리/NNG+,/SP
장관으로	장관/NNG+으로/JKB
가는	가/VV+는/ETM
사람이	사람/NNG+이/JKS
의혹이	의혹/NNG+이/JKS
있으면	있/VA+으면/EC
안	안/MAG
되지만	되/VV+지만/EC
한	한/NNP
내정자는	내정자/NNG+는/JX
합법적으로	합법/NNG+적/XSN+으로/JKB
진단서를	진단서/NNG+를/JKO
받아	받/VV+아/EC
없는	없/VA+는/ETM
사람"이라며	사람/NNG+"/SS+이/VCP+라며/EC
"신체상	"/SS+신체/NNG+상/XSN
결함으로	결함/NNG+으로/JKB
(군대에)	(/SS+군대/NNG+에/JKB+)/SS
못	못/MAG
갔다고	가/VV+았/EP+다고/EC
해서	하/VX+아서/EC
공직이	공직/NNG+이/JKC
된다는	되/VV+ㄴ다는/ETM
것은	것/NNB+은/JX
곤란하다"고	곤란/NNG+하/XSA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.331.5.2
그는 내년 총선에서 '보수 대통합' 가능성을 묻는 질문에 "야권 대통합을 한다는데 보수 대통합을 해야 할 것 아니냐"며 "이미 미래희망연대와는 양당이 통합하기로 선언했고 실무절차만 남았다.

그는	그/NP+는/JX
내년	내년/NNG
총선에서	총선/NNG+에서/JKB
'보수	'/SS+보수/NNG
대통합'	대/XPN+통합/NNG+'/SS
가능성을	가능/NNG+성/XSN+을/JKO
묻는	묻/VV+는/ETM
질문에	질문/NNG+에/JKB
"야권	"/SS+야권/NNG
대통합을	대/XPN+통합/NNG+을/JKO
한다는데	하/VV+ㄴ다는데/EC
보수	보수/NNG
해야	하/VV+아야/EC
할	하/VX+ㄹ/ETM
것	것/NNB
아니냐"며	아니/VCN+냐/EF+"/SS+며/EC
"이미	"/SS+이미/MAG
미래희망연대와는	미래희망연대/NNP+와/JKB+는/JX
양당이	양당/NNG+이/JKS
통합하기로	통합/NNG+하/XSV+기/ETN+로/JKB
선언했고	선언/NNG+하/XSV+았/EP+고/EC
실무절차만	실무/NNG+절차/NNG+만/JX
남았다.	남/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.331.5.3
선진당과의 통합은 어떤 식으로 가야 할지 연구해볼 과제"라고 말했다.

선진당과의	선진당/NNP+과/JKB+의/JKG
통합은	통합/NNG+은/JX
어떤	어떤/MMD
식으로	식/NNB+으로/JKB
가야	가/VV+아야/EC
할지	하/VX+ㄹ지/EF
연구해볼	연구/NNG+하/XSV+아/EC+보/VX+ㄹ/ETM
과제"라고	과제/NNG+"/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.331.6.1
이재오 특임장관의 당 복귀에 대해선 "이 장관이 당에 와서 계파활동을 하면 본인을 위해서도 좋지 않다는 생각"이라며 "내년 총선까지 계파를 하면 공멸하며 이는 화합이 아니라 생존의 문제"라고 말했다.

이재오	이재오/NNP
특임장관의	특임/NNG+장관/NNG+의/JKG
당	당/NNG
복귀에	복귀/NNG+에/JKB
대해선	대하/VV+아서/EC+ㄴ/JX
"이	"/SS+이/NNP
장관이	장관/NNG+이/JKS
당에	당/NNG+에/JKB
와서	오/VV+아서/EC
계파활동을	계파/NNG+활동/NNG+을/JKO
하면	하/VV+면/EC
본인을	본인/NNG+을/JKO
위해서도	위하/VV+아서/EC+도/JX
좋지	좋/VA+지/EC
않다는	않/VX+다는/ETM
생각"이라며	생각/NNG+"/SS+이/VCP+라며/EC
"내년	"/SS+내년/NNG
총선까지	총선/NNG+까지/JX
계파를	계파/NNG+를/JKO
공멸하며	공멸/NNG+하/XSV+며/EC
이는	이/NP+는/JX
화합이	화합/NNG+이/JKC
아니라	아니/VCN+라/EC
생존의	생존/NNG+의/JKG
문제"라고	문제/NNG+"/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


