# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.3
metadata : {}


# id : NWRW1800000052.3.1.1
“한국 잠재성장률 2020년대 1%대로”

“한국	“/SS+한국/NNP
지난해 ‘고용 회복→소득·소비 증가→생산·고용 증가’ 선순환으로 세계 경제 회복세를 이끈 미국의 경우, 고용 증가와 소비 증가가 지난해 하반기부터 둔화하기 시작했다.

지난해	지난해/NNG
‘고용	‘/SS+고용/NNG
회복→소득·소비	회복/NNG+→/SW+소득/NNG+·/SP+소비/NNG
증가→생산·고용	증가/NNG+→/SW+생산/NNG+·/SP+고용/NNG
증가’	증가/NNG+’/SS
선순환으로	선순환/NNG+으로/JKB
세계	세계/NNG
경제	경제/NNG
회복세를	회복세/NNG+를/JKO
이끈	이끌/VV+ㄴ/ETM
미국의	미국/NNP+의/JKG
경우,	경우/NNG+,/SP
고용	고용/NNG
증가와	증가/NNG+와/JC
소비	소비/NNG
증가가	증가/NNG+가/JKS
하반기부터	하반기/NNG+부터/JX
둔화하기	둔화/NNG+하/XSV+기/ETN
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.3.6.3
경기 부양에 도움을 줬던 통화정책(양적 완화)의 변화와 달러 강세로 인한 기업 수익성 하락도 세계 경제 회복과 관련한 미국 역할에 대한 기대치를 낮추는 요소다.

경기	경기/NNG
부양에	부양/NNG+에/JKB
도움을	도움/NNG+을/JKO
줬던	주/VV+었/EP+던/ETM
통화정책(양적	통화/NNG+정책/NNG+(/SS+양/NNG+적/XSN
완화)의	완화/NNG+)/SS+의/JKG
변화와	변화/NNG+와/JC
달러	달러/NNG
강세로	강세/NNG+로/JKB
인한	인/NNG+하/XSV+ㄴ/ETM
기업	기업/NNG
수익성	수익/NNG+성/XSN
하락도	하락/NNG+도/JX
세계	세계/NNG
경제	경제/NNG
회복과	회복/NNG+과/JKB
관련한	관련/NNG+하/XSV+ㄴ/ETM
미국	미국/NNP
역할에	역할/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
기대치를	기대/NNG+치/XSN+를/JKO
낮추는	낮추/VV+는/ETM
요소다.	요소/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.3.7.1
여기에 중국의 성장 둔화와 국제 유가 하락으로 중동 산유국 등 자원 수출국의 경제 리스크까지 겹치면서 전세계 교역량이 줄고, 이에 따라 수출 의존도가 높은 한국의 성장 둔화는 불가피하다고 보고서는 지적했다.

여기에	여기/NP+에/JKB
중국의	중국/NNP+의/JKG
성장	성장/NNG
둔화와	둔화/NNG+와/JC
국제	국제/NNG
유가	유가/NNG
하락으로	하락/NNG+으로/JKB
중동	중동/NNP
산유국	산유국/NNG
등	등/NNB
자원	자원/NNG
수출국의	수출국/NNG+의/JKG
경제	경제/NNG
리스크까지	리스크/NNG+까지/JX
겹치면서	겹치/VV+면서/EC
전세계	전/MMN+세계/NNG
교역량이	교역량/NNG+이/JKS
줄고,	줄/VV+고/EC+,/SP
이에	이/NP+에/JKB
따라	따르/VV+아/EC
수출	수출/NNG
의존도가	의존도/NNG+가/JKS
높은	높/VA+은/ETM
한국의	한국/NNP+의/JKG
둔화는	둔화/NNG+는/JX
불가피하다고	불가피하/VA+다고/EC
보고서는	보고서/NNG+는/JX
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.3.8.1
내수 또한 마땅한 출구가 보이지 않는 것은 마찬가지다.

내수	내수/NNG
또한	또한/MAG
마땅한	마땅하/VA+ㄴ/ETM
출구가	출구/NNG+가/JKS
보이지	보이/VV+지/EC
않는	않/VX+는/ETM
것은	것/NNB+은/JX
마찬가지다.	마찬가지/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.3.8.2
지난해 메르스 사태가 종료된 이후 소비 심리 회복과 개별소비세 인하, 코리아 블랙프라이데이 등의 영향으로 내수가 호전되는 듯했지만, ‘소비 회복→생산 증가 →고용 회복’의 선순환 흐름으로 이어지지는 않았다.

지난해	지난해/NNG
메르스	메르스/NNG
사태가	사태/NNG+가/JKS
종료된	종료/NNG+되/XSV+ㄴ/ETM
이후	이후/NNG
소비	소비/NNG
심리	심리/NNG
회복과	회복/NNG+과/JC
개별소비세	개별/NNG+소비세/NNG
인하,	인하/NNG+,/SP
코리아	코리아/NNP
블랙프라이데이	블랙프라이데이/NNG
등의	등/NNB+의/JKG
영향으로	영향/NNG+으로/JKB
내수가	내수/NNG+가/JKS
호전되는	호전/NNG+되/XSV+는/ETM
듯했지만,	듯/NNB+하/XSA+았/EP+지만/EC+,/SP
‘소비	‘/SS+소비/NNG
회복→생산	회복/NNG+→/SW+생산/NNG
증가	증가/NNG
→고용	→/SW+고용/NNG
회복’의	회복/NNG+’/SS+의/JKG
선순환	선순환/NNG
흐름으로	흐름/NNG+으로/JKB
이어지지는	이어지/VV+지/EC+는/JX
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000052.3.8.3
보고서는 “노후 자산인 부동산 가치가 떨어지고 저금리로 금융 자산도 부족해진 상황에서 50대 이상의 소비성향 저하가 이어질 전망이며, 청장년층도 낮은 성장으로 취업이 힘들어 소비를 늘릴 여지가 크지 않다”고 분석했다.

보고서는	보고서/NNG+는/JX
“노후	“/SS+노후/NNG
자산인	자산/NNG+이/VCP+ㄴ/ETM
부동산	부동산/NNG
가치가	가치/NNG+가/JKS
떨어지고	떨어지/VV+고/EC
저금리로	저/XPN+금리/NNG+로/JKB
금융	금융/NNG
자산도	자산/NNG+도/JX
부족해진	부족/NNG+하/XSA+아/EC+지/VX+ㄴ/ETM
상황에서	상황/NNG+에서/JKB
50대	50/SN+대/NNB
이상의	이상/NNG+의/JKG
소비성향	소비/NNG+성향/NNG
저하가	저하/NNG+가/JKS
이어질	이어지/VV+ㄹ/ETM
전망이며,	전망/NNG+이/VCP+며/EC+,/SP
청장년층도	청장년/NNG+층/XSN+도/JX
낮은	낮/VA+은/ETM
성장으로	성장/NNG+으로/JKB
취업이	취업/NNG+이/JKS
힘들어	힘들/VA+어/EC
소비를	소비/NNG+를/JKO
늘릴	늘리/VV+ㄹ/ETM
여지가	여지/NNB+가/JKS
크지	크/VA+지/EC
않다”고	않/VX+다/EF+”/SS+고/JKQ
분석했다.	분석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.3.9.1
잠재성장률이 낮아지면서 1%대 성장이 보편화할 가능성도 지적됐다.

잠재성장률이	잠재/NNG+성장/NNG+률/XSN+이/JKS
낮아지면서	낮/VA+아/EC+지/VX+면서/EC
1%대	1/SN+%/SW+대/XSN
성장이	성장/NNG+이/JKS
보편화할	보편/NNG+화/XSN+하/XSV+ㄹ/ETM
가능성도	가능/NNG+성/XSN+도/JX
지적됐다.	지적/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000052.3.9.2
생산 가능 인구가 올해를 정점으로 내년부터 줄어들게 되면 노동력 투입도 둔화될 것이기 때문이다.

생산	생산/NNG
가능	가능/NNG
인구가	인구/NNG+가/JKS
올해를	올해/NNG+를/JKO
정점으로	정점/NNG+으로/JKB
내년부터	내년/NNG+부터/JX
줄어들게	줄어들/VV+게/EC
되면	되/VV+면/EC
노동력	노동력/NNG
투입도	투입/NNG+도/JX
둔화될	둔화/NNG+되/XSV+ㄹ/ETM
것이기	것/NNB+이/VCP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000052.3.9.3
이근태 수석연구위원은 “한국의 잠재성장률은 2016~2020년까지 2.5% 수준에 머물고, 2020년대에는 1% 대까지 낮아질 것으로 추정된다.

이근태	이근태/NNP
수석연구위원은	수석/NNG+연구/NNG+위원/NNG+은/JX
“한국의	“/SS+한국/NNP+의/JKG
잠재성장률은	잠재/NNG+성장/NNG+률/XSN+은/JX
2016~2020년까지	2016/SN+~/SO+2020/SN+년/NNB+까지/JX
2.5%	2/SN+./SP+5/SN+%/SW
수준에	수준/NNG+에/JKB
머물고,	머물/VV+고/EC+,/SP
2020년대에는	2020/SN+년대/NNB+에/JKB+는/JX
1%	1/SN+%/SW
대까지	대/XSN+까지/JX
낮아질	낮/VA+아/EC+지/VX+ㄹ/ETM
것으로	것/NNB+으로/JKB
추정된다.	추정/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000052.3.9.4
구조개혁과 규제완화를 통해 경제의 체질을 개선하고 새로운 성장 먹거리를 찾지 못한다면 2%대 성장을 호황기로 생각해야 하는 상황이 곧 도래할 수 있다”고 지적했다.

구조개혁과	구조/NNG+개혁/NNG+과/JC
규제완화를	규제/NNG+완화/NNG+를/JKO
통해	통하/VV+아/EC
경제의	경제/NNG+의/JKG
체질을	체질/NNG+을/JKO
개선하고	개선/NNG+하/XSV+고/EC
새로운	새롭/VA+ㄴ/ETM
성장	성장/NNG
먹거리를	먹거리/NNG+를/JKO
찾지	찾/VV+지/EC
못한다면	못하/VX+ㄴ다면/EC
2%대	2/SN+%/SW+대/XSN
성장을	성장/NNG+을/JKO
호황기로	호황기/NNG+로/JKB
생각해야	생각/NNG+하/XSV+아야/EC
하는	하/VX+는/ETM
상황이	상황/NNG+이/JKS
곧	곧/MAG
도래할	도래/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다”고	있/VA+다/EF+”/SS+고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


