# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.44
metadata : {}


# id : NWRW1800000048.44.1.1
엘리엇이 바꿔놓은 삼성 신수종 사업 전망

엘리엇이	엘리엇/NNP+이/JKS
상장 뒤 추가 투자 여부에 대해서도 “인수나 투자에 필요한 적정 자금을 조달할 수 있을지 확신할 수 없다”고 공시했다.

상장	상장/NNG
뒤	뒤/NNG
추가	추가/NNG
투자	투자/NNG
여부에	여부/NNG+에/JKB
대해서도	대하/VV+아서/EC+도/JX
“인수나	“/SS+인수/NNG+나/JC
투자에	투자/NNG+에/JKB
필요한	필요/NNG+하/XSA+ㄴ/ETM
적정	적정/NNG
자금을	자금/NNG+을/JKO
조달할	조달/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있을지	있/VA+을지/EF
확신할	확신/NNG+하/XSV+ㄹ/ETM
없다”고	없/VA+다/EF+”/SS+고/JKQ
공시했다.	공시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.44.5.1
하지만 삼성물산-제일모직 합병 계획이 발표된 뒤엔 바이오산업 투자 위험에 대한 전망이 크게 바뀌는 게 눈에 띈다.

하지만	하지만/MAJ
삼성물산-제일모직	삼성물산/NNP+-/SO+제일모직/NNP
합병	합병/NNG
계획이	계획/NNG+이/JKS
발표된	발표/NNG+되/XSV+ㄴ/ETM
뒤엔	뒤/NNG+에/JKB+ㄴ/JX
바이오산업	바이오산업/NNG
투자	투자/NNG
위험에	위험/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
전망이	전망/NNG+이/JKS
크게	크/VA+게/EC
바뀌는	바뀌/VV+는/ETM
게	거/NNB+이/JKS
눈에	눈/NNG+에/JKB
띈다.	띄/VV+ㄴ다/EF+./SF


# id : NWRW1800000048.44.5.2
먼저 합병 계획 발표 당일인 지난 5월26일에 공시한 ‘제일모직 예비투자설명서’에선 관련 설명이 이전과 큰 차이가 없었다.

먼저	먼저/MAG
합병	합병/NNG
계획	계획/NNG
발표	발표/NNG
당일인	당일/NNG+이/VCP+ㄴ/ETM
지난	지나/VV+ㄴ/ETM
5월26일에	5/SN+월/NNB+26/SN+일/NNB+에/JKB
공시한	공시/NNG+하/XSV+ㄴ/ETM
‘제일모직	‘/SS+제일모직/NNP
예비투자설명서’에선	예비/NNG+투자/NNG+설명서/NNG+’/SS+에서/JKB+ㄴ/JX
관련	관련/NNG
설명이	설명/NNG+이/JKS
이전과	이전/NNG+과/JKB
큰	크/VA+ㄴ/ETM
차이가	차이/NNG+가/JKS
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000048.44.5.3
하지만 6월3일에 정정 공시한 예비투자설명서에서는 이와 관련해 “현재는 사업개발 단계로 손실을 기록중이나 바이오의약품 생산 사업은 2016년부터 흑자로 전환해 2018년 이후 영업이익률 30~40%대의 본격적인 흑자를 예상하고 있다.

하지만	하지만/MAJ
6월3일에	6/SN+월/NNB+3/SN+일/NNB+에/JKB
정정	정정/NNG
공시한	공시/NNG+하/XSV+ㄴ/ETM
예비투자설명서에서는	예비/NNG+투자/NNG+설명서/NNG+에서/JKB+는/JX
이와	이/NP+와/JKB
관련해	관련/NNG+하/XSV+아/EC
“현재는	“/SS+현재/NNG+는/JX
사업개발	사업/NNG+개발/NNG
단계로	단계/NNG+로/JKB
손실을	손실/NNG+을/JKO
기록중이나	기록/NNG+중/NNB+이/VCP+나/EC
바이오의약품	바이오/NNG+의약품/NNG
생산	생산/NNG
사업은	사업/NNG+은/JX
2016년부터	2016/SN+년/NNB+부터/JX
흑자로	흑자/NNG+로/JKB
전환해	전환/NNG+하/XSV+아/EC
2018년	2018/SN+년/NNB
이후	이후/NNG
영업이익률	영업/NNG+이익/NNG+률/XSN
30~40%대의	30/SN+~/SO+40/SN+%/SW+대/XSN+의/JKG
본격적인	본격/NNG+적/XSN+이/VCP+ㄴ/ETM
흑자를	흑자/NNG+를/JKO
예상하고	예상/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000048.44.5.4
또한 바이오시밀러(바이오의약품 복제약) 사업은 제품 개발부터 상업화까지 약 6년이 소요되므로 2016년에 첫 제품을 출시해 2017년부터 흑자 전환이 예상된다”며 ‘긍정적 전망’을 추가했다.

또한	또한/MAG
바이오시밀러(바이오의약품	바이오시밀러/NNG+(/SS+바이오/NNG+의약품/NNG
복제약)	복제약/NNG+)/SS
사업은	사업/NNG+은/JX
제품	제품/NNG
개발부터	개발/NNG+부터/JX
상업화까지	상업/NNG+화/XSN+까지/JX
약	약/MMA
6년이	6/SN+년/NNB+이/JKS
소요되므로	소요/NNG+되/XSV+므로/EC
2016년에	2016/SN+년/NNB+에/JKB
첫	첫/MMN
제품을	제품/NNG+을/JKO
출시해	출시/NNG+하/XSV+아/EC
2017년부터	2017/SN+년/NNB+부터/JX
흑자	흑자/NNG
전환이	전환/NNG+이/JKS
예상된다”며	예상/NNG+되/XSV+ㄴ다/EF+”/SS+며/EC
‘긍정적	‘/SS+긍정/NNG+적/XSN
전망’을	전망/NNG+’/SS+을/JKO
추가했다.	추가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.44.6.1
삼성이 내놓는 바이오산업 전망에 대한 뉘앙스 변화는 미국계 헤지펀드 엘리엇매니지먼트가 합병 비율의 불공정함을 이유로 합병 반대에 나서면서부터 뚜렷해졌다.

삼성이	삼성/NNP+이/JKS
내놓는	내놓/VV+는/ETM
바이오산업	바이오산업/NNG
전망에	전망/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
뉘앙스	뉘앙스/NNG
변화는	변화/NNG+는/JX
미국계	미국/NNP+계/XSN
헤지펀드	헤지/NNG+펀드/NNG
엘리엇매니지먼트가	엘리엇매니지먼트/NNP+가/JKS
합병	합병/NNG
비율의	비율/NNG+의/JKG
불공정함을	불/XPN+공정/NNG+하/XSA+ㅁ/ETN+을/JKO
이유로	이유/NNG+로/JKB
반대에	반대/NNG+에/JKB
나서면서부터	나서/VV+면서/EC+부터/JX
뚜렷해졌다.	뚜렷하/VA+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000048.44.6.2
두 회사 합병의 시너지 효과를 강조하면서 대표적으로 바이오산업의 성장 전망을 들고 나선다.

두	두/MMN
회사	회사/NNG
합병의	합병/NNG+의/JKG
시너지	시너지/NNG
효과를	효과/NNG+를/JKO
강조하면서	강조/NNG+하/XSV+면서/EC
대표적으로	대표/NNG+적/XSN+으로/JKB
바이오산업의	바이오산업/NNG+의/JKG
성장	성장/NNG
전망을	전망/NNG+을/JKO
들고	들/VV+고/EC
나선다.	나서/VV+ㄴ다/EF+./SF


# id : NWRW1800000048.44.6.3
삼성바이오로직스는 7월1일 아예 기업설명회를 직접 열어 성공 가능성을 강조했다.

삼성바이오로직스는	삼성바이오로직스/NNP+는/JX
7월1일	7/SN+월/NNB+1/SN+일/NNB
아예	아예/MAG
기업설명회를	기업/NNG+설명회/NNG+를/JKO
직접	직접/MAG
열어	열/VV+어/EC
성공	성공/NNG
가능성을	가능/NNG+성/XSN+을/JKO
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.44.6.4
이날 삼성바이오로직스 김태한 사장은 “현재 (바이오의약품 생산 사업) 3위의 위치지만, 생산능력·매출·품질·안전·가격경쟁력·속도 등 분야에서 모두 1위를 하는 월드챔피언이 되겠다”고 말했다.

이날	이날/NNG
삼성바이오로직스	삼성바이오로직스/NNP
김태한	김태한/NNP
사장은	사장/NNG+은/JX
“현재	“/SS+현재/MAG
(바이오의약품	(/SS+바이오/NNG+의약품/NNG
생산	생산/NNG
사업)	사업/NNG+)/SS
3위의	3/SN+위/NNB+의/JKG
위치지만,	위치/NNG+이/VCP+지만/EC+,/SP
생산능력·매출·품질·안전·가격경쟁력·속도	생산/NNG+능력/NNG+·/SP+매출/NNG+·/SP+품질/NNG+·/SP+안전/NNG+·/SP+가격/NNG+경쟁력/NNG+·/SP+속도/NNG
등	등/NNB
분야에서	분야/NNG+에서/JKB
모두	모두/MAG
1위를	1/SN+위/NNB+를/JKO
하는	하/VV+는/ETM
월드챔피언이	월드/NNG+챔피언/NNG+이/JKC
되겠다”고	되/VV+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.44.6.5
증권사의 한 분석가는 “수개월 만에 위험 요소보다 발전 가능성을 크게 앞세우는 태도 변화가 있었다”며 “너무 일찍 팡파르를 터뜨린 느낌”이라고 말했다.

증권사의	증권사/NNG+의/JKG
한	한/MMN
분석가는	분석가/NNG+는/JX
“수개월	“/SS+수개월/NNG
만에	만/NNB+에/JKB
위험	위험/NNG
요소보다	요소/NNG+보다/JKB
발전	발전/NNG
가능성을	가능/NNG+성/XSN+을/JKO
크게	크/VA+게/EC
앞세우는	앞세우/VV+는/ETM
태도	태도/NNG
변화가	변화/NNG+가/JKS
있었다”며	있/VA+었/EP+다/EF+”/SS+며/EC
“너무	“/SS+너무/MAG
일찍	일찍/MAG
팡파르를	팡파르/NNG+를/JKO
터뜨린	터뜨리/VV+ㄴ/ETM
느낌”이라고	느낌/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


