# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.130
metadata : {}


# id : NWRW1800000044.130.1.1
“한국 팬 ‘겨울왕국’ 사랑이 디즈니 회생에 큰힘”

“한국	“/SS+한국/NNP
그는 “우리는 독창성과 독특함으로 다른 스튜디오와 차별화한다”며 “가장 중요한 건 스토리의 감성과 그 안에 담긴 따뜻한 마음”이라고 강조했다.

그는	그/NP+는/JX
“우리는	“/SS+우리/NP+는/JX
독창성과	독창/NNG+성/XSN+과/JC
독특함으로	독특/NNG+하/XSA+ㅁ/ETN+으로/JKB
다른	다른/MMD
스튜디오와	스튜디오/NNG+와/JKB
차별화한다”며	차별/NNG+화/XSN+하/XSV+ㄴ다/EF+”/SS+며/EC
“가장	“/SS+가장/MAG
중요한	중요/NNG+하/XSA+ㄴ/ETM
건	거/NNB+ㄴ/JX
스토리의	스토리/NNG+의/JKG
감성과	감성/NNG+과/JC
그	그/MMD
안에	안/NNG+에/JKB
담긴	담기/VV+ㄴ/ETM
따뜻한	따뜻하/VA+ㄴ/ETM
마음”이라고	마음/NNG+”/SS+이라고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.130.7.2
이어 “디즈니는 70여년에 걸친 오랜 전통을 계승하고 있고, 픽사는 모든 면에서 선구자적 행보를 이어가고 있다”고 설명했다.

이어	이어/MAG
“디즈니는	“/SS+디즈니/NNP+는/JX
70여년에	70/SN+여/XSN+년/NNB+에/JKB
걸친	걸치/VV+ㄴ/ETM
오랜	오랜/MMA
전통을	전통/NNG+을/JKO
계승하고	계승/NNG+하/XSV+고/EC
있고,	있/VX+고/EC+,/SP
픽사는	픽사/NNP+는/JX
모든	모든/MMN
면에서	면/NNG+에서/JKB
선구자적	선구자/NNG+적/XSN
행보를	행보/NNG+를/JKO
이어가고	잇/VV+어/EC+가/VX+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.130.8.1
존 래시터는 차기 개봉작들을 소개했다.

존	존/NNP
래시터는	래시터/NNP+는/JX
차기	차기/NNG
개봉작들을	개봉작/NNG+들/XSN+을/JKO
소개했다.	소개/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.130.8.2
내년 1월 개봉 예정인 디즈니 애니메이션 <빅 히어로>에는 한국계 다니엘 헤니도 출연한다.

내년	내년/NNG
1월	1/SN+월/NNB
개봉	개봉/NNG
예정인	예정/NNG+이/VCP+ㄴ/ETM
디즈니	디즈니/NNP
애니메이션	애니메이션/NNG
<빅	</SS+빅/NNP
히어로>에는	히어로/NNP+>/SS+에/JKB+는/JX
한국계	한국/NNP+계/XSN
다니엘	다니엘/NNP
헤니도	헤니/NNP+도/JX
출연한다.	출연/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000044.130.8.3
그는 “애니메이션 제작 전에 먼저 목소리를 녹음하는데, 다니엘 헤니가 작품에 큰 영감과 영향력을 줬다.

그는	그/NP+는/JX
“애니메이션	“/SS+애니메이션/NNG
제작	제작/NNG
전에	전/NNG+에/JKB
먼저	먼저/MAG
목소리를	목소리/NNG+를/JKO
녹음하는데,	녹음/NNG+하/XSV+는데/EC+,/SP
다니엘	다니엘/NNP
헤니가	헤니/NNP+가/JKS
작품에	작품/NNG+에/JKB
큰	크/VA+ㄴ/ETM
영감과	영감/NNG+과/JC
영향력을	영향력/NNG+을/JKO
줬다.	주/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.130.8.4
대단히 잘해주었다”고 치켜세웠다.

대단히	대단히/MAG
잘해주었다”고	잘/MAG+하/XSV+아/EC+주/VX+었/EP+다/EF+”/SS+고/JKQ
치켜세웠다.	치켜세우/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.130.8.5
또 내년 개봉할 픽사 애니메이션 <인사이드 아웃>에 대해서는 “인간의 내면세계를 그린, 상상력이 대단히 뛰어난 작품”이라고 기대감을 나타냈다.

또	또/MAG
내년	내년/NNG
개봉할	개봉/NNG+하/XSV+ㄹ/ETM
픽사	픽사/NNP
애니메이션	애니메이션/NNG
<인사이드	</SS+인사이드/NNP
아웃>에	아웃/NNP+>/SS+에/JKB
대해서는	대하/VV+아서/EC+는/JX
“인간의	“/SS+인간/NNG+의/JKG
내면세계를	내면세계/NNG+를/JKO
그린,	그리/VV+ㄴ/ETM+,/SP
상상력이	상상력/NNG+이/JKS
대단히	대단히/MAG
뛰어난	뛰어나/VA+ㄴ/ETM
작품”이라고	작품/NNG+”/SS+이라고/JKQ
기대감을	기대감/NNG+을/JKO
나타냈다.	나타내/VV+었/EP+다/EF+./SF


