# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.95
metadata : {}


# id : NWRW1800000048.95.1.1
‘노인 고독사’ 방지 알리미 서비스…24시간 TV 안켜지면 문자

‘노인	‘/SS+노인/NNG
서비스를	서비스/NNG+를/JKO
가입하고	가입/NNG+하/XSV+고/EC
자신의	자신/NNG+의/JKG
휴대전화에	휴대/NNG+전화/NNG+에/JKB
연동시켜	연동/NNG+시키/XSV+어/EC
두면	두/VX+면/EC
티브이가	티브이/NNG+가/JKS
켜지거나	켜/VV+어/EC+지/VX+거나/EC
24시간	24/SN+시간/NNB
넘게	넘/VV+게/EC
켜지지	켜/VV+어/EC+지/VX+지/EC
않는	않/VX+는/ETM
경우	경우/NNG
문자서비스를	문자/NNG+서비스/NNG+를/JKO
받게	받/VV+게/EC
되는	되/VV+는/ETM
식이다.	식/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000048.95.4.1
명의자 본인이나 자녀, 또는 복지계 담당자가 올레 고객센터(국번 없이 100번)를 통해 이 서비스를 신청할 수 있다.

명의자	명의자/NNG
본인이나	본인/NNG+이나/JC
자녀,	자녀/NNG+,/SP
또는	또는/MAG
복지계	복지계/NNG
담당자가	담당자/NNG+가/JKS
올레	올레/NNP
고객센터(국번	고객/NNG+센터/NNG+(/SS+국번/NNG
없이	없이/MAG
100번)를	100/SN+번/NNB+)/SS+를/JKO
통해	통하/VV+아/EC
이	이/MMD
서비스를	서비스/NNG+를/JKO
신청할	신청/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000048.95.4.2
복지 담당자가 독거 노인 등의 안부를 확인하는 데도 도움이 될 전망이다.

복지	복지/NNG
담당자가	담당자/NNG+가/JKS
독거	독거/NNG
노인	노인/NNG
등의	등/NNB+의/JKG
안부를	안부/NNG+를/JKO
확인하는	확인/NNG+하/XSV+는/ETM
데도	데/NNB+도/JX
도움이	도움/NNG+이/JKC
될	되/VV+ㄹ/ETM
전망이다.	전망/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.95.4.3
이용요금은 월 1000원(부가세 별도)이다.

이용요금은	이용/NNG+요금/NNG+은/JX
월	월/NNG
1000원(부가세	1000/SN+원/NNB+(/SS+부가세/NNG
별도)이다.	별도/NNG+)/SS+이/VCP+다/EF+./SF


# id : NWRW1800000048.95.4.4
국가유공자, 기초생활 수급대상자 등은 무료다.

국가유공자,	국가/NNG+유공자/NNG+,/SP
기초생활	기초/NNG+생활/NNG
수급대상자	수급/NNG+대상자/NNG
등은	등/NNB+은/JX
무료다.	무료/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.95.5.1
케이티는 또 개인이 티브이를 통해 자신의 중요한 일정을 알림 받을 수 있는 ‘일정알리미’ 서비스도 출시했다.

케이티는	케이티/NNP+는/JX
또	또/MAG
개인이	개인/NNG+이/JKS
티브이를	티브이/NNG+를/JKO
통해	통하/VV+아/EC
자신의	자신/NNG+의/JKG
중요한	중요/NNG+하/XSA+ㄴ/ETM
일정을	일정/NNG+을/JKO
알림	알리/VV+ㅁ/ETN
받을	받/VV+을/ETM
수	수/NNB
있는	있/VA+는/ETM
‘일정알리미’	‘/SS+일정/NNG+알리미/NNG+’/SS
서비스도	서비스/NNG+도/JX
출시했다.	출시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.95.5.2
일정을 등록해 두면 해당 시간에 티브이 화면 오른쪽 아래에 ‘알림’ 창을 띄워준다.

일정을	일정/NNG+을/JKO
등록해	등록/NNG+하/XSV+아/EC
두면	두/VX+면/EC
해당	해당/NNG
시간에	시간/NNG+에/JKB
티브이	티브이/NNG
화면	화면/NNG
오른쪽	오른쪽/NNG
아래에	아래/NNG+에/JKB
‘알림’	‘/SS+알리/VV+ㅁ/ETN+’/SS
창을	창/NNG+을/JKO
띄워준다.	띄우/VV+어/EC+주/VX+ㄴ다/EF+./SF


# id : NWRW1800000048.95.5.3
‘아이 마중 나가기’, ‘당뇨약 먹을 시간’ 등이 예다.

‘아이	‘/SS+아이/NNG
마중	마중/NNG
나가기’,	나가/VV+기/ETN+’/SS+,/SP
‘당뇨약	‘/SS+당뇨/NNG+약/NNG
먹을	먹/VV+을/ETM
시간’	시간/NNG+’/SS
등이	등/NNB+이/JKS
예다.	예/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.95.5.4
해당 서비스는 무료로, 올레티브이의 채널 721번 또는, ‘마이메뉴>일정알리미’를 통해 필요한 일정을 등록하면 된다.

해당	해당/NNG
서비스는	서비스/NNG+는/JX
무료로,	무료/NNG+로/JKB+,/SP
올레티브이의	올레티브이/NNP+의/JKG
채널	채널/NNG
721번	721/SN+번/NNB
또는,	또는/MAG+,/SP
‘마이메뉴>일정알리미’를	‘/SS+마이메뉴/NNG+>/SS+일정/NNG+알리미/NNG+’/SS+를/JKO
통해	통하/VV+아/EC
필요한	필요/NNG+하/XSA+ㄴ/ETM
일정을	일정/NNG+을/JKO
등록하면	등록/NNG+하/XSV+면/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000048.95.5.5
단 올레티브이 가입자 가운데 ‘올레티브이스마트’ 또는 ‘올레 기가 UHD tv 셋톱박스’ 설치 고객에 한해 지원된다.

단	단/MMA
올레티브이	올레티브이/NNP
가입자	가입자/NNG
가운데	가운데/NNG
‘올레티브이스마트’	‘/SS+올레티브이스마트/NNP+’/SS
또는	또는/MAG
‘올레	‘/SS+올레/NNP
기가	기가/NNP
UHD	UHD/SL
tv	tv/SL
셋톱박스’	셋톱박스/NNG+’/SS
설치	설치/NNG
고객에	고객/NNG+에/JKB
한해	한/NNG+하/XSV+아/EC
지원된다.	지원/NNG+되/XSV+ㄴ다/EF+./SF


