# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.7
metadata : {}


# id : NWRW1800000049.7.1.1
[미래로 뛰는 한국기업]‘홈 IoT’ 서비스 6개월만에 가입자 20만명 ‘훌쩍’

[미래로	[/SS+미래/NNG+로/JKB
지능형 IoT 서비스는 날씨 데이터베이스(DB)를 조회하고 외부 온도 및 미세먼지 농도 등을 고려해 에어컨이나 공기청정기의 동작을 스스로 제어할 수 있다.

지능형	지능/NNG+형/XSN
IoT	IoT/SL
서비스는	서비스/NNG+는/JX
날씨	날씨/NNG
데이터베이스(DB)를	데이터베이스/NNG+(/SS+DB/SL+)/SS+를/JKO
조회하고	조회/NNG+하/XSV+고/EC
외부	외부/NNG
온도	온도/NNG
및	및/MAG
미세먼지	미세/NNG+먼지/NNG
농도	농도/NNG
등을	등/NNB+을/JKO
고려해	고려/NNG+하/XSV+아/EC
에어컨이나	에어컨/NNG+이나/JC
공기청정기의	공기/NNG+청정기/NNG+의/JKG
동작을	동작/NNG+을/JKO
스스로	스스로/MAG
제어할	제어/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000049.7.11.1
LG유플러스는 삼성전자와 함께 실버케어(Silver care) IoT 플랫폼이 연동된 스마트홈 냉장고도 출시했다.

LG유플러스는	LG유플러스/NNP+는/JX
삼성전자와	삼성전자/NNP+와/JKB
함께	함께/MAG
실버케어(Silver	실버/NNG+케어/NNG+(/SS+Silver/SL
care)	care/SL+)/SS
IoT	IoT/SL
플랫폼이	플랫폼/NNG+이/JKS
연동된	연동/NNG+되/XSV+ㄴ/ETM
스마트홈	스마트홈/NNG
냉장고도	냉장고/NNG+도/JX
출시했다.	출시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.7.11.2
이 서비스는 혼자 사는 노인 등이 12시간 이상 냉장고의 문을 여는 것이 감지되지 않으면 위급상황이라고 판단하고 이미 등록된 사용자에게 냉장고 사용 이력이 없다는 것을 알려준다.

이	이/MMD
서비스는	서비스/NNG+는/JX
혼자	혼자/MAG
사는	살/VV+는/ETM
노인	노인/NNG
등이	등/NNB+이/JKS
12시간	12/SN+시간/NNB
이상	이상/NNG
냉장고의	냉장고/NNG+의/JKG
문을	문/NNG+을/JKO
여는	열/VV+는/ETM
것이	것/NNB+이/JKS
감지되지	감지/NNG+되/XSV+지/EC
않으면	않/VX+으면/EC
위급상황이라고	위급/NNG+상황/NNG+이/VCP+라고/EC
판단하고	판단/NNG+하/XSV+고/EC
이미	이미/MAG
등록된	등록/NNG+되/XSV+ㄴ/ETM
사용자에게	사용자/NNG+에게/JKB
냉장고	냉장고/NNG
사용	사용/NNG
이력이	이력/NNG+이/JKS
없다는	없/VA+다는/ETM
것을	것/NNB+을/JKO
알려준다.	알리/VV+어/EC+주/VX+ㄴ다/EF+./SF


# id : NWRW1800000049.7.11.3
음식이나 물 등의 음료를 섭취하기 위해 12시간 내에 적어도 한 번은 냉장고 문을 열어야 하는 이용자의 행태를 활용한 기능이다.

음식이나	음식/NNG+이나/JC
물	물/NNG
등의	등/NNB+의/JKG
음료를	음료/NNG+를/JKO
섭취하기	섭취/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
12시간	12/SN+시간/NNB
내에	내/NNB+에/JKB
적어도	적어도/MAG
한	한/MMN
번은	번/NNB+은/JX
냉장고	냉장고/NNG
문을	문/NNG+을/JKO
열어야	열/VV+어야/EC
하는	하/VX+는/ETM
이용자의	이용자/NNG+의/JKG
행태를	행태/NNG+를/JKO
활용한	활용/NNG+하/XSV+ㄴ/ETM
기능이다.	기능/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.7.11.4
혼자 사시는 부모님이나 홀몸노인 등 관심과 보살핌이 필요한 실버 계층에 맞춘 서비스다.

혼자	혼자/MAG
사시는	살/VV+시/EP+는/ETM
부모님이나	부모/NNG+님/XSN+이나/JC
홀몸노인	홀몸/NNG+노인/NNG
등	등/NNB
관심과	관심/NNG+과/JC
보살핌이	보살핌/NNG+이/JKS
필요한	필요/NNG+하/XSA+ㄴ/ETM
실버	실버/NNG
계층에	계층/NNG+에/JKB
맞춘	맞추/VV+ㄴ/ETM
서비스다.	서비스/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.7.11.5
향후에는 이러한 이용자의 행태를 분석한 지능형 서비스를 순차적으로 출시할 계획이다.

향후에는	향후/NNG+에/JKB+는/JX
이러한	이러하/VA+ㄴ/ETM
이용자의	이용자/NNG+의/JKG
행태를	행태/NNG+를/JKO
분석한	분석/NNG+하/XSV+ㄴ/ETM
지능형	지능/NNG+형/XSN
서비스를	서비스/NNG+를/JKO
순차적으로	순차/NNG+적/XSN+으로/JKB
출시할	출시/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


