# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.372
metadata : {}


# id : NWRW1800000040.372.1.1
최문기, 자녀에 9억원 불법증여 의혹

최문기,	최문기/NNP+,/SP
한국전자통신연구원(ETRI)	한국전자통신연구원/NNP+(/SS+ETRI/SL+)/SS
원장으로	원장/NNG+으로/JKB
재직한	재직/NNG+하/XSV+ㄴ/ETM
2009년	2009/SN+년/NNB
재산신고를	재산/NNG+신고/NNG+를/JKO
보면,	보/VV+면/EC+,/SP
연간	연간/NNG
재산증가액이	재산/NNG+증가액/NNG+이/JKS
5억1000만원이다.	5/SN+억/NR+1000/SN+만/NR+원/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000040.372.7.2
근로소득원천징수영수증에 기록된 재산증가액 10억5000만원에 견줘 5억4000만원이 적다.

근로소득원천징수영수증에	근로/NNG+소득/NNG+원천/NNG+징수/NNG+영수증/NNG+에/JKB
기록된	기록/NNG+되/XSV+ㄴ/ETM
재산증가액	재산/NNG+증가액/NNG
10억5000만원에	10/SN+억/NR+5000/SN+만/NR+원/NNB+에/JKB
견줘	견주/VV+어/EC
5억4000만원이	5/SN+억/NR+4000/SN+만/NR+원/NNB+이/JKS
적다.	적/VA+다/EF+./SF


# id : NWRW1800000040.372.7.3
또 올해 국회 인사청문회를 앞두고 제출한 재산내역을 보면, 2009년 이후 4년간 1600만원의 재산이 줄었다.

또	또/MAG
올해	올해/NNG
국회	국회/NNG
인사청문회를	인사/NNG+청문회/NNG+를/JKO
앞두고	앞두/VV+고/EC
제출한	제출/NNG+하/XSV+ㄴ/ETM
재산내역을	재산/NNG+내역/NNG+을/JKO
보면,	보/VV+면/EC+,/SP
2009년	2009/SN+년/NNB
이후	이후/NNG
4년간	4/SN+년/NNB+간/XSN
1600만원의	1600/SN+만/NR+원/NNB+의/JKG
재산이	재산/NNG+이/JKS
줄었다.	줄/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.372.7.4
그러나 근로소득원천징수영수증을 보면, 4년간 재산증가액이 3억5000만원이다.

그러나	그러나/MAJ
근로소득원천징수영수증을	근로/NNG+소득/NNG+원천/NNG+징수/NNG+영수증/NNG+을/JKO
보면,	보/VV+면/EC+,/SP
4년간	4/SN+년/NNB+간/XSN
재산증가액이	재산/NNG+증가액/NNG+이/JKS
3억5000만원이다.	3/SN+억/NR+5000/SN+만/NR+원/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000040.372.7.5
신고한 재산내역과 근로소득원천징수영수증상의 재산증가액 차액이 3억5000만원인 셈이다.

신고한	신고/NNG+하/XSV+ㄴ/ETM
재산내역과	재산/NNG+내역/NNG+과/JC
근로소득원천징수영수증상의	근로/NNG+소득/NNG+원천/NNG+징수/NNG+영수증/NNG+상/XSN+의/JKG
재산증가액	재산/NNG+증가액/NNG
차액이	차액/NNG+이/JKS
3억5000만원인	3/SN+억/NR+5000/SN+만/NR+원/NNB+이/VCP+ㄴ/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000040.372.8.1
결국 2008년 이후 최근까지 실제 재산증가액은 14억여원인데, 5억여원의 증가분만 신고하고 나머지 9억원은 자녀에게 불법 증여했을 가능성이 높다는 게 배 의원 쪽의 설명이다.

결국	결국/NNG
2008년	2008/SN+년/NNB
이후	이후/NNG
최근까지	최근/NNG+까지/JX
실제	실제/NNG
재산증가액은	재산/NNG+증가액/NNG+은/JX
14억여원인데,	14/SN+억/NR+여/XSN+원/NNB+이/VCP+ㄴ데/EC+,/SP
5억여원의	5/SN+억/NR+여/XSN+원/NNB+의/JKG
증가분만	증가/NNG+분/XSN+만/JX
신고하고	신고/NNG+하/XSV+고/EC
나머지	나머지/NNG
9억원은	9/SN+억/NR+원/NNB+은/JX
자녀에게	자녀/NNG+에게/JKB
불법	불법/NNG
증여했을	증여/NNG+하/XSV+았/EP+을/ETM
가능성이	가능/NNG+성/XSN+이/JKS
높다는	높/VA+다는/ETM
게	거/NNB+이/JKS
배	배/NNP
의원	의원/NNG
쪽의	쪽/NNB+의/JKG
설명이다.	설명/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.372.8.2
배 의원은 “최 후보자는 카이스트 교수 등으로 재직하면서 1억원 이상의 연봉을 받았고, 월계동 상가에서 나오는 임대소득도 매년 5000여만원씩 발생했다. 이를 부동산 구입이나 주식 매입에 사용하지도 않았는데 재산이 줄어들었다면 자녀들에게 불법 증여했을 가능성이 크다”고 주장했다.

배	배/NNP
의원은	의원/NNG+은/JX
“최	“/SS+최/NNP
후보자는	후보자/NNG+는/JX
카이스트	카이스트/NNP
교수	교수/NNG
등으로	등/NNB+으로/JKB
재직하면서	재직/NNG+하/XSV+면서/EC
1억원	1/SN+억/NR+원/NNB
이상의	이상/NNG+의/JKG
연봉을	연봉/NNG+을/JKO
받았고,	받/VV+았/EP+고/EC+,/SP
월계동	월계동/NNP
상가에서	상가/NNG+에서/JKB
나오는	나오/VV+는/ETM
임대소득도	임대/NNG+소득/NNG+도/JX
매년	매년/MAG
5000여만원씩	5000/SN+여/XSN+만/NR+원/NNB+씩/XSN
발생했다.	발생/NNG+하/XSV+았/EP+다/EF+./SF
이를	이/NP+를/JKO
부동산	부동산/NNG
구입이나	구입/NNG+이나/JC
주식	주식/NNG
매입에	매입/NNG+에/JKB
사용하지도	사용/NNG+하/XSV+지/EC+도/JX
않았는데	않/VX+았/EP+는데/EC
재산이	재산/NNG+이/JKS
줄어들었다면	줄어들/VV+었/EP+다면/EC
자녀들에게	자녀/NNG+들/XSN+에게/JKB
불법	불법/NNG
증여했을	증여/NNG+하/XSV+았/EP+을/ETM
가능성이	가능/NNG+성/XSN+이/JKS
크다”고	크/VA+다/EF+”/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.372.9.1
최 후보자의 장남은 2003년 7월 미국으로 유학가 지난해 5월에야 미국에서 취업하고 결혼해 살고 있다.

최	최/NNP
후보자의	후보자/NNG+의/JKG
장남은	장남/NNG+은/JX
2003년	2003/SN+년/NNB
7월	7/SN+월/NNB
미국으로	미국/NNP+으로/JKB
유학가	유학/NNG+가/VV+아/EC
지난해	지난해/NNG
5월에야	5/SN+월/NNB+에/JKB+야/JX
미국에서	미국/NNP+에서/JKB
취업하고	취업/NNG+하/XSV+고/EC
결혼해	결혼/NNG+하/XSV+아/EC
살고	살/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000040.372.9.2
차남은 2003~2007년 미국 유학을 다녀온 뒤 2009년 8월 취업했다.

차남은	차남/NNG+은/JX
2003~2007년	2003/SN+~/SO+2007/SN+년/NNB
미국	미국/NNP
유학을	유학/NNG+을/JKO
다녀온	다녀오/VV+ㄴ/ETM
뒤	뒤/NNG
2009년	2009/SN+년/NNB
8월	8/SN+월/NNB
취업했다.	취업/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.372.9.3
배 의원은 “차남은 연봉 4600만원을 받는 대리 직급이지만 올해 3월 서울 관악구 25평형 아파트를 3억1000만원에 구입했다. 최 후보자의 사라진 재산 가운데 상당액은 장남의 유학비용과 더불어 차남의 아파트 구입에 쓰였을 것으로 본다”고 말했다.

배	배/NNP
의원은	의원/NNG+은/JX
“차남은	“/SS+차남/NNG+은/JX
연봉	연봉/NNG
4600만원을	4600/SN+만/NR+원/NNB+을/JKO
받는	받/VV+는/ETM
대리	대리/NNG
직급이지만	직급/NNG+이/VCP+지만/EC
올해	올해/NNG
3월	3/SN+월/NNB
서울	서울/NNP
관악구	관악구/NNP
25평형	25/SN+평/NNB+형/XSN
아파트를	아파트/NNG+를/JKO
3억1000만원에	3/SN+억/NR+1000/SN+만/NR+원/NNB+에/JKB
구입했다.	구입/NNG+하/XSV+았/EP+다/EF+./SF
최	최/NNP
후보자의	후보자/NNG+의/JKG
사라진	사라지/VV+ㄴ/ETM
재산	재산/NNG
가운데	가운데/NNG
상당액은	상당액/NNG+은/JX
장남의	장남/NNG+의/JKG
유학비용과	유학/NNG+비용/NNG+과/JKB
더불어	더불/VV+어/EC
차남의	차남/NNG+의/JKG
아파트	아파트/NNG
구입에	구입/NNG+에/JKB
쓰였을	쓰이/VV+었/EP+을/ETM
것으로	것/NNB+으로/JKB
본다”고	보/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.372.9.4
하지만 최 후보자는 두 아들의 재산내역 공개는 거부했다.

하지만	하지만/MAJ
최	최/NNP
후보자는	후보자/NNG+는/JX
두	두/MMN
아들의	아들/NNG+의/JKG
재산내역	재산/NNG+내역/NNG
공개는	공개/NNG+는/JX
거부했다.	거부/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.372.9.5
이에 대해 최 후보자 쪽은 “법이 규정한 범위 안에서 충실하게 자료를 제출했다. 독립 생계를 유지하는 자녀들의 재산내역은 의무 공개 사안이 아니다. 청문회 당일(4월1일) 의원들의 질의에 충실하게 답하겠다”고 말했다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
최	최/NNP
후보자	후보자/NNG
쪽은	쪽/NNB+은/JX
“법이	“/SS+법/NNG+이/JKS
규정한	규정/NNG+하/XSV+ㄴ/ETM
범위	범위/NNG
안에서	안/NNG+에서/JKB
충실하게	충실/NNG+하/XSA+게/EC
자료를	자료/NNG+를/JKO
제출했다.	제출/NNG+하/XSV+았/EP+다/EF+./SF
독립	독립/NNG
생계를	생계/NNG+를/JKO
유지하는	유지/NNG+하/XSV+는/ETM
자녀들의	자녀/NNG+들/XSN+의/JKG
재산내역은	재산/NNG+내역/NNG+은/JX
의무	의무/NNG
공개	공개/NNG
사안이	사안/NNG+이/JKC
아니다.	아니/VCN+다/EF+./SF
청문회	청문회/NNG
당일(4월1일)	당일/NNG+(/SS+4/SN+월/NNB+1/SN+일/NNB+)/SS
의원들의	의원/NNG+들/XSN+의/JKG
질의에	질의/NNG+에/JKB
답하겠다”고	답/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


