# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.195
metadata : {}


# id : NWRW1800000046.195.1.1
개는 끔찍이 아끼면서 아이는 학대… 11살 소녀가 16㎏

개는	개/NNG+는/JX
들여다보며	들여다보/VV+며/EC
서성거리고	서성거리/VV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000046.195.4.3
아이는 영하의 추운 날씨인데도 티셔츠에 반바지를 입고 양말도 신지 않은 맨발이었다.

아이는	아이/NNG+는/JX
영하의	영하/NNG+의/JKG
추운	춥/VA+ㄴ/ETM
날씨인데도	날씨/NNG+이/VCP+ㄴ데/EC+도/JX
티셔츠에	티셔츠/NNG+에/JKB
반바지를	반바지/NNG+를/JKO
입고	입/VV+고/EC
양말도	양말/NNG+도/JX
신지	신/VV+지/EC
않은	않/VX+은/ETM
맨발이었다.	맨/XPN+발/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.195.4.4
팔다리 곳곳에 시퍼런 멍자국이 있었다.

팔다리	팔다리/NNG
곳곳에	곳곳/NNG+에/JKB
시퍼런	시퍼렇/VA+ㄴ/ETM
멍자국이	멍/NNG+자국/NNG+이/JKS
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000046.195.5.1
경찰이 조사해 보니 인근 다세대 주택 2층에 사는 이 아이의 나이는 11살이었다.

경찰이	경찰/NNG+이/JKS
조사해	조사/NNG+하/XSV+아/EC
보니	보/VX+니/EC
인근	인근/NNG
다세대	다세대/NNG
주택	주택/NNG
2층에	2/SN+층/NNG+에/JKB
사는	살/VV+는/ETM
이	이/MMD
아이의	아이/NNG+의/JKG
나이는	나이/NNG+는/JX
11살이었다.	11/SN+살/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.195.5.2
그런데 키는 120㎝, 몸무게는 16㎏에 불과할 정도로 몹시 야위어 있었다.

그런데	그런데/MAJ
키는	키/NNG+는/JX
120㎝,	120/SN+㎝/SW+,/SP
몸무게는	몸무게/NNG+는/JX
16㎏에	16/SN+㎏/SW+에/JKB
불과할	불과/MAG+하/XSA+ㄹ/ETM
정도로	정도/NNG+로/JKB
몹시	몹시/MAG
야위어	야위/VV+어/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000046.195.5.3
갈비뼈에도 금이 가 있었다.

갈비뼈에도	갈비뼈/NNG+에/JKB+도/JX
금이	금/NNG+이/JKS
가	가/VV+아/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000046.195.6.1
아이는 경찰에서 "배가 너무 고파 집 세탁실에서 가스 배관을 타고 도망쳤다"면서 "집에는 연락하지 말아달라"고 했다.

아이는	아이/NNG+는/JX
경찰에서	경찰/NNG+에서/JKB
"배가	"/SS+배/NNG+가/JKS
너무	너무/MAG
고파	고프/VA+아/EC
집	집/NNG
세탁실에서	세탁실/NNG+에서/JKB
가스	가스/NNG
배관을	배관/NNG+을/JKO
타고	타/VV+고/EC
도망쳤다"면서	도망치/VV+었/EP+다/EF+"/SS+면서/EC
"집에는	"/SS+집/NNG+에/JKB+는/JX
연락하지	연락/NNG+하/XSV+지/EC
말아달라"고	말/VX+아/EC+달/VX+라/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.195.6.2
"아빠는 먹는 시간, 잠자는 시간 말고는 거의 컴퓨터 앞에 앉아 게임만 했어요.

"아빠는	"/SS+아빠/NNG+는/JX
먹는	먹/VV+는/ETM
시간,	시간/NNG+,/SP
잠자는	잠자/VV+는/ETM
시간	시간/NNG
말고는	말/VV+고/EC+는/JX
거의	거의/MAG
컴퓨터	컴퓨터/NNG
앞에	앞/NNG+에/JKB
앉아	앉/VV+아/EC
게임만	게임/NNG+만/JX
했어요.	하/VV+았/EP+어요/EF+./SF


# id : NWRW1800000046.195.6.3
수돗물만 먹으니까 배가 너무 고파서 빵이라도 훔치려고…."

수돗물만	수돗물/NNG+만/JX
먹으니까	먹/VV+으니까/EC
배가	배/NNG+가/JKS
너무	너무/MAG
고파서	고프/VA+아서/EC
빵이라도	빵/NNG+이라도/JX
훔치려고…."	훔치/VV+려고/EC+…/SE+./SF+"/SS


# id : NWRW1800000046.195.7.1
경찰 조사 결과 아이의 아버지는 일찌감치 아이 엄마와 이혼한 뒤 6년 전부터 동거녀와 살았다.

경찰	경찰/NNG
조사	조사/NNG
결과	결과/NNG
아이의	아이/NNG+의/JKG
아버지는	아버지/NNG+는/JX
일찌감치	일찌감치/MAG
아이	아이/NNG
엄마와	엄마/NNG+와/JKB
이혼한	이혼/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
6년	6/SN+년/NNB
전부터	전/NNG+부터/JX
동거녀와	동거녀/NNG+와/JKB
살았다.	살/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.195.7.2
특별한 직업 없이 매일 인터넷 게임으로 소일했고, 돈은 동거녀가 벌었다.

특별한	특별/NNG+하/XSA+ㄴ/ETM
직업	직업/NNG
없이	없이/MAG
매일	매일/MAG
인터넷	인터넷/NNG
게임으로	게임/NNG+으로/JKB
소일했고,	소일/NNG+하/XSV+았/EP+고/EC+,/SP
돈은	돈/NNG+은/JX
동거녀가	동거녀/NNG+가/JKS
벌었다.	벌/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.195.7.3
집에는 동거녀의 친구와 강아지도 함께 살았는데, 동네 주민들은 이들이 집에서 키우는 강아지를 끔찍이 아꼈다고 증언했다.

집에는	집/NNG+에/JKB+는/JX
동거녀의	동거녀/NNG+의/JKG
친구와	친구/NNG+와/JC
강아지도	강아지/NNG+도/JX
함께	함께/MAG
살았는데,	살/VV+았/EP+는데/EC+,/SP
동네	동네/NNG
주민들은	주민/NNG+들/XSN+은/JX
이들이	이/NP+들/XSN+이/JKS
집에서	집/NNG+에서/JKB
키우는	키우/VV+는/ETM
강아지를	강아지/NNG+를/JKO
끔찍이	끔찍이/MAG
아꼈다고	아끼/VV+었/EP+다고/EC
증언했다.	증언/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.195.8.1
아이 아버지는 아이가 초등학교 2학년 1학기를 마친 2013년 경기도 부천시에서 지금의 집으로 이사를 온 뒤부터는 아이를 학교에 보내지 않고 음식도 제대로 주지 않았다고 경찰은 말했다.

아이	아이/NNG
아버지는	아버지/NNG+는/JX
아이가	아이/NNG+가/JKS
초등학교	초등학교/NNG
2학년	2/SN+학년/NNG
1학기를	1/SN+학기/NNG+를/JKO
마친	마치/VV+ㄴ/ETM
2013년	2013/SN+년/NNB
경기도	경기도/NNP
부천시에서	부천시/NNP+에서/JKB
지금의	지금/NNG+의/JKG
집으로	집/NNG+으로/JKB
이사를	이사/NNG+를/JKO
온	오/VV+ㄴ/ETM
뒤부터는	뒤/NNG+부터/JX+는/JX
아이를	아이/NNG+를/JKO
학교에	학교/NNG+에/JKB
보내지	보내/VV+지/EC
않고	않/VX+고/EC
음식도	음식/NNG+도/JX
제대로	제대로/MAG
주지	주/VV+지/EC
않았다고	않/VX+았/EP+다고/EC
경찰은	경찰/NNG+은/JX
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.195.8.2
아이 아버지는 아이가 냉장고라도 뒤지면 주먹이나 파이프 등으로 마구 때린 것으로 조사됐다.

아이	아이/NNG
아버지는	아버지/NNG+는/JX
아이가	아이/NNG+가/JKS
냉장고라도	냉장고/NNG+이/VCP+라도/EC
뒤지면	뒤지/VV+면/EC
주먹이나	주먹/NNG+이나/JC
파이프	파이프/NNG
등으로	등/NNB+으로/JKB
마구	마구/MAG
때린	때리/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
조사됐다.	조사/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000046.195.9.1
아이 아버지와 동거녀 등은 아이가 집에서 도망친 사실을 알고 달아났다가 경찰에 붙잡혔다.

아이	아이/NNG
아버지와	아버지/NNG+와/JC
동거녀	동거녀/NNG
등은	등/NNB+은/JX
아이가	아이/NNG+가/JKS
집에서	집/NNG+에서/JKB
도망친	도망치/VV+ㄴ/ETM
사실을	사실/NNG+을/JKO
알고	알/VV+고/EC
달아났다가	달아나/VV+았/EP+다가/EC
경찰에	경찰/NNG+에/JKB
붙잡혔다.	붙잡히/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.195.9.2
아이 아버지는 경찰에서 "훈육 차원에서 때렸을 뿐"이라고 진술한 것으로 알려졌다.

아이	아이/NNG
아버지는	아버지/NNG+는/JX
경찰에서	경찰/NNG+에서/JKB
"훈육	"/SS+훈육/NNG
차원에서	차원/NNG+에서/JKB
때렸을	때리/VV+었/EP+을/ETM
뿐"이라고	뿐/NNB+"/SS+이라고/JKQ
진술한	진술/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


