# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.304
metadata : {}


# id : NWRW1800000044.304.1.1
[아침 햇발] 더 커진 김기춘의 힘 / 임석규

[아침	[/SS+아침/NNG
김기춘 실장을 정점으로 하는 율사 출신과 남재준, 김장수, 김관진 등 육사 출신 사이에 미묘한 알력이 있었던 게 사실이다.

김기춘	김기춘/NNP
실장을	실장/NNG+을/JKO
정점으로	정점/NNG+으로/JKB
하는	하/VV+는/ETM
율사	율사/NNG
출신과	출신/NNG+과/JC
남재준,	남재준/NNP+,/SP
김장수,	김장수/NNP+,/SP
김관진	김관진/NNP
등	등/NNB
육사	육사/NNP
출신	출신/NNG
사이에	사이/NNG+에/JKB
미묘한	미묘하/VA+ㄴ/ETM
알력이	알력/NNG+이/JKS
있었던	있/VA+었/EP+던/ETM
게	거/NNB+이/JKS
사실이다.	사실/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.304.4.3
박 대통령은 세월호 사고 하루 전인 4월15일 국무회의에서 국가안전보장회의(NSC) 상임위원회에 김기춘 실장이 정규 멤버로 참석하도록 하는 내용의 즉석 안건을 처리한 바 있다.

박	박/NNP
대통령은	대통령/NNG+은/JX
세월호	세월호/NNP
사고	사고/NNG
하루	하루/NNG
전인	전/NNG+이/VCP+ㄴ/ETM
4월15일	4/SN+월/NNB+15/SN+일/NNB
국무회의에서	국무/NNG+회의/NNG+에서/JKB
국가안전보장회의(NSC)	국가안전보장회의/NNP+(/SS+NSC/SL+)/SS
상임위원회에	상임/NNG+위원회/NNG+에/JKB
김기춘	김기춘/NNP
실장이	실장/NNG+이/JKS
정규	정규/NNG
멤버로	멤버/NNG+로/JKB
참석하도록	참석/NNG+하/XSV+도록/EC
하는	하/VX+는/ETM
내용의	내용/NNG+의/JKG
즉석	즉석/NNG
안건을	안건/NNG+을/JKO
처리한	처리/NNG+하/XSV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000044.304.4.4
당시 김기춘 실장 쪽이 ‘육사라인’을 견제한 결과란 해석이 많았다.

당시	당시/NNG
김기춘	김기춘/NNP
실장	실장/NNG
쪽이	쪽/NNB+이/JKS
‘육사라인’을	‘/SS+육사/NNP+라인/NNG+’/SS+을/JKO
견제한	견제/NNG+하/XSV+ㄴ/ETM
결과란	결과/NNG+이/VCP+란/ETM
해석이	해석/NNG+이/JKS
많았다.	많/VA+았/EP+다/EF+./SF


# id : NWRW1800000044.304.5.1
대통령 주변의 측근임을 내세워 위세를 떨쳐온 청와대의 ‘환관권력’ 또한 건재함을 과시했다.

대통령	대통령/NNG
주변의	주변/NNG+의/JKG
측근임을	측근/NNG+이/VCP+ㅁ/ETN+을/JKO
내세워	내세우/VV+어/EC
위세를	위세/NNG+를/JKO
떨쳐온	떨치/VV+어/EC+오/VX+ㄴ/ETM
청와대의	청와대/NNP+의/JKG
‘환관권력’	‘/SS+환관/NNG+권력/NNG+’/SS
또한	또한/MAG
건재함을	건재/NNG+하/XSA+ㅁ/ETN+을/JKO
과시했다.	과시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.304.5.2
세월호 사고 이후 휘몰아친 거친 인사쇄신 파고를 무사히 넘기는 분위기다.

세월호	세월호/NNP
사고	사고/NNG
이후	이후/NNG
휘몰아친	휘몰아치/VV+ㄴ/ETM
거친	거칠/VA+ㄴ/ETM
인사쇄신	인사/NNG+쇄신/NNG
파고를	파고/NNG+를/JKO
무사히	무사히/MAG
넘기는	넘기/VV+는/ETM
분위기다.	분위기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.304.5.3
이정현 홍보수석과 ‘문고리 3인방’으로 불리는 이재만 총무비서관, 정호성 제1부속비서관, 안봉근 제2부속비서관이 이 그룹에 속한다.

이정현	이정현/NNP
홍보수석과	홍보/NNG+수석/NNG+과/JC
‘문고리	‘/SS+문고리/NNG
3인방’으로	3인방/NNG+’/SS+으로/JKB
불리는	불리/VV+는/ETM
이재만	이재만/NNP
총무비서관,	총무/NNG+비서관/NNG+,/SP
정호성	정호성/NNP
제1부속비서관,	제/XPN+1/SN+부속/NNG+비서관/NNG+,/SP
안봉근	안봉근/NNP
제2부속비서관이	제/XPN+2/SN+부속/NNG+비서관/NNG+이/JKS
이	이/MMD
그룹에	그룹/NNG+에/JKB
속한다.	속하/VV+ㄴ다/EF+./SF


# id : NWRW1800000044.304.5.4
이들은 청와대의 또다른 중핵으로 꼽힌다.

이들은	이/NP+들/XSN+은/JX
청와대의	청와대/NNP+의/JKG
또다른	또/MAG+다른/MMD
중핵으로	중핵/NNG+으로/JKB
꼽힌다.	꼽히/VV+ㄴ다/EF+./SF


# id : NWRW1800000044.304.5.5
김기춘 라인과 암투를 벌인다는 소문이 나돌 정도로 힘이 막강하다.

김기춘	김기춘/NNP
라인과	라인/NNG+과/JKB
암투를	암투/NNG+를/JKO
벌인다는	벌이/VV+ㄴ다는/ETM
소문이	소문/NNG+이/JKS
나돌	나돌/VV+ㄹ/ETM
정도로	정도/NNG+로/JKB
힘이	힘/NNG+이/JKS
막강하다.	막강/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000044.304.5.6
이 그룹 또한 세월호 책임론에서 무관하다고 할 수 없다.

이	이/MMD
그룹	그룹/NNG
또한	또한/MAG
세월호	세월호/NNP
책임론에서	책임/NNG+론/XSN+에서/JKB
무관하다고	무관하/VA+다고/EC
할	하/VV+ㄹ/ETM
수	수/NNB
없다.	없/VA+다/EF+./SF


# id : NWRW1800000044.304.5.7
이정현 홍보수석이 <한국방송>(KBS) 보도와 관련해 ‘협조 요청’을 했다는 사실은 정홍원 국무총리가 국회에서 밝힌 내용이다.

이정현	이정현/NNP
홍보수석이	홍보/NNG+수석/NNG+이/JKS
<한국방송>(KBS)	</SS+한국방송/NNP+>/SS+(/SS+KBS/SL+)/SS
보도와	보도/NNG+와/JKB
관련해	관련/NNG+하/XSV+아/EC
‘협조	‘/SS+협조/NNG
요청’을	요청/NNG+’/SS+을/JKO
했다는	하/VV+았/EP+다는/ETM
사실은	사실/NNG+은/JX
정홍원	정홍원/NNP
국무총리가	국무총리/NNG+가/JKS
국회에서	국회/NNG+에서/JKB
밝힌	밝히/VV+ㄴ/ETM
내용이다.	내용/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.304.5.8
말이 ‘협조 요청’이지 그것이 ‘보도지침’과 다를 게 없다는 것을 모를 사람은 별로 없다.

말이	말/NNG+이/JKS
‘협조	‘/SS+협조/NNG
요청’이지	요청/NNG+’/SS+이/VCP+지/EC
그것이	그것/NP+이/JKS
‘보도지침’과	‘/SS+보도/NNG+지침/NNG+’/SS+과/JKB
다를	다르/VA+ㄹ/ETM
게	거/NNB+이/JKS
없다는	없/VA+다는/ETM
것을	것/NNB+을/JKO
모를	모르/VV+ㄹ/ETM
사람은	사람/NNG+은/JX
별로	별로/MAG
없다.	없/VA+다/EF+./SF


# id : NWRW1800000044.304.6.1
대통령이 감당해야 할 책임의 상당 부분은 청와대 참모진 몫이다.

대통령이	대통령/NNG+이/JKS
감당해야	감당/NNG+하/XSV+아야/EC
할	하/VX+ㄹ/ETM
책임의	책임/NNG+의/JKG
상당	상당/NNG
부분은	부분/NNG+은/JX
청와대	청와대/NNP
참모진	참모진/NNG
몫이다.	몫/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.304.6.2
제대로 된 청와대 참모진이라면 사고 이후 오랜 시간이 흐를 때까지 기초적 상황조차 파악하지 못한 ‘무능한 대통령’을 만들지는 않았을 것이다.

제대로	제대로/MAG
된	되/VV+ㄴ/ETM
청와대	청와대/NNP
참모진이라면	참모진/NNG+이/VCP+라면/EC
사고	사고/NNG
이후	이후/NNG
오랜	오랜/MMA
시간이	시간/NNG+이/JKS
흐를	흐르/VV+ㄹ/ETM
때까지	때/NNG+까지/JX
기초적	기초/NNG+적/XSN
상황조차	상황/NNG+조차/JX
파악하지	파악/NNG+하/XSV+지/EC
못한	못하/VX+ㄴ/ETM
‘무능한	‘/SS+무능/NNG+하/XSA+ㄴ/ETM
대통령’을	대통령/NNG+’/SS+을/JKO
만들지는	만들/VV+지/EC+는/JX
않았을	않/VX+았/EP+을/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000044.304.6.3
박 대통령의 무딘 상황 인식이 구조의 늑장과 수습의 부실로 이어졌음을 부인하긴 어렵다.

박	박/NNP
대통령의	대통령/NNG+의/JKG
무딘	무디/VA+ㄴ/ETM
상황	상황/NNG
인식이	인식/NNG+이/JKS
구조의	구조/NNG+의/JKG
늑장과	늑장/NNG+과/JC
수습의	수습/NNG+의/JKG
부실로	부실/NNG+로/JKB
이어졌음을	이어지/VV+었/EP+음/ETN+을/JKO
부인하긴	부인/NNG+하/XSV+기/ETN+ㄴ/JX
어렵다.	어렵/VA+다/EF+./SF


# id : NWRW1800000044.304.6.4
박 대통령이 청와대 참모진을 대폭 개편하지 않고서 세월호 사고의 책임에서 벗어나긴 어렵다.

박	박/NNP
대통령이	대통령/NNG+이/JKS
청와대	청와대/NNP
참모진을	참모진/NNG+을/JKO
대폭	대폭/MAG
개편하지	개편/NNG+하/XSV+지/EC
않고서	않/VX+고서/EC
세월호	세월호/NNP
사고의	사고/NNG+의/JKG
책임에서	책임/NNG+에서/JKB
벗어나긴	벗어나/VV+기/ETN+ㄴ/JX
어렵다.	어렵/VA+다/EF+./SF


# id : NWRW1800000044.304.7.1
‘안대희 총리 발탁-김기춘 실장 유임’이 뜻하는 바는 명확하다.

‘안대희	‘/SS+안대희/NNP
총리	총리/NNG
발탁-김기춘	발탁/NNG+-/SO+김기춘/NNP
실장	실장/NNG
유임’이	유임/NNG+’/SS+이/JKS
뜻하는	뜻/NNG+하/XSV+는/ETM
바는	바/NNB+는/JX
명확하다.	명확하/VA+다/EF+./SF


# id : NWRW1800000044.304.7.2
앞으로도 변함없이 청와대 참모진이 국정운영 기조를 좌우할 것이란 신호다.

앞으로도	앞/NNG+으로/JKB+도/JX
변함없이	변함없이/MAG
청와대	청와대/NNP
참모진이	참모진/NNG+이/JKS
국정운영	국정/NNG+운영/NNG
기조를	기조/NNG+를/JKO
좌우할	좌우/NNG+하/XSV+ㄹ/ETM
것이란	것/NNB+이/VCP+란/ETM
신호다.	신호/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.304.7.3
김장수 실장이 경질된 것을 제외하고 청와대 참모진은 여전히 강성하다.

김장수	김장수/NNP
실장이	실장/NNG+이/JKS
경질된	경질/NNG+되/XSV+ㄴ/ETM
것을	것/NNB+을/JKO
제외하고	제외/NNG+하/XSV+고/EC
청와대	청와대/NNP
참모진은	참모진/NNG+은/JX
여전히	여전히/MAG
강성하다.	강성하/VA+다/EF+./SF


# id : NWRW1800000044.304.7.4
‘기춘대원군’의 힘은 더욱 커졌고 환관권력의 위상도 여전해 보인다.

‘기춘대원군’의	‘/SS+기춘/NNP+대원군/NNG+’/SS+의/JKG
힘은	힘/NNG+은/JX
더욱	더욱/MAG
커졌고	커지/VV+었/EP+고/EC
환관권력의	환관/NNG+권력/NNG+의/JKG
위상도	위상/NNG+도/JX
여전해	여전하/VA+아/EC
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000044.304.7.5
박 대통령은 청와대 참모진이 깔아놓은 레일을 따라 움직이는 기관차라고 해도 과언이 아니다.

박	박/NNP
대통령은	대통령/NNG+은/JX
청와대	청와대/NNP
참모진이	참모진/NNG+이/JKS
깔아놓은	깔/VV+아/EC+놓/VX+은/ETM
레일을	레일/NNG+을/JKO
따라	따르/VV+아/EC
움직이는	움직이/VV+는/ETM
기관차라고	기관차/NNG+이/VCP+라고/EC
해도	하/VV+아도/EC
과언이	과언/NNG+이/JKC
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000044.304.7.6
레일이 깔리지 않은 곳에서 기관차가 할 수 있는 일은 별로 없다.

레일이	레일/NNG+이/JKS
깔리지	깔리/VV+지/EC
않은	않/VX+은/ETM
곳에서	곳/NNG+에서/JKB
기관차가	기관차/NNG+가/JKS
할	하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
일은	일/NNG+은/JX
별로	별로/MAG
없다.	없/VA+다/EF+./SF


# id : NWRW1800000044.304.7.7
박 대통령은 앞으로도 김기춘 라인과 환관권력이 깔아놓은 국정운영 레일 위를 변함없이 달릴 것이다.

박	박/NNP
대통령은	대통령/NNG+은/JX
앞으로도	앞/NNG+으로/JKB+도/JX
김기춘	김기춘/NNP
라인과	라인/NNG+과/JC
환관권력이	환관/NNG+권력/NNG+이/JKS
깔아놓은	깔/VV+아/EC+놓/VX+은/ETM
국정운영	국정/NNG+운영/NNG
레일	레일/NNG
위를	위/NNG+를/JKO
변함없이	변함없이/MAG
달릴	달리/VV+ㄹ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000044.304.7.8
내각 위에 군림해온 청와대 참모진의 위력은 여전할 테고, 새누리당도 청와대의 뜻을 쉽게 거역할 수 없을 것 같다.

내각	내각/NNG
위에	위/NNG+에/JKB
군림해온	군림/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
청와대	청와대/NNP
참모진의	참모진/NNG+의/JKG
위력은	위력/NNG+은/JX
여전할	여전하/VA+ㄹ/ETM
테고,	터/NNB+이/VCP+고/EC+,/SP
새누리당도	새누리당/NNP+도/JX
청와대의	청와대/NNP+의/JKG
뜻을	뜻/NNG+을/JKO
쉽게	쉽/VA+게/EC
거역할	거역/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없을	없/VA+을/ETM
것	것/NNB
같다.	같/VA+다/EF+./SF


# id : NWRW1800000044.304.7.9
그리고 그동안 숱한 문제점을 드러낸 대통령의 국정운영 스타일도 계속될 것이다.

그리고	그리고/MAJ
그동안	그동안/NNG
숱한	숱하/VA+ㄴ/ETM
문제점을	문제점/NNG+을/JKO
드러낸	드러내/VV+ㄴ/ETM
대통령의	대통령/NNG+의/JKG
국정운영	국정/NNG+운영/NNG
스타일도	스타일/NNG+도/JX
계속될	계속/NNG+되/XSV+ㄹ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


