# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.312
metadata : {}


# id : NWRW1800000038.312.1.1
[신수진의 사진 읽기] (16) 좌절한 발명가의 초상

[신수진의	[/SS+신수진/NNP+의/JKG
발명가로	발명가/NNG+로/JKB
금전적인	금전/NNG+적/XSN+이/VCP+ㄴ/ETM
보상을	보상/NNG+을/JKO
받진	받/VV+지/EC+ㄴ/JX
못했지만,	못하/VX+았/EP+지만/EC+,/SP
바야르는	바야르/NNP+는/JX
이	이/MMD
획기적인	획기적/NNG+이/VCP+ㄴ/ETM
자화상으로	자화상/NNG+으로/JKB
역사에	역사/NNG+에/JKB
남는	남/VV+는/ETM
작가가	작가/NNG+가/JKC
되었으며	되/VV+었/EP+으며/EC
인류	인류/NNG
최초로	최초/NNG+로/JKB
사진을	사진/NNG+을/JKO
소통의	소통/NNG+의/JKG
도구로	도구/NNG+로/JKB
활용한	활용/NNG+하/XSV+ㄴ/ETM
인물이	인물/NNG+이/JKC
되었다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.312.4.1
오늘날 사진의 힘은 표현과 소통에서 나온다.

오늘날	오늘날/NNG
사진의	사진/NNG+의/JKG
힘은	힘/NNG+은/JX
표현과	표현/NNG+과/JC
소통에서	소통/NNG+에서/JKB
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.312.4.2
바야르의 선구성은 사진이 현실의 직접적인 거울이라고 믿었던 시대에 현실이 아닌 것을 보여주기 위해 사진술을 활용한 점이다.

바야르의	바야르/NNP+의/JKG
선구성은	선구/NNG+성/XSN+은/JX
사진이	사진/NNG+이/JKS
현실의	현실/NNG+의/JKG
직접적인	직접/NNG+적/XSN+이/VCP+ㄴ/ETM
거울이라고	거울/NNG+이/VCP+라고/EC
믿었던	믿/VV+었/EP+던/ETM
시대에	시대/NNG+에/JKB
현실이	현실/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
것을	것/NNB+을/JKO
보여주기	보이/VV+어/EC+주/VX+기/ETN
위해	위하/VV+아/EC
사진술을	사진술/NNG+을/JKO
활용한	활용/NNG+하/XSV+ㄴ/ETM
점이다.	점/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.312.4.3
때론 비운이 인생의 또 다른 기회를 열어주기도 한다.

때론	때로/MAG+ㄴ/JX
비운이	비운/NNG+이/JKS
인생의	인생/NNG+의/JKG
또	또/MAG
다른	다른/MMD
기회를	기회/NNG+를/JKO
열어주기도	열/VV+어/EC+주/VX+기/ETN+도/JX
한다.	하/VX+ㄴ다/EF+./SF


