# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.324
metadata : {}


# id : NWRW1800000053.324.1.1
中언론 “북핵시설만 타격땐 軍개입 불필요”

中언론	中/SH+언론/NNG
신문은	신문/NNG+은/JX
다만	다만/MAG
“미국과	“/SS+미국/NNP+과/JC
한국군이	한국군/NNG+이/JKS
38선을	38/SN+선/NNG+을/JKO
넘어	넘/VV+어/EC
북한에	북한/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
침략을	침략/NNG+을/JKO
전개해	전개/NNG+하/XSV+아/EC
북한	북한/NNP
정권	정권/NNG
전복에	전복/NNG+에/JKB
나서면	나서/VV+면/EC
중국은	중국/NNP+은/JX
즉각	즉각/MAG
군사적	군사/NNG+적/XSN
개입에	개입/NNG+에/JKB
나서야	나서/VV+어야/EC
한다”며	하/VX+ㄴ다/EF+”/SS+며/EC
그동안의	그동안/NNG+의/JKG
주장을	주장/NNG+을/JKO
되풀이했다.	되풀이/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.324.5.1
미중 간 대북 압박이 가속화되는 가운데 도널드 트럼프 미 대통령은 휴일인 23일 오전(현지 시간) 아베 신조(安倍晋三) 일본 총리, 시진핑(習近平) 중국 국가주석과 잇달아 통화하고 북핵 해법을 논의했다.

미중	미/NNP+중/NNP
간	간/NNB
대북	대북/NNG
압박이	압박/NNG+이/JKS
가속화되는	가속/NNG+화/XSN+되/XSV+는/ETM
가운데	가운데/NNG
도널드	도널드/NNP
트럼프	트럼프/NNP
미	미/NNP
대통령은	대통령/NNG+은/JX
휴일인	휴일/NNG+이/VCP+ㄴ/ETM
23일	23/SN+일/NNB
오전(현지	오전/NNG+(/SS+현지/NNG
시간)	시간/NNG+)/SS
아베	아베/NNP
신조(安倍晋三)	신조/NNP+(/SS+安倍晋三/SH+)/SS
일본	일본/NNP
총리,	총리/NNG+,/SP
시진핑(習近平)	시진핑/NNP+(/SS+習近平/SH+)/SS
중국	중국/NNP
국가주석과	국가주석/NNG+과/JKB
잇달아	잇달/VV+아/EC
통화하고	통화/NNG+하/XSV+고/EC
북핵	북핵/NNG
해법을	해법/NNG+을/JKO
논의했다.	논의/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.324.5.2
트럼프 대통령은 북한의 6차 핵실험 징후가 커지고 있는 상황을 관리하기 위한 양국 정상의 협력을 당부한 것으로 알려졌다.

트럼프	트럼프/NNP
대통령은	대통령/NNG+은/JX
북한의	북한/NNP+의/JKG
6차	6/SN+차/NNB
핵실험	핵/NNG+실험/NNG
징후가	징후/NNG+가/JKS
커지고	커지/VV+고/EC
있는	있/VX+는/ETM
상황을	상황/NNG+을/JKO
관리하기	관리/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
양국	양국/NNG
정상의	정상/NNG+의/JKG
협력을	협력/NNG+을/JKO
당부한	당부/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.324.5.3
특히 시 주석과의 통화에선 최근 중국 정부의 북핵 억제 노력을 긍정적으로 평가하고 보다 더 구체적인 대북 압박 조치를 요구한 것으로 전해졌다.

특히	특히/MAG
시	시/NNP
주석과의	주석/NNG+과/JKB+의/JKG
통화에선	통화/NNG+에서/JKB+ㄴ/JX
최근	최근/MAG
중국	중국/NNP
정부의	정부/NNG+의/JKG
북핵	북핵/NNG
억제	억제/NNG
노력을	노력/NNG+을/JKO
긍정적으로	긍정/NNG+적/XSN+으로/JKB
평가하고	평가/NNG+하/XSV+고/EC
보다	보다/MAG
더	더/MAG
구체적인	구체/NNG+적/XSN+이/VCP+ㄴ/ETM
대북	대북/NNG
압박	압박/NNG
조치를	조치/NNG+를/JKO
요구한	요구/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000053.324.6.1
CNN과 미국 정치전문지 ‘더힐’에 따르면 존 켈리 국토안보장관은 23일(현지 시간) 트럼프 대통령이 첫 번째 임기 중 핵무기를 탑재한 북한 미사일이 미 본토에 도달하는 문제를 직면할 것이라고 밝혔다.

CNN과	CNN/SL+과/JC
미국	미국/NNP
정치전문지	정치/NNG+전문지/NNG
‘더힐’에	‘/SS+더힐/NNP+’/SS+에/JKB
따르면	따르/VV+면/EC
존	존/NNP
켈리	켈리/NNP
국토안보장관은	국토/NNG+안보/NNG+장관/NNG+은/JX
23일(현지	23/SN+일/NNB+(/SS+현지/NNG
시간)	시간/NNG+)/SS
트럼프	트럼프/NNP
대통령이	대통령/NNG+이/JKS
첫	첫/MMN
번째	번/NNB+째/XSN
임기	임기/NNG
중	중/NNB
핵무기를	핵무기/NNG+를/JKO
탑재한	탑재/NNG+하/XSV+ㄴ/ETM
북한	북한/NNP
미사일이	미사일/NNG+이/JKS
미	미/NNP
본토에	본토/NNG+에/JKB
도달하는	도달/NNG+하/XSV+는/ETM
문제를	문제/NNG+를/JKO
직면할	직면/NNG+하/XSV+ㄹ/ETM
것이라고	것/NNB+이/VCP+라고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.324.6.2
켈리 장관은 이날 CNN 인터뷰에서 “트럼프 대통령이 두 번째 임기를 시작하기 전에 실질적으로 이 문제를 다루게 될 것으로 생각한다”고 말했다.

켈리	켈리/NNP
장관은	장관/NNG+은/JX
이날	이날/NNG
CNN	CNN/SL
인터뷰에서	인터뷰/NNG+에서/JKB
“트럼프	“/SS+트럼프/NNP
대통령이	대통령/NNG+이/JKS
두	두/MMN
번째	번/NNB+째/XSN
임기를	임기/NNG+를/JKO
시작하기	시작/NNG+하/XSV+기/ETN
전에	전/NNG+에/JKB
실질적으로	실질/NNG+적/XSN+으로/JKB
이	이/MMD
문제를	문제/NNG+를/JKO
다루게	다루/VV+게/EC
될	되/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
생각한다”고	생각/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.324.7.1
트럼프 대통령은 26일 백악관으로 상원의원들을 초청해 최근 입안한 ‘최고의 압박과 개입’ 대북 구상을 설명할 예정이다.

트럼프	트럼프/NNP
대통령은	대통령/NNG+은/JX
26일	26/SN+일/NNB
백악관으로	백악관/NNP+으로/JKB
상원의원들을	상원/NNG+의원/NNG+들/XSN+을/JKO
초청해	초청/NNG+하/XSV+아/EC
최근	최근/MAG
입안한	입안/NNG+하/XSV+ㄴ/ETM
‘최고의	‘/SS+최고/NNG+의/JKG
압박과	압박/NNG+과/JC
개입’	개입/NNG+’/SS
대북	대북/NNG
구상을	구상/NNG+을/JKO
설명할	설명/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.324.7.2
이른바 ‘4월 위기설’을 불러온 미국의 대북 선제타격 옵션 등과 관련한 트럼프 대통령의 발언이 주목된다.

이른바	이른바/MAG
‘4월	‘/SS+4/SN+월/NNB
위기설’을	위기설/NNG+’/SS+을/JKO
불러온	불러오/VV+ㄴ/ETM
미국의	미국/NNP+의/JKG
대북	대북/NNG
선제타격	선제/NNG+타격/NNG
옵션	옵션/NNG
등과	등/NNB+과/JKB
관련한	관련/NNG+하/XSV+ㄴ/ETM
트럼프	트럼프/NNP
대통령의	대통령/NNG+의/JKG
발언이	발언/NNG+이/JKS
주목된다.	주목/NNG+되/XSV+ㄴ다/EF+./SF


