# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.332
metadata : {}


# id : NWRW1800000033.332.1.1
노정연 “어머니에게 13억원 받아 경씨에 아파트대금 줬다”

노정연	노정연/NNP
# id : NWRW1800000033.332.6.1
정연 씨는 미국 맨해튼 허드슨 강변에 있는 이 아파트를 구매하면서 구입자금 13억 원을 아파트 원소유주인 경 씨에게 불법 송금했다는 의혹을 받아왔다.

정연	정연/NNP
씨는	씨/NNB+는/JX
미국	미국/NNP
맨해튼	맨해튼/NNP
허드슨	허드슨/NNP
강변에	강변/NNG+에/JKB
있는	있/VA+는/ETM
이	이/MMD
아파트를	아파트/NNG+를/JKO
구매하면서	구매/NNG+하/XSV+면서/EC
구입자금	구입/NNG+자금/NNG
13억	13/SN+억/NR
원을	원/NNB+을/JKO
아파트	아파트/NNG
원소유주인	원소유주/NNG+이/VCP+ㄴ/ETM
경	경/NNP
씨에게	씨/NNB+에게/JKB
불법	불법/NNG
송금했다는	송금/NNG+하/XSV+았/EP+다는/ETM
의혹을	의혹/NNG+을/JKO
받아왔다.	받/VV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000033.332.6.2
사정당국에 따르면 정연 씨는 답변서에서 이 돈이 아파트 구매대금이라고 시인하면서도 “환치기 등 불법 송금에는 개입하지 않았다”고 밝힌 것으로 전해졌다.

사정당국에	사정/NNG+당국/NNG+에/JKB
따르면	따르/VV+면/EC
정연	정연/NNP
씨는	씨/NNB+는/JX
답변서에서	답변서/NNG+에서/JKB
이	이/MMD
돈이	돈/NNG+이/JKS
아파트	아파트/NNG
구매대금이라고	구매/NNG+대금/NNG+이/VCP+라고/EC
시인하면서도	시인/NNG+하/XSV+면서/EC+도/JX
“환치기	“/SS+환치기/NNG
등	등/NNB
불법	불법/NNG
송금에는	송금/NNG+에/JKB+는/JX
개입하지	개입/NNG+하/XSV+지/EC
않았다”고	않/VX+았/EP+다/EF+”/SS+고/JKQ
밝힌	밝히/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000033.332.6.3
또 미국 카지노 매니저 이달호 씨 형제에게 13억 원이 든 사과상자 7개를 건넨 ‘선글라스와 마스크를 착용한 50, 60대 남성’의 신원에 대해서도 “어머니가 아실 것”이라는 취지로 진술한 것으로 알려졌다.

또	또/MAG
미국	미국/NNP
카지노	카지노/NNG
매니저	매니저/NNG
이달호	이달호/NNP
씨	씨/NNB
형제에게	형제/NNG+에게/JKB
13억	13/SN+억/NR
원이	원/NNB+이/JKS
든	들/VV+ㄴ/ETM
사과상자	사과/NNG+상자/NNG
7개를	7/SN+개/NNB+를/JKO
건넨	건네/VV+ㄴ/ETM
‘선글라스와	‘/SS+선글라스/NNG+와/JC
마스크를	마스크/NNG+를/JKO
착용한	착용/NNG+하/XSV+ㄴ/ETM
50,	50/SN+,/SP
60대	60/SN+대/NNB
남성’의	남성/NNG+’/SS+의/JKG
신원에	신원/NNG+에/JKB
대해서도	대하/VV+아서/EC+도/JX
“어머니가	“/SS+어머니/NNG+가/JKS
아실	알/VV+시/EP+ㄹ/ETM
것”이라는	것/NNB+”/SS+이/VCP+라는/ETM
취지로	취지/NNG+로/JKB
진술한	진술/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.332.7.1
검찰은 정연 씨가 제출한 답변서의 내용을 자세히 살펴본 뒤 정연 씨를 추가 조사할지 결정할 계획이다.

검찰은	검찰/NNG+은/JX
정연	정연/NNP
씨가	씨/NNB+가/JKS
제출한	제출/NNG+하/XSV+ㄴ/ETM
답변서의	답변서/NNG+의/JKG
내용을	내용/NNG+을/JKO
자세히	자세히/MAG
살펴본	살펴보/VV+ㄴ/ETM
뒤	뒤/NNG
씨를	씨/NNB+를/JKO
추가	추가/NNG
조사할지	조사/NNG+하/XSV+ㄹ지/EF
결정할	결정/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.332.7.2
또 정연 씨가 돈의 출처를 어머니라고 밝힌 이상 권 여사를 어떤 방식으로 조사할지에 대해서도 검토할 것으로 보인다.

또	또/MAG
정연	정연/NNP
씨가	씨/NNB+가/JKS
돈의	돈/NNG+의/JKG
출처를	출처/NNG+를/JKO
어머니라고	어머니/NNG+이/VCP+라고/EC
밝힌	밝히/VV+ㄴ/ETM
이상	이상/NNG
권	권/NNP
여사를	여사/NNG+를/JKO
어떤	어떤/MMD
방식으로	방식/NNG+으로/JKB
조사할지에	조사/NNG+하/XSV+ㄹ지/EF+에/JKB
대해서도	대하/VV+아서/EC+도/JX
검토할	검토/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.332.7.3
정연 씨가 이 돈을 실제로 권 여사에게 받았다면 검찰 수사에서 이 돈의 원래 출처가 규명될지도 주목된다.

정연	정연/NNP
씨가	씨/NNB+가/JKS
이	이/MMD
돈을	돈/NNG+을/JKO
실제로	실제로/MAG
권	권/NNP
여사에게	여사/NNG+에게/JKB
받았다면	받/VV+았/EP+다면/EC
검찰	검찰/NNG
수사에서	수사/NNG+에서/JKB
돈의	돈/NNG+의/JKG
원래	원래/MAG
출처가	출처/NNG+가/JKS
규명될지도	규명/NNG+되/XSV+ㄹ지/EF+도/JX
주목된다.	주목/NNG+되/XSV+ㄴ다/EF+./SF


