# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.1
metadata : {}


# id : NWRW1800000048.1.1.1
가계부·저금통·금고 지난해보다 매출 급증

가계부·저금통·금고	가계부/NNG+·/SP+저금통/NNG+·/SP+금고/NNG
있게	있/VA+게/EC
디자인을	디자인/NNG+을/JKO
따져	따지/VV+어/EC
구매하는	구매/NNG+하/XSV+는/ETM
이들이	이/NP+들/XSN+이/JKS
늘고	늘/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


