# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.107
metadata : {}


# id : NWRW1800000052.107.1.1
트럼프, 노동장관에 ‘반 노동자적’ 패스트푸드 경영자 지명

트럼프,	트럼프/NNP+,/SP
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.107.7.3
푸즈더는 햄버거 체인 업체인 ‘칼스 주니어’와 ‘하디스’를 산하에 둔 지주회사 ‘시케이 레스토랑’을 2000년부터 경영해왔다.

푸즈더는	푸즈더/NNP+는/JX
햄버거	햄버거/NNG
체인	체인/NNG
업체인	업체/NNG+이/VCP+ㄴ/ETM
‘칼스	‘/SS+칼스/NNP
주니어’와	주니어/NNP+’/SS+와/JC
‘하디스’를	‘/SS+하디스/NNP+’/SS+를/JKO
산하에	산하/NNG+에/JKB
둔	두/VV+ㄴ/ETM
지주회사	지주/NNG+회사/NNG
‘시케이	‘/SS+시케이/NNP
레스토랑’을	레스토랑/NNG+’/SS+을/JKO
2000년부터	2000/SN+년/NNB+부터/JX
경영해왔다.	경영/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000052.107.8.1
하지만, 푸즈더의 노동부 장관 지명을 두고, 그가 노동자들을 위해 싸워오기는 커녕 노동자의 권익을 약화시키는 데 앞장섰다는 비판이 일고 있다.

하지만,	하지만/MAJ+,/SP
푸즈더의	푸즈더/NNP+의/JKG
노동부	노동부/NNG
장관	장관/NNG
지명을	지명/NNG+을/JKO
두고,	두/VV+고/EC+,/SP
그가	그/NP+가/JKS
노동자들을	노동자/NNG+들/XSN+을/JKO
위해	위하/VV+아/EC
싸워오기는	싸우/VV+어/EC+오/VX+기/ETN+는/JX
커녕	커녕/JX
노동자의	노동자/NNG+의/JKG
권익을	권익/NNG+을/JKO
약화시키는	약화/NNG+시키/XSV+는/ETM
데	데/NNB
앞장섰다는	앞장서/VV+었/EP+다는/ETM
비판이	비판/NNG+이/JKS
일고	일/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000052.107.8.2
최저임금 인상을 놓고 경영진과 노동자들이 가장 첨예하고 부딪히고 있는 노동 현장이 패스트푸드점인데, 패스트푸드 경영자인 그가 노동자들의 편을 들 리가 없다.

최저임금	최저/NNG+임금/NNG
인상을	인상/NNG+을/JKO
놓고	놓/VV+고/EC
경영진과	경영진/NNG+과/JC
노동자들이	노동자/NNG+들/XSN+이/JKS
가장	가장/MAG
첨예하고	첨예하/VA+고/EC
부딪히고	부딪히/VV+고/EC
있는	있/VX+는/ETM
노동	노동/NNG
현장이	현장/NNG+이/JKS
패스트푸드점인데,	패스트푸드점/NNG+이/VCP+ㄴ데/EC+,/SP
패스트푸드	패스트푸드/NNG
경영자인	경영자/NNG+이/VCP+ㄴ/ETM
그가	그/NP+가/JKS
노동자들의	노동자/NNG+들/XSN+의/JKG
편을	편/NNG+을/JKO
들	들/VV+ㄹ/ETM
리가	리/NNB+가/JKS
없다.	없/VA+다/EF+./SF


# id : NWRW1800000052.107.9.1
<월스트리트 저널>은 푸즈더가 현행 7.5달러인 시간당 최저임금을 9달러 이하로 묶어야 한다고 주장해왔다고 소개했다.

<월스트리트	</SS+월스트리트/NNP
저널>은	저널/NNP+>/SS+은/JX
푸즈더가	푸즈더/NNP+가/JKS
현행	현행/NNG
7.5달러인	7/SN+./SP+5/SN+달러/NNB+이/VCP+ㄴ/ETM
시간당	시간/NNG+당/XSN
최저임금을	최저/NNG+임금/NNG+을/JKO
9달러	9/SN+달러/NNB
이하로	이하/NNG+로/JKB
묶어야	묶/VV+어야/EC
한다고	하/VX+ㄴ다고/EC
주장해왔다고	주장/NNG+하/XSV+아/EC+오/VX+았/EP+다고/EC
소개했다.	소개/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.107.9.2
<시엔엔>(CNN) 방송은 그를 “최저임금 15달러의 적”이라고 지칭했다.

<시엔엔>(CNN)	</SS+시엔엔/NNP+>/SS+(/SS+CNN/SL+)/SS
방송은	방송/NNG+은/JX
그를	그/NP+를/JKO
“최저임금	“/SS+최저/NNG+임금/NNG
15달러의	15/SN+달러/NNB+의/JKG
적”이라고	적/NNG+”/SS+이라고/JKQ
지칭했다.	지칭/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.107.9.3
패스트푸드 노동자들은 그동안 기본 생활을 영위하기 위해선 시간당 최저임금을 15달러로 인상해야 한다며 ‘15달러 인상 투쟁’을 벌여왔고, 버니 샌더스 민주당 상원의원과 일부 지자체들이 이에 호응했다.

패스트푸드	패스트푸드/NNG
노동자들은	노동자/NNG+들/XSN+은/JX
그동안	그동안/NNG
기본	기본/NNG
생활을	생활/NNG+을/JKO
영위하기	영위/NNG+하/XSV+기/ETN
위해선	위하/VV+아서/EC+ㄴ/JX
시간당	시간/NNG+당/XSN
최저임금을	최저/NNG+임금/NNG+을/JKO
15달러로	15/SN+달러/NNB+로/JKB
인상해야	인상/NNG+하/XSV+아야/EC
한다며	하/VX+ㄴ다며/EC
‘15달러	‘/SS+15/SN+달러/NNB
인상	인상/NNG
투쟁’을	투쟁/NNG+’/SS+을/JKO
벌여왔고,	벌이/VV+어/EC+오/VX+았/EP+고/EC+,/SP
버니	버니/NNP
샌더스	샌더스/NNP
민주당	민주당/NNP
상원의원과	상원/NNG+의원/NNG+과/JC
일부	일부/NNG
지자체들이	지자체/NNG+들/XSN+이/JKS
이에	이/NP+에/JKB
호응했다.	호응/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.107.10.1
이런 움직임에 대해 푸즈더는 올해 3월 <비즈니스 인사이더>와의 인터뷰 등에서 최저임금 인상이 자동화를 조장할 것이라고 ‘협박’하며 “기계는 항상 예의바르고, 휴가를 가지도 않으며, 지각도 하지 않고, 인종이나 성차별 소송을 내지도 않는다”고 주장했다.

이런	이런/MMD
움직임에	움직임/NNG+에/JKB
대해	대하/VV+아/EC
푸즈더는	푸즈더/NNP+는/JX
올해	올해/NNG
3월	3/SN+월/NNB
<비즈니스	</SS+비즈니스/NNP
인사이더>와의	인사이더/NNP+>/SS+와/JKB+의/JKG
인터뷰	인터뷰/NNG
등에서	등/NNB+에서/JKB
최저임금	최저/NNG+임금/NNG
인상이	인상/NNG+이/JKS
자동화를	자동/NNG+화/XSN+를/JKO
조장할	조장/NNG+하/XSV+ㄹ/ETM
것이라고	것/NNB+이/VCP+라고/EC
‘협박’하며	‘/SS+협박/NNG+’/SS+하/VV+며/EC
“기계는	“/SS+기계/NNG+는/JX
항상	항상/MAG
예의바르고,	예의/NNG+바르/VA+고/EC+,/SP
휴가를	휴가/NNG+를/JKO
가지도	가/VV+지/EC+도/JX
않으며,	않/VX+으며/EC+,/SP
지각도	지각/NNG+도/JX
하지	하/VV+지/EC
않고,	않/VX+고/EC+,/SP
인종이나	인종/NNG+이나/JC
성차별	성차별/NNG
소송을	소송/NNG+을/JKO
내지도	내/VV+지/EC+도/JX
않는다”고	않/VX+는다/EF+”/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.107.10.2
이로 미뤄볼 때 그가 상원 인준을 통과하면 오바마 대통령이 행정명령을 통해 확대하고자 했던 최저임금 인상이나 초과근무 수당 확대, 유급병가 확대 조처 등은 빛을 잃을 가능성이 크다.

이로	이/NP+로/JKB
미뤄볼	미루/VV+어/EC+보/VX+ㄹ/ETM
때	때/NNG
그가	그/NP+가/JKS
상원	상원/NNG
인준을	인준/NNG+을/JKO
통과하면	통과/NNG+하/XSV+면/EC
오바마	오바마/NNP
대통령이	대통령/NNG+이/JKS
행정명령을	행정/NNG+명령/NNG+을/JKO
통해	통하/VV+아/EC
확대하고자	확대/NNG+하/XSV+고자/EC
했던	하/VX+았/EP+던/ETM
최저임금	최저/NNG+임금/NNG
인상이나	인상/NNG+이나/JC
초과근무	초과/NNG+근무/NNG
수당	수당/NNG
확대,	확대/NNG+,/SP
유급병가	유급/NNG+병가/NNG
확대	확대/NNG
조처	조처/NNG
등은	등/NNB+은/JX
빛을	빛/NNG+을/JKO
잃을	잃/VV+을/ETM
가능성이	가능/NNG+성/XSN+이/JKS
크다.	크/VA+다/EF+./SF


# id : NWRW1800000052.107.11.1
메리 케이 헨리 서비스업종사자국제노조(SEIU) 위원장은 이번 노동장관 인선에 대해 “반 노동자 극단주의와 맞서 거리에서 계속 싸울 것”이라며 “트럼프는 다시 한번 그가 미국 노동자들의 요구와 얼마나 동떨어져 있는지를 보여줬다“고 비판했다.

메리	메리/NNP
케이	케이/NNP
헨리	헨리/NNP
서비스업종사자국제노조(SEIU)	서비스업종사자국제노조/NNP+(/SS+SEIU/SL+)/SS
위원장은	위원장/NNG+은/JX
이번	이번/NNG
노동장관	노동/NNG+장관/NNG
인선에	인선/NNG+에/JKB
대해	대하/VV+아/EC
“반	“/SS+반/XPN
노동자	노동자/NNG
극단주의와	극단주의/NNG+와/JKB
맞서	맞서/VV+어/EC
거리에서	거리/NNG+에서/JKB
계속	계속/MAG
싸울	싸우/VV+ㄹ/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“트럼프는	“/SS+트럼프/NNP+는/JX
다시	다시/MAG
한번	한/MMN+번/NNB
그가	그/NP+가/JKS
미국	미국/NNP
노동자들의	노동자/NNG+들/XSN+의/JKG
요구와	요구/NNG+와/JKB
얼마나	얼마나/MAG
동떨어져	동떨어지/VA+어/EC
있는지를	있/VX+는지/EF+를/JKO
보여줬다“고	보이/VV+어/EC+주/VX+었/EP+다/EF+“/SS+고/JKQ
비판했다.	비판/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.107.12.1
이외에도 푸즈더의 회사는 레스토랑 광고에 거의 아무것도 입지 않은 채 선정적인 몸짓을 하는 여성들을 내세워 논란이 됐었다고 <허핑턴 포스트>는 전했다.

이외에도	이외/NNG+에/JKB+도/JX
푸즈더의	푸즈더/NNP+의/JKG
회사는	회사/NNG+는/JX
레스토랑	레스토랑/NNG
광고에	광고/NNG+에/JKB
거의	거의/MAG
아무것도	아무것/NNG+도/JX
입지	입/VV+지/EC
않은	않/VX+은/ETM
채	채/NNB
선정적인	선정/NNG+적/XSN+이/VCP+ㄴ/ETM
몸짓을	몸짓/NNG+을/JKO
하는	하/VV+는/ETM
여성들을	여성/NNG+들/XSN+을/JKO
내세워	내세우/VV+어/EC
논란이	논란/NNG+이/JKC
됐었다고	되/VV+었었/EP+다고/EC
<허핑턴	</SS+허핑턴/NNP
포스트>는	포스트/NNP+>/SS+는/JX
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.107.12.2
이에 푸즈더는 “아름다운 여성들이 비키니를 입고 햄버거를 먹는 우리 광고를 좋아한다.

이에	이/NP+에/JKB
푸즈더는	푸즈더/NNP+는/JX
“아름다운	“/SS+아름답/VA+ㄴ/ETM
여성들이	여성/NNG+들/XSN+이/JKS
비키니를	비키니/NNG+를/JKO
입고	입/VV+고/EC
햄버거를	햄버거/NNG+를/JKO
먹는	먹/VV+는/ETM
우리	우리/NP
광고를	광고/NNG+를/JKO
좋아한다.	좋아하/VV+ㄴ다/EF+./SF


# id : NWRW1800000052.107.12.3
그것은 매우 미국적”이라고 말하기도 했다.

그것은	그것/NP+은/JX
매우	매우/MAG
미국적”이라고	미국/NNP+적/XSN+”/SS+이라고/JKQ
말하기도	말/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


