# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.15
metadata : {}


# id : NWRW1800000022.15.1.1
판교의 굴욕;아파트 분양권 포기 급증… 총 48건 '10% 위약금 물고 계약해지'도 25건

판교의	판교/NNP+의/JKG
주택공사에 따르면 판교 신도시 아파트에 대한 분양권 포기 사례는 지난해 상반기까지 총 7건에 불과했으나, 작년 9월부터 늘어나기 시작해 지난 12월 한 달 동안에만 14건이 발생했다.

주택공사에	주택공사/NNP+에/JKB
따르면	따르/VV+면/EC
판교	판교/NNP
신도시	신/XPN+도시/NNG
아파트에	아파트/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
분양권	분양/NNG+권/XSN
포기	포기/NNG
사례는	사례/NNG+는/JX
지난해	지난해/NNG
상반기까지	상반기/NNG+까지/JX
총	총/MMA
7건에	7/SN+건/NNB+에/JKB
불과했으나,	불과/MAG+하/XSA+았/EP+으나/EC+,/SP
작년	작년/NNG
9월부터	9/SN+월/NNB+부터/JX
늘어나기	늘어나/VV+기/ETN
시작해	시작/NNG+하/XSV+아/EC
지난	지나/VV+ㄴ/ETM
12월	12/SN+월/NNB
한	한/MMN
달	달/NNB
동안에만	동안/NNG+에/JKB+만/JX
14건이	14/SN+건/NNB+이/JKS
발생했다.	발생/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.15.4.2
올 1월의 경우 13일 현재 이미 8명이 계약을 해지하거나 전매를 요청했다.

올	올/NNG
1월의	1/SN+월/NNB+의/JKG
경우	경우/NNG
13일	13/SN+일/NNB
현재	현재/MAG
이미	이미/MAG
8명이	8/SN+명/NNB+이/JKS
계약을	계약/NNG+을/JKO
해지하거나	해지/NNG+하/XSV+거나/EC
전매를	전매/NNG+를/JKO
요청했다.	요청/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.15.4.3
특히 분양금액의 10%를 위약금으로 물고 계약을 해지하는 경우가 작년 9월 이후 25건에 달하고 있어 분양권 포기 사례는 앞으로 더욱 늘어날 것으로 예상된다.

특히	특히/MAG
분양금액의	분양/NNG+금액/NNG+의/JKG
10%를	10/SN+%/SW+를/JKO
위약금으로	위약금/NNG+으로/JKB
물고	물/VV+고/EC
계약을	계약/NNG+을/JKO
해지하는	해지/NNG+하/XSV+는/ETM
경우가	경우/NNG+가/JKS
작년	작년/NNG
9월	9/SN+월/NNB
이후	이후/NNG
25건에	25/SN+건/NNB+에/JKB
달하고	달하/VV+고/EC
있어	있/VX+어/EC
분양권	분양/NNG+권/XSN
포기	포기/NNG
사례는	사례/NNG+는/JX
앞으로	앞/NNG+으로/JKB
더욱	더욱/MAG
늘어날	늘어나/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상된다.	예상/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.15.5.1
주공은 판교 당첨자가 해외 이민을 가거나 가족이 취업·질병치료·결혼 등의 이유로 수도권 이외의 지역으로 이주할 경우 해당 아파트를 환매해준다.

주공은	주공/NNP+은/JX
판교	판교/NNP
당첨자가	당첨자/NNG+가/JKS
해외	해외/NNG
이민을	이민/NNG+을/JKO
가거나	가/VV+거나/EC
가족이	가족/NNG+이/JKS
취업·질병치료·결혼	취업/NNG+·/SP+질병/NNG+치료/NNG+·/SP+결혼/NNG
등의	등/NNB+의/JKG
이유로	이유/NNG+로/JKB
수도권	수도/NNG+권/XSN
이외의	이외/NNG+의/JKG
지역으로	지역/NNG+으로/JKB
이주할	이주/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
해당	해당/NNG
아파트를	아파트/NNG+를/JKO
환매해준다.	환매/NNG+하/XSV+아/EC+주/VX+ㄴ다/EF+./SF


# id : NWRW1800000022.15.5.2
또 이런 사유가 아니더라도 전체 분양금의 10%를 위약금으로 내면 분양 계약을 해지해 준다.

또	또/MAG
이런	이런/MMD
사유가	사유/NNG+가/JKC
아니더라도	아니/VCN+더라도/EC
전체	전체/NNG
분양금의	분양금/NNG+의/JKG
10%를	10/SN+%/SW+를/JKO
위약금으로	위약금/NNG+으로/JKB
내면	내/VV+면/EC
분양	분양/NNG
계약을	계약/NNG+을/JKO
해지해	해지/NNG+하/XSV+아/EC
준다.	주/VX+ㄴ다/EF+./SF


# id : NWRW1800000022.15.6.1
판교 신도시는 지난 2006년 분양 당시 '로또 당첨'이라고 불릴 정도로 청약 열풍을 일으켰다.

판교	판교/NNP
신도시는	신/XPN+도시/NNG+는/JX
지난	지나/VV+ㄴ/ETM
2006년	2006/SN+년/NNB
분양	분양/NNG
당시	당시/NNG
'로또	'/SS+로또/NNG
당첨'이라고	당첨/NNG+'/SS+이라고/JKQ
불릴	불리/VV+ㄹ/ETM
정도로	정도/NNG+로/JKB
청약	청약/NNG
열풍을	열풍/NNG+을/JKO
일으켰다.	일으키/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.15.6.2
서울과 가깝고 교통이 편리한데다 친환경 주거단지로 조성될 것이라는 기대감에 최고 2073대 1의 경쟁률을 기록하기도 했다.

서울과	서울/NNP+과/JKB
가깝고	가깝/VA+고/EC
교통이	교통/NNG+이/JKS
편리한데다	편리/NNG+하/XSA+ㄴ/ETM+데/NNB+다/JX
친환경	친/XPN+환경/NNG
주거단지로	주거/NNG+단지/NNG+로/JKB
조성될	조성/NNG+되/XSV+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
기대감에	기대감/NNG+에/JKB
최고	최고/NNG
2073대	2073/SN+대/NNB
1의	1/SN+의/JKG
경쟁률을	경쟁/NNG+률/XSN+을/JKO
기록하기도	기록/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000022.15.6.3
더욱이 최근에는 공공택지에서의 분양권 전매제한 기간이 3~5년으로 줄어들면서 85㎡ 초과 중대형 주택의 경우 올해 입주 시작과 함께 전매도 가능해졌다.

더욱이	더욱이/MAG
최근에는	최근/NNG+에/JKB+는/JX
공공택지에서의	공공/NNG+택지/NNG+에서/JKB+의/JKG
분양권	분양/NNG+권/XSN
전매제한	전매/NNG+제한/NNG
기간이	기간/NNG+이/JKS
3~5년으로	3/SN+~/SO+5/SN+년/NNB+으로/JKB
줄어들면서	줄어들/VV+면서/EC
85㎡	85/SN+㎡/SW
초과	초과/NNG
중대형	중대형/NNG
주택의	주택/NNG+의/JKG
경우	경우/NNG
올해	올해/NNG
입주	입주/NNG
시작과	시작/NNG+과/JKB
함께	함께/MAG
전매도	전매/NNG+도/JX
가능해졌다.	가능/NNG+하/XSA+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000022.15.6.4
그러나 최근에 불어 닥친 세계 금융 위기와 경기 침체 여파로 주택가격이 급락하면서 판교 아파트에 대한 인기도 크게 시들해졌다는 분석이다.

그러나	그러나/MAJ
최근에	최근/NNG+에/JKB
불어	불/VV+어/EC
닥친	닥치/VV+ㄴ/ETM
세계	세계/NNG
금융	금융/NNG
위기와	위기/NNG+와/JC
경기	경기/NNG
침체	침체/NNG
여파로	여파/NNG+로/JKB
주택가격이	주택/NNG+가격/NNG+이/JKS
급락하면서	급락/NNG+하/XSV+면서/EC
판교	판교/NNP
아파트에	아파트/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
인기도	인기/NNG+도/JX
크게	크/VA+게/EC
시들해졌다는	시들하/VA+아/EC+지/VX+었/EP+다는/ETM
분석이다.	분석/NNG+이/VCP+다/EF+./SF


