# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.346
metadata : {}


# id : NWRW1800000049.346.1.1
문재인, 총선후 黨공식행사 첫 참석

문재인,	문재인/NNP+,/SP
문 전 대표는 11일 부산 벡스코에서 열린 전대 후보자 합동연설회 및 부산시당 정기대의원대회에 참석했다.

문	문/NNP
전	전/MMD
대표는	대표/NNG+는/JX
11일	11/SN+일/NNB
부산	부산/NNP
벡스코에서	벡스코/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
전대	전대/NNG
후보자	후보자/NNG
합동연설회	합동/NNG+연설회/NNG
및	및/MAG
부산시당	부산시/NNP+당/NNG
정기대의원대회에	정기/NNG+대의원/NNG+대회/NNG+에/JKB
참석했다.	참석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.346.4.2
행사 시작 20여 분 전 벡스코에 도착한 문 전 대표는 행사장을 누비며 당원들과 인사했다.

행사	행사/NNG
시작	시작/NNG
20여	20/SN+여/XSN
분	분/NNB
전	전/MMD
벡스코에	벡스코/NNP+에/JKB
도착한	도착/NNG+하/XSV+ㄴ/ETM
문	문/NNP
대표는	대표/NNG+는/JX
행사장을	행사장/NNG+을/JKO
누비며	누비/VV+며/EC
당원들과	당원/NNG+들/XSN+과/JKB
인사했다.	인사/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.346.4.3
이어 김상곤, 이종걸, 추미애 후보(기호순)와도 일일이 악수를 나누고 격려했다.

이어	이어/MAG
김상곤,	김상곤/NNP+,/SP
이종걸,	이종걸/NNP+,/SP
추미애	추미애/NNP
후보(기호순)와도	후보/NNG+(/SS+기호/NNG+순/NNB+)/SS+와/JKB+도/JX
일일이	일일이/MAG
악수를	악수/NNG+를/JKO
나누고	나누/VV+고/EC
격려했다.	격려/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.346.4.4
문 전 대표는 “지금 우리 당은 변화도 필요하고 통합도 필요하고 확장도 필요하고, 그 힘을 모아 정권교체를 꼭 해내야 한다”고 말했다.

문	문/NNP
전	전/MMD
대표는	대표/NNG+는/JX
“지금	“/SS+지금/MAG
우리	우리/NP
당은	당/NNG+은/JX
변화도	변화/NNG+도/JX
필요하고	필요/NNG+하/XSA+고/EC
통합도	통합/NNG+도/JX
확장도	확장/NNG+도/JX
필요하고,	필요/NNG+하/XSA+고/EC+,/SP
그	그/MMD
힘을	힘/NNG+을/JKO
모아	모으/VV+아/EC
정권교체를	정권/NNG+교체/NNG+를/JKO
꼭	꼭/MAG
해내야	해내/VV+어야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.346.5.1
지난달 25일 독도를 찾았던 문 전 대표는 12일에는 인천 백령도를 방문한다.

지난달	지난달/NNG
25일	25/SN+일/NNB
독도를	독도/NNP+를/JKO
찾았던	찾/VV+았/EP+던/ETM
문	문/NNP
전	전/MMD
대표는	대표/NNG+는/JX
12일에는	12/SN+일/NNB+에/JKB+는/JX
인천	인천/NNP
백령도를	백령도/NNP+를/JKO
방문한다.	방문/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.346.5.2
또 한 번의 ‘안보 행보’다.

또	또/MAG
한	한/MMN
번의	번/NNB+의/JKG
‘안보	‘/SS+안보/NNG
행보’다.	행보/NNG+’/SS+이/VCP+다/EF+./SF


# id : NWRW1800000049.346.5.3
문 전 대표는 백령도에서 하룻밤을 묵으며 주민과 군 관계자 등을 격려할 예정이다.

문	문/NNP
전	전/MMD
대표는	대표/NNG+는/JX
백령도에서	백령도/NNP+에서/JKB
하룻밤을	하룻밤/NNG+을/JKO
묵으며	묵/VV+으며/EC
주민과	주민/NNG+과/JC
군	군/NNG
관계자	관계자/NNG
등을	등/NNB+을/JKO
격려할	격려/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.346.5.4
11일 행사장에서 이목은 문 전 대표에게 집중됐다.

11일	11/SN+일/NNB
행사장에서	행사장/NNG+에서/JKB
이목은	이목/NNG+은/JX
문	문/NNP
전	전/MMD
대표에게	대표/NNG+에게/JKB
집중됐다.	집중/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000049.346.5.5
최인호 부산시당위원장은 “문 전 대표께서 다음에 대통령 후보가 되시면 여러분들은 똘똘 뭉쳐서 부산에서 51% 이상 득표하도록 많이 도와주시겠습니까”라고 외치기도 했다.

최인호	최인호/NNP
부산시당위원장은	부산시/NNP+당/NNG+위원장/NNG+은/JX
“문	“/SS+문/NNP
전	전/MMD
대표께서	대표/NNG+께서/JKS
다음에	다음/NNG+에/JKB
대통령	대통령/NNG
후보가	후보/NNG+가/JKC
되시면	되/VV+시/EP+면/EC
여러분들은	여러분/NP+들/XSN+은/JX
똘똘	똘똘/MAG
뭉쳐서	뭉치/VV+어서/EC
부산에서	부산/NNP+에서/JKB
51%	51/SN+%/SW
이상	이상/NNG
득표하도록	득표/NNG+하/XSV+도록/EC
많이	많이/MAG
도와주시겠습니까”라고	도와주/VV+시/EP+겠/EP+습니까/EF+”/SS+라고/JKQ
외치기도	외치/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000049.346.6.1
당권 주자들도 문 전 대표를 의식했다.

당권	당권/NNG
주자들도	주자/NNG+들/XSN+도/JX
문	문/NNG
전	전/MMD
대표를	대표/NNG+를/JKO
의식했다.	의식/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.346.6.2
김 후보는 “저는 광주에서 ‘친문(친문재인)이 아니면 찍어주겠다’는 말을 듣기도 한다”며 “왜 친문, 비문(비문재인)을 아직도 따지느냐, 계파에 기대는 것은 당의 후보를 감옥에 가두는 일이다”고 했다.

김	김/NNP
후보는	후보/NNG+는/JX
“저는	“/SS+저/NP+는/JX
광주에서	광주/NNP+에서/JKB
‘친문(친문재인)이	‘/SS+친/XPN+문/NNP+(/SS+친/XPN+문재인/NNP+)/SS+이/JKC
아니면	아니/VCN+면/EC
찍어주겠다’는	찍/VV+어/EC+주/VX+겠/EP+다/EF+’/SS+는/ETM
말을	말/NNG+을/JKO
듣기도	듣/VV+기/ETN+도/JX
한다”며	하/VX+ㄴ다/EF+”/SS+며/EC
“왜	“/SS+왜/MAG
친문,	친/XPN+문/NNP+,/SP
비문(비문재인)을	비/XPN+문/NNP+(/SS+비/XPN+문재인/NNP+)/SS+을/JKO
아직도	아직/MAG+도/JX
따지느냐,	따지/VV+느냐/EF+,/SP
계파에	계파/NNG+에/JKB
기대는	기대/VV+는/ETM
것은	것/NNB+은/JX
당의	당/NNG+의/JKG
후보를	후보/NNG+를/JKO
감옥에	감옥/NNG+에/JKB
가두는	가두/VV+는/ETM
일이다”고	일/NNG+이/VCP+다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.346.6.3
추 후보는 “대선 후보가 뽑히면 ‘후보 흔들기’를 막기 위해 대선경선불복방지위원회를 만들겠다”며 “1등 후보를 깎아내리고 흔드는 것은 공정도 아니고, 혁신도 아니다”고 강조했다.

추	추/NNP
후보는	후보/NNG+는/JX
“대선	“/SS+대선/NNG
후보가	후보/NNG+가/JKS
뽑히면	뽑히/VV+면/EC
‘후보	‘/SS+후보/NNG
흔들기’를	흔들/VV+기/ETN+’/SS+를/JKO
막기	막/VV+기/ETN
위해	위하/VV+아/EC
대선경선불복방지위원회를	대선/NNG+경선/NNG+불복/NNG+방지/NNG+위원회/NNG+를/JKO
만들겠다”며	만들/VV+겠/EP+다/EF+”/SS+며/EC
“1등	“/SS+1/SN+등/NNB
후보를	후보/NNG+를/JKO
깎아내리고	깎아내리/VV+고/EC
흔드는	흔들/VV+는/ETM
것은	것/NNB+은/JX
공정도	공정/NNG+도/JX
아니고,	아니/VCN+고/EC+,/SP
혁신도	혁신/NNG+도/JX
아니다”고	아니/VCN+다/EF+”/SS+고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.346.7.1
반면 비문 진영의 이 후보는 “우리는 지난번 분당의 아픔을 겪었다”며 “생각이 다르다고 패권이 다른 집단을 배제하는 정치는 안 된다, 계파끼리 모이는 정치는 당에서 없어져야 한다”고 말했다.

반면	반면/NNG
비문	비/XPN+문/NNP
진영의	진영/NNG+의/JKG
이	이/NNP
후보는	후보/NNG+는/JX
“우리는	“/SS+우리/NP+는/JX
지난번	지난번/NNG
분당의	분당/NNG+의/JKG
아픔을	아픔/NNG+을/JKO
겪었다”며	겪/VV+었/EP+다/EF+”/SS+며/EC
“생각이	“/SS+생각/NNG+이/JKS
다르다고	다르/VA+다고/EC
패권이	패권/NNG+이/JKS
다른	다르/VA+ㄴ/ETM
집단을	집단/NNG+을/JKO
배제하는	배제/NNG+하/XSV+는/ETM
정치는	정치/NNG+는/JX
안	안/MAG
된다,	되/VV+ㄴ다/EF+,/SP
계파끼리	계파/NNG+끼리/XSN
모이는	모이/VV+는/ETM
당에서	당/NNG+에서/JKB
없어져야	없어지/VV+어야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.346.7.2
당내 최대 계파인 친문 진영에 공을 들이고 있는 두 후보를 우회적으로 비판한 것이다.

당내	당내/NNG
최대	최대/NNG
계파인	계파/NNG+이/VCP+ㄴ/ETM
친문	친/XPN+문/NNP
진영에	진영/NNG+에/JKB
공을	공/NNG+을/JKO
들이고	들이/VV+고/EC
있는	있/VX+는/ETM
두	두/MMN
후보를	후보/NNG+를/JKO
우회적으로	우회/NNG+적/XSN+으로/JKB
비판한	비판/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


