# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.154
metadata : {}


# id : NWRW1800000021.154.1.1
[광주/전남]나주 목사 관사… 전통체험 시설로

[광주/전남]나주	[/SS+광주/NNP+//SP+전남/NNP+]/SS+나주/NNP
열어	열/VV+어/EC
천년	천/NR+년/NNB
역사문화	역사/NNG+문화/NNG
도시의	도시/NNG+의/JKG
면모를	면모/NNG+를/JKO
보여주겠다”고	보이/VV+어/EC+주/VX+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.154.6.3
나주목은 고려 성종 2년에 설치된 후 조선시대까지 1000여 년간 이어졌으며 2007년 7월 관아와 금성관, 향교 등이 국가사적지(제483호)로 지정됐다.

나주목은	나주목/NNP+은/JX
고려	고려/NNP
성종	성종/NNP
2년에	2/SN+년/NNB+에/JKB
설치된	설치/NNG+되/XSV+ㄴ/ETM
후	후/NNG
조선시대까지	조선시대/NNG+까지/JX
1000여	1000/SN+여/XSN
년간	년/NNB+간/XSN
이어졌으며	이어지/VV+었/EP+으며/EC
2007년	2007/SN+년/NNB
7월	7/SN+월/NNB
관아와	관아/NNG+와/JC
금성관,	금성관/NNP+,/SP
향교	향교/NNG
등이	등/NNB+이/JKS
국가사적지(제483호)로	국가/NNG+사적지/NNG+(/SS+제/XPN+483/SN+호/NNB+)/SS+로/JKB
지정됐다.	지정/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000021.154.6.4
문의 및 예약 061-330-8714, 330-8831

문의	문의/NNG
및	및/MAG
예약	예약/NNG
061-330-8714,	061/SN+-/SO+330/SN+-/SO+8714/SN+,/SP
330-8831	330/SN+-/SO+8831/SN


