# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.216
metadata : {}


# id : NWRW1800000049.216.1.1
[단독]‘BC 50년 東海’ 역사교과서 싣는다

[단독]‘BC	[/SS+단독/NNG+]/SS+‘/SS+BC/SL
아버지인	아버지/NNG+이/VCP+ㄴ/ETM
광개토대왕의	광개토/NNP+대왕/NNG+의/JKG
업적을	업적/NNG+을/JKO
기념해	기념/NNG+하/XSV+아/EC
414년에	414/SN+년/NNB+에/JKB
세운	세우/VV+ㄴ/ETM
기념비(광개토대왕릉비)에도	기념비/NNG+(/SS+광개토대왕릉비/NNP+)/SS+에/JKB+도/JX
동해	동해/NNP
명칭이	명칭/NNG+이/JKS
확인된다.	확인/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.216.6.4
국정 역사 교과서에는 동해 명칭이 선명한 광개토대왕릉비가 자료 사진으로 등장한다.

국정	국정/NNG
역사	역사/NNG
교과서에는	교과서/NNG+에/JKB+는/JX
동해	동해/NNP
명칭이	명칭/NNG+이/JKS
선명한	선명/NNG+하/XSA+ㄴ/ETM
광개토대왕릉비가	광개토대왕릉비/NNP+가/JKS
자료	자료/NNG
사진으로	사진/NNG+으로/JKB
등장한다.	등장/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.216.6.5
이후에는 팔도총도(八道總圖), 아국총도(我國總圖) 등 다양한 고지도에서 동해 표현을 쉽게 찾을 수 있다.

이후에는	이후/NNG+에/JKB+는/JX
팔도총도(八道總圖),	팔도총도/NNG+(/SS+八道總圖/SH+)/SS+,/SP
아국총도(我國總圖)	아국총도/NNG+(/SS+我國總圖/SH+)/SS
등	등/NNB
다양한	다양/NNG+하/XSA+ㄴ/ETM
고지도에서	고지도/NNG+에서/JKB
동해	동해/NNP
표현을	표현/NNG+을/JKO
쉽게	쉽/VA+게/EC
찾을	찾/VV+을/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000049.216.7.1
‘일본해’ 명칭은 이탈리아 신부였던 마테오 리치가 1602년 제작한 세계지도인 ‘곤여만국전도(坤輿萬國全圖·Kunyu Wanguo Quantu)’에 처음으로 사용된 것으로 알려져 있다.

‘일본해’	‘/SS+일본해/NNP+’/SS
명칭은	명칭/NNG+은/JX
이탈리아	이탈리아/NNP
신부였던	신부/NNG+이/VCP+었/EP+던/ETM
마테오	마테오/NNP
리치가	리치/NNP+가/JKS
1602년	1602/SN+년/NNB
제작한	제작/NNG+하/XSV+ㄴ/ETM
세계지도인	세계/NNG+지도/NNG+이/VCP+ㄴ/ETM
‘곤여만국전도(坤輿萬國全圖·Kunyu	‘/SS+곤여만국전도/NNP+(/SS+坤輿萬國全圖/SH+·/SP+Kunyu/SL
Wanguo	Wanguo/SL
Quantu)’에	Quantu/SL+)/SS+’/SS+에/JKB
처음으로	처음/NNG+으로/JKB
사용된	사용/NNG+되/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려져	알려지/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.216.7.2
일본은 곤여만국전도 등을 근거로 일본해라는 명칭이 유럽에서 18세기 말부터 19세기 초에 걸쳐 확립된 이후 안정적으로 사용되고 있다고 주장하고 있다.

일본은	일본/NNP+은/JX
곤여만국전도	곤여만국전도/NNP
등을	등/NNB+을/JKO
근거로	근거/NNG+로/JKB
일본해라는	일본해/NNP+이/VCP+라는/ETM
명칭이	명칭/NNG+이/JKS
유럽에서	유럽/NNP+에서/JKB
18세기	18/SN+세기/NNG
말부터	말/NNB+부터/JX
19세기	19/SN+세기/NNG
초에	초/NNB+에/JKB
걸쳐	걸치/VV+어/EC
확립된	확립/NNG+되/XSV+ㄴ/ETM
이후	이후/NNG
안정적으로	안정/NNG+적/XSN+으로/JKB
사용되고	사용/NNG+되/XSV+고/EC
있다고	있/VX+다고/EC
주장하고	주장/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.216.8.1
국정 역사 교과서에 동해 명칭의 역사를 담은 것은 한국과 일본 사이에 위치한 해역이 ‘동해’로 불려야 한다는 근거를 명확하게 설명하기 위한 것으로 풀이된다.

국정	국정/NNG
역사	역사/NNG
교과서에	교과서/NNG+에/JKB
동해	동해/NNP
명칭의	명칭/NNG+의/JKG
역사를	역사/NNG+를/JKO
담은	담/VV+은/ETM
것은	것/NNB+은/JX
한국과	한국/NNP+과/JC
일본	일본/NNP
사이에	사이/NNG+에/JKB
위치한	위치/NNG+하/XSV+ㄴ/ETM
해역이	해역/NNG+이/JKS
‘동해’로	‘/SS+동해/NNP+’/SS+로/JKB
불려야	불리/VV+어야/EC
한다는	하/VX+ㄴ다는/ETM
근거를	근거/NNG+를/JKO
명확하게	명확하/VA+게/EC
설명하기	설명/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
풀이된다.	풀이/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.216.8.2
일본해라는 명칭이 처음 등장한 것은 400여 년에 불과하지만 동해 명칭은 2000년 이상 사용돼 왔다는 것을 학생들에게 명확하게 가르치겠다는 것이다.

일본해라는	일본해/NNP+이/VCP+라는/ETM
명칭이	명칭/NNG+이/JKS
처음	처음/NNG
등장한	등장/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
400여	400/SN+여/XSN
년에	년/NNB+에/JKB
불과하지만	불과/MAG+하/XSA+지만/EC
동해	동해/NNP
명칭은	명칭/NNG+은/JX
2000년	2000/SN+년/NNB
이상	이상/NNG
사용돼	사용/NNG+되/XSV+어/EC
왔다는	오/VX+았/EP+다는/ETM
것을	것/NNB+을/JKO
학생들에게	학생/NNG+들/XSN+에게/JKB
명확하게	명확하/VA+게/EC
가르치겠다는	가르치/VV+겠/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.216.9.1
또 신라의 삼국 통일부터 발해 멸망 때까지의 시기를 구분하는 용어로 ‘남북국 시대’를 쓰기로 했다.

또	또/MAG
신라의	신라/NNP+의/JKG
삼국	삼국/NNG
통일부터	통일/NNG+부터/JX
발해	발해/NNP
멸망	멸망/NNG
때까지의	때/NNG+까지/JX+의/JKG
시기를	시기/NNG+를/JKO
구분하는	구분/NNG+하/XSV+는/ETM
용어로	용어/NNG+로/JKB
‘남북국	‘/SS+남북국/NNP
시대’를	시대/NNG+’/SS+를/JKO
쓰기로	쓰/VV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.216.9.2
학계에서는 이 시기를 ‘통일신라 시대’로 표현하느냐 남북국 시대로 표현하느냐를 두고 논란을 벌여 왔다.

학계에서는	학계/NNG+에서/JKB+는/JX
이	이/MMD
시기를	시기/NNG+를/JKO
‘통일신라	‘/SS+통일신라/NNP
시대’로	시대/NNG+’/SS+로/JKB
표현하느냐	표현/NNG+하/XSV+느냐/EF
남북국	남북국/NNP
시대로	시대/NNG+로/JKB
표현하느냐를	표현/NNG+하/XSV+느냐/EF+를/JKO
두고	두/VV+고/EC
논란을	논란/NNG+을/JKO
벌여	벌이/VV+어/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000049.216.9.3
남북국 시대는 주로 진보 성향의 역사학자들이 사용을 주장하는 용어로 알려져 있다.

남북국	남북국/NNP
시대는	시대/NNG+는/JX
주로	주로/MAG
진보	진보/NNG
성향의	성향/NNG+의/JKG
역사학자들이	역사학자/NNG+들/XSN+이/JKS
사용을	사용/NNG+을/JKO
주장하는	주장/NNG+하/XSV+는/ETM
용어로	용어/NNG+로/JKB
알려져	알려지/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.216.10.1
집필진은 삼국시대에서 통일신라를 거쳐 고려로 이어지는 기존의 역사 체계를 벗어나 발해사를 적극적으로 한국사에 포함시키는 차원에서 남북국 시대로 쓰기로 했다.

집필진은	집필진/NNG+은/JX
삼국시대에서	삼국/NNG+시대/NNG+에서/JKB
통일신라를	통일신라/NNP+를/JKO
거쳐	거치/VV+어/EC
고려로	고려/NNP+로/JKB
이어지는	이어지/VV+는/ETM
기존의	기존/NNG+의/JKG
역사	역사/NNG
체계를	체계/NNG+를/JKO
벗어나	벗어나/VV+아/EC
발해사를	발해사/NNG+를/JKO
적극적으로	적극/NNG+적/XSN+으로/JKB
한국사에	한국사/NNG+에/JKB
포함시키는	포함/NNG+시키/XSV+는/ETM
차원에서	차원/NNG+에서/JKB
남북국	남북국/NNP
시대로	시대/NNG+로/JKB
쓰기로	쓰/VV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.216.10.2
국정 역사 교과서에는 기존 교과서에 비해 발해사 서술이 강화된다.

국정	국정/NNG
역사	역사/NNG
교과서에는	교과서/NNG+에/JKB+는/JX
기존	기존/NNG
교과서에	교과서/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
발해사	발해사/NNG
서술이	서술/NNG+이/JKS
강화된다.	강화/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.216.11.1
또 고려 후기에 형성된 대표적인 정치세력의 하나를 일컫는 ‘권문세족’이라는 용어는 ‘권문’과 ‘세족’으로 나뉜다.

또	또/MAG
고려	고려/NNP
후기에	후기/NNG+에/JKB
형성된	형성/NNG+되/XSV+ㄴ/ETM
대표적인	대표/NNG+적/XSN+이/VCP+ㄴ/ETM
정치세력의	정치/NNG+세력/NNG+의/JKG
하나를	하나/NR+를/JKO
일컫는	일컫/VV+는/ETM
‘권문세족’이라는	‘/SS+권문세족/NNG+’/SS+이/VCP+라는/ETM
용어는	용어/NNG+는/JX
‘권문’과	‘/SS+권문/NNG+’/SS+과/JC
‘세족’으로	‘/SS+세족/NNG+’/SS+으로/JKB
나뉜다.	나뉘/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.216.11.2
권문은 특정 개인이 행사하는 정치권력을 가리키는 용어이고, 세족은 특정 가계의 사회적 지위를 일컫는 계층의 의미를 갖는다.

권문은	권문/NNG+은/JX
특정	특정/NNG
개인이	개인/NNG+이/JKS
행사하는	행사/NNG+하/XSV+는/ETM
정치권력을	정치권력/NNG+을/JKO
가리키는	가리키/VV+는/ETM
용어이고,	용어/NNG+이/VCP+고/EC+,/SP
세족은	세족/NNG+은/JX
가계의	가계/NNG+의/JKG
사회적	사회/NNG+적/XSN
지위를	지위/NNG+를/JKO
일컫는	일컫/VV+는/ETM
계층의	계층/NNG+의/JKG
의미를	의미/NNG+를/JKO
갖는다.	갖/VV+는다/EF+./SF


# id : NWRW1800000049.216.11.3
이 때문에 이를 구분해 사용할 필요가 있다는 학계의 의견을 받아들여 교과서에 반영하기로 했다.

이	이/NP
때문에	때문/NNB+에/JKB
이를	이/NP+를/JKO
구분해	구분/NNG+하/XSV+아/EC
사용할	사용/NNG+하/XSV+ㄹ/ETM
필요가	필요/NNG+가/JKS
있다는	있/VA+다는/ETM
학계의	학계/NNG+의/JKG
의견을	의견/NNG+을/JKO
받아들여	받아들이/VV+어/EC
교과서에	교과서/NNG+에/JKB
반영하기로	반영/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


