# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.240
metadata : {}


# id : NWRW1800000022.240.1.1
車가 난다 '하늘 나는 車' 연구착수 한국서 10년 후 현실화

車가	車/SH+가/JKS
한국항공우주연구원	한국항공우주연구원/NNP
이대성	이대성/NNP
항공연구본부장을	항공/NNG+연구/NNG+본부장/NNG+을/JKO
주축으로	주축/NNG+으로/JKB
한	하/VV+ㄴ/ETM
항공·교통	항공/NNG+·/SP+교통/NNG
전문가와	전문가/NNG+와/JC
경제학자,	경제학자/NNG+,/SP
기술자	기술자/NNG
등	등/NNB
20여명은	20/SN+여/XSN+명/NNB+은/JX
지난	지나/VV+ㄴ/ETM
5월	5/SN+월/NNB
28일	28/SN+일/NNB
처음으로	처음/NNG+으로/JKB
회의를	회의/NNG+를/JKO
갖고	갖/VV+고/EC
'개인용	'/SS+개인/NNG+용/XSN
항공기(PAV·Personal	항공기/NNG+(/SS+PAV/SL+·/SP+Personal/SL
Air	Air/SL
Vehicle)',	Vehicle/SL+)/SS+'/SS+,/SP
즉	즉/MAG
하늘을	하늘/NNG+을/JKO
나는	날/VV+는/ETM
자동차	자동차/NNG
현실화	현실/NNG+화/XSN
문제를	문제/NNG+를/JKO
검토했다.	검토/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.240.4.2
지식경제부는 지난 3월 하늘을 나는 자동차 연구를 위한 예산 8억원을 배정했다.

지식경제부는	지식/NNG+경제부/NNG+는/JX
지난	지나/VV+ㄴ/ETM
3월	3/SN+월/NNB
하늘을	하늘/NNG+을/JKO
나는	날/VV+는/ETM
자동차	자동차/NNG
연구를	연구/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
예산	예산/NNG
8억원을	8/SN+억/NR+원/NNB+을/JKO
배정했다.	배정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.240.5.1
연구는 아직 걸음마 단계로, 기술적·경제적인 가능성을 검토하는 수준이지만 전문가들은 교통 역사에 큰 획을 그을 수 있는 연구이기 때문에 '시작'조차도 큰 의미가 있다고 말했다.

연구는	연구/NNG+는/JX
아직	아직/MAG
걸음마	걸음마/NNG
단계로,	단계/NNG+로/JKB+,/SP
기술적·경제적인	기술/NNG+적/XSN+·/SP+경제/NNG+적/XSN+이/VCP+ㄴ/ETM
가능성을	가능/NNG+성/XSN+을/JKO
검토하는	검토/NNG+하/XSV+는/ETM
수준이지만	수준/NNG+이/VCP+지만/EC
전문가들은	전문가/NNG+들/XSN+은/JX
교통	교통/NNG
역사에	역사/NNG+에/JKB
큰	크/VA+ㄴ/ETM
획을	획/NNG+을/JKO
그을	긋/VV+을/ETM
수	수/NNB
있는	있/VA+는/ETM
연구이기	연구/NNG+이/VCP+기/ETN
때문에	때문/NNB+에/JKB
'시작'조차도	'/SS+시작/NNG+'/SS+조차/JX+도/JX
의미가	의미/NNG+가/JKS
있다고	있/VA+다고/EC
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.240.6.1
이대성 본부장을 책임자로, 건국대 윤광준 교수팀이 비행체 기술, 항공대 강자영 교수팀이 관제시스템 기술, 충남대 허환일 교수팀이 엔진 기술을 연구하고, 미국 조지아텍이 연구에 공동 참여하고 있다.

이대성	이대성/NNP
본부장을	본부장/NNG+을/JKO
책임자로,	책임자/NNG+로/JKB+,/SP
건국대	건국대/NNP
윤광준	윤광준/NNP
교수팀이	교수/NNG+팀/NNG+이/JKS
비행체	비행체/NNG
기술,	기술/NNG+,/SP
항공대	항공대/NNP
강자영	강자영/NNP
관제시스템	관제/NNG+시스템/NNG
충남대	충남대/NNP
허환일	허환일/NNP
엔진	엔진/NNG
기술을	기술/NNG+을/JKO
연구하고,	연구/NNG+하/XSV+고/EC+,/SP
미국	미국/NNP
조지아텍이	조지아텍/NNP+이/JKS
연구에	연구/NNG+에/JKB
공동	공동/NNG
참여하고	참여/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.240.7.1
연구진은 빠르면 10년 후인 2019년쯤 첫 시제품을 완성하고, 2025년 전후 하늘을 나는 자동차를 시판할 수 있을 것으로 예상하고 있다.

연구진은	연구진/NNG+은/JX
빠르면	빠르/VA+면/EC
10년	10/SN+년/NNB
후인	후/NNG+이/VCP+ㄴ/ETM
2019년쯤	2019/SN+년/NNB+쯤/XSN
첫	첫/MMN
시제품을	시제품/NNG+을/JKO
완성하고,	완성/NNG+하/XSV+고/EC+,/SP
2025년	2025/SN+년/NNB
전후	전후/NNG
하늘을	하늘/NNG+을/JKO
나는	날/VV+는/ETM
자동차를	자동차/NNG+를/JKO
시판할	시판/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것으로	것/NNB+으로/JKB
예상하고	예상/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.240.8.1
이 본부장은 개인용 항공기가 2030년쯤 자동차 시장의 3%, 2050년쯤엔 주요 교통수단이 될 수 있을 것이라고 예측했다.

이	이/NNP
본부장은	본부장/NNG+은/JX
개인용	개인/NNG+용/XSN
항공기가	항공기/NNG+가/JKS
2030년쯤	2030/SN+년/NNB+쯤/XSN
자동차	자동차/NNG
시장의	시장/NNG+의/JKG
3%,	3/SN+%/SW+,/SP
2050년쯤엔	2050/SN+년/NNB+쯤/XSN+에/JKB+ㄴ/JX
주요	주요/NNG
교통수단이	교통수단/NNG+이/JKC
될	되/VV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것이라고	것/NNB+이/VCP+라고/EC
예측했다.	예측/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.240.8.2
현재 우리나라 자동차 등록 대수 1700여만대를 기준으로 잡아도 3%면 50만대 정도다.

현재	현재/MAG
우리나라	우리나라/NNG
자동차	자동차/NNG
등록	등록/NNG
대수	대수/NNG
1700여만대를	1700/SN+여/XSN+만/NR+대/NNB+를/JKO
기준으로	기준/NNG+으로/JKB
잡아도	잡/VV+아도/EC
3%면	3/SN+%/SW+이/VCP+면/EC
50만대	50/SN+만/NR+대/NNB
정도다.	정도/NNG+이/VCP+다/EF+./SF


